username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DerwoodS85;2017-07-24 19:59;0;0;"Thank you Sen. Coons this is very important to reduce teen pregnancies and reduce the #of abortions that occur annually.";;;#of;"889636065811865601";https://twitter.com/DerwoodS85/status/889636065811865601
tedlindner;2017-07-24 19:55;0;0;"Ya, right";;;;"889635086752243712";https://twitter.com/tedlindner/status/889635086752243712
JazzLPcollector;2017-07-24 19:41;0;0;"@ SenFeinstein @ PatrickLeahy @ DickDurbin @ SenWhitehouse @ amyklobuchar @ SenFranken @ ChrisCoons @ SenBlumenthalpic.twitter.com/lGr5BkQRh5";;@ @ @ @ @ @ @ @;;"889631636266078208";https://twitter.com/JazzLPcollector/status/889631636266078208
DickStunts;2017-07-24 19:30;0;0;"Yeah Abstinence only programs lead to teen pregnancy";;;;"889628851969695745";https://twitter.com/DickStunts/status/889628851969695745
BrettLoGiurato;2017-07-24 18:45;2;3;". @ akarl_smith talks to @ ChrisCoons https://twitter.com/bi_politics/status/889617113987645441 …";;@ @;;"889617603618107392";https://twitter.com/BrettLoGiurato/status/889617603618107392
kayaklucia;2017-07-24 18:36;0;0;"We know we can count on YOU Senator @ ChrisCoons !! https://twitter.com/chriscoons/status/889515260373237761 …";;@;;"889615328078180352";https://twitter.com/kayaklucia/status/889615328078180352
Lettice123;2017-07-24 18:22;0;0;"You'd think he'd welcome the chance these days.";;;;"889611851444703232";https://twitter.com/Lettice123/status/889611851444703232
Lettice123;2017-07-24 18:17;0;0;"@ realDonaldTrump C'mon/ Join. @ ChrisCoons https://twitter.com/ChrisCoons/status/889515260373237761 …";;@ @;;"889610623264411648";https://twitter.com/Lettice123/status/889610623264411648
PeteClarkin;2017-07-24 17:59;0;0;"@ ChrisCoons is going to tweet something later this week. I don't know what's going to be in it, but I bet it's a disaster # icanbeasenatortoo";;@;#;"889605986809499648";https://twitter.com/PeteClarkin/status/889605986809499648
DanSmith112263;2017-07-24 17:58;0;0;"Speaking of topics requiring discussionhttp://nymag.com/daily/intelligencer/2017/06/trumps-sabotage-of-obamacare-is-working.html …";;;;"889605625449254912";https://twitter.com/DanSmith112263/status/889605625449254912
theaudreyshore;2017-07-24 17:54;0;0;"Will this be before or after you vote NO on trumpcare?";;;;"889604634498781185";https://twitter.com/theaudreyshore/status/889604634498781185
gcamelo15;2017-07-24 17:51;0;0;"Let's have Rudy in there!!!";;;;"889603951062126592";https://twitter.com/gcamelo15/status/889603951062126592
gcamelo15;2017-07-24 17:48;0;0;"Why are we basing this request on newspaper. Grow up and act like adults!";;;;"889603302857605120";https://twitter.com/gcamelo15/status/889603302857605120
jadun007;2017-07-24 17:48;0;0;"@ ChrisCoons Vote no on the ACA repeal.";;@;;"889603108384460802";https://twitter.com/jadun007/status/889603108384460802
Jarnocan;2017-07-24 17:40;0;0;"According to a TIME survey 13% of Americans Support @ senateGOP 's Latest Repeal Plan! Yet they want to appease a lying mobster + traitorpic.twitter.com/ElFqrUjapj";;@;;"889601090920095744";https://twitter.com/Jarnocan/status/889601090920095744
Cag_baseball;2017-07-24 17:02;0;0;"LMFAO!!! That's pretty funny there liberals";;;;"889591741464096768";https://twitter.com/Cag_baseball/status/889591741464096768
tobybuckwyler;2017-07-24 16:59;1;1;"They should all be Primaried for trying to implement fascist doctrine? This and many other Discretions.";;;;"889590932466577408";https://twitter.com/tobybuckwyler/status/889590932466577408
