username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TbumpyTina;2017-07-24 19:48;0;0;"http://www.snopes.com/pelosi-healthcare-pass-the-bill-to-see-what-is-in-it/ …";;;;"889633421504290816";https://twitter.com/TbumpyTina/status/889633421504290816
TbumpyTina;2017-07-24 19:37;0;0;"http://www.snopes.com/pelosi-healthcare-pass-the-bill-to-see-what-is-in-it/ …";;;;"889630587333607426";https://twitter.com/TbumpyTina/status/889630587333607426
TbumpyTina;2017-07-24 19:36;0;0;"http://www.snopes.com/pelosi-healthcare-pass-the-bill-to-see-what-is-in-it/ …";;;;"889630318046695424";https://twitter.com/TbumpyTina/status/889630318046695424
TbumpyTina;2017-07-24 19:34;0;1;"pic.twitter.com/mwFa49Kyj9";;;;"889629965347680256";https://twitter.com/TbumpyTina/status/889629965347680256
yodacowboy;2017-07-24 19:31;0;0;"@ ABQJournal @ SenatorTomUdall @ MartinHeinrich @ repbenraylujan @ RepLujanGrisham how many in NM are you responsible for. Your policy killshttps://twitter.com/us_army_vet/status/885358914232909826 …";;@ @ @ @ @;;"889629238797762564";https://twitter.com/yodacowboy/status/889629238797762564
yodacowboy;2017-07-24 19:30;0;0;"@ ABQJournal @ MartinHeinrich @ SenatorTomUdall @ repbenraylujan @ RepLujanGrisham you did this,now you sit on your hands @ KOB4 What a wastehttps://twitter.com/foxbusiness/status/889577002314850304 …";;@ @ @ @ @ @;;"889628810769031168";https://twitter.com/yodacowboy/status/889628810769031168
kdent56;2017-07-24 19:23;0;0;"Will you ever stop your fear mongering?";;;;"889627029620051974";https://twitter.com/kdent56/status/889627029620051974
ChangeSeats;2017-07-24 19:21;0;0;"RT @ MartinHeinrich: RT @ JECDems: Don’t be fooled. @ POTUS' # TaxReform principles really mean tax cuts for the wealt… http://buff.ly/2uQAFA6";;@ @ @;#;"889626525770948608";https://twitter.com/ChangeSeats/status/889626525770948608
hippiemama2002;2017-07-24 19:14;0;0;"@ SenFeinstein @ SenSchumer @ RepAdamSchiff @ RepSwalwell @ SenKamalaHarris @ MartinHeinrich @ MarkWarner @ repjohnlewis @ RepSpeier # Unacceptablehttps://twitter.com/ericboehlert/status/889589247908433920 …";;@ @ @ @ @ @ @ @ @;#;"889624778230910976";https://twitter.com/hippiemama2002/status/889624778230910976
drucku2;2017-07-24 19:09;0;0;"Martin I like what you are all about...we need a presidential run from you. I am not wealthy but will happily contribute to that!";;;;"889623690115198976";https://twitter.com/drucku2/status/889623690115198976
Brynnetania;2017-07-24 19:08;0;0;"Thank you again for fighting for us.";;;;"889623390880976901";https://twitter.com/Brynnetania/status/889623390880976901
ChangeSeats;2017-07-24 19:00;0;0;"RT @ MartinHeinrich: This technology is a game changer. An excellent example of # TechTransfer & NM ingenuity. http://buff.ly/2uR3Oel";;@;#;"889621423152668673";https://twitter.com/ChangeSeats/status/889621423152668673
deedersw;2017-07-24 18:57;0;0;"just do what you can, sir.";;;;"889620601081667584";https://twitter.com/deedersw/status/889620601081667584
CaptianCarry;2017-07-24 18:52;0;0;"Then stand guard and protect them.";;;;"889619292383318020";https://twitter.com/CaptianCarry/status/889619292383318020
CaptianCarry;2017-07-24 18:49;0;0;"Who do what? Employ!";;;;"889618445549043713";https://twitter.com/CaptianCarry/status/889618445549043713
Ants07883594;2017-07-24 18:47;0;0;"Please take mine after the premiums I can't afford to go to the hospital";;;;"889617964277936128";https://twitter.com/Ants07883594/status/889617964277936128
CaptianCarry;2017-07-24 18:46;0;0;"It's the pursuit of happiness, nothing about a level playing field.";;;;"889617893360533506";https://twitter.com/CaptianCarry/status/889617893360533506
vobstorm;2017-07-24 18:46;0;0;"Thank you Senator Heinrich!";;;;"889617874490281984";https://twitter.com/vobstorm/status/889617874490281984
