username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
pamelarwalker;2017-07-24 19:59;1;6;"If this doesn't make you angry at your Republican Senators voting yes nothing will. # election2018, # election2020 @ RoyBlunt pic.twitter.com/SghlO2TEM8";;@;# #;"889636110783008768";https://twitter.com/pamelarwalker/status/889636110783008768
puppie96;2017-07-24 19:58;0;1;"Yeah, by DeVos and the Koch brothers. A true denizen of the swamp. Hey hey hey, good bye!";;;;"889635996752629760";https://twitter.com/puppie96/status/889635996752629760
JCObert66;2017-07-24 19:57;0;0;"@ RoyBlunt Your support of this terrible bill is despicable and so are you. Missouri deserves not to be left in the lurch so you get rich. https://twitter.com/joyannreid/status/889633687125577730 …";;@;;"889635784046850050";https://twitter.com/JCObert66/status/889635784046850050
puppie96;2017-07-24 19:57;0;0;"Blunt: Watch out who you try to screw, we'll get rid of you in 2022! @ realDonaldTrump @ RepAnnWagner # TrumpcareKills";;@ @;#;"889635669722660867";https://twitter.com/puppie96/status/889635669722660867
Lady_Lear;2017-07-24 19:57;0;0;"@ RoyBlunt Please vote NO on healthcare tomorrow!";;@;;"889635656187727872";https://twitter.com/Lady_Lear/status/889635656187727872
Jethro_blue;2017-07-24 19:57;1;4;"Yeah, I got the zip code thing too. They should know me pretty well by now as I'm in regular contact.";;;;"889635585211723777";https://twitter.com/Jethro_blue/status/889635585211723777
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
Bannisae;2017-07-24 19:56;0;2;"Please @ RoyBlunt heed the advice of an organization that advocates not just for me, but for you. https://twitter.com/aarpadvocates/status/889609156214362112 …";;@;;"889635548574474240";https://twitter.com/Bannisae/status/889635548574474240
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
ssnbbr;2017-07-24 19:52;0;4;"So you are willing to trash 1/5 of U.S. economy (healthcare) for the sake of you and the rest of the one-percenters?";;;;"889634474492874753";https://twitter.com/ssnbbr/status/889634474492874753
beestokes;2017-07-24 19:49;0;0;"@ RoyBlunt Uh-oh! https://twitter.com/thinkprogress/status/889621845066088448 …";;@;;"889633742842712069";https://twitter.com/beestokes/status/889633742842712069
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
Yarraslava;2017-07-24 19:46;0;0;". @ RoyBlunt @claircmc @ RepAnnWagner Missouri! Please shut down these # PuppyMills!pic.twitter.com/XwEovRIuGD";;@ @claircmc @;#;"889632820968255488";https://twitter.com/Yarraslava/status/889632820968255488
Yarraslava;2017-07-24 19:45;0;0;". @ RoyBlunt @claircmc @ RepAnnWagner Missouri! Please shut down these # PuppyMills!pic.twitter.com/P3N5SE8vE1";;@ @claircmc @;#;"889632783970258948";https://twitter.com/Yarraslava/status/889632783970258948
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
beestokes;2017-07-24 19:43;0;0;"@ RoyBlunt https://twitter.com/tedlieu/status/889619987643629568 …";;@;;"889632252031897602";https://twitter.com/beestokes/status/889632252031897602
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Sharkaycat48;2017-07-24 19:42;2;3;"I called mine. They didn't seem to care. Just wanted to know my zip code. I doubt the assistant passes my message along to @ RoyBlunt";;@;;"889631807431487491";https://twitter.com/Sharkaycat48/status/889631807431487491
jesmichaels1;2017-07-24 19:42;0;0;". @ RoyBlunt @claircmc @ RepAnnWagner Missouri! Please shut down these # PuppyMills!pic.twitter.com/fIHPOg1nIh";;@ @claircmc @;#;"889631794076823553";https://twitter.com/jesmichaels1/status/889631794076823553
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Lainashome;2017-07-24 19:42;0;0;"7:PLEASE RETWEET LIST OF SENATE REPUBS@RepAndyHarrisMD@SenThadCochran@SenatorWicker@RoyBlunt@SteveDaines@SenatorFischer SenSasse";;@RepAndyHarrisMD @SenThadCochran @SenatorWicker @RoyBlunt @SteveDaines @SenatorFischer;;"889631782584422400";https://twitter.com/Lainashome/status/889631782584422400
beestokes;2017-07-24 19:41;0;0;"@ RoyBlunt https://twitter.com/rebeccavallas/status/889618849980657664 …";;@;;"889631709674823683";https://twitter.com/beestokes/status/889631709674823683
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
tammyguess59;2017-07-24 19:40;0;0;". @ RoyBlunt @claircmc @ RepAnnWagner Missouri! Please shut down these # PuppyMills!pic.twitter.com/WbG1IBN20H";;@ @claircmc @;#;"889631473141260289";https://twitter.com/tammyguess59/status/889631473141260289
tammyguess59;2017-07-24 19:40;0;0;". @ RoyBlunt @claircmc @ RepAnnWagner Missouri! Please shut down these # PuppyMills!pic.twitter.com/9DYBgShOaT";;@ @claircmc @;#;"889631450118672385";https://twitter.com/tammyguess59/status/889631450118672385
Dwanesterrr;2017-07-24 19:40;0;0;"@ SenatorBurr @ SenThomTillis @ SenJohnHoeven @ SenJohnMcCain @ SenRobPortman @ JimInhofe @ SenatorLankford @ SenToomey @ LindseyGrahamSC";;@ @ @ @ @ @ @ @ @;;"889631379411042304";https://twitter.com/Dwanesterrr/status/889631379411042304
puppie96;2017-07-24 19:39;0;0;"Blunt # TrumpcareKills new song: tra la la, woo hoo hoo, So long to Blunt's ass in 2022! He hates us all.";;;#;"889631270149525504";https://twitter.com/puppie96/status/889631270149525504
4144Adams;2017-07-24 19:38;0;0;"@ realDonaldTrump @ POTUS @ SenateMajLdr @ RoyBlunt https://twitter.com/daverage/status/889509214267289600 …";;@ @ @ @;;"889630893136105473";https://twitter.com/4144Adams/status/889630893136105473
4144Adams;2017-07-24 19:37;0;0;"@ RoyBlunt https://twitter.com/rsegbers/status/889531635594670080 …";;@;;"889630633957392390";https://twitter.com/4144Adams/status/889630633957392390
beestokes;2017-07-24 19:36;0;0;"@ RoyBlunt Seems shady, right? https://twitter.com/sangerkatz/status/889600644138639360 …";;@;;"889630409050513413";https://twitter.com/beestokes/status/889630409050513413
beestokes;2017-07-24 19:35;0;0;"@ RoyBlunt https://twitter.com/igorvolsky/status/889616858034438144 …";;@;;"889630177709490176";https://twitter.com/beestokes/status/889630177709490176
Sharkaycat48;2017-07-24 19:32;0;0;"I called my rep @ RoyBlunt office to ask him to vote No, but I doubt he gives a damn about Missourians. Worrying abt bill giving me an ulcer.";;@;;"889629395819876352";https://twitter.com/Sharkaycat48/status/889629395819876352
