username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
GreenRootsTN;2017-07-24 19:58;0;0;"Well, what's defensible? . @ SenAlexander . @ SenBobCorker . @ tndp . @ TennDem . @ tncitizenaction . @ TNIndivisible https://nyti.ms/2tUr46E";;@ @ @ @ @ @;;"889635952708243459";https://twitter.com/GreenRootsTN/status/889635952708243459
librarygirl17;2017-07-24 19:57;0;0;"Please listen @ DeanHeller @ lisamurkowski @ SenCapito @ robportman @ SenCoryGardner @ JeffFlake @ BillCassidy @ BobCorker @ PatToomey @ SenAlexander https://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @ @ @ @ @;;"889635624415879168";https://twitter.com/librarygirl17/status/889635624415879168
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
TNCouncilDD;2017-07-24 19:57;0;0;"@ SenBobCorker , @ SenAlexander - Please preserve the ACA and Medicaid, Tennesseans with lifelong, significant disabilities depend on them. pic.twitter.com/SIFM72FHHH";;@ @;;"889635560289185792";https://twitter.com/TNCouncilDD/status/889635560289185792
paxromana5777;2017-07-24 19:56;0;0;"Your constituents are depending on you, @ SenAlexander & @ SenBobCorker. Vote 'no' on # Obamacare repeal. # WeVetsAreWatching!";;@ @;# #;"889635511823937537";https://twitter.com/paxromana5777/status/889635511823937537
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
PiscopoSf;2017-07-24 19:52;0;1;". @ SenAlexander Who do you work for? This bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/d0QdBB5lBd";;@;#;"889634472634830848";https://twitter.com/PiscopoSf/status/889634472634830848
HRCFTW16;2017-07-24 19:51;0;0;". @ senbobcorker @ SenAlexander https://twitter.com/AARPadvocates/status/889609156214362112 …";;@ @;;"889634248369614848";https://twitter.com/HRCFTW16/status/889634248369614848
WWWilkie;2017-07-24 19:50;0;0;"@ SenAlexander @ SenBobCorker You are voting tomorrow (Tuesday) on repeal of the # ACA. Remember that thing you campaigned on? We're watching!";;@ @;#;"889633981255356422";https://twitter.com/WWWilkie/status/889633981255356422
hopefoulds;2017-07-24 19:49;0;1;"https://www.whitehouse.gov/sites/whitehouse.gov/files/omb/saps1628hr_20170724.pdf … @ SenAlexander @ SenBobCorker";;@ @;;"889633686328627201";https://twitter.com/hopefoulds/status/889633686328627201
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
pearlgsims1;2017-07-24 19:48;0;0;"@ SenBobCorker @ SenAlexander. Please vote that all families have what you do- tax funded health insurance! pic.twitter.com/HWCI1AYXhF";;@ @;;"889633542493306880";https://twitter.com/pearlgsims1/status/889633542493306880
tinap2012;2017-07-24 19:45;0;0;"@ SenAlexander imagine signing up for your healthcareLESS plan, that you are exempt from. How wrong is that!!! Force Americans to suffer.";;@;;"889632708292472832";https://twitter.com/tinap2012/status/889632708292472832
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
