username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
colosprings_fan;2017-07-24 19:56;0;2;"Bernhardt works for oil & gas, just like everyone in Trump's administration. This was a bad move to vote for someone with so many conflicts";;;;"889635413715030020";https://twitter.com/colosprings_fan/status/889635413715030020
bigreddog1934;2017-07-24 19:52;1;3;"Your greenwashing of fracking is our planetary and environmental destruction. Your entire Party is just the exec. board of oil and gas.";;;;"889634461645713408";https://twitter.com/bigreddog1934/status/889634461645713408
Bumperstik;2017-07-24 19:50;0;0;"Vote Yes Cory ignore liberals who want Obama Care...Like @SenBennetCO";;@SenBennetCO;;"889633896333291521";https://twitter.com/Bumperstik/status/889633896333291521
jimshirl1954;2017-07-24 19:48;0;0;"Look into your hearts and do what's right. Humanity please show some";;;;"889633292546445317";https://twitter.com/jimshirl1954/status/889633292546445317
Well_Brewed;2017-07-24 19:45;0;3;"Picked by @ SecPriceMD no less! Desperate lies for a desperate agenda.";;@;;"889632672431169536";https://twitter.com/Well_Brewed/status/889632672431169536
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
vmasar1;2017-07-24 19:43;0;0;"We will not stop resisting when millions of lives are at stake.";;;;"889632185929666561";https://twitter.com/vmasar1/status/889632185929666561
vmasar1;2017-07-24 19:41;0;1;"If you don't like what they say, just destroy it. Sad";;;;"889631688854077440";https://twitter.com/vmasar1/status/889631688854077440
kateac;2017-07-24 19:41;0;0;"@ SenCoryGardner Just so you know - oh wait you are on the committee that put this wretched proposal together so you do know. Its your plan!";;@;;"889631685960183808";https://twitter.com/kateac/status/889631685960183808
freespeechmarch;2017-07-24 19:41;0;0;"@SenBennetCO: @ RepTedLieu supports http://freespeechmarch.org , 11/18. We hope you'll support us too!";;@SenBennetCO @;;"889631646697361411";https://twitter.com/freespeechmarch/status/889631646697361411
FasmithCO;2017-07-24 19:41;0;1;"We don't want science, we don't want math, we will just "cook the books".";;;;"889631563071270914";https://twitter.com/FasmithCO/status/889631563071270914
ashman372;2017-07-24 19:40;0;1;"I just wish @ SenCoryGardner would listen to Coloradans. He won't respond nor does he hold town halls.";;@;;"889631472797306881";https://twitter.com/ashman372/status/889631472797306881
pennelane99;2017-07-24 19:38;0;0;"CBO is false most of the time. Their predictions are just that predictions not facts and mostly wrong. Obozo care is dead! Stop resisting!";;;;"889630900413014016";https://twitter.com/pennelane99/status/889630900413014016
landcruiser13;2017-07-24 19:37;0;2;"Who made a call? Call Senator Gardner.pic.twitter.com/yzUBIwsDtt";;;;"889630648775970822";https://twitter.com/landcruiser13/status/889630648775970822
AntiRightWing1;2017-07-24 19:35;0;0;"@SenBennetCO Let me say that you so much as entertain the idea of repeal and not demand bipartisanship work will be your political end!";;@SenBennetCO;;"889630048491249664";https://twitter.com/AntiRightWing1/status/889630048491249664
COPi314;2017-07-24 19:32;0;0;"The war on facts and our institutions is the scariest part of the Trump siege. Totally unacceptable. @ aclu @SenBennetCO # FreePress @ USCBOhttps://twitter.com/SenBennetCO/status/889627577547190275 …";;@ @SenBennetCO @;#;"889629281797668864";https://twitter.com/COPi314/status/889629281797668864
Julie55022477;2017-07-24 19:31;0;0;"Thank you for putting your constituents first.";;;;"889629036623867905";https://twitter.com/Julie55022477/status/889629036623867905
DoubleA_CO;2017-07-24 19:30;0;0;"What a sad day when the friggin' @ USCBO (read also: Facts) are being politically attacked. The wheels are falling off, America.";;@;;"889628926531829760";https://twitter.com/DoubleA_CO/status/889628926531829760
Pedro4Paz;2017-07-24 19:29;0;0;"Thank you for your hard work to help defeat this bill!";;;;"889628725616226309";https://twitter.com/Pedro4Paz/status/889628725616226309
GetFuktHoosier;2017-07-24 19:27;0;1;"Thank you, @SenBennetCO https://twitter.com/senbennetco/status/889627577547190275 …";;@SenBennetCO;;"889628077231403009";https://twitter.com/GetFuktHoosier/status/889628077231403009
Lainashome;2017-07-24 19:20;0;0;"4: PLS RT LIST OF SEN REPUBS:@SenBennetCo@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch";;@SenBennetCo @SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch;;"889626303544131585";https://twitter.com/Lainashome/status/889626303544131585
SuzanneBuchan14;2017-07-24 19:14;0;1;"@ SenCoryGardner @SenBennetCO # voteno on the new # HealthcareBill whatever that is at this point. # over50 # ivote";;@ @SenBennetCO;# # # #;"889624859596255233";https://twitter.com/SuzanneBuchan14/status/889624859596255233
noelcreates;2017-07-24 19:13;2;0;"@ SenCoryGardner @SenBennetCO Vote NO on Trumpcare. # SaveMedicaid # saveobamacare";;@ @SenBennetCO;# #;"889624684148518916";https://twitter.com/noelcreates/status/889624684148518916
rebequewest;2017-07-24 19:13;0;0;"@ SenCoryGardner @SenBennetCO @ SenSanders @ SenGillibrand @ SenWarren @ SenateDems @ GOP This is wrong and you all need to speak up. # Military https://twitter.com/LorenRaeDeJ/status/889619178096930817 …";;@ @SenBennetCO @ @ @ @ @;#;"889624663869059073";https://twitter.com/rebequewest/status/889624663869059073
Lainashome;2017-07-24 19:11;0;0;"2: Please RT list:Sen Repubs: @SenBennetCo@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch@MikeCrapo@SenatorKirk";;@SenBennetCo @SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch @MikeCrapo @SenatorKirk;;"889624092705513472";https://twitter.com/Lainashome/status/889624092705513472
DeborahLGreene;2017-07-24 19:02;0;0;"Thank you for fighting for vulnerable Coloradans Too bad @ SenCoryGardner has lost his moral compass & won't do the same.";;@;;"889621869304926208";https://twitter.com/DeborahLGreene/status/889621869304926208
AlloutHelter;2017-07-24 19:00;0;1;"WTF, @SenBennetCO? STOP ENABLING THE TRUMP ADMINISTRATION AND THEIR POLICIES! https://twitter.com/jesseapaul/status/889619075458007041 …";;@SenBennetCO;;"889621322149638147";https://twitter.com/AlloutHelter/status/889621322149638147
