username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realtime98;2017-07-24 19:57;0;0;"@ GOP @ JohnnyIsakson @ sendavidperdue This is what you have enabled. Feeling proud and patriotic now? https://twitter.com/mrdanzak/status/889617053447008256 …";;@ @ @;;"889635653729882120";https://twitter.com/realtime98/status/889635653729882120
StephenEBaker;2017-07-24 19:54;1;4;"How are you voting on # Trumpcare ?";;;#;"889634904430043136";https://twitter.com/StephenEBaker/status/889634904430043136
ClarityatWork;2017-07-24 19:46;0;0;"Had enough yet, @ SenatorIsakson and @ sendavidperdue ? Is this the guy you stand behind?";;@ @;;"889632950396047362";https://twitter.com/ClarityatWork/status/889632950396047362
Amused0472;2017-07-24 19:45;0;2;"Capitol";;;;"889632725220642816";https://twitter.com/Amused0472/status/889632725220642816
Yarraslava;2017-07-24 19:45;1;0;". @ sendavidperdue @ SenatorIsakson @ repjohnlewis Georgia! Please shut down these horrible # PuppyMills!pic.twitter.com/7BKvTpqw08";;@ @ @;#;"889632636204986369";https://twitter.com/Yarraslava/status/889632636204986369
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
elacs;2017-07-24 19:42;0;0;"Surely you are voting NO on the healthcare bill tomorrow. Have you even seen it? What is in it? Removing healthcare from millions?";;;;"889631862775304192";https://twitter.com/elacs/status/889631862775304192
KatieMumper;2017-07-24 19:41;1;1;"@ sendavidperdue @ SenatorIsakson I ask you to vote no on this "plan" that will hurt the people of Georgia";;@ @;;"889631731980042241";https://twitter.com/KatieMumper/status/889631731980042241
tammyguess59;2017-07-24 19:40;0;0;". @ sendavidperdue @ SenatorIsakson @ repjohnlewis Georgia! Please shut down these horrible # PuppyMills!pic.twitter.com/VKU6VVRj0u";;@ @ @;#;"889631352408215553";https://twitter.com/tammyguess59/status/889631352408215553
debnuk;2017-07-24 19:36;0;0;"You need to NOT vote for them bill you are hurting Georgians!";;;;"889630498825396230";https://twitter.com/debnuk/status/889630498825396230
jessicabar25;2017-07-24 19:23;0;1;"@ SenatorIsakson @ sendavidperdue Vote for the ppl & vote no for the healthcare bill. A yes vote will be a no vote for U in the next election.";;@ @;;"889627077711998976";https://twitter.com/jessicabar25/status/889627077711998976
CutcliffB;2017-07-24 19:23;0;0;"@ SenatorIsakson @ sendavidperdue # voteyestomorrow Gentleman you have been elected to make changes from the past 8 years. Please start tomorow";;@ @;#;"889627035546660866";https://twitter.com/CutcliffB/status/889627035546660866
just_caitlinnn;2017-07-24 19:20;0;1;"Your constituents do not want to repeal and replace. You complain about self-interest in Washington, show us you are different than others.";;;;"889626357092798465";https://twitter.com/just_caitlinnn/status/889626357092798465
Lainashome;2017-07-24 19:20;0;0;"4: PLS RT LIST OF SEN REPUBS:@SenBennetCo@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch";;@SenBennetCo @SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch;;"889626303544131585";https://twitter.com/Lainashome/status/889626303544131585
MizTBerri;2017-07-24 19:20;0;0;"@ SenIsakson @ sendavidperdue https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @;;"889626269490573313";https://twitter.com/MizTBerri/status/889626269490573313
DecaStan;2017-07-24 19:19;0;1;"@ SenatorIsakson @ SenDavidPerdue Why deprive Georgians of adequate healthcare? Health Care Is Still in Danger https://nyti.ms/2tSNZPQ";;@ @;;"889626114909491203";https://twitter.com/DecaStan/status/889626114909491203
realtime98;2017-07-24 19:19;0;0;"@ sendavidperdue @ JohnnyIsaksonhttps://twitter.com/civilrightsorg/status/889553618357059584 …";;@ @;;"889626093392732162";https://twitter.com/realtime98/status/889626093392732162
DecaStan;2017-07-24 19:16;0;0;"@ SenatorIsakson @ SenDavidPerdue Infrastructure Delusions https://nyti.ms/2jVFkYP";;@ @;;"889625321988919300";https://twitter.com/DecaStan/status/889625321988919300
Lainashome;2017-07-24 19:14;0;0;"3:PLS RETWEET LIST OF SEN REPUBS:@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch@MikeCrapo@SenatorKirk@sentoddyoung";;@SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch @MikeCrapo @SenatorKirk @sentoddyoung;;"889624878286090241";https://twitter.com/Lainashome/status/889624878286090241
realtime98;2017-07-24 19:13;0;0;"@ JohnnyIsakson @ sendavidperdue @ RepDrewFerguson Don't count on us having your back if you vote yes on TrumpCarepic.twitter.com/VXAFmgUrdC";;@ @ @;;"889624735205740545";https://twitter.com/realtime98/status/889624735205740545
Lainashome;2017-07-24 19:11;0;0;"2: Please RT list:Sen Repubs: @SenBennetCo@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch@MikeCrapo@SenatorKirk";;@SenBennetCo @SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch @MikeCrapo @SenatorKirk;;"889624092705513472";https://twitter.com/Lainashome/status/889624092705513472
birdytobirdy;2017-07-24 19:07;1;1;"pic.twitter.com/PEUROEL7xz";;;;"889623206063198208";https://twitter.com/birdytobirdy/status/889623206063198208
birdytobirdy;2017-07-24 19:07;2;2;"Spy camp. Irony is completely lost on you, isn't it?";;;;"889623068427120640";https://twitter.com/birdytobirdy/status/889623068427120640
BigOcean10;2017-07-24 19:02;0;0;"@ SenateMajLdr @ SenatorIsakson @ SenDavidPerdue https://twitter.com/JoshNoneYaBiz/status/889619564975325184 …";;@ @ @;;"889621912644669440";https://twitter.com/BigOcean10/status/889621912644669440
MFlinng;2017-07-24 19:00;0;0;"@ sendavidperdue @ SenatorIsaksonpic.twitter.com/2bL6amqxXh";;@ @;;"889621360007426049";https://twitter.com/MFlinng/status/889621360007426049
DamonWood;2017-07-24 19:00;0;0;"@ SenatorIsakson @ sendavidperdue If you vote yes on that lousy health care fraud you will not recover from it: say no.";;@ @;;"889621354932260866";https://twitter.com/DamonWood/status/889621354932260866
MrJaredBarnes;2017-07-24 18:56;0;0;"Well then you just bend over and take it. That doesn’t stop me. I could say the same about @ sendavidperdue & @ SenatorIsakson";;@ @;;"889620278673887232";https://twitter.com/MrJaredBarnes/status/889620278673887232
_yogking;2017-07-24 18:55;0;0;"@ senatorisakson @ sendavidperdue. Would you guys get off your butts and do what we put you in office to do! # RepealObamacare.";;@ @;#;"889620045084725250";https://twitter.com/_yogking/status/889620045084725250
realtime98;2017-07-24 18:54;0;0;"@ JohnnyIsakson @ sendavidperdue We are watching you. https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889619781367803905";https://twitter.com/realtime98/status/889619781367803905
TeriGRight;2017-07-24 18:52;1;1;". @ sendavidperdue Don't let # GOP voters down. Vote # FullRepeal! # PJNETpic.twitter.com/L87FQi6IHt";;@;# # #;"889619262704320512";https://twitter.com/TeriGRight/status/889619262704320512
pluey;2017-07-24 18:46;0;0;"Hey . @ SenatorIsakson . @ sendavidperdue -- if you're not going to listen to the Catholic sisters, how about @ AARPadvocates?https://twitter.com/AARPadvocates/status/889609156214362112 …";;@ @ @;;"889617745435914241";https://twitter.com/pluey/status/889617745435914241
rmcneal337;2017-07-24 18:39;0;0;"Why does Ga not want to cooperate with voter task force and why does Ga have 2 sanctuary Counties";;;;"889616109024030720";https://twitter.com/rmcneal337/status/889616109024030720
rmcneal337;2017-07-24 18:39;0;0;"I want to see your voice out in public more standing up for Donald against the Russia Russia Russia";;;;"889615941977460736";https://twitter.com/rmcneal337/status/889615941977460736
TheRealJanhawke;2017-07-24 18:32;1;2;"Save. Our. Care. # SaveOurCare";;;#;"889614377292369921";https://twitter.com/TheRealJanhawke/status/889614377292369921
MajorAmerican;2017-07-24 18:29;0;0;". @ SenatorIsakson @ sendavidperdue # gapol # Trumpcare https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @;# #;"889613508073201666";https://twitter.com/MajorAmerican/status/889613508073201666
_jenny_tweets;2017-07-24 18:26;0;0;"LOL";;;;"889612857045856256";https://twitter.com/_jenny_tweets/status/889612857045856256
pluey;2017-07-24 18:26;0;0;"Listen to the nuns! # Trumpcare is immoral and incredibly harmful. Vote NO and do what's right @ sendavidperdue @ SenatorIsakson https://twitter.com/topherspiro/status/889487372152385537 …";;@ @;#;"889612846933389312";https://twitter.com/pluey/status/889612846933389312
98rover;2017-07-24 18:24;1;4;"Can't wait until your seat is up";;;;"889612372402470912";https://twitter.com/98rover/status/889612372402470912
texasranger1992;2017-07-24 18:24;1;3;"So Senator Perdue will NOT even take calls from Georgians who question his vote on Healthcare. Only wants to talk to "His" people.";;;;"889612245692502016";https://twitter.com/texasranger1992/status/889612245692502016
pluey;2017-07-24 18:23;1;15;"Then protect them and do what's right for your constituents and the country -- stand up and vote NO on # Trumpcare";;;#;"889612014687055874";https://twitter.com/pluey/status/889612014687055874
littleeagle1227;2017-07-24 18:22;1;12;"What does she think about not having healthcare if left up to you & the rest of the gop. # VoteNoTrumpcare";;;#;"889611748147429378";https://twitter.com/littleeagle1227/status/889611748147429378
predawnraid;2017-07-24 18:22;1;9;"Is that the same camp Jared Kushner attended?";;;;"889611674935840772";https://twitter.com/predawnraid/status/889611674935840772
smilingkevin;2017-07-24 18:21;1;3;"Spy Camp? Is that what Kushner did on his summer vacation too?";;;;"889611498477244418";https://twitter.com/smilingkevin/status/889611498477244418
dav34829;2017-07-24 18:21;1;1;"cc @ SenatorIsakson @ sendavidperdue Vote NO on ACA repeal & Senate no care bill! https://twitter.com/mattmfm/status/889605694068011008 …";;@ @;;"889611493083369475";https://twitter.com/dav34829/status/889611493083369475
Sullivanandkids;2017-07-24 18:20;1;8;"Does she know how much you lie to her and that you are trying to take away healthcare from millions?";;;;"889611262535094278";https://twitter.com/Sullivanandkids/status/889611262535094278
dav34829;2017-07-24 18:18;1;5;"Vote NO on the Senate's no health care bill!!";;;;"889610709641854976";https://twitter.com/dav34829/status/889610709641854976
themaze2;2017-07-24 18:16;0;3;"That's your President.....Vote NO on healthcare and take care of our families here in Georgia.";;;;"889610320578269192";https://twitter.com/themaze2/status/889610320578269192
xxmca1;2017-07-24 18:14;0;0;"Your constituents are depending on you, @ SenDavidPerdue! Vote 'no' on # Obamacare repeal.";;@;#;"889609849914490886";https://twitter.com/xxmca1/status/889609849914490886
_jenny_tweets;2017-07-24 18:14;1;20;"Aww she doesn't know you hate women yet, does she? # stopTrumpCare";;;#;"889609695811575809";https://twitter.com/_jenny_tweets/status/889609695811575809
SheilaP13;2017-07-24 18:13;1;0;"If you vote yes on this atrocious # HealthcareBill tomorrow @ sendavidperdue, this GA voter will do everything I can to get you out! Vote No!";;@;#;"889609484590616578";https://twitter.com/SheilaP13/status/889609484590616578
sooatwoo;2017-07-24 18:11;0;0;"@ SenJohnHoeven @ BillCassidy @ JeffFlake @ SenatorCollins @ CapitoforWV @ SenMikeLee @ SenToomey @ lisamurkowski @ sendavidperdue @ JerryMoranhttps://twitter.com/JohnKasich/status/889522009264332804 …";;@ @ @ @ @ @ @ @ @ @;;"889609046948446208";https://twitter.com/sooatwoo/status/889609046948446208
sendavidperdue;2017-07-24 18:11;5;37;"Great to see @ newsradiosav's Laura Anderson today and her daughter who is in 5th grade and in our nation's capital for spy camp!pic.twitter.com/zgPfauNOBn";;@;;"889609002065285120";https://twitter.com/sendavidperdue/status/889609002065285120
JMSim70;2017-07-24 18:11;0;0;"Are you paying attention? @ SenatorIsakson @ sendavidperdue https://twitter.com/igorvolsky/status/889571899013050368 …";;@ @;;"889608897442566149";https://twitter.com/JMSim70/status/889608897442566149
JMSim70;2017-07-24 18:06;0;0;"As one of your constituents I would like to know what's in the bill you are going to vote on tomorrow @ SenatorIsakson @ sendavidperdue?";;@ @;;"889607685129293830";https://twitter.com/JMSim70/status/889607685129293830
hcenaoj;2017-07-24 17:58;0;1;"Please help me keep my healthcare insurance. @ SaxbyChambliss @ SenatorIsakson @ sendavidperdue # PreExistingCondition # CysticFibrosispic.twitter.com/fORcHDer9r";;@ @ @;# #;"889605665995489284";https://twitter.com/hcenaoj/status/889605665995489284
twittymcdaniels;2017-07-24 17:56;0;0;"@ sendavidperdue @ SenatorIsakson Nursing homes and long-term care facilities receive the majority of their funding from Medicaid. # VoteNoMTP";;@ @;#;"889605245801725954";https://twitter.com/twittymcdaniels/status/889605245801725954
NeverKnitDrunk;2017-07-24 17:55;1;1;"Dear @ SenateGOP @ sendavidperdue @ SenatorIsakson: If you don't even know WHAT you're voting on, the only responsible vote is NO. # ACA # AHCA";;@ @ @;# #;"889605053140664320";https://twitter.com/NeverKnitDrunk/status/889605053140664320
twittymcdaniels;2017-07-24 17:55;0;0;"@ SenatorIsakson @ sendavidperdue GA school districts and students would suffer also without Medicaid $ for necessary services # VoteNoMTP";;@ @;#;"889604876560465920";https://twitter.com/twittymcdaniels/status/889604876560465920
twittymcdaniels;2017-07-24 17:54;0;0;"@ SenatorIsakson @ sendavidperdue Hospitals in GA would lose an estimated $3.4 billion # VoteNoMTP";;@ @;#;"889604620695240705";https://twitter.com/twittymcdaniels/status/889604620695240705
twittymcdaniels;2017-07-24 17:53;0;0;"@ sendavidperdue @ SenatorIsakson 66% of GA Medicaid enrollees are children # VoteNoMTP";;@ @;#;"889604371360743424";https://twitter.com/twittymcdaniels/status/889604371360743424
rfaintich;2017-07-24 17:52;0;0;"@ sendavidperdue @ SenatorIsakson You MUST vote no on behalf of Georgia.https://twitter.com/brianschatz/status/889590893816238081 …";;@ @;;"889604326909464576";https://twitter.com/rfaintich/status/889604326909464576
lynnieq333;2017-07-24 17:52;0;0;"@ sendavidperdue We expect you RINOS to vote to repeal the Obummer tragedy AFA tomorrow! Should NEVER have let it happen to us";;@;;"889604229949771776";https://twitter.com/lynnieq333/status/889604229949771776
twittymcdaniels;2017-07-24 17:52;0;0;"@ sendavidperdue @ SenatorIsakson 3.3 million of your constituents have already exceeded their lifetime caps # VoteNoMTP";;@ @;#;"889604141336625152";https://twitter.com/twittymcdaniels/status/889604141336625152
jerkotyuk;2017-07-24 17:52;0;0;"@ SenIsakson @ sendavidperdue ALL Senators must Vote FOR Motion to Proceed on HC so debate and amdmts can be out in open. # FailureNotAnOption";;@ @;#;"889604129798189057";https://twitter.com/jerkotyuk/status/889604129798189057
twittymcdaniels;2017-07-24 17:51;0;0;"@ sendavidperdue @ SenatorIsakson Approximately 29% of your constituents have pre-existing conditions not covered prior to ACA # VoteNoMTP";;@ @;#;"889603869621325825";https://twitter.com/twittymcdaniels/status/889603869621325825
twittymcdaniels;2017-07-24 17:49;0;0;"@ sendavidperdue @ SenatorIsakson Repeal of ACA would cost GA 71,000 jobs # VoteNoMTP";;@ @;#;"889603414014951424";https://twitter.com/twittymcdaniels/status/889603414014951424
twittymcdaniels;2017-07-24 17:48;0;0;"@ sendavidperdue @ SenatorIsakson Repeal of ACA would leave 1 million Georgians without coverage # VoteNoMTP";;@ @;#;"889603242090483714";https://twitter.com/twittymcdaniels/status/889603242090483714
RichardCarvlin;2017-07-24 17:47;0;0;"@ SenateMajLdr @ SenGillibrand @ SenJohnMcCain @ sendavidperdue Please back up and fix health care - don't punish us for pre existing woes!";;@ @ @ @;;"889603020690001921";https://twitter.com/RichardCarvlin/status/889603020690001921
twittymcdaniels;2017-07-24 17:46;0;0;"@ sendavidperdue @ SenatorIsaksonhttps://twitter.com/chrismurphyct/status/889528975432798209 …";;@ @;;"889602601712574465";https://twitter.com/twittymcdaniels/status/889602601712574465
MDavid59;2017-07-24 17:39;0;1;"Very few would disagree, @ sendavidperdue @ SenatorIsaksonhttps://twitter.com/MikeLevinCA/status/889555087793635328 …";;@ @;;"889601068254076928";https://twitter.com/MDavid59/status/889601068254076928
