username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Suhalper;2017-07-24 19:52;0;0;"@ SenDonnelly Please vote against the Trump/McConnell healthcare disaster";;@;;"889634404519350272";https://twitter.com/Suhalper/status/889634404519350272
mrduffy3;2017-07-24 19:50;0;0;"Cut Federal taxes, and States can raise taxes to cover healthcare.https://twitter.com/sendonnelly/status/889603807927316480 …";;;;"889633888234024962";https://twitter.com/mrduffy3/status/889633888234024962
Yarraslava;2017-07-24 19:45;0;0;". @ SusanWBrooks @ RepWalorski @ SenToddYoung @ SenDonnelly Indiana! Please shut down this # PuppyMill!pic.twitter.com/mqbVzbr2nS";;@ @ @ @;#;"889632670065410048";https://twitter.com/Yarraslava/status/889632670065410048
SturmKathy;2017-07-24 19:45;0;2;"Ask Sen. Todd Young to join you in this effort. This is needed.";;;;"889632610498039813";https://twitter.com/SturmKathy/status/889632610498039813
subvet_brett;2017-07-24 19:43;0;0;"Such a shame that Marion Co and Chicago South Side has such sway in who represents the real Hoosiers.";;;;"889632049350529025";https://twitter.com/subvet_brett/status/889632049350529025
jesmichaels1;2017-07-24 19:41;0;0;". @ SusanWBrooks @ RepWalorski @ SenToddYoung @ SenDonnelly Indiana! Please shut down this # PuppyMill!pic.twitter.com/cDMBaDGGyh";;@ @ @ @;#;"889631676934094848";https://twitter.com/jesmichaels1/status/889631676934094848
sneakin;2017-07-24 19:40;0;0;"They don't have @ SenDonnelly!? https://twitter.com/ddiamond/status/889625313189269505 …";;@;;"889631464157057024";https://twitter.com/sneakin/status/889631464157057024
tammyguess59;2017-07-24 19:40;0;0;". @ SusanWBrooks @ RepWalorski @ SenToddYoung @ SenDonnelly Indiana! Please shut down this # PuppyMill!pic.twitter.com/pjZ4H4j1jR";;@ @ @ @;#;"889631379390156800";https://twitter.com/tammyguess59/status/889631379390156800
maria_secviar;2017-07-24 19:39;0;3;"Vote NO on Healthcare bill";;;;"889631113152430080";https://twitter.com/maria_secviar/status/889631113152430080
moledwh79;2017-07-24 19:39;0;0;"Thanks for making proposals to try and work with the @ GOP";;@;;"889631073474424832";https://twitter.com/moledwh79/status/889631073474424832
09Markl;2017-07-24 19:33;0;0;"@ SenDonnelly Damn Is there any Democrat whos NOT breaking the law and screwing America?";;@;;"889629597674897409";https://twitter.com/09Markl/status/889629597674897409
Anea4Lorn;2017-07-24 19:33;0;1;"# Mueller must resign! Conflict of interest! @ SenDonnelly @ SpecialReport @ SpeakerRyan @ NRSC";;@ @ @ @;#;"889629527571390466";https://twitter.com/Anea4Lorn/status/889629527571390466
MyTaraarice;2017-07-24 19:32;0;0;"@ SenateDems @ SenateGOP @ SenJeffMerkley @ PattyMurray @ SenatorCardin @ SenDonnelly @ senorrinhatch @ SenToddYoung @ SenCapitohttps://twitter.com/xeni/status/889573254179966976 …";;@ @ @ @ @ @ @ @ @;;"889629360629719041";https://twitter.com/MyTaraarice/status/889629360629719041
mora_stuart;2017-07-24 19:29;0;0;"@ SenToddYoung @ SenDonnelly @ GovHolcomb https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @ @;;"889628540550995968";https://twitter.com/mora_stuart/status/889628540550995968
katie_notkaty;2017-07-24 19:28;0;4;"Thank you, Senator! I hope you can talk some sense into @ SenToddYoung. Hoosiers are counting on you!";;@;;"889628296467673088";https://twitter.com/katie_notkaty/status/889628296467673088
BrianTaxwhiz;2017-07-24 19:23;0;0;"That is the nail on the head";;;;"889627050314792960";https://twitter.com/BrianTaxwhiz/status/889627050314792960
whaehl;2017-07-24 19:17;0;0;"@ SenToddYoung @ SenDonnelly There are just too many unknowns for this MD-please vote NO on healthcare MTP. Get together and fix ACA.";;@ @;;"889625547223052288";https://twitter.com/whaehl/status/889625547223052288
simply_crushed;2017-07-24 19:13;0;0;"@ LillyPad is not his only donor who's in the pharmaceutical business either. He cares about his donors not everyday Hoosiers. It's all talk.";;@;;"889624646345256963";https://twitter.com/simply_crushed/status/889624646345256963
jksunandmoon;2017-07-24 19:13;0;0;"@ SenToddYoung @ SenDonnelly I expect a No vote. # indivisiblehttps://twitter.com/senfranken/status/889573655319064576 …";;@ @;#;"889624636668903424";https://twitter.com/jksunandmoon/status/889624636668903424
simply_crushed;2017-07-24 19:11;0;0;"He rather stand up for his donors like @ LillyPad. Imagine how they would be affected by Hoosiers being able to buy prescriptions elsewhere.";;@;;"889624073214603265";https://twitter.com/simply_crushed/status/889624073214603265
simply_crushed;2017-07-24 19:08;0;0;"Donnelly does NOT stand up for Hoosiers. Do u remember how he voted when it came to Hoosiers getting affordable prescriptions?";;;;"889623369892626432";https://twitter.com/simply_crushed/status/889623369892626432
tomjmac;2017-07-24 19:08;1;2;"Repealing ACA will un-insure tens of millions, including my mom… PLEASE DO NOT DO THIS. # VoteNoBCRA @ SenToddYoung @ SenDonnelly";;@ @;#;"889623243971342337";https://twitter.com/tomjmac/status/889623243971342337
IndGreenParty;2017-07-24 19:05;1;5;"What about the other millions of people who will still not have access to healthcare? What about them?";;;;"889622627316359168";https://twitter.com/IndGreenParty/status/889622627316359168
galemilone;2017-07-24 19:00;1;4;"Stay strong Joe! Thank you. # VoteNoBCRA";;;#;"889621221775732736";https://twitter.com/galemilone/status/889621221775732736
aaronschaler;2017-07-24 18:57;0;0;"Thank you @ SenDonnelly for standing up for Hoosiers when @ GOP does not.https://twitter.com/sendonnelly/status/889603807927316480 …";;@ @;;"889620522056777729";https://twitter.com/aaronschaler/status/889620522056777729
KatherineAFull4;2017-07-24 18:56;0;0;"Please work to protect citizens with pre-existing conditions as well as those for whom medication and testing are essential for survival.";;;;"889620346692829184";https://twitter.com/KatherineAFull4/status/889620346692829184
EllenMorris1222;2017-07-24 18:51;0;0;"Yes this needs passed Under the GOP healthcare plan these office healthcare would be capped";;;;"889618950086066178";https://twitter.com/EllenMorris1222/status/889618950086066178
Mcclaratate;2017-07-24 18:51;0;1;"keep fighting!";;;;"889618947565387779";https://twitter.com/Mcclaratate/status/889618947565387779
