username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rspring72;2017-07-24 19:53;0;0;"@ SenStabenow @ SenGaryPeters @ SenJohnMcCain @ SenateMajLdr @ SenSusanCollins @SenLisaMurkowskihttps://twitter.com/jengranholm/status/889497629612290049 …";;@ @ @ @ @ @SenLisaMurkowskihttps;;"889634627211718657";https://twitter.com/rspring72/status/889634627211718657
EndelmanjJill;2017-07-24 19:46;0;0;"@ SenStabenow @ SenGaryPeters - You voted for this mess!";;@ @;;"889632964006563840";https://twitter.com/EndelmanjJill/status/889632964006563840
vannanancy;2017-07-24 19:39;0;0;"...and @ tedlieu @ SenSchumer ...";;@ @;;"889631149928075264";https://twitter.com/vannanancy/status/889631149928075264
k_dub68;2017-07-24 19:38;0;1;"Do you even know what bill you'll be voting on? Glad my Senators @ SenStabenow and @ SenGaryPeters listen to their constituents.";;@ @;;"889630814417412099";https://twitter.com/k_dub68/status/889630814417412099
mwyattfriss;2017-07-24 19:34;0;0;"Thank you Senator Peters.....please vote no on motion to proceed. # NoRepeal # save our healthcare";;;# #;"889629835403948035";https://twitter.com/mwyattfriss/status/889629835403948035
ScottBritton13;2017-07-24 19:31;0;0;"Please stress FIXING OBAMACARE while there! Good luck!";;;;"889629231902273537";https://twitter.com/ScottBritton13/status/889629231902273537
61SummerLives;2017-07-24 19:30;0;0;"@ SenGaryPeters REPEAL!";;@;;"889628928066936833";https://twitter.com/61SummerLives/status/889628928066936833
sk_omis;2017-07-24 19:27;0;0;"Get @ SenStabenow out! We want to # MAGA and we can't do it with liberal agendas from @ SenStabenow or @ SenGaryPeters https://twitter.com/terrebehlog/status/889470630944530432 …";;@ @ @;#;"889628222694055937";https://twitter.com/sk_omis/status/889628222694055937
BarbaraAnnEtter;2017-07-24 19:22;0;0;"@ SenGaryPeters President said to do the right thing, do the right thing for the people, vote no on repeal and replace. Fix the ACA instead";;@;;"889626992903147520";https://twitter.com/BarbaraAnnEtter/status/889626992903147520
DolioJ;2017-07-24 19:22;0;1;"Outsourcing occurred during the last administration. What did you do to stop it? Nothing.";;;;"889626787906453506";https://twitter.com/DolioJ/status/889626787906453506
kate0range;2017-07-24 19:16;0;1;"pre-thank you to @ SenGaryPeters and @ SenStabenow for voting no tomorrow. not sure what bill they're voting on, but guessing it's not good.";;@ @;;"889625243249246210";https://twitter.com/kate0range/status/889625243249246210
northvilledems;2017-07-24 19:13;1;2;"We need you @ SenStabenow @ SenGaryPeters save health care. Out of state followers please call your senators. # SaveOurCare";;@ @;#;"889624521904455681";https://twitter.com/northvilledems/status/889624521904455681
AVZejnati;2017-07-24 19:12;1;4;"I made # MyGLPromise @http://bit.ly/myglpromise . @ Aquavate @ greatlakescribe @ InfoSuperior_ @ SenGaryPeters what's ur promise? # swimdrinkfish";;@http @ @ @ @;# #;"889624254240706560";https://twitter.com/AVZejnati/status/889624254240706560
retselyrag;2017-07-24 19:07;0;0;"Why isn't health care priority? Are you one of republicans out to destroy our President Trump and USA?";;;;"889623085435031557";https://twitter.com/retselyrag/status/889623085435031557
michresister;2017-07-24 19:01;1;0;"@ SenGaryPeters Keep fighting! No Trumpcare! I support you and appreciate you standing up for Michigan citizens. # NoTrumpCare # Impeach";;@;# #;"889621533387350016";https://twitter.com/michresister/status/889621533387350016
johnsonjcj;2017-07-24 18:39;0;0;"@ SenStabenow @ SenGaryPeters @ RepFredUpton VOTE NO on TrumpNoCare & on ACA Repeal!!!";;@ @ @;;"889616112991784960";https://twitter.com/johnsonjcj/status/889616112991784960
KurtBPT;2017-07-24 18:35;0;0;"@ RepPaulMitchell @ SenStabenow @ SenGaryPeters Repeal and Replacement of the # ACA is going to harm thousands of Michiganders. Please vote NO!";;@ @ @;#;"889615129876340736";https://twitter.com/KurtBPT/status/889615129876340736
AltAnalyst;2017-07-24 18:35;0;0;"Protect 1A! @ RonPaul @ RandPaul @ tedcruz @ julianassange @ realDonaldTrump @ WhiteHouse";;@ @ @ @ @ @;;"889615025907924993";https://twitter.com/AltAnalyst/status/889615025907924993
Brandenbee;2017-07-24 18:34;0;1;"When are either of you holding town halls? Do you sponsor or co-sponsor a # SinglePayer healthcare bill? How much $ is # BigPharma giving you?";;;# #;"889614908106715141";https://twitter.com/Brandenbee/status/889614908106715141
bgeorge_c;2017-07-24 18:30;0;0;"@ TomPerez @ SenStabenow @ SenGaryPeters https://twitter.com/bgeorge_c/status/889613675140657153 …";;@ @ @;;"889613822700466176";https://twitter.com/bgeorge_c/status/889613822700466176
lindaz333;2017-07-24 18:20;0;0;"@ SenGaryPeters This GOP "healthcare" bill is a joke. Voting yes on a POS bill that got slapped together and impacts every citizen is wrong.";;@;;"889611264397279234";https://twitter.com/lindaz333/status/889611264397279234
annaleclaire;2017-07-24 18:17;0;0;"Slave labor?";;;;"889610620512854016";https://twitter.com/annaleclaire/status/889610620512854016
CassidyTiffani;2017-07-24 17:55;0;1;"Bill Nelson went from being a champion & honest, to being a total douche within 20 years. What happened?";;;;"889605035029659648";https://twitter.com/CassidyTiffani/status/889605035029659648
kimberlymontse1;2017-07-24 17:52;1;3;"We need to # VoteThemOut All of them";;;#;"889604317149376512";https://twitter.com/kimberlymontse1/status/889604317149376512
MarikaBlog12;2017-07-24 17:50;0;0;"NO on bills that threaten ESA by permanently delisting wolves, precluding judicial review. Dangerous! @ SenGaryPeters pic.twitter.com/PQAtDdsYaK";;@;;"889603684916711424";https://twitter.com/MarikaBlog12/status/889603684916711424
charlielangton;2017-07-24 17:48;1;3;"In Washington talking healthcare and the upcoming vote, with @ SenGaryPeters @ FOX2News @ WWJ950pic.twitter.com/6IfMvmmVza";;@ @ @;;"889603278606147584";https://twitter.com/charlielangton/status/889603278606147584
ddamusis;2017-07-24 17:41;0;0;"Enhance the Affordable Care Act to meet the needs of the people not Trump, @ SenGaryPeters, @ SenStabenow. Vote 'no' on # Obamacare repeal.";;@ @;#;"889601526032990209";https://twitter.com/ddamusis/status/889601526032990209
BarbaraGalecki;2017-07-24 17:37;0;1;"...and grifting. Don't forget the grifting..";;;;"889600372301590529";https://twitter.com/BarbaraGalecki/status/889600372301590529
SaysEdwina;2017-07-24 17:35;0;3;"I am a Michigan Voter. If you are granted a meeting it MUST include #45 & Family following the rules & brings their own companies back to US";;;#45;"889599839952134145";https://twitter.com/SaysEdwina/status/889599839952134145
BarbaraGalecki;2017-07-24 17:35;0;0;"I bet you will never get that meeting with Trump....unless you like to play golf on weekends. Good luck.";;;;"889599839083921408";https://twitter.com/BarbaraGalecki/status/889599839083921408
vikingmother123;2017-07-24 17:33;0;1;"So proud of our MI Senators!!!";;;;"889599396807135232";https://twitter.com/vikingmother123/status/889599396807135232
CycLiszt;2017-07-24 17:31;0;1;"Hopefully he can stop golfing, tweeting and watching Fox long enough to listen.";;;;"889598971475357702";https://twitter.com/CycLiszt/status/889598971475357702
browntailedhawk;2017-07-24 17:29;0;0;"Let's see if he's for real! I obviously he knows jackshit about manufacturing and unions! All he knows is NYC zoning and licensing shit!";;;;"889598482369171456";https://twitter.com/browntailedhawk/status/889598482369171456
SenStabenow;2017-07-24 17:27;15;65;"@ SenGaryPeters & I requested a mtg w/Trump to discuss supporting manufacturers. Let's work to end outsourcing & implement Buy American laws! https://twitter.com/mlive/status/889089668100362240 …";;@;;"889598019951366145";https://twitter.com/SenStabenow/status/889598019951366145
ddamusis;2017-07-24 17:24;0;0;"I and Your constituents are depending on you, @ SenGaryPeters. Vote 'no' on # Obamacare repeal.";;@;#;"889597278444564481";https://twitter.com/ddamusis/status/889597278444564481
ddamusis;2017-07-24 17:24;0;0;"I and Your constituents are depending on you, @ SenGaryPeters, @ SenStabenow. Vote 'no' on # Obamacare repeal.";;@ @;#;"889597110529785856";https://twitter.com/ddamusis/status/889597110529785856
CristalBaby;2017-07-24 17:23;0;0;"Can you share the link to read about this plz";;;;"889596893608783872";https://twitter.com/CristalBaby/status/889596893608783872
Bardswan;2017-07-24 17:21;0;2;"Call anyways and have your opinion counted.";;;;"889596362857168897";https://twitter.com/Bardswan/status/889596362857168897
gremlinperson;2017-07-24 17:18;0;0;"Are they republicans?";;;;"889595771980578817";https://twitter.com/gremlinperson/status/889595771980578817
lnelsonspielman;2017-07-24 17:06;1;2;"Your constituents are depending on you, @ SenGaryPeters @ SenStabenow. Vote 'no' on # Obamacare repeal.";;@ @;#;"889592751746109444";https://twitter.com/lnelsonspielman/status/889592751746109444
Lisa_Babcock517;2017-07-24 17:04;0;0;"@ SenGaryPeters & @ SenStabenow THANK YOU for protecting constits & Obamacare. The nightmare = @ POTUS 's corruption, # Trumpcare # TrumpRussia.https://twitter.com/WhiteHouse/status/889579712124788736 …";;@ @ @;# #;"889592065318932481";https://twitter.com/Lisa_Babcock517/status/889592065318932481
tobybuckwyler;2017-07-24 16:59;1;1;"They should all be Primaried for trying to implement fascist doctrine? This and many other Discretions.";;;;"889590932466577408";https://twitter.com/tobybuckwyler/status/889590932466577408
babs2122;2017-07-24 16:54;0;0;"That's fantastic! My dad used the GI Bill after WWII. Just wanted to remind you to vote no on the healthcare bill that McConnell plans.";;;;"889589593779163136";https://twitter.com/babs2122/status/889589593779163136
502_BadPolitics;2017-07-24 16:50;0;1;"And goals slipped in the back of other irrelevant (to them) bills that others want to see passed for good or bad.";;;;"889588532767076352";https://twitter.com/502_BadPolitics/status/889588532767076352
PascoRevolution;2017-07-24 16:46;0;0;"LeeCamp: MalkaBeth SenatorCardin SenBillNelson SenatorMenendez SenBlumenthal SenGaryPeters … https://twitter.com/i/web/status/889586422885339136 …";;;;"889587513085612032";https://twitter.com/PascoRevolution/status/889587513085612032
MalkaBeth;2017-07-24 16:44;0;3;"I agree its unconstitutional,but so were the laws passed against it more than 30 years ago.I read that article,all seem2 be missing context.";;;;"889587214497304578";https://twitter.com/MalkaBeth/status/889587214497304578
LeeCamp;2017-07-24 16:41;10;14;"https://theintercept.com/2017/07/19/u-s-lawmakers-seek-to-criminally-outlaw-support-for-boycott-campaign-against-israel/ … Whether or not you support the Palestinian led boycott, a bill making boycotting illegal is unconstitutional.";;;;"889586422885339136";https://twitter.com/LeeCamp/status/889586422885339136
MalkaBeth;2017-07-24 16:39;0;0;"But bc it seems like folks are fighting a war criminal government in Israel& to others it's "Jews are evil" its magnifying messes cluelessly";;;;"889585962044534784";https://twitter.com/MalkaBeth/status/889585962044534784
MalkaBeth;2017-07-24 16:37;0;0;"Thing with this though is its clearly targeting one group out&wrongly, Israeli good boycotts mostly hurt Palestinian day laborers.";;;;"889585421440737280";https://twitter.com/MalkaBeth/status/889585421440737280
andreastruble02;2017-07-24 16:37;0;0;"Build the Wall President Trump make sure money is in bank construct @ RepFredUpton @sendebbiesmith @ SenGaryPeters https://www.votervoice.net/mobile/ACTforAmerica/Campaigns/53650/Respond?unregistered=CMU6SlqfXpTGBkyPtEU9bg …";;@ @sendebbiesmith @;;"889585345444159489";https://twitter.com/andreastruble02/status/889585345444159489
PascoRevolution;2017-07-24 16:36;0;0;"LeeCamp: marmarshall88 SenatorCardin SenBillNelson SenatorMenendez SenBlumenthal SenGaryPeters SenGillibrand… https://twitter.com/i/web/status/889584229847359488 …";;;;"889585011564974080";https://twitter.com/PascoRevolution/status/889585011564974080
PascoRevolution;2017-07-24 16:36;0;0;"LeeCamp: MalkaBeth SenatorCardin SenBillNelson SenatorMenendez SenBlumenthal SenGaryPeters Israel Anti-Boycott Act (S. 720)";;;;"889585009971138561";https://twitter.com/PascoRevolution/status/889585009971138561
