username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DebGumbley;2017-07-24 19:34;0;0;"@ SenWhitehouse No longer live in RI,but am proud to be from there. I know late Sen. John Chaffee would be the spine Repubs need";;@;;"889629772032204800";https://twitter.com/DebGumbley/status/889629772032204800
MorrisonRP;2017-07-24 19:30;1;2;"Senators this vote is not on "healthcare" # TrumpCare is a massive tax cut for the wealthiest. Please # ProtectOurCare children, elderly. # ACA";;;# # #;"889628811960217601";https://twitter.com/MorrisonRP/status/889628811960217601
ncrainbowgrrl;2017-07-24 19:03;0;0;"Thank you, @ SenJackReed . Watching you on . @ cspan";;@ @;;"889622201632215042";https://twitter.com/ncrainbowgrrl/status/889622201632215042
SNFenlon;2017-07-24 19:00;1;1;". @ SenJackReed "They've had more than 7 years to come up with a replacement without any success" @ abc6";;@ @;;"889621417695862784";https://twitter.com/SNFenlon/status/889621417695862784
Lisahentschel1;2017-07-24 18:58;0;0;"Maybe some will get jobs in five years if Obamacare care stays 27 million off";;;;"889620772142149633";https://twitter.com/Lisahentschel1/status/889620772142149633
SNFenlon;2017-07-24 18:57;0;0;". @ SenJackReed - 22 million Americans would lose coverage @ abc6";;@ @;;"889620618794151936";https://twitter.com/SNFenlon/status/889620618794151936
SNFenlon;2017-07-24 18:52;2;1;"HAPPENING NOW: @ SenJackReed speaking about # Healthcare on Senate floorpic.twitter.com/FNg75RWAkm";;@;#;"889619404727754753";https://twitter.com/SNFenlon/status/889619404727754753
OicOzzie;2017-07-24 18:49;0;2;"TRUMP does not care.";;;;"889618529728823298";https://twitter.com/OicOzzie/status/889618529728823298
NBlard;2017-07-24 18:20;0;0;"@ SenJackReed Here are 95 reasons why RI families and economy needs real health care plan not tax cut to rich. http://bit.ly/95Stories pic.twitter.com/eYFRmZjlYX";;@;;"889611259662012417";https://twitter.com/NBlard/status/889611259662012417
AltThisMoFo;2017-07-24 18:07;0;0;"WTF How come none of these trump appointees can stay in DC & do their job! @ SenAngusKing @ SenatorCollins @ PattyMurray @ SenJackReed https://twitter.com/ProPublica/status/889606145400242176 …";;@ @ @ @;;"889608079066750976";https://twitter.com/AltThisMoFo/status/889608079066750976
AltThisMoFo;2017-07-24 18:01;0;0;"This administration is quickly deconstructing our democracy, plz do something! @ SenAngusKing @ PattyMurray @ SenJackReed @ SenatorCollinshttps://twitter.com/Amy_Siskind/status/889289953947111425 …";;@ @ @ @;;"889606383708065792";https://twitter.com/AltThisMoFo/status/889606383708065792
MarikaBlog12;2017-07-24 17:50;0;0;"Wolves are NOT a bargaining chip! NO to any bill delisting them or undercutting ESA pic.twitter.com/QDvP5WoXo1 @ SenJackReed @ SenWhitehouse";;@ @;;"889603746606587904";https://twitter.com/MarikaBlog12/status/889603746606587904
Onegreystray;2017-07-24 17:33;0;0;"Pls OPPOSE @ Interior's anti-wolf riders! http://action.biologicaldiversity.org/o/2167/p/dia/action4/common/public/?action_KEY=17687#.WXZlVpHqEIU.twitter … @ senatorleahy @ SenJackReed @ jontester @ SenJeffMerkley @ ChrisVanHollen";;@ @ @ @ @ @;#;"889599335058616322";https://twitter.com/Onegreystray/status/889599335058616322
howagreg;2017-07-24 16:37;0;0;"@ SenJackReed I know you'll vote no MTP tmrw; please take hard line & object to reconciliation. It's bad policy & undemocratic process! Thx.";;@;;"889585285021016066";https://twitter.com/howagreg/status/889585285021016066
risca1967;2017-07-24 16:31;0;2;"@ SenJackReed visits @ DownCityDesign - says design is important to RI's future. We agree! http://risca.blog/2017/07/24/senator-jack-reed-visits-downcity-design-says-design-is-important-to-ris-future/ …pic.twitter.com/ONp8Dqe7EO";;@ @;;"889583723808780289";https://twitter.com/risca1967/status/889583723808780289
terriecrowley;2017-07-24 16:13;1;2;"@ SenJackReed You MUST Vote NO on the Repeal Bill - It would fiscally Irresponsible - sending 22 million into bankruptcy and foreclosure";;@;;"889579238407495680";https://twitter.com/terriecrowley/status/889579238407495680
MurphyBrwn;2017-07-24 15:52;0;0;". @ RepAdamSmith @ RepSpeier @ HASCRepublicans @ HASCDemocrats @ SenJackReed @ SASCDemshttps://twitter.com/itvnews/status/889553275711881216 …";;@ @ @ @ @ @;;"889574022962348032";https://twitter.com/MurphyBrwn/status/889574022962348032
laurieone;2017-07-24 15:24;0;0;". @ SenJackReed @ SenWhitehouse STOP THIS!!!https://twitter.com/LOLGOP/status/889566342885646337 …";;@ @;;"889566978318499841";https://twitter.com/laurieone/status/889566978318499841
SNFenlon;2017-07-24 15:19;0;0;"Hi Katherine- I'm working on a story about the healthcare vote. Any chance you'd be willing to speak with me. Newsroom #is 4014538044";;;#is;"889565617229115392";https://twitter.com/SNFenlon/status/889565617229115392
Chriss138;2017-07-24 14:00;0;1;"@ SenJackReed Pls oppose DOIs budget req and to kill healthy wild horses for 2018. Wld horses should be on the range Limit livestock instead";;@;;"889545786392027136";https://twitter.com/Chriss138/status/889545786392027136
downcitydesign;2017-07-24 12:47;8;30;"Thanks @ SenJackReed for visiting our youth design programs at PCTA @ pvdschools today! # SummerLearningpic.twitter.com/F3X2xX2HFV";;@ @;#;"889527520273592320";https://twitter.com/downcitydesign/status/889527520273592320
pvdschools;2017-07-24 12:45;2;6;"@ SenJackReed visited with HS students honing their woodworking & design skills through @ downcitydesign at @ PCTAProvidence. # eatplaylearnpvdpic.twitter.com/tR65w4uCqv";;@ @ @;#;"889527076851785728";https://twitter.com/pvdschools/status/889527076851785728
downcitydesign;2017-07-24 12:45;2;6;"Honored by a visit from @ SenJackReed today! Senator Reed was impressed by the models our Design/Build crew created. @ liveunitedri # HSLI17pic.twitter.com/PcMyg5Jt3j";;@ @;#;"889527031310012417";https://twitter.com/downcitydesign/status/889527031310012417
LizziSwick;2017-07-24 11:47;0;0;". @ SenatorCollins @ SenJackReed @ lisamurkowski @ SenatorTester No tax money 4 # horseslaughter Support # UdallGrahamAmendpic.twitter.com/bGe7J2bGHl";;@ @ @ @;# #;"889512492967362560";https://twitter.com/LizziSwick/status/889512492967362560
StopNEDirect;2017-07-24 10:46;0;0;"@ SenWarren @ SenMarkey @ SenSchumer @ SenGillibrand @ SenJackReed @ SenWhitehouse @ SenatorShaheen @ SenatorHassan @ SenAngusKing @ SenatorCollinshttps://twitter.com/plan_ne/status/889493097184456704 …";;@ @ @ @ @ @ @ @ @ @;;"889497078220632064";https://twitter.com/StopNEDirect/status/889497078220632064
frandunn71;2017-07-24 10:40;0;0;"@ SenJackReed. What's the point if NOT under oath?? Don't get it https://twitter.com/jaketapper/status/889172708059205632 …";;@;;"889495522901405697";https://twitter.com/frandunn71/status/889495522901405697
MekoPatricia;2017-07-24 09:50;0;0;"@ SenJackReed Vote No on the Health Care bill";;@;;"889482884452687872";https://twitter.com/MekoPatricia/status/889482884452687872
apd2748;2017-07-24 09:23;0;0;"Something like Obamacare?? Right Jack";;;;"889476218281701376";https://twitter.com/apd2748/status/889476218281701376
BayDynamics;2017-07-24 09:01;0;0;"It’s time for @ SenJackReed Cybersecurity Disclosure Act to take effect @ BobZukis # GotVulnerabilities : http://ow.ly/8Xug30cHLaZ pic.twitter.com/5cGYHBGJx4";;@ @;#;"889470527336853504";https://twitter.com/BayDynamics/status/889470527336853504
ARHorseWarrior;2017-07-24 08:55;0;0;". @ SenatorCollins @ SenJackReed @ lisamurkowski @ SenatorTester No tax money 4 # horseslaughter Support # UdallGrahamAmendpic.twitter.com/uo8aEOPRAM";;@ @ @ @;# #;"889468982809563136";https://twitter.com/ARHorseWarrior/status/889468982809563136
mhancock111;2017-07-24 08:44;0;0;"@ SenJackReed Thank you for helping SAVE THE WILD HORSES & BURROS from slaughter. I'm excited to see a motion that complies with Americans";;@;;"889466194146848769";https://twitter.com/mhancock111/status/889466194146848769
azleemabdulla;2017-07-24 08:15;0;0;"@ IPUparliament @ JamesDauris @ USAmbKeshap @ SENNews @ SenJackReed @ anedhivehirajje @ MDVForeign @ IndianExpresshttps://twitter.com/NewsX/status/889449354901151745 …";;@ @ @ @ @ @ @ @;;"889459022008537088";https://twitter.com/azleemabdulla/status/889459022008537088
drkrispoli;2017-07-24 07:35;0;1;"my Mom (95) waiting for Medicaid to pay for Asstd Liv Costs-how will patients/facilities survive w/o support?";;;;"889448842218930177";https://twitter.com/drkrispoli/status/889448842218930177
MDPsoru;2017-07-24 01:58;0;0;"https://twitter.com/abdulla_shahid/status/889347582207475712 … SenJohnMcCain RandPaul SenateGOP SenatorReid SenBobCorker SenJeffMerkley SenJackReed SenWarren SenSanders";;;;"889364084856172544";https://twitter.com/MDPsoru/status/889364084856172544
almond3131;2017-07-24 01:51;11;5;"https://twitter.com/abdulla_shahid/status/889347582207475712 … @ SenJohnMcCain @ RandPaul @ SenateGOP @ SenatorReid @ SenBobCorker @ SenJeffMerkley @ SenJackReed @ SenWarren @ SenSanders";;@ @ @ @ @ @ @ @ @;;"889362339119546368";https://twitter.com/almond3131/status/889362339119546368
MurphyBrwn;2017-07-24 00:40;0;0;"Hey @ gop, @ potus' great friend,Turkey, Leaked Secret Locations of US Troops in Syria @ RepAdamSmith @ SenJackReed http://thebea.st/2tF5MKl?source=twitter&via=desktop …";;@ @ @ @;;"889344588586110977";https://twitter.com/MurphyBrwn/status/889344588586110977
mcclain89;2017-07-24 00:34;0;0;"i want to thank the leaders of Rhode Island all of the them senate @ GovRaimondo THE CONGRESS MY @ SenJackReed";;@ @;;"889343064170475520";https://twitter.com/mcclain89/status/889343064170475520
Dwanesterrr;2017-07-24 00:02;0;0;"@ SenatorCantwell";;@;;"889334917859074048";https://twitter.com/Dwanesterrr/status/889334917859074048
Dwanesterrr;2017-07-24 00:01;0;0;"@ SenatorHeitkamp @ SenSherrodBrown @ RonWyden @ SenBobCasey @ SenJackReed @ SenWhitehouse @ SenJackReed @ SenWhitehouse @ MarkWarner @ TimKaine";;@ @ @ @ @ @ @ @ @ @;;"889334818705559552";https://twitter.com/Dwanesterrr/status/889334818705559552
MaryTB49;2017-07-23 23:49;0;0;"@ SenJackReed Get some measure on the books that Trump can't pardon himself, family if impeached or they broke law. It's outlandish!!";;@;;"889331701129900032";https://twitter.com/MaryTB49/status/889331701129900032
hebert_my;2017-07-23 22:45;0;0;". @ SenatorCollins @ SenJackReed @ lisamurkowski @ SenatorTester No tax money 4 # horseslaughter Support # UdallGrahamAmendpic.twitter.com/7L3awjuaZg";;@ @ @ @;# #;"889315651193643008";https://twitter.com/hebert_my/status/889315651193643008
iamchristysmith;2017-07-23 22:44;0;0;"WAY ABOVE unearned income guidelines to receive MEDICAID.";;;;"889315200624623616";https://twitter.com/iamchristysmith/status/889315200624623616
