username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Well_Brewed;2017-07-24 19:54;0;0;"@ SenJohnThune The American People will stop you each time. Your elitist cruelty knows no bounds. Shameful https://twitter.com/politico/status/889627533762867205 …";;@;;"889634971924779011";https://twitter.com/Well_Brewed/status/889634971924779011
jimjog5;2017-07-24 19:50;0;0;"@ SenJohnThune Disappointed -why lump countries together for sanctions? Offense different-message is lost. Bills must be <5 pages & 1 topic!";;@;;"889633798194958340";https://twitter.com/jimjog5/status/889633798194958340
CappuccinoThyme;2017-07-24 19:49;0;1;"Definitely!";;;;"889633649452355584";https://twitter.com/CappuccinoThyme/status/889633649452355584
nickolauschat;2017-07-24 19:48;0;0;"Why would you register as a dem?";;;;"889633350700367873";https://twitter.com/nickolauschat/status/889633350700367873
chericirehc;2017-07-24 19:47;0;1;"@ SenJohnThune @ SenatorRounds @RepKristiNoem when r u going 2 do something 2 protect us? Or don't u care they're giving USA away to Russia?https://twitter.com/KeithOlbermann/status/889606381971677184 …";;@ @ @RepKristiNoem;;"889633066548961280";https://twitter.com/chericirehc/status/889633066548961280
Suhalper;2017-07-24 19:46;0;0;"@ SenJohnThune Pleases do not vote yes for the Healthcare which Trump is trying to sneak in while Russia is the distraction. thanks Susan";;@;;"889633028905070592";https://twitter.com/Suhalper/status/889633028905070592
Chasenbryce;2017-07-24 19:42;13;44;"good point Steph, I'm still registered as a Dem even though I don't intend to vote for them. Need to fix that.";;;;"889631954592817153";https://twitter.com/Chasenbryce/status/889631954592817153
im2b;2017-07-24 19:42;0;0;"@ SenJohnMcCain @ marcorubio @ OrrinHatch @ jeffflake @ LindseyGrahamSC @ SenCapito @ SenatorCollins @ robportman @ SpeakerRyan @ SenJohnThune wtf. https://twitter.com/nbcnightlynews/status/889619003068620804 …";;@ @ @ @ @ @ @ @ @ @;;"889631839283011586";https://twitter.com/im2b/status/889631839283011586
tdagostinoinstl;2017-07-24 19:40;0;0;"It would take years to get organized. I'm all for it, but I'm doubtful it can happen in my lifetime.";;;;"889631460910657537";https://twitter.com/tdagostinoinstl/status/889631460910657537
copperdogsd1;2017-07-24 19:39;0;0;"7 years @ SenJohnThune and you still got nothing. I think you lied to us. @ bydanaferguson @ RCJournal @ keloland @ Jvnord @PLalleyShowhttps://twitter.com/politico/status/889627533762867205 …";;@ @ @ @ @ @PLalleyShowhttps;;"889631202365145088";https://twitter.com/copperdogsd1/status/889631202365145088
