username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Allisongk9700;2017-07-24 19:58;0;0;"Sometimes I just want to scream!!!! They are NOT listening & this needs 2 be shared loudly at town halls, in newspapers, where ever it can!";;;;"889635860483907587";https://twitter.com/Allisongk9700/status/889635860483907587
theamazingdud;2017-07-24 19:52;0;1;"And they're not even on the fence about it! Just follow the party line and their big donor masters commands!!!! Aaah!";;;;"889634507040722945";https://twitter.com/theamazingdud/status/889634507040722945
Allisongk9700;2017-07-24 19:52;0;0;"@ ChuckGrassley @ SenJoniErnst WTH???? Is this true???? https://twitter.com/joyannreid/status/889633687125577730 …";;@ @;;"889634352736423937";https://twitter.com/Allisongk9700/status/889634352736423937
5731965i;2017-07-24 19:47;0;1;"Dont forget House Members @ RepRodBlum @ steveking who sold out AARP Members and others. Add @ chuckgrassley and @ SenJoniErnst. https://twitter.com/AARPadvocates/status/889609299122585601 …";;@ @ @ @;;"889633218709815296";https://twitter.com/5731965i/status/889633218709815296
Yarraslava;2017-07-24 19:45;0;0;". @ ChuckGrassley @ SenJoniErnst @ SteveKingIA Iowa! Please shut down these # PuppyMills!pic.twitter.com/4TxMzc4QbE";;@ @ @;#;"889632702147821568";https://twitter.com/Yarraslava/status/889632702147821568
Allisongk9700;2017-07-24 19:44;2;2;"166 GROUPS!!!! @ SenJoniErnst @ ChuckGrassley good lord can it get any clearer???https://twitter.com/civilrightsorg/status/889553618357059584 …";;@ @;;"889632441954172928";https://twitter.com/Allisongk9700/status/889632441954172928
7lifeisart;2017-07-24 19:44;0;1;"Bet you didn't know that the CBO only runs static numbers, not dynamic. Oops. The economy is dynamic. So much for the CBO!";;;;"889632290736930816";https://twitter.com/7lifeisart/status/889632290736930816
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
theamazingdud;2017-07-24 19:42;0;1;"Sweet mother of God! His whole speech...The kids' responses...holy hell!!";;;;"889631887265861632";https://twitter.com/theamazingdud/status/889631887265861632
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Allisongk9700;2017-07-24 19:41;0;0;"This is not hard @ ChuckGrassley @ SenJoniErnst Republicans see it's a disaster too! https://twitter.com/senfranken/status/889573655319064576 …";;@ @;;"889631709804847107";https://twitter.com/Allisongk9700/status/889631709804847107
jesmichaels1;2017-07-24 19:41;0;0;". @ ChuckGrassley @ SenJoniErnst @ SteveKingIA Iowa! Please shut down these # PuppyMills!pic.twitter.com/o08nPWBwMm";;@ @ @;#;"889631701730828290";https://twitter.com/jesmichaels1/status/889631701730828290
tammyguess59;2017-07-24 19:40;0;0;". @ ChuckGrassley @ SenJoniErnst @ SteveKingIA Iowa! Please shut down these # PuppyMills!pic.twitter.com/V2rTFFrl6N";;@ @ @;#;"889631399120175104";https://twitter.com/tammyguess59/status/889631399120175104
pagepford;2017-07-24 19:40;0;0;"@ SenJoniErnst Please vote YES for the health bill. It is a start and better than the failing O Care that is imploding! https://twitter.com/protectcare/status/888425466683674624 …";;@;;"889631359249113090";https://twitter.com/pagepford/status/889631359249113090
Allisongk9700;2017-07-24 19:36;0;0;"@ ChuckGrassley @ SenJoniErnst I hope you realize that many who wanted to repeal Obamacare didn't know it was the same as ACA. VOTE NO";;@ @;;"889630519583002624";https://twitter.com/Allisongk9700/status/889630519583002624
Allisongk9700;2017-07-24 19:35;1;0;"Does this concern anyone?? @ ChuckGrassley @ SenJoniErnst @ RepRodBlum @ RepDavidYounghttps://twitter.com/williamlegate/status/889628888921407489 …";;@ @ @ @;;"889630259120930817";https://twitter.com/Allisongk9700/status/889630259120930817
Lainashome;2017-07-24 19:35;0;0;"5:PLS RT LIST OF SEN REPUBS @SenatorKirk@sentoddyoung@chuckgrassley@SenJoniErnst@JerryMoran@@SenPatRoberts@speakermcconnell@SenatorHeller1";;@SenatorKirk @sentoddyoung @chuckgrassley @SenJoniErnst @JerryMoran @ @SenPatRoberts @speakermcconnell @SenatorHeller1;;"889630085128622081";https://twitter.com/Lainashome/status/889630085128622081
emilyholley;2017-07-24 19:32;0;0;"@ SenJoniErnst please vote no on # trumpcare. Americans deserve to know everything in the bill BEFORE it becomes law. # Healthcare";;@;# #;"889629461167079427";https://twitter.com/emilyholley/status/889629461167079427
jensuebar;2017-07-24 19:29;0;1;"Just called @ SenJoniErnst and @ ChuckGrassley, both straight to VM. Asked to vote no on MTP, give all a chance to review & give feedback.";;@ @;;"889628576399716354";https://twitter.com/jensuebar/status/889628576399716354
commentoniowa;2017-07-24 19:24;0;0;"@ ChuckGrassley @ SenJoniErnst Cabinet Sec spends 42 wrkdays in 5mo out at home in OK? @ EPA @ ScottPruittOK Pi$$ poor mgmt Doesn't deserve post";;@ @ @ @;;"889627284201758721";https://twitter.com/commentoniowa/status/889627284201758721
Allisongk9700;2017-07-24 19:20;0;0;"@ ChuckGrassley @ SenJoniErnst @ SenatorCollins @ lisamurkowski @ JeffFlake @ SenCapito older Americans deserve better than THIS bill. https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @ @ @ @ @;;"889626252788760576";https://twitter.com/Allisongk9700/status/889626252788760576
AsLongAsILaugh;2017-07-24 19:19;0;3;"I just called @ SenJoniErnst and @ ChuckGrassley and let them know my position is # NoRepeal of the ACA and to only replace with # SinglePayer";;@ @;# #;"889626132865310720";https://twitter.com/AsLongAsILaugh/status/889626132865310720
MomCourager;2017-07-24 19:12;0;0;"@ realDonaldTrump @ mikepence @ GOP @ SenateMajLdr @ RandPaul @ ChuckGrassley @ SenTedCruz @ SenJoniErnst https://twitter.com/RandPaul/status/889529767162241024 …";;@ @ @ @ @ @ @ @;;"889624265703772164";https://twitter.com/MomCourager/status/889624265703772164
Allisongk9700;2017-07-24 19:10;1;1;"@ ChuckGrassley @ SenJoniErnst @ lisamurkowski @ SenCapito @ SenatorCollins Please vote No........https://twitter.com/ladyhawkerfinds/status/889620315650887682 …";;@ @ @ @ @;;"889623754527166465";https://twitter.com/Allisongk9700/status/889623754527166465
LOD2EOL;2017-07-24 19:03;0;0;"Take it to the bank @ ChuckGrassley @ SenJoniErnst @ TGowdySC @ SpeakerRyan @ SenateMajLdrhttps://twitter.com/lrihendry/status/889611849876070405 …";;@ @ @ @ @;;"889622155247353857";https://twitter.com/LOD2EOL/status/889622155247353857
Allisongk9700;2017-07-24 19:00;0;0;"What else can be said to get you to see this is NOT a good bill??? @ ChuckGrassley @ SenJoniErnst this really is a no brainer. VOTE NO https://twitter.com/chrismurphyct/status/889528975432798209 …";;@ @;;"889621426092814336";https://twitter.com/Allisongk9700/status/889621426092814336
ClayPasqual;2017-07-24 18:55;0;0;"Call Now and again tomorrow! Senator Joni Ernst: 202 224 3254 Senator Chuck Grassley: 202 224 3744 Other Senators: 202 224 3121";;;;"889620037975375874";https://twitter.com/ClayPasqual/status/889620037975375874
ClayPasqual;2017-07-24 18:53;0;1;"Called @ ChuckGrassley and @ SenJoniErnst this afternoon to tell them to vote NO on # Trumpcare tomorrow. # RejectTrumpcare # SaveObamacare";;@ @;# # #;"889619481256964097";https://twitter.com/ClayPasqual/status/889619481256964097
