username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kellyg1160;2017-07-24 19:59;4;2;"Attn @ senorrinhatch @ SenMikeLee @ SenateGOP @ realDonaldTrumphttps://twitter.com/aarpadvocates/status/889609299122585601 …";;@ @ @ @;;"889636136490065922";https://twitter.com/kellyg1160/status/889636136490065922
partyofthepeopl;2017-07-24 19:57;0;0;"";;;;"889635557533417472";https://twitter.com/partyofthepeopl/status/889635557533417472
EllenMorris1222;2017-07-24 19:56;0;3;"Your tax payer healthcare will not be taken or capped I get to pay for your healthcare while I will be able to afford any for my self";;;;"889635487970979840";https://twitter.com/EllenMorris1222/status/889635487970979840
EllenMorris1222;2017-07-24 19:54;0;4;"Hatch has no shame at all";;;;"889634805050208256";https://twitter.com/EllenMorris1222/status/889634805050208256
integrity4USA;2017-07-24 19:53;0;1;"@ GOP @ HouseGOP @ SenateGOP =gov't of Putin save#ACA#KilltheBill";;@ @ @;#ACA #KilltheBill;"889634766861074435";https://twitter.com/integrity4USA/status/889634766861074435
Rickwritesnow;2017-07-24 19:52;0;1;"You haven't read the bill, you don't know what's in the bill, but you're voting for the bill. WHAT THE HELL IS WRONG WITH YOU";;;;"889634476006940672";https://twitter.com/Rickwritesnow/status/889634476006940672
PsychoPompMama;2017-07-24 19:52;0;1;"NO!!!! WE DONT!!!";;;;"889634394318802944";https://twitter.com/PsychoPompMama/status/889634394318802944
NymanShelley;2017-07-24 19:52;0;0;"@ senmikelee @ senorrinhatch @ GovHerbert @ utahgop @ gop billionaires and homeless.....remember the French revolution......https://twitter.com/SenSanders/status/889563923816513536 …";;@ @ @ @ @;;"889634359459938308";https://twitter.com/NymanShelley/status/889634359459938308
__ohdear__;2017-07-24 19:50;0;1;"Wasn't able to get through to your SLC office today ... day off? ... bad timing with the vote. (Not a federal holiday. Lots of us worked.)";;;;"889633950578114560";https://twitter.com/__ohdear__/status/889633950578114560
MelodyStar3;2017-07-24 19:48;0;1;"Sure wish I lived in a state that calling my senator to oppose an ACA repeal would matter even in the slightest @ senorrinhatch @ SenMikeLee";;@ @;;"889633534201167873";https://twitter.com/MelodyStar3/status/889633534201167873
magita629;2017-07-24 19:48;0;1;"Liars, despicable excuses for men, we will never forget what you are doing # Traitors # PutinTrump # YourDayWillCome";;;# # #;"889633342668386310";https://twitter.com/magita629/status/889633342668386310
hollybullockmph;2017-07-24 19:48;0;8;"Dear @ senorrinhatch- your voicemail is full! # OBGYNs know & have better health access with # essentialbenefits of ACA. # RejectTheRepeal";;@;# # #;"889633334887952385";https://twitter.com/hollybullockmph/status/889633334887952385
PhilipRamageII;2017-07-24 19:47;0;2;"pic.twitter.com/MVVrXBuDu1";;;;"889633245930942464";https://twitter.com/PhilipRamageII/status/889633245930942464
__ohdear__;2017-07-24 19:47;0;0;". @ senorrinhatch looked like he was indoctrinating the kiddos, too, based on his twitter feed.";;@;;"889633161650491392";https://twitter.com/__ohdear__/status/889633161650491392
madalenamcneil;2017-07-24 19:47;0;1;"pic.twitter.com/E6IttHFEyf";;;;"889633123973169152";https://twitter.com/madalenamcneil/status/889633123973169152
M_COVFEFE;2017-07-24 19:46;0;0;"# liberalsAreLiars We need to get rid of Obamacare now!pic.twitter.com/pmCJsmXDvO";;;#;"889632982662733824";https://twitter.com/M_COVFEFE/status/889632982662733824
__ohdear__;2017-07-24 19:46;0;4;"What bill? As far as I've heard, no one's even seen the thing yet. Y'all are an irresponsible pack of hypocrites.";;;;"889632880292491264";https://twitter.com/__ohdear__/status/889632880292491264
PhilipRamageII;2017-07-24 19:46;0;1;"Old fool! # retirementcalls";;;#;"889632848411586561";https://twitter.com/PhilipRamageII/status/889632848411586561
SRTOutdoors;2017-07-24 19:45;0;0;"NGO's, an American curse. @ SenMikeLee @ RepGosar @ RepChrisStewart @ senorrinhatch pic.twitter.com/TzLsqWwp37";;@ @ @ @;;"889632628315435013";https://twitter.com/SRTOutdoors/status/889632628315435013
senorrinhatch;2017-07-24 19:45;0;17;"Happy to join my fellow Utahns in celebrating Pioneer Day! # utpolpic.twitter.com/hLu7t2cdOO";;;#;"889632559344177152";https://twitter.com/senorrinhatch/status/889632559344177152
integrity4USA;2017-07-24 19:41;1;6;"Please save#ACA # KillTheBill";;;#ACA #;"889631727198523392";https://twitter.com/integrity4USA/status/889631727198523392
senorrinhatch;2017-07-24 19:40;2;8;"@ VP Pence to @ KUTV2news last week: "We're calling on every member of the Senate to begin the debate to repeal and replace Obamacare." # utpolpic.twitter.com/5xPBOmiuKE";;@ @;#;"889631413292724224";https://twitter.com/senorrinhatch/status/889631413292724224
OnRoute6;2017-07-24 19:37;4;18;"I support the effort to remove our unhinged @ POTUS under the 25th Amendment. That speech to the Boy Scouts was appalling. Shame, senator.";;@;;"889630593092333571";https://twitter.com/OnRoute6/status/889630593092333571
WMC_Caucus;2017-07-24 19:37;0;0;"We voted to # RepealObamacare ONLY! No Replace! The private sector will replace more efficiently and cost effectively than government! # utpol";;;# #;"889630538822275083";https://twitter.com/WMC_Caucus/status/889630538822275083
lsheresists;2017-07-24 19:36;0;1;"A fair and lengthy debate, or just a minimal going through the motions debate? Big difference.";;;;"889630330403123206";https://twitter.com/lsheresists/status/889630330403123206
magita629;2017-07-24 19:35;0;0;"No We do not # PutinTrump";;;#;"889630219186962432";https://twitter.com/magita629/status/889630219186962432
Rheajane;2017-07-24 19:34;0;0;"@ senorrinhatch Vote NO on Trumpcare! Preserve my Healthcare Please!";;@;;"889629954027040768";https://twitter.com/Rheajane/status/889629954027040768
senorrinhatch;2017-07-24 19:34;39;77;"If you support the effort to repeal and replace Obamacare, it's time to show it by voting to allow a debate on the Senate floor. # utpolpic.twitter.com/c4kWLsHVqq";;;#;"889629914797928448";https://twitter.com/senorrinhatch/status/889629914797928448
