username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rspring72;2017-07-24 19:53;0;0;"@ SenStabenow @ SenGaryPeters @ SenJohnMcCain @ SenateMajLdr @ SenSusanCollins @SenLisaMurkowskihttps://twitter.com/jengranholm/status/889497629612290049 …";;@ @ @ @ @ @SenLisaMurkowskihttps;;"889634627211718657";https://twitter.com/rspring72/status/889634627211718657
susu1954;2017-07-24 19:46;0;0;"Not what little kids should be doing during summer vacation - Dems have no boundaries on who they will use! Appalling exploitation!";;;;"889632992792064004";https://twitter.com/susu1954/status/889632992792064004
EndelmanjJill;2017-07-24 19:46;0;0;"@ SenStabenow @ SenGaryPeters - You voted for this mess!";;@ @;;"889632964006563840";https://twitter.com/EndelmanjJill/status/889632964006563840
rspring72;2017-07-24 19:44;0;0;"This is too important to let down our guard for a moment! # trumpcareisnt";;;#;"889632327143444480";https://twitter.com/rspring72/status/889632327143444480
DolioJ;2017-07-24 19:43;0;0;"Why didn't any of you work for us when ObamaCare was shoved down our throats?";;;;"889632111057133569";https://twitter.com/DolioJ/status/889632111057133569
susu1954;2017-07-24 19:41;0;0;"Exploiting young children is really disgusting! Let them be carefree not filled up with Dem propaganda - how low can Dems sink to use kids!";;;;"889631770005688324";https://twitter.com/susu1954/status/889631770005688324
FarmFairyCrafts;2017-07-24 19:39;0;0;"PESTICIDES & CANCER via @ NatGeo http://news.nationalgeographic.com/2016/02/160223-photograph-aixa-argentina-avia-terai-pesticides-glyphosate/ … https://archive.is/ba1wq @ SenPatRoberts @ SenStabenow @ EWGpic.twitter.com/BVuiHRhJHc";;@ @ @ @;;"889631103392329729";https://twitter.com/FarmFairyCrafts/status/889631103392329729
k_dub68;2017-07-24 19:38;0;1;"Do you even know what bill you'll be voting on? Glad my Senators @ SenStabenow and @ SenGaryPeters listen to their constituents.";;@ @;;"889630814417412099";https://twitter.com/k_dub68/status/889630814417412099
woodra;2017-07-24 19:33;1;1;"I do what any parent would do. I just happen to be in the position where it needs to be done.";;;;"889629525520371712";https://twitter.com/woodra/status/889629525520371712
ScottBritton13;2017-07-24 19:31;0;0;"Please stress FIXING OBAMACARE while there! Good luck!";;;;"889629231902273537";https://twitter.com/ScottBritton13/status/889629231902273537
61SummerLives;2017-07-24 19:30;0;0;"@ SenStabenow REPEAL!";;@;;"889629012187906049";https://twitter.com/61SummerLives/status/889629012187906049
mwyattfriss;2017-07-24 19:30;0;0;"Thank you Senator!!!!";;;;"889628946819690498";https://twitter.com/mwyattfriss/status/889628946819690498
sk_omis;2017-07-24 19:27;0;0;"Get @ SenStabenow out! We want to # MAGA and we can't do it with liberal agendas from @ SenStabenow or @ SenGaryPetershttps://twitter.com/terrebehlog/status/889470630944530432 …";;@ @ @;#;"889628222694055937";https://twitter.com/sk_omis/status/889628222694055937
GhostlyRiderBeo;2017-07-24 19:24;0;0;"Using children to push your # propaganda - # Disgraceful";;;# #;"889627484647546883";https://twitter.com/GhostlyRiderBeo/status/889627484647546883
DolioJ;2017-07-24 19:22;0;1;"Outsourcing occurred during the last administration. What did you do to stop it? Nothing.";;;;"889626787906453506";https://twitter.com/DolioJ/status/889626787906453506
DBPGL;2017-07-24 19:19;0;0;"@ SenStabenow Please don't give our voters information to the President. Don't allow him to bully us!!";;@;;"889626197713440769";https://twitter.com/DBPGL/status/889626197713440769
kate0range;2017-07-24 19:16;0;1;"pre-thank you to @ SenGaryPeters and @ SenStabenow for voting no tomorrow. not sure what bill they're voting on, but guessing it's not good.";;@ @;;"889625243249246210";https://twitter.com/kate0range/status/889625243249246210
northvilledems;2017-07-24 19:13;1;2;"We need you @ SenStabenow @ SenGaryPeters save health care. Out of state followers please call your senators. # SaveOurCare";;@ @;#;"889624521904455681";https://twitter.com/northvilledems/status/889624521904455681
michresister;2017-07-24 19:04;0;0;"@ SenStabenow Keep fighting! No Trumpcare! I support you and appreciate you standing up for Michigan citizens. # NoTrumpCare # gotyourback";;@;# #;"889622282049654784";https://twitter.com/michresister/status/889622282049654784
esorruzam;2017-07-24 18:45;0;0;"Clearly, these are not the same kids . @ POTUS was telling that # Obamacare will kill them!";;@;#;"889617470461497349";https://twitter.com/esorruzam/status/889617470461497349
AllRepublicans;2017-07-24 18:41;1;0;". @ SenSchumer feeding @ SenStabenow the # CrookedHillary of why she is not "50 points ahead"! # Michigan # KidRock4Senate # MAGA # TrumpTrainhttps://twitter.com/KidRock/status/888502179098656769 …";;@ @;# # # # #;"889616457281175552";https://twitter.com/AllRepublicans/status/889616457281175552
h_lkmv;2017-07-24 18:40;0;0;"Thank gosh";;;;"889616419645730817";https://twitter.com/h_lkmv/status/889616419645730817
DeplorableMI;2017-07-24 18:40;0;0;"pic.twitter.com/CxgRmKQ1FO";;;;"889616281535729664";https://twitter.com/DeplorableMI/status/889616281535729664
johnsonjcj;2017-07-24 18:39;0;0;"@ SenStabenow @ SenGaryPeters @ RepFredUpton VOTE NO on TrumpNoCare & on ACA Repeal!!!";;@ @ @;;"889616112991784960";https://twitter.com/johnsonjcj/status/889616112991784960
ElizabethEftfmd;2017-07-24 18:38;0;2;"@ SpeakerRyan How can you call yourself a Christian and vote against these children along with millions of Americans? U should support HR676!";;@;;"889615872905576448";https://twitter.com/ElizabethEftfmd/status/889615872905576448
angryfnp;2017-07-24 18:37;0;0;"Kid Rock...";;;;"889615629438922753";https://twitter.com/angryfnp/status/889615629438922753
KurtBPT;2017-07-24 18:35;0;0;"@ RepPaulMitchell @ SenStabenow @ SenGaryPeters Repeal and Replacement of the # ACA is going to harm thousands of Michiganders. Please vote NO!";;@ @ @;#;"889615129876340736";https://twitter.com/KurtBPT/status/889615129876340736
Brandenbee;2017-07-24 18:34;0;1;"When are either of you holding town halls? Do you sponsor or co-sponsor a # SinglePayer healthcare bill? How much $ is # BigPharma giving you?";;;# #;"889614908106715141";https://twitter.com/Brandenbee/status/889614908106715141
ljk48189;2017-07-24 18:31;0;0;"Keep fighting for us. Don't give up.";;;;"889614031690006529";https://twitter.com/ljk48189/status/889614031690006529
bgeorge_c;2017-07-24 18:30;0;0;"@ TomPerez @ SenStabenow @ SenGaryPetershttps://twitter.com/bgeorge_c/status/889613675140657153 …";;@ @ @;;"889613822700466176";https://twitter.com/bgeorge_c/status/889613822700466176
Sailboat31;2017-07-24 18:22;0;1;"Gotta throw in @ SenStabenow Schumer's clown side kick. @ KidRock will win in 2018. # maga # DrainTheSwamp https://twitter.com/jason_toronto/status/889608890756857856 …";;@ @;# #;"889611845761470466";https://twitter.com/Sailboat31/status/889611845761470466
LittleLobbyists;2017-07-24 18:19;39;115;""We're fighting for you." - thank you @ SenStabenow and @ ChrisVanHollenpic.twitter.com/J2lvUENqNV";;@ @;;"889611144863809536";https://twitter.com/LittleLobbyists/status/889611144863809536
