username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kristhecoltsfan;2017-07-24 19:59;0;0;"@ SenToddYoung # VoteNo to the health care bill.";;@;#;"889636309186359298";https://twitter.com/kristhecoltsfan/status/889636309186359298
melaniefeelgood;2017-07-24 19:56;0;0;"Maybe @ SenToddYoung hasn't seen this? # mtphttps://twitter.com/mattmfm/status/889605694068011008 …";;@;#;"889635533730840577";https://twitter.com/melaniefeelgood/status/889635533730840577
melaniefeelgood;2017-07-24 19:52;0;0;"cc: @ SenToddYoung https://twitter.com/SenFranken/status/889573655319064576 …";;@;;"889634463210196992";https://twitter.com/melaniefeelgood/status/889634463210196992
bhanley10;2017-07-24 19:52;2;1;"@ SenToddYoung please vote NO on Tuesday!!!!";;@;;"889634389373616128";https://twitter.com/bhanley10/status/889634389373616128
MyobaMazon;2017-07-24 19:52;0;0;". @ SenToddYoung Vote no on repeal/replace. Work on behalf of Hoosiers & protect the ACA by implementing fixes & improving it. #46147";;@;#46147;"889634348928036864";https://twitter.com/MyobaMazon/status/889634348928036864
melaniefeelgood;2017-07-24 19:48;0;0;"So @ SenToddYoung's like sure, let's go ahead & jump into this hole, @ SenateMajLdr says we'll sort it all out on the way down! # mtppic.twitter.com/BiR47lvBR1";;@ @;#;"889633445995053056";https://twitter.com/melaniefeelgood/status/889633445995053056
chavali;2017-07-24 19:45;0;0;"@ SenToddYoung @ RepTreyhttps://twitter.com/johnkasich/status/889522009264332804 …";;@ @;;"889632771727118337";https://twitter.com/chavali/status/889632771727118337
Yarraslava;2017-07-24 19:45;0;0;". @ SusanWBrooks @ RepWalorski @ SenToddYoung @ SenDonnelly Indiana! Please shut down this # PuppyMill!pic.twitter.com/mqbVzbr2nS";;@ @ @ @;#;"889632670065410048";https://twitter.com/Yarraslava/status/889632670065410048
chickxcoffee;2017-07-24 19:44;0;1;"People of Indiana @ SenToddYoung is against Obamacare and doesn't care if you have any coverage to replace it.";;@;;"889632471159066624";https://twitter.com/chickxcoffee/status/889632471159066624
WuMargaret;2017-07-24 19:44;0;0;"@ SenToddYoung represents at 850,000 of those members http://states.aarp.org/aarp-indiana-who-we-are/ …https://twitter.com/jonfavs/status/889631272255074305 …";;@;;"889632410316537856";https://twitter.com/WuMargaret/status/889632410316537856
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
jesmichaels1;2017-07-24 19:41;0;0;". @ SusanWBrooks @ RepWalorski @ SenToddYoung @ SenDonnelly Indiana! Please shut down this # PuppyMill!pic.twitter.com/cDMBaDGGyh";;@ @ @ @;#;"889631676934094848";https://twitter.com/jesmichaels1/status/889631676934094848
SrlPrkngViolatr;2017-07-24 19:40;0;0;"@ SenToddYoung you're not seriously going to vote for MTP on this mess tomorrow, are you? https://twitter.com/SenKamalaHarris/status/889557189110706178 …";;@;;"889631481861201924";https://twitter.com/SrlPrkngViolatr/status/889631481861201924
tammyguess59;2017-07-24 19:40;0;0;". @ SusanWBrooks @ RepWalorski @ SenToddYoung @ SenDonnelly Indiana! Please shut down this # PuppyMill!pic.twitter.com/pjZ4H4j1jR";;@ @ @ @;#;"889631379390156800";https://twitter.com/tammyguess59/status/889631379390156800
Lainashome;2017-07-24 19:35;0;0;"5:PLS RT LIST OF SEN REPUBS @SenatorKirk@sentoddyoung@chuckgrassley@SenJoniErnst@JerryMoran@@SenPatRoberts@speakermcconnell@SenatorHeller1";;@SenatorKirk @sentoddyoung @chuckgrassley @SenJoniErnst @JerryMoran @ @SenPatRoberts @speakermcconnell @SenatorHeller1;;"889630085128622081";https://twitter.com/Lainashome/status/889630085128622081
