username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
smh4ku;2017-07-24 19:57;0;0;"@ SenatorFischer @ SenSasse This is not ok!!!https://twitter.com/thedemocrats/status/889587783156760577 …";;@ @;;"889635720796786688";https://twitter.com/smh4ku/status/889635720796786688
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
smh4ku;2017-07-24 19:55;1;0;"@ SenSasse @ SenatorFischer https://twitter.com/senwarren/status/889564341955153920 …";;@ @;;"889635213072060416";https://twitter.com/smh4ku/status/889635213072060416
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
ghanson2753;2017-07-24 19:50;0;0;"@ SenSasse @ SenatorFischer @ NebraskaDemshttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @;;"889633832311410688";https://twitter.com/ghanson2753/status/889633832311410688
BorisDirnbach;2017-07-24 19:49;0;0;". @ lisamurkowski @ SenatorFischer @ SenCapito @ BillCassidy @ JeffFlake @ SenatorTimScott @ SenDeanHeller @ senrobportman @ SenatorCollins @ SenToomey";;@ @ @ @ @ @ @ @ @ @;;"889633682717364225";https://twitter.com/BorisDirnbach/status/889633682717364225
pitterpatter4;2017-07-24 19:49;0;1;"@ SenateDems @ SenateGOP @ SenSasse @ SenatorFischer Vote against the campaign promise to repeal & get work improving on ACA. # unite";;@ @ @ @;#;"889633667525607424";https://twitter.com/pitterpatter4/status/889633667525607424
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
DrClarkRoush;2017-07-24 19:49;0;0;"@ BenSasse @ SenatorFischer If you have an iota of humanity or morality, please DO NOT help forward the GOP health care abomination.";;@ @;;"889633573053116416";https://twitter.com/DrClarkRoush/status/889633573053116416
Yarraslava;2017-07-24 19:46;0;0;". @ RepAdrianSmith @ SenSasse @ SenatorFischer Nebraska! Please shut down these # PuppyMills! pic.twitter.com/YcpBgibnP";;@ @ @;#;"889632859241238528";https://twitter.com/Yarraslava/status/889632859241238528
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
jesmichaels1;2017-07-24 19:42;0;0;". @ RepAdrianSmith @ SenSasse @ SenatorFischer Nebraska! Please shut down these # PuppyMills! pic.twitter.com/YcpBgibnP";;@ @ @;#;"889631820257660929";https://twitter.com/jesmichaels1/status/889631820257660929
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Lainashome;2017-07-24 19:42;0;0;"7:PLEASE RETWEET LIST OF SENATE REPUBS@RepAndyHarrisMD@SenThadCochran@SenatorWicker@RoyBlunt@SteveDaines@SenatorFischer SenSasse";;@RepAndyHarrisMD @SenThadCochran @SenatorWicker @RoyBlunt @SteveDaines @SenatorFischer;;"889631782584422400";https://twitter.com/Lainashome/status/889631782584422400
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
tammyguess59;2017-07-24 19:40;0;0;". @ RepAdrianSmith @ SenSasse @ SenatorFischer Nebraska! Please shut down these # PuppyMills! pic.twitter.com/YcpBgibnP";;@ @ @;#;"889631495891111937";https://twitter.com/tammyguess59/status/889631495891111937
Suhalper;2017-07-24 19:40;0;0;"@ SenatorFischer Please vote against Trump Healthcare bill. Thank you. Susan";;@;;"889631354039742464";https://twitter.com/Suhalper/status/889631354039742464
NewNebraska;2017-07-24 19:38;0;4;"Don't blame @ SenatorFischer - she's proven just as uncaring about the health & lives of MILLIONS of Americans as any man! # Trumpcare # NEsenhttps://twitter.com/ap_politics/status/889544659579674625 …";;@;# #;"889630862609973254";https://twitter.com/NewNebraska/status/889630862609973254
