username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
Lonestarmomcom;2017-07-24 19:56;4;8;"this okay w/ # GOP? @ SenatorCollins @ SenCapito @ lisamurkowski @ SenatorLankford @ JWGOP @ JeffFlake @ senrobportman @ SenDeanHeller @ SenMikeLeehttps://twitter.com/indprogressives/status/889629326399983616 …";;@ @ @ @ @ @ @ @ @;#;"889635344676773888";https://twitter.com/Lonestarmomcom/status/889635344676773888
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
WenzOmatic;2017-07-24 19:49;0;0;"@ SenatorLankford Shure hope you are supporting the repeal of ACA! # RepealAndReplace";;@;#;"889633638798807041";https://twitter.com/WenzOmatic/status/889633638798807041
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
FedUpGOPer;2017-07-24 19:47;0;0;"Hey @ TomColeOK04, @ SenatorLankford, and @ JimInhofe: I'm your constituent. How can you support this behavior?https://twitter.com/JensenClan88/status/889632401848127489 …";;@ @ @;;"889633262037028864";https://twitter.com/FedUpGOPer/status/889633262037028864
tinakaminskipta;2017-07-24 19:47;0;0;"@ SenatorLankford @ SenJimInhofepic.twitter.com/JwKepd7JJu";;@ @;;"889633261214986240";https://twitter.com/tinakaminskipta/status/889633261214986240
annamarieyl;2017-07-24 19:47;0;0;"@ SenatorLankford @ JimInhofe Vote no. Oklahomans deserve better than a bill cobbled together in secret without full cbo score.https://twitter.com/chrislhayes/status/889591081884635136 …";;@ @;;"889633161185038336";https://twitter.com/annamarieyl/status/889633161185038336
ritamayfield2;2017-07-24 19:45;0;0;"Please vote no on the healthcare bill. How can you claim to be a Christian, or human being and do this to poor sick people. Olease vote no.";;;;"889632651954532352";https://twitter.com/ritamayfield2/status/889632651954532352
Lainashome;2017-07-24 19:45;0;0;"8:PLEASE RETWEET LIST OF SENATE Rs@KellyAyotte@senthomtillis@SenatorBurr@SenJohnHoeven@SenRobPortman@InhofePress@SenatorLankford@SenToomey";;@KellyAyotte @senthomtillis @SenatorBurr @SenJohnHoeven @SenRobPortman @InhofePress @SenatorLankford @SenToomey;;"889632640915169280";https://twitter.com/Lainashome/status/889632640915169280
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
