username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hotblackbitter;2017-07-24 19:49;0;1;"I believe this is directed to you @ marcorubio @ SenatorRisch @ lisamurkowski @ SenJohnHoeven @ SenThomTillis @ SenToomey Vote Accordingly https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @ @ @ @ @;;"889633661510930433";https://twitter.com/hotblackbitter/status/889633661510930433
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Lainashome;2017-07-24 19:20;0;0;"4: PLS RT LIST OF SEN REPUBS:@SenBennetCo@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch";;@SenBennetCo @SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch;;"889626303544131585";https://twitter.com/Lainashome/status/889626303544131585
Lainashome;2017-07-24 19:14;0;0;"3:PLS RETWEET LIST OF SEN REPUBS:@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch@MikeCrapo@SenatorKirk@sentoddyoung";;@SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch @MikeCrapo @SenatorKirk @sentoddyoung;;"889624878286090241";https://twitter.com/Lainashome/status/889624878286090241
Lainashome;2017-07-24 19:11;0;0;"2: Please RT list:Sen Repubs: @SenBennetCo@SenRubioPress@senmarcorubio@SenatorIsakson@sendavidperdue@SenatorRisch@MikeCrapo@SenatorKirk";;@SenBennetCo @SenRubioPress @senmarcorubio @SenatorIsakson @sendavidperdue @SenatorRisch @MikeCrapo @SenatorKirk;;"889624092705513472";https://twitter.com/Lainashome/status/889624092705513472
justinalpertesq;2017-07-24 18:57;0;0;"Thoughts? @ SenatorCollins @ SenJohnHoeven @ lisamurkowski @ marcorubio @ SenatorRisch @ SenatorRounds @ SenToomey @ SenThomTillis @ SenDanSullivanhttps://twitter.com/senjeffmerkley/status/889618852841226240 …";;@ @ @ @ @ @ @ @ @;;"889620617686917122";https://twitter.com/justinalpertesq/status/889620617686917122
LindaMcConnel12;2017-07-24 18:55;0;0;"@ SenatorRisch please vote no on BCRA proceeding.Remember the constituents that elected you. Stop pandering to lying prez & elitist McConnell";;@;;"889620199791628288";https://twitter.com/LindaMcConnel12/status/889620199791628288
TeriGRight;2017-07-24 18:52;3;2;". @ SenatorRisch You promised # FullRepeal! We got your back when you deliver! # PJNET https://twitter.com/cruzgrassroots/status/878167851328253952/photo/1pic.twitter.com/e9BwL5EbHd";;@;# #;"889619299215736832";https://twitter.com/TeriGRight/status/889619299215736832
rjmcclure21;2017-07-24 18:51;0;0;". @ SenatorRisch Failure is not an option! Note YES on the motion to debate!";;@;;"889619016314224641";https://twitter.com/rjmcclure21/status/889619016314224641
DawnCPierce;2017-07-24 18:23;0;0;"@ MikeCrapo @ SenatorRisch Please vote no on the senate healthcare bill! # ProtectOurCare";;@ @;#;"889611908520845316";https://twitter.com/DawnCPierce/status/889611908520845316
