52fairway;2017-07-24 19:59;2;0;"Fix ACA ... WE DESERVE same care as @ SenJohnMcCain JOHN has ACA ...aka Obamacare! IT's good for McCain but not us?";;@;;"889636310528516096";https://twitter.com/52fairway/status/889636310528516096
LopezN19l36;2017-07-24 19:59;0;0;". @ BillCassidy don't make my health care cost more and cover less. Do not # RepealObamacare. https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2569357.iAM01b#?source=uvtwitter … via @ UltraViolet";;@ @;# #;"889636134980112384";https://twitter.com/LopezN19l36/status/889636134980112384
Di_McI;2017-07-24 19:53;0;1;". @ BillCassidy The Senate Trumpcare bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/siiEUSrnM2";;@;#;"889634745830735872";https://twitter.com/Di_McI/status/889634745830735872
bruceymonkey;2017-07-24 19:47;0;1;"@ BillCassidy @ lisamurkowski @ senrobportman Should a mother lose her daughter to # Trumpcare? Should this baby die bc Trump is bullying you?https://twitter.com/Nataliew1020/status/889617940919791617 …";;@ @ @;#;"889633120126996483";https://twitter.com/bruceymonkey/status/889633120126996483
laurcoo;2017-07-24 19:45;0;0;"My 3rd recurrence makes me think about not having healthcare. Surely it's the same for you.";;;;"889632747907633154";https://twitter.com/laurcoo/status/889632747907633154
LauraAnnLA50;2017-07-24 19:44;0;0;"@ BillCassidy Louisiana is watching you. As a doctor, you know the truth to this tweet. Do not repeal # ACA # Obamacarehttps://twitter.com/robdelaney/status/884375076212285441 …";;@;# #;"889632299536482304";https://twitter.com/LauraAnnLA50/status/889632299536482304
DeepInTheHills;2017-07-24 19:42;7;8;". @ GOP What if those were *your* children - oh yeah, you exempted yourself from your own healthcare plan. # SHAME # SHAME # SHAME";;@;# # #;"889631979662172160";https://twitter.com/DeepInTheHills/status/889631979662172160
gregggonsalves;2017-07-24 19:42;4;5;". @ SenToomey, @ BillCassidy @ JeffFlake. Bill is a disaster. You don't have to vote for it. It takes healthcare and $$$ away from your states.";;@ @ @;;"889631845779988480";https://twitter.com/gregggonsalves/status/889631845779988480
wcv63;2017-07-24 19:40;0;1;"Do not vote yes on the health care bill. You are tossing your constituents under a bus for party. Americans before party.";;;;"889631470188470275";https://twitter.com/wcv63/status/889631470188470275
wcv63;2017-07-24 19:37;0;1;"No we didn't Senator Cassidy. You have 2 million people on Medicaid/Medicare in LA. We don't want this bill. Ask your constituents. Say NO!";;;;"889630609156526081";https://twitter.com/wcv63/status/889630609156526081
DontDeflect;2017-07-24 19:34;1;3;"And please, even in the absence of a collage, imagine your elderly relatives kicked out of nursing homes because they've lost Medicare.";;;;"889629979914391552";https://twitter.com/DontDeflect/status/889629979914391552
sbstory33;2017-07-24 19:33;0;0;". @ BillCassidy This isn't a win if this passes. It will hurt American people. For what? Fix ACA. # ResistTrumpcarepic.twitter.com/moSu3lIYz4";;@;#;"889629606298476544";https://twitter.com/sbstory33/status/889629606298476544
ofthestardust;2017-07-24 19:32;0;0;"Suicide is a leading cause of death among teens. Pls don't repeal ACA & take away their access to mental healthcare.pic.twitter.com/maPoajrbjS";;;;"889629457690087426";https://twitter.com/ofthestardust/status/889629457690087426
TetsuKaba;2017-07-24 19:29;0;0;". @ BillCassidy don't make my health care cost more and cover less. Do not # RepealObamacare. https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2569357.iAM01b#?source=uvtwitter … via @ UltraViolet";;@ @;# #;"889628746709438464";https://twitter.com/TetsuKaba/status/889628746709438464
BA1789;2017-07-24 19:27;0;0;". @ BillCassidy don't make my health care cost more and cover less. Do not # RepealObamacare. https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2569357.iAM01b#?source=uvtwitter … via @ UltraViolet";;@ @;# #;"889628232064135168";https://twitter.com/BA1789/status/889628232064135168
JamieHayesArt;2017-07-24 19:26;1;3;"As an artist I am over 65 & on Medicare, but my wife is 58. With the "age tax" we won't be able to afford insurance under the GOP plan.";;;;"889627758820806658";https://twitter.com/JamieHayesArt/status/889627758820806658
CFB_Solon;2017-07-24 19:24;0;1;"Do you remember when you went on that late-night talk show and acted like you cared about people? That was an epic performance.";;;;"889627334080434183";https://twitter.com/CFB_Solon/status/889627334080434183
SimoneStClare;2017-07-24 19:16;0;0;". @ BillCassidy don't make my health care cost more and cover less. Do not # RepealObamacare. https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2569357.iAM01b#?source=uvtwitter … via @ UltraViolet";;@ @;# #;"889625255467266048";https://twitter.com/SimoneStClare/status/889625255467266048
KenFosterWrites;2017-07-24 19:15;0;0;". @ BillCassidy The Senate Trumpcare bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/PMv3GYqzDv";;@;#;"889625085153353729";https://twitter.com/KenFosterWrites/status/889625085153353729
JenniferReinke;2017-07-24 19:14;0;0;". @ BillCassidy, abandon repeal. Reject the administration's # Obamacare sabotage, and let's find bipartisan solutions.";;@;#;"889624866923720706";https://twitter.com/JenniferReinke/status/889624866923720706
Sara_2324;2017-07-24 19:10;0;0;"@ BillCassidy Do not repeal ACA. "States rights" still means the taxpayer has to pay. Bait and switch from Feds to States. Keep Obamacare.";;@;;"889623901436870659";https://twitter.com/Sara_2324/status/889623901436870659
mhensleyttt;2017-07-24 19:05;0;0;". @ BillCassidy don't make my health care cost more and cover less. Do not # RepealObamacare. https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2569357.iAM01b#?source=uvtwitter … via @ UltraViolet";;@ @;# #;"889622586396749824";https://twitter.com/mhensleyttt/status/889622586396749824
Anti_DJTrump;2017-07-24 19:05;1;2;"RT: BillCassidy senrobportman SenDeanHeller CoryGardner ChuckGrassley SenToomey # RepealAndRun not up for debate. # ProtectOurcare …";;;# #;"889622552456425472";https://twitter.com/Anti_DJTrump/status/889622552456425472
sacredmessages;2017-07-24 19:05;0;0;". @ BillCassidy Trumpcare will cut health insurance for millions of people, including me & my family.";;@;;"889622537562443780";https://twitter.com/sacredmessages/status/889622537562443780
