TheBeatWithAri;2017-07-24 19:55;39;91;". @ CoryBooker: Trump Admin Stabbing Obamacare in the Back via @ MSNBC # TheBeathttp://on.msnbc.com/2uupNVW";;@ @;#;"889635089843445762";https://twitter.com/TheBeatWithAri/status/889635089843445762
SarcoidosisofLI;2017-07-24 19:48;0;0;"@ CoryBooker I am disabled with a rare disease. I am in Washington DC. I would love to talk about how bad the new healthcare is!";;@;;"889633314709131264";https://twitter.com/SarcoidosisofLI/status/889633314709131264
John25216342;2017-07-24 19:45;0;0;"Trump can fire Muller. It didn't end well for Nixon firing his SC. We need health care, tax cuts, wall. Congress, help me out";;;;"889632735815503872";https://twitter.com/John25216342/status/889632735815503872
SassafrasMama;2017-07-24 19:37;0;0;"Hey there, @ CoryBooker. Counting on a NO vote on tomorrow's healthcare vote, Senator. # Trumpcare";;@;#;"889630745718927362";https://twitter.com/SassafrasMama/status/889630745718927362
madarts13;2017-07-24 19:35;0;3;"Yet, like most media, refuses to push back on Obamacare imploding myth!";;;;"889630031252783104";https://twitter.com/madarts13/status/889630031252783104
Enrico056;2017-07-24 19:29;0;0;"I cannot How any member of the Senate can vote on trumpcare that they have not even read? @ CoryBooker @ maddow @ LawyerRogelio @ Lawrence";;@ @ @ @;;"889628586826764289";https://twitter.com/Enrico056/status/889628586826764289
AccActivist;2017-07-24 18:54;0;1;"Keep up the good fight Senator Booker. We appreciate your passion! TrumpcareFAIL means fix ACA. Don't repeal & replace, just repair it.";;;;"889619904302911489";https://twitter.com/AccActivist/status/889619904302911489
jaazee1;2017-07-24 18:45;0;0;"That outrageous attack on America's healthcare system,based on lies and false promises,DESTROYED and marginalized the democrat Party! # maga";;;#;"889617549272506369";https://twitter.com/jaazee1/status/889617549272506369
EdwinJHenry;2017-07-24 18:34;0;0;"@ ChrisMurphyCT @ brianschatz @ CoryBooker The depths @ SenateMajLdr will go to take healthcare away from other cancer patients";;@ @ @ @;;"889614707228909568";https://twitter.com/EdwinJHenry/status/889614707228909568
carts54;2017-07-24 18:33;0;0;"@ CoryBooker @ SenatorMenendez As a lifelong NJ resident I will never be convinced that Democrats new push cares 2-cents about working people!";;@ @;;"889614580409921537";https://twitter.com/carts54/status/889614580409921537
aliamissy;2017-07-24 18:25;0;0;"Knowing what changes they want to make to healthcare is NOT a luxury, it's a right.";;;;"889612618767323136";https://twitter.com/aliamissy/status/889612618767323136
thatgirlshaun;2017-07-24 18:24;0;1;". @ CoryBooker on # TheBeat w @ AriMelber The administration is "stabbing" obamacare "in the back."";;@ @;#;"889612343809720320";https://twitter.com/thatgirlshaun/status/889612343809720320
