leannieq;2017-07-24 19:58;0;0;"@ SenPatRoberts @ JerryMoran Please vote NO on the motion to proceed on any health care plan.";;@ @;;"889635921330663426";https://twitter.com/leannieq/status/889635921330663426
jkelley016;2017-07-24 19:56;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889635382719131652";https://twitter.com/jkelley016/status/889635382719131652
TonyJKS1;2017-07-24 19:53;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889634634954416128";https://twitter.com/TonyJKS1/status/889634634954416128
burdett_loomis;2017-07-24 19:50;4;6;"Hey, @ JerryMoran, old people are watching you. Do not advance this hideous health care(sic) bill that everybody hates. https://twitter.com/AARPadvocates/status/889609156214362112 …";;@;;"889634021742977026";https://twitter.com/burdett_loomis/status/889634021742977026
redrjames;2017-07-24 19:50;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889633855703064577";https://twitter.com/redrjames/status/889633855703064577
_miguelolave;2017-07-24 19:49;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889633566761644032";https://twitter.com/_miguelolave/status/889633566761644032
hrhdjc;2017-07-24 19:46;0;0;"@ JerryMoran Your constituents are depending on you, my mom in assisted living in Dughton Vote 'no' on # Obamacare repeal.";;@;#;"889633027890044928";https://twitter.com/hrhdjc/status/889633027890044928
mwmiller75;2017-07-24 19:45;0;2;"Sen Moran this is troubling. These are folks who work but haven't obviously reach Medicare. What do you tell them?";;;;"889632618970591234";https://twitter.com/mwmiller75/status/889632618970591234
RedlerVirginia;2017-07-24 19:45;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans.https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889632590230994945";https://twitter.com/RedlerVirginia/status/889632590230994945
bdewey6;2017-07-24 19:40;0;0;"@ JerryMoran Vote No to the Rep health care bill Senator.... its dead wrong";;@;;"889631408867684353";https://twitter.com/bdewey6/status/889631408867684353
1433native;2017-07-24 19:40;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans. VOTE NO! https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889631331520577541";https://twitter.com/1433native/status/889631331520577541
AnnClemens;2017-07-24 19:38;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans. https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889630995653300229";https://twitter.com/AnnClemens/status/889630995653300229
RedlerVirginia;2017-07-24 19:37;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889630678408609792";https://twitter.com/RedlerVirginia/status/889630678408609792
all10ofus;2017-07-24 19:35;0;1;"time to keep your promises # RepealObamacare";;;#;"889630079541809152";https://twitter.com/all10ofus/status/889630079541809152
yegorhanov;2017-07-24 19:31;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889629197177630720";https://twitter.com/yegorhanov/status/889629197177630720
m_dresselhaus;2017-07-24 19:28;0;0;"Nonsense-not everyone needs the same too expensive plan--kill Obamacare and let responsible citizens choose own plans";;;;"889628459118587907";https://twitter.com/m_dresselhaus/status/889628459118587907
osoxena;2017-07-24 19:27;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889628235893526528";https://twitter.com/osoxena/status/889628235893526528
FRVpawps;2017-07-24 19:27;0;0;"I'm barely living proof and Obama kill care ends one way or another! No more Russia, unless you ALLOW PUTIN TO COME TO AMERICA AND TESTIFY";;;;"889628084072321025";https://twitter.com/FRVpawps/status/889628084072321025
jakfreckles;2017-07-24 19:27;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889628080867868674";https://twitter.com/jakfreckles/status/889628080867868674
werbttrthanthis;2017-07-24 19:26;1;4;"This is nice- why don't you honor him tomorrow by voting no on processing a healthcare bill no one has seen";;;;"889627836939730944";https://twitter.com/werbttrthanthis/status/889627836939730944
ToTrumpwithLove;2017-07-24 19:23;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889627013580967936";https://twitter.com/ToTrumpwithLove/status/889627013580967936
speedbudget;2017-07-24 19:21;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889626718515990528";https://twitter.com/speedbudget/status/889626718515990528
markhlevin;2017-07-24 19:19;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889626106382487552";https://twitter.com/markhlevin/status/889626106382487552
mh2os88;2017-07-24 19:17;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889625585428856832";https://twitter.com/mh2os88/status/889625585428856832
sharpieblue;2017-07-24 19:15;4;0;"Senate Health Care Repeal Bill Would Cut Federal Funding to KS by $917M in Next Decade @ JerryMoran @ PatRobertshttp://www.expandkancare.com/2017/07/24/senate-health-care-repeal-bill-would-cut-federal-funding-to-kansas-by-917-million/ …";;@ @;;"889625093609058304";https://twitter.com/sharpieblue/status/889625093609058304
Randy4OU;2017-07-24 19:15;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans. https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889625033836044290";https://twitter.com/Randy4OU/status/889625033836044290
sjurcyk;2017-07-24 19:13;0;0;"@ JerryMoran please VOTE NO on"unknown" healthcare bill. You will be judged on this bill for years to come, long after trump has moved on";;@;;"889624682940510209";https://twitter.com/sjurcyk/status/889624682940510209
bingowings;2017-07-24 19:12;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889624309781716992";https://twitter.com/bingowings/status/889624309781716992
angelaorizzo;2017-07-24 19:10;1;5;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889623944873095169";https://twitter.com/angelaorizzo/status/889623944873095169
robinsgoldberg;2017-07-24 19:08;0;0;"@ JerryMoran please vote NO on the healthcare vote tomorrow. Stealing healthcare from 32 million people is cruel. Make the right decision";;@;;"889623433067339777";https://twitter.com/robinsgoldberg/status/889623433067339777
bzman07;2017-07-24 19:06;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans. https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889622911451049985";https://twitter.com/bzman07/status/889622911451049985
SUSANMVEEH;2017-07-24 19:05;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889622505882865665";https://twitter.com/SUSANMVEEH/status/889622505882865665
TheCanaryMike;2017-07-24 19:04;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889622436144185344";https://twitter.com/TheCanaryMike/status/889622436144185344
rckchlkjenhawk;2017-07-24 18:58;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans. https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889620895072911362";https://twitter.com/rckchlkjenhawk/status/889620895072911362
TMarieBagley;2017-07-24 18:57;0;0;"I'm a Kansan, and I think it's an individual's responsibility to buy their own healthcare as opposed to the government mandating it.";;;;"889620580957396995";https://twitter.com/TMarieBagley/status/889620580957396995
kaitieb1967;2017-07-24 18:56;0;0;"@ JerryMoran Remember to Vote no tomorrow on the health care vote! Keep your word!";;@;;"889620259807875076";https://twitter.com/kaitieb1967/status/889620259807875076
Tamyshka;2017-07-24 18:52;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889619243435687936";https://twitter.com/Tamyshka/status/889619243435687936
syvenna;2017-07-24 18:51;2;2;". @ JerryMoran I was so proud to be a constituent when you came out against Trumpcare. Please keep your promise tomorrow and vote no.";;@;;"889619140939575296";https://twitter.com/syvenna/status/889619140939575296
Ritutsch;2017-07-24 18:47;0;0;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans. https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889617998503432193";https://twitter.com/Ritutsch/status/889617998503432193
kithara37;2017-07-24 18:41;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889616508812500992";https://twitter.com/kithara37/status/889616508812500992
8rareddy;2017-07-24 18:40;3;1;"@ marcorubio @ robportman @ mikelee @ JeffFlake @ JerryMoran Please vote "No" on vote 2 proceed. What healthcare are we proceeding toward? Mitch?";;@ @ @ @ @;;"889616201281830912";https://twitter.com/8rareddy/status/889616201281830912
stvcurrey;2017-07-24 18:36;0;0;"And people from those other nations come here for healthcare if they have half a chance. What's that tell you?";;;;"889615358264578049";https://twitter.com/stvcurrey/status/889615358264578049
ibrake4ants;2017-07-24 18:35;0;0;"@ JerryMoran please vote no on any form of Trumpcare. Most ppl except for the very wealthy will be worse off with Trumpcare, so why do it?";;@;;"889615140118769667";https://twitter.com/ibrake4ants/status/889615140118769667
stvcurrey;2017-07-24 18:35;0;0;"And we have the best healthcare! It will stay that way if we repeal ACA.";;;;"889615077128712192";https://twitter.com/stvcurrey/status/889615077128712192
dee_schuh;2017-07-24 18:34;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889614878155124737";https://twitter.com/dee_schuh/status/889614878155124737
SaoirseMoore;2017-07-24 18:32;0;0;"@ mikecrapo @ jimrisch @ sentoddyoung @ senjoniernst @ senpatroberts @ jerrymoran VOTE NO on healthcare bill CONSTITUENTS FIRST";;@ @ @ @ @ @;;"889614360028557312";https://twitter.com/SaoirseMoore/status/889614360028557312
boofsmom;2017-07-24 18:26;0;0;"Your constituents are depending on you, @ JerryMoran. Vote 'no' on # Obamacare repeal.";;@;#;"889612886330441728";https://twitter.com/boofsmom/status/889612886330441728
MichaelCalder4;2017-07-24 18:25;0;1;". @ JerryMoran I'm watching your vote on # healthcare reform. VOTE NO to protect the care of Kansans.https://cards.twitter.com/cards/18ce54ddo5i/4k5y0 …";;@;#;"889612440727687168";https://twitter.com/MichaelCalder4/status/889612440727687168
bryanmasters;2017-07-24 18:23;0;0;"@ jerrymoran Don't repeal until you can honestly say that more of us will get better, cheaper care with its replacement. We need # Healthcare.";;@;#;"889612087714099201";https://twitter.com/bryanmasters/status/889612087714099201
castadiva95;2017-07-24 18:21;0;1;"Vote NO to the Senate healthcare bill! Kansas first!!!";;;;"889611619206082561";https://twitter.com/castadiva95/status/889611619206082561
jwowkony;2017-07-24 18:20;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889611376636952577";https://twitter.com/jwowkony/status/889611376636952577
koenigjake;2017-07-24 18:19;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889611134373965824";https://twitter.com/koenigjake/status/889611134373965824
Gofair_007;2017-07-24 18:18;0;0;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS! https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889610825538965504";https://twitter.com/Gofair_007/status/889610825538965504
bryanmasters;2017-07-24 18:18;0;1;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889610764813824000";https://twitter.com/bryanmasters/status/889610764813824000
devindeanking;2017-07-24 18:16;0;1;". @ JerryMoran we need # healthcare reform, not cuts. Vote NO on any bill that doesn't protect quality care in KS!https://cards.twitter.com/cards/18ce54ddo5i/4k5xy …";;@;#;"889610325955407872";https://twitter.com/devindeanking/status/889610325955407872
MelvinRice01;2017-07-24 18:14;0;0;"@ JerryMoran there is an expression "pig in a poke". Usually a bad thing. Senate healthcare plan sounds like one. Vote no until we know more.";;@;;"889609839105765377";https://twitter.com/MelvinRice01/status/889609839105765377
bsbadger;2017-07-24 18:13;0;0;"@ JerryMoran Vote no on the # healthcare bill that @ SenateMajLdr brings up for a vote tomorrow. It will hurt Kansans & rural hospitals. # BCRA";;@ @;# #;"889609527393439744";https://twitter.com/bsbadger/status/889609527393439744
twingemini65;2017-07-24 18:12;0;1;"@ JerryMoran Do not repeal Obamacare! That would be disastrous!Tweak existing law-do not repeal & replace! U know that's what ur voters want!";;@;;"889609376968921089";https://twitter.com/twingemini65/status/889609376968921089
FRVpawps;2017-07-24 18:09;0;0;"MORAN COME SEE ME, DISABLED NO CARE AND OBAMA DID IT! I look like death and sores. My insurance says take care of him, doctors do nothing";;;;"889608519489552389";https://twitter.com/FRVpawps/status/889608519489552389
