PiscopoSf;2017-07-24 19:53;0;1;". @ JohnBoozman Who do you work for? This bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/d0QdBB5lBd";;@;#;"889634554713079810";https://twitter.com/PiscopoSf/status/889634554713079810
SydOutLoud;2017-07-24 19:14;0;0;". @ JohnBoozman https://twitter.com/protectcare/status/888422872166928384 …";;@;;"889624758647758852";https://twitter.com/SydOutLoud/status/889624758647758852
JackieVhmedic;2017-07-24 19:03;0;0;"@ SenTomCotton @ JohnBoozman There are a large number of your constituents who are seniors or near seniors and very concerned about Healthcare https://twitter.com/AARPadvocates/status/889609156214362112 …";;@ @;;"889622118740217856";https://twitter.com/JackieVhmedic/status/889622118740217856
TeriGRight;2017-07-24 18:51;3;2;". @ JohnBoozman Obamacare 2.0 isn't the promise! # FullRepeal is! # PJNET https://twitter.com/CleverFounder/status/879182914629636103/photo/1pic.twitter.com/Nu2xzZE3Io";;@;# #;"889619180684804100";https://twitter.com/TeriGRight/status/889619180684804100
polo5;2017-07-24 18:47;0;0;"@ JohnBoozman The Senate Trumpcare bill puts 22 million Americans' lives at risk. Please # ResistTrumpcarepic.twitter.com/mpLcFuBV28";;@;#;"889618138488352769";https://twitter.com/polo5/status/889618138488352769
graciefabulous;2017-07-24 18:42;4;6;"Call TODAY ... and tomorrow! Tell them to VOTE NO! @ JohnBoozman (202) 224-4843 @ TomCottonAR (202) 224-2353 # aca # arpx # healthcarepic.twitter.com/vEDMkhUB8H";;@ @;# # #;"889616742401679362";https://twitter.com/graciefabulous/status/889616742401679362
350Arkansas;2017-07-24 18:39;0;0;"Our veterans deserve healthcare AR is watching @ JohnBoozman @ SenTomCotton @ rep_stevewomack Single Payer now @ SenSanders WeThePpl will vote!";;@ @ @ @;;"889615945035075586";https://twitter.com/350Arkansas/status/889615945035075586
zebedol;2017-07-24 18:36;0;0;"Trump has lawyers. We need affordable healthcare. Protect us, not him, @ JohnBoozman. Planned Parenthood MUST be protected. # IStandWithPP";;@;#;"889615295601680384";https://twitter.com/zebedol/status/889615295601680384
350Arkansas;2017-07-24 18:34;0;1;"Take care of WeThePpl For each that die from lack of healthcare Two will Stand up @ JohnBoozman @ SenTomCotton @ rep_stevewomack @ votevets";;@ @ @ @;;"889614868969607171";https://twitter.com/350Arkansas/status/889614868969607171
SaoirseMoore;2017-07-24 18:31;0;0;"@ jeffflake @ johnboozman @ sendansullivan @ tomcottonAR @ corygardner @ marcorubio @ johnnyisakson VOTE NO on healthcare bill constituents FIRST";;@ @ @ @ @ @ @;;"889614067165474816";https://twitter.com/SaoirseMoore/status/889614067165474816
