LockwendyWendy;2017-07-24 19:59;0;0;"Apparently, John Kasich doesn't think the Republicans can do better than Obamacare";;;;"889636306191568899";https://twitter.com/LockwendyWendy/status/889636306191568899
AccActivist;2017-07-24 19:59;0;0;"Actually you haven't yet: TrumpcareFAIL is your Zombie bill. Think abt the over 180 amendments Rs added to ACA Rightfully claim it & Fix it";;;;"889636213778505730";https://twitter.com/AccActivist/status/889636213778505730
AnneMarieFlynn2;2017-07-24 19:59;1;4;"And this supposed healthcare bill exempts Congress from the bill: they get to keep what they have now! The rest of us gets screwed";;;;"889636167129468928";https://twitter.com/AnneMarieFlynn2/status/889636167129468928
DoubleA_CO;2017-07-24 19:58;0;0;"As a Country, yes. You and @ GOP? No. Also, quit pretending this is a healthcare bill. # wealthcare.";;@;#;"889635992520593408";https://twitter.com/DoubleA_CO/status/889635992520593408
Sfdi1947;2017-07-24 19:56;0;0;"@ JohnKasich is just whining because he hates Trump and doesn't want to lose all those Medicare/Medicaid $$$$";;@;;"889635416005128192";https://twitter.com/Sfdi1947/status/889635416005128192
JohnCornyn;2017-07-24 19:53;38;113;"We can do better than Obamacarehttps://twitter.com/johnkasich/status/889522009264332804 …";;;;"889634636149788673";https://twitter.com/JohnCornyn/status/889634636149788673
Jenngery;2017-07-24 19:52;3;1;"@ JohnCornyn Before you vote tomorrow, please do consider not condemning millions to lives with insufficient care. # repealovermydeadbody # MS";;@;# #;"889634461893226496";https://twitter.com/Jenngery/status/889634461893226496
ClayburnII;2017-07-24 19:52;0;1;"I'd like to offer @ JohnCornyn a ride around TX to talk to millions who will lose their healthcare under GOP plan. I can work any schedule https://twitter.com/steventdennis/status/889586587440472065 …";;@;;"889634461230485504";https://twitter.com/ClayburnII/status/889634461230485504
mblackwell9;2017-07-24 19:51;0;0;"@ SenTedCruz @ JohnCornyn is a mental health bill coming part of your redo of ACA?TX needsyour vote for much mental hlth careas humanly poss.";;@ @;;"889634147622367234";https://twitter.com/mblackwell9/status/889634147622367234
belikeaduck;2017-07-24 19:50;6;13;"Doctors, hospitals, patients, families, voters NO ONE wants your "healthcare" bill & ALL of us will remember @ JohnCornyn @ tedcruzhttps://twitter.com/jesselehrich/status/889539561759678466 …";;@ @;;"889633797565812737";https://twitter.com/belikeaduck/status/889633797565812737
lindytx21;2017-07-24 19:48;1;1;"Sen. @ JohnCornyn you have totally lost this Tx constituent. Your political career has been a disastrous race to the bottom. You're fired! https://twitter.com/topherspiro/status/889283709924454405 …";;@;;"889633309281710082";https://twitter.com/lindytx21/status/889633309281710082
dark_poplar;2017-07-24 19:46;1;0;"Is @ SenatorCollins going to force @ SenJohnMcCain to return to D.C. to vote to debate healthcare? @ SenateMajLdr @ JohnCornyn # Repeal";;@ @ @ @;#;"889632954712039425";https://twitter.com/dark_poplar/status/889632954712039425
SoniaTCU;2017-07-24 19:44;0;0;"When will @ tedcruz @ JohnCornyn @ SpeakerRyan and @ POTUS truly care for the troops they propagandize to get elected??https://twitter.com/votevets/status/889562841149308928 …";;@ @ @ @;;"889632291483529217";https://twitter.com/SoniaTCU/status/889632291483529217
WooBennyNMU;2017-07-24 19:41;0;0;"If i cant afford a yacht that doesnt mean i choose to go without a yacht. Means i cant afford one. Should not be acceptable w/ healthcare";;;;"889631738686734336";https://twitter.com/WooBennyNMU/status/889631738686734336
chulesee;2017-07-24 19:39;0;4;"Hounding your recovering colleague back to Senate to rip away care from millions: that is sub-gutter behavior.";;;;"889631168378933250";https://twitter.com/chulesee/status/889631168378933250
LA_LaVilla;2017-07-24 19:35;0;0;". @ JohnCornyn This "health care" bill is a joke. Start representing your constituents and stop this nonsense of driving McCain to Washington. https://twitter.com/StevenTDennis/status/889586587440472065 …";;@;;"889630180184129539";https://twitter.com/LA_LaVilla/status/889630180184129539
brokencup;2017-07-24 19:31;2;4;"May the health care vote fail even more miserably tomorrow than it did last time";;;;"889629206832926720";https://twitter.com/brokencup/status/889629206832926720
JuliaCitylaw;2017-07-24 19:30;0;0;"@ JohnCornyn is the penultimate sleaze. Hopefully MCCain will have his eyes opened to how fortunate he is & how Trumpcare will hurt millions";;@;;"889628897456926720";https://twitter.com/JuliaCitylaw/status/889628897456926720
rifortikat1985;2017-07-24 19:30;0;0;"Cornyn floats conference of House, Senate healthcare bills Read more: https://firenewsfeed.com/lifestyle/287717 … # policy # obamacare # johnCornyn pic.twitter.com/aG2DqsZxPQ";;;# # #;"889628827269439488";https://twitter.com/rifortikat1985/status/889628827269439488
jimburling;2017-07-24 19:23;1;0;"@ JohnCornyn I hope that after 7-8 years that the Republican Party doesn't just pass a health care bill that is just apiece of crap like Dems";;@;;"889627032308600837";https://twitter.com/jimburling/status/889627032308600837
WokeAF23;2017-07-24 19:19;0;0;"@ JohnCornyn a Senator, a liar, and a self described ruiner of lives! He's stealing your healthcare for his profit! https://m.facebook.com/story.php?story_fbid=10155464396094360&id=75755694423 …";;@;;"889626026661351424";https://twitter.com/WokeAF23/status/889626026661351424
jevans15;2017-07-24 19:06;0;0;"@ JohnCornyn willing to drive across country to rip away healthcare from millions. Swell guy!";;@;;"889622937413844993";https://twitter.com/jevans15/status/889622937413844993
JensJenson1;2017-07-24 19:02;0;0;"Compassion? You obviously know nothing of it. Asking a man after brain surgery to vote to take healthcare away is opposite of compassion.";;;;"889621832843833348";https://twitter.com/JensJenson1/status/889621832843833348
MarkMorrisTX;2017-07-24 19:00;0;0;"@ SenTedCruz @ JohnCornyn Gents, I ask of you to help @ realDonaldTrump move his agenda forward on healthcare & taxes. # leadership";;@ @ @;#;"889621269938941952";https://twitter.com/MarkMorrisTX/status/889621269938941952
JensJenson1;2017-07-24 18:58;1;0;"You want his vote on legislation that will take away healthcare from 32 million Americans--SICK CHILDREN, GRANDPARENTS, VETS. You are evil.";;;;"889620935396995074";https://twitter.com/JensJenson1/status/889620935396995074
JensJenson1;2017-07-24 18:57;1;0;"You'd drive a man, recovering from brain surgery, across the country to get his vote for trumpcare. What kind of sick person are you?";;;;"889620691552575488";https://twitter.com/JensJenson1/status/889620691552575488
DodiEmmons;2017-07-24 18:52;1;0;"Please help us # closeCRCloophole @ JohnCornyn You can save lives by closing the loophole in Medicare colon cancer screening # ACSCAN # S479";;@;# # #;"889619287836700672";https://twitter.com/DodiEmmons/status/889619287836700672
Angie75060;2017-07-24 18:50;0;0;"@ JohnCornyn Once again, I am asking you to vote no for these 103 people who will suffer under trumpcare, some are vets! Some are babies! pic.twitter.com/9ilcVHh9mx";;@;;"889618853323472900";https://twitter.com/Angie75060/status/889618853323472900
heroofhope2015;2017-07-24 18:48;0;0;"Please help us # closeCRCloophole @ JohnCornyn You can save lives by closing the loophole in Medicare colon cancer screening # ACSCAN # S479";;@;# # #;"889618226501611522";https://twitter.com/heroofhope2015/status/889618226501611522
BuffyHippie;2017-07-24 18:47;0;0;"@ tedcruz @ JohnCornyn The Eyes Of # Texas Are Upon You as you vote on our # Healthcare! # Texans will # RepealAndReplace you! # ProtectOurCarehttps://twitter.com/nytopinion/status/889615438472237058 …";;@ @;# # # # #;"889618074252574720";https://twitter.com/BuffyHippie/status/889618074252574720
