vivienwhiskey;2017-07-24 19:48;0;1;"I trust my Senators @ timkaine and @ MarkWarner will show up & do what they can to stop this madness. # savemyhealthcare";;@ @;#;"889633350025138176";https://twitter.com/vivienwhiskey/status/889633350025138176
GoinPostal77;2017-07-24 19:30;0;0;"Oooh I know! Single payer doesn't work(example:Canadas healthcare) They're trying to reach out to the middle class-but theyre FAILING # MAGA";;;#;"889628852485595136";https://twitter.com/GoinPostal77/status/889628852485595136
jtroutman1313;2017-07-24 18:49;0;0;"@ realDonaldTrump Trump Calls on GOP to Repeal Obamacare Amid Doubt on Vote - Bloomber NO WAY! @ timkaine @ MarkWarner https://apple.news/Aq64wTVRYQYShSiGhXz22pw …";;@ @ @;;"889618526578909185";https://twitter.com/jtroutman1313/status/889618526578909185
priyastoric;2017-07-24 18:47;0;2;"I know you are working hard @ MarkWarner @ timkaine. Hold steady convince your colleagues. This is not how health care laws should be made.";;@ @;;"889618071350120453";https://twitter.com/priyastoric/status/889618071350120453
MadAlgorithm;2017-07-24 18:38;1;0;"Housing for all. Health care for all. Medicine & social care for all. End slavery in the US once & for all. Unionize the vice industries.";;;;"889615847022616578";https://twitter.com/MadAlgorithm/status/889615847022616578
beachbailey;2017-07-24 18:36;0;1;"@ timkaine @ MarkWarner Why not? A Bipartisan Way to Improve Medical Care http://www.newyorker.com/magazine/2017/05/29/a-bipartisan-way-to-improve-medical-care …";;@ @;;"889615272201658368";https://twitter.com/beachbailey/status/889615272201658368
MadAlgorithm;2017-07-24 18:36;0;0;"Move us towards Universal healthcare. Public option, single payer, medicaid for all. Systemic regulatory oversight & auditing.";;;;"889615252924575744";https://twitter.com/MadAlgorithm/status/889615252924575744
MadAlgorithm;2017-07-24 18:30;0;0;"All events unfolding w/ Trump-Russia-RNC are revealing a far flung corporate criminal network effecting housing, financing, healthcare.";;;;"889613880976187393";https://twitter.com/MadAlgorithm/status/889613880976187393
MaggieKingAuthr;2017-07-24 18:30;0;0;"@ MarkWarner vote NO for any amendments that will help Republicans pass # Trumpcare # ProtectOurCare";;@;# #;"889613788965744641";https://twitter.com/MaggieKingAuthr/status/889613788965744641
MaggieKingAuthr;2017-07-24 18:28;0;0;"@ MarkWarner pls join the filibuster-by-amendment to stop # Trumpcare # ProtectOurCare";;@;# #;"889613265139109889";https://twitter.com/MaggieKingAuthr/status/889613265139109889
Nigel22222;2017-07-24 18:27;0;1;"Where were all these great ideas the past 8 years? All we got was Obamacare, an attack on our law enforcement and overran w/ ILLEGALS";;;;"889612993922834435";https://twitter.com/Nigel22222/status/889612993922834435
chocolab6;2017-07-24 18:12;0;0;"@ MarkWarner # VoteNoMTP President Chump has never gone without healthcare! He is clueless about the people of this nation!!";;@;#;"889609227618144257";https://twitter.com/chocolab6/status/889609227618144257
esmithjustice;2017-07-24 18:08;0;2;"Thank you for coming to Wise RAM. Please don't forget about us here in SWVa! We need jobs and healthcare! Please fight for us! @ MarkWarner";;@;;"889608340204138497";https://twitter.com/esmithjustice/status/889608340204138497
Seventhwave2;2017-07-24 17:53;0;0;"@ MarkWarner Just vote "No" until you know. # HealthcareBill";;@;#;"889604468593111041";https://twitter.com/Seventhwave2/status/889604468593111041
slc523;2017-07-24 17:47;0;0;"@ MarkWarner Please continue to work toward a bipartisan approach to healthcare! S.Carlson, nurse";;@;;"889602955263041536";https://twitter.com/slc523/status/889602955263041536
wtf_imtooold;2017-07-24 16:18;1;3;"I need you fighting this legislation with me right now, because there will be no Better Deal for those of us who may lose health care.";;;;"889580691649900544";https://twitter.com/wtf_imtooold/status/889580691649900544
wtf_imtooold;2017-07-24 16:14;2;1;"I don't have time to read anything about this today. I'm fighting for my life, against the GOP "health care" bill. MTP vote tomorrow.";;;;"889579583921692672";https://twitter.com/wtf_imtooold/status/889579583921692672
RondaGrizzle;2017-07-24 15:49;0;3;". @ MarkWarner @ timkaine Gentlemen, you're both a solid NO on this "heath care" bill, correct?https://twitter.com/RBReich/status/889284739248439296 …";;@ @;;"889573315471454215";https://twitter.com/RondaGrizzle/status/889573315471454215
MyOneGoodTurn;2017-07-24 15:14;0;0;"day 183: called @ timkaine & @ MarkWarner to thank for resisting # Trumpcare # ProtectOurCarepic.twitter.com/PLnmsHlfV6";;@ @;# #;"889564372049305600";https://twitter.com/MyOneGoodTurn/status/889564372049305600
slatehill;2017-07-24 14:52;0;2;"Share your # MS story with US Senate # Msactivist # ProtectPatientsNow # MyHealthcareVoice # SaveACA @ timkaine @ MarkWarner @ SenateDems @ SenateGOP";;@ @ @ @;# # # # #;"889558853263777792";https://twitter.com/slatehill/status/889558853263777792
truthwarrior11;2017-07-24 14:30;1;0;"@ MarkWarner @ RepAdamSchiff When r u guys gonna care @Killery's Russia ties 2 Veropharma or Hunter Biden & Burisima natural gas n Ukraine?pic.twitter.com/EHvxC9vyRJ";;@ @ @Killery;;"889553506427973633";https://twitter.com/truthwarrior11/status/889553506427973633
Target_Mom;2017-07-24 14:15;3;3;"Thank you @ timkaine and @ MarkWarner for standing up for affordable health care. I hope our neighbor in WV @ SenCapito holds firm on access.https://twitter.com/ChrisMurphyCT/status/889473411512229888 …";;@ @ @;;"889549541988593664";https://twitter.com/Target_Mom/status/889549541988593664
ellieboylan;2017-07-24 14:11;0;0;"I know my Senators, @ timkaine & @ MarkWarner do not support the mystery healthcare bill that will be voted on as soon as tomorrow. THANK YOU!";;@ @;;"889548531719077888";https://twitter.com/ellieboylan/status/889548531719077888
ABellBshara;2017-07-24 11:54;0;0;"Can call that a lack of healthcare bill! Keep opposing the repeal of ACA with no replacement. Pull up a chair to GOP. Don't leave! WorkTgthr";;;;"889514257263591425";https://twitter.com/ABellBshara/status/889514257263591425
RealtorCary;2017-07-24 11:11;0;0;"Expand Medicaid. Remove the SS income tax ceiling to fund it. Repeal Obamacare totally. Get rid of all the Democratic Pork in Obamacare";;;;"889503332548702211";https://twitter.com/RealtorCary/status/889503332548702211
SportyStone;2017-07-24 10:11;0;0;"@ MarkWarner @ timkaine https://twitter.com/brianmcarey/status/889462200150220801 …";;@ @;;"889488207628447745";https://twitter.com/SportyStone/status/889488207628447745
grtwoods;2017-07-24 08:51;0;0;"@ MarkWarner Please fight your hardest to save health care. Lives depend on it! # healthcareforall";;@;#;"889467952805838848";https://twitter.com/grtwoods/status/889467952805838848
tekwrek;2017-07-24 08:07;0;0;"More Warner B.S.! Attacks on POTUS and White House prove he places Dem. politics above jobs, wages, and healthcare for suffering Virginians!";;;;"889457116678848513";https://twitter.com/tekwrek/status/889457116678848513
GrandpaGrouse;2017-07-24 07:03;0;0;"To @ MarkWarner & @ timkaine : Vote NO on Senate healthcare bill! I know you both will, but want you to know how a constituent feels.";;@ @;;"889440833379999744";https://twitter.com/GrandpaGrouse/status/889440833379999744
vaprogress;2017-07-24 00:31;0;0;"Capito agreed to support health care bill. We're in trouble. @ timkaine & @ MarkWarner, thank you for your support while we fight this bill.";;@ @;;"889342157907271680";https://twitter.com/vaprogress/status/889342157907271680
dhaney888;2017-07-23 23:14;0;0;"@ timkaine @ MarkWarner NO on the "health care" bill on Tuesday. I know you guys will do the right thing";;@ @;;"889322833276530688";https://twitter.com/dhaney888/status/889322833276530688
blesamerica;2017-07-23 20:13;0;0;"We care about Jobs, Tax Cuts, Healthcare, Illegal Immigration, Education, Our Family, Our Community. We want better relations with RUSSIA!pic.twitter.com/BzCll1xGMd";;;;"889277365397766144";https://twitter.com/blesamerica/status/889277365397766144
wtf_imtooold;2017-07-23 15:57;0;1;"Sharing with my Sens @ MarkWarner and @ timkaine, grateful for your continued opposition to this soul-crushing GOP "health care" bill. # VAhttps://twitter.com/wtf_imtooold/status/889209165322739712 …";;@ @;#;"889212942486523909";https://twitter.com/wtf_imtooold/status/889212942486523909
Jasmine_Jewels;2017-07-23 15:10;0;0;"American public doesn't care "how" Russia meddles, especially since its been going on 4ever & in other countries while @ Potus falsely blamed";;@;;"889201112636698625";https://twitter.com/Jasmine_Jewels/status/889201112636698625
oneloveallone;2017-07-23 13:26;0;0;"I my senators! @ timkaine and @ MarkWarner, thanks for caring about Americans and our # healthcare!";;@ @;#;"889174887209852928";https://twitter.com/oneloveallone/status/889174887209852928
turbo2352;2017-07-23 13:18;0;0;"The government should never have involved itself in health care. Democrats are to blame for this 2010 disaster! Get involved and fix it!";;;;"889172932769067012";https://twitter.com/turbo2352/status/889172932769067012
Yznhymer;2017-07-23 07:49;0;0;"I'm so happy with my Senators Tim Kaine & @ MarkWarner in their efforts to support Virginians & protect health care.";;@;;"889089994614341632";https://twitter.com/Yznhymer/status/889089994614341632
NelsonDaleSmith;2017-07-22 16:52;0;0;"If that concerns you, you're free not to take the drugs. Just don't limit my and others access to lower-cost healthcare";;;;"888864264953274369";https://twitter.com/NelsonDaleSmith/status/888864264953274369
NelsonDaleSmith;2017-07-22 16:49;0;0;"One cannot claim Europeans get better health care b/c single payer when reason may be a larger & more competitive market for drugs";;;;"888863714060795906";https://twitter.com/NelsonDaleSmith/status/888863714060795906
wtf_imtooold;2017-07-22 14:20;0;1;"Grateful our Sens have never wavered in their oppo to GOP "health care!" I support any/all tools needed to # ProtectOurCare # VA06";;;# #;"888826126440812547";https://twitter.com/wtf_imtooold/status/888826126440812547
kim89Da;2017-07-22 13:16;0;2;"Your idea of "show business" saved our health care twice already and hopefully will again next week. Patriots will not chill to treason.";;;;"888810052164964352";https://twitter.com/kim89Da/status/888810052164964352
lyslibtard;2017-07-22 13:16;0;0;"rather see the money spent on single payer free college child care social programs";;;;"888810014143639553";https://twitter.com/lyslibtard/status/888810014143639553
kiser_stan;2017-07-22 13:08;0;0;"Repeal Obamacare";;;;"888807862948040706";https://twitter.com/kiser_stan/status/888807862948040706
