MeganDesigns4U;2017-07-24 19:53;2;1;"Thank @ SenBillNelson for fighting the good fight for Floridians on health care, oil drilling, and more: http://bit.ly/2tD8NuJ # pfla";;@;#;"889634768324894722";https://twitter.com/MeganDesigns4U/status/889634768324894722
AlohaRenee;2017-07-24 19:52;0;0;"@ SenBillNelson: Sen. Nelson - please vote NO tomorrow on repeal/replace - we believe in your values # Heathcare # VoteNo # ProtectOurCare";;@;# # #;"889634431765540864";https://twitter.com/AlohaRenee/status/889634431765540864
EvolvedAmerican;2017-07-24 19:50;1;1;"@ SenBillNelson: Sen. Nelson - please vote NO tomorrow on repeal/replace - we believe in your values # Heathcare # VoteNo # ProtectOurCare";;@;# # #;"889633890163359744";https://twitter.com/EvolvedAmerican/status/889633890163359744
HansonKakhanson;2017-07-24 19:30;0;0;"@ SenBillNelson @ marcorubio Guys I want my senators to work together on all issues. Particularly healthcare.";;@ @;;"889629002905911296";https://twitter.com/HansonKakhanson/status/889629002905911296
CatholicGirl15;2017-07-24 18:23;0;1;"# MedicareForAll guarantees universal coverage within existing processes - Medicare uses private health insurance to provide coverage & care.";;;#;"889611929945341954";https://twitter.com/CatholicGirl15/status/889611929945341954
CatholicGirl15;2017-07-24 18:21;0;0;"Affordability will only come when EVERYONE gets coverage & medical costs shared among everyone. Really best option is # MedicareForAll!";;;#;"889611478646616066";https://twitter.com/CatholicGirl15/status/889611478646616066
MrRobertdark;2017-07-24 18:20;1;1;"Hey @ SenBillNelson can you get the people of Florida a look at this travesty of a health care bill? tRumpcare needs to be opposed? # resist";;@;#;"889611251483070466";https://twitter.com/MrRobertdark/status/889611251483070466
CatholicGirl15;2017-07-24 18:19;0;0;"They won't remain covered bc when @ GOP do away with Medicaid their next items on agenda is do away with Social Security & Medicare.";;@;;"889611007303315457";https://twitter.com/CatholicGirl15/status/889611007303315457
Jeb10307576;2017-07-24 18:01;1;0;". @ realDonaldTrump @ SenRubioPress @ SenBillNelson Please begin debate on ending the unfair Obamacare tax/premium nightmare. # OCareNightmarehttps://twitter.com/realdonaldtrump/status/889599425458327552 …";;@ @ @;#;"889606376707809280";https://twitter.com/Jeb10307576/status/889606376707809280
finbarvano;2017-07-24 17:58;0;1;"@ marcorubio Your loyalty is to # Florida not @ POTUS . We need bipartisan leadership for # Healthcare. Work with @ SenBillNelson # VoteNoMTP";;@ @ @;# # #;"889605677756370944";https://twitter.com/finbarvano/status/889605677756370944
rthomson49;2017-07-24 17:56;0;1;"@ SenBillNelson How many Americans will loose thier heath care if you vote to repeal the ACA. The american people want the ACA. Be strong.";;@;;"889605261161357312";https://twitter.com/rthomson49/status/889605261161357312
NBlard;2017-07-24 17:46;0;0;"@ SenBillNelson Fla and US economy R better off with REAL health care. Improve don't sabotage. People can recover http://bit.ly/95Stories pic.twitter.com/82FH7ZrA0M";;@;;"889602708436602880";https://twitter.com/NBlard/status/889602708436602880
