StephenEBaker;2017-07-24 19:54;1;4;"How are you voting on # Trumpcare ?";;;#;"889634904430043136";https://twitter.com/StephenEBaker/status/889634904430043136
elacs;2017-07-24 19:42;0;0;"Surely you are voting NO on the healthcare bill tomorrow. Have you even seen it? What is in it? Removing healthcare from millions?";;;;"889631862775304192";https://twitter.com/elacs/status/889631862775304192
jessicabar25;2017-07-24 19:23;0;1;"@ SenatorIsakson @ sendavidperdue Vote for the ppl & vote no for the healthcare bill. A yes vote will be a no vote for U in the next election.";;@ @;;"889627077711998976";https://twitter.com/jessicabar25/status/889627077711998976
DecaStan;2017-07-24 19:19;0;1;"@ SenatorIsakson @ SenDavidPerdue Why deprive Georgians of adequate healthcare? Health Care Is Still in Danger https://nyti.ms/2tSNZPQ";;@ @;;"889626114909491203";https://twitter.com/DecaStan/status/889626114909491203
DamonWood;2017-07-24 19:00;0;0;"@ SenatorIsakson @ sendavidperdue If you vote yes on that lousy health care fraud you will not recover from it: say no.";;@ @;;"889621354932260866";https://twitter.com/DamonWood/status/889621354932260866
_yogking;2017-07-24 18:55;0;0;"@ senatorisakson @ sendavidperdue. Would you guys get off your butts and do what we put you in office to do! # RepealObamacare.";;@ @;#;"889620045084725250";https://twitter.com/_yogking/status/889620045084725250
MajorAmerican;2017-07-24 18:29;0;0;". @ SenatorIsakson @ sendavidperdue # gapol # Trumpcare https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @;# #;"889613508073201666";https://twitter.com/MajorAmerican/status/889613508073201666
pluey;2017-07-24 18:26;0;0;"Listen to the nuns! # Trumpcare is immoral and incredibly harmful. Vote NO and do what's right @ sendavidperdue @ SenatorIsakson https://twitter.com/topherspiro/status/889487372152385537 …";;@ @;#;"889612846933389312";https://twitter.com/pluey/status/889612846933389312
texasranger1992;2017-07-24 18:24;1;3;"So Senator Perdue will NOT even take calls from Georgians who question his vote on Healthcare. Only wants to talk to "His" people.";;;;"889612245692502016";https://twitter.com/texasranger1992/status/889612245692502016
pluey;2017-07-24 18:23;1;15;"Then protect them and do what's right for your constituents and the country -- stand up and vote NO on # Trumpcare";;;#;"889612014687055874";https://twitter.com/pluey/status/889612014687055874
littleeagle1227;2017-07-24 18:22;1;12;"What does she think about not having healthcare if left up to you & the rest of the gop. # VoteNoTrumpcare";;;#;"889611748147429378";https://twitter.com/littleeagle1227/status/889611748147429378
dav34829;2017-07-24 18:21;1;1;"cc @ SenatorIsakson @ sendavidperdue Vote NO on ACA repeal & Senate no care bill! https://twitter.com/mattmfm/status/889605694068011008 …";;@ @;;"889611493083369475";https://twitter.com/dav34829/status/889611493083369475
Sullivanandkids;2017-07-24 18:20;1;8;"Does she know how much you lie to her and that you are trying to take away healthcare from millions?";;;;"889611262535094278";https://twitter.com/Sullivanandkids/status/889611262535094278
dav34829;2017-07-24 18:18;1;5;"Vote NO on the Senate's no health care bill!!";;;;"889610709641854976";https://twitter.com/dav34829/status/889610709641854976
themaze2;2017-07-24 18:16;0;3;"That's your President.....Vote NO on healthcare and take care of our families here in Georgia.";;;;"889610320578269192";https://twitter.com/themaze2/status/889610320578269192
xxmca1;2017-07-24 18:14;0;0;"Your constituents are depending on you, @ SenDavidPerdue! Vote 'no' on # Obamacare repeal.";;@;#;"889609849914490886";https://twitter.com/xxmca1/status/889609849914490886
SheilaP13;2017-07-24 18:13;1;0;"If you vote yes on this atrocious # HealthcareBill tomorrow @ sendavidperdue, this GA voter will do everything I can to get you out! Vote No!";;@;#;"889609484590616578";https://twitter.com/SheilaP13/status/889609484590616578
hcenaoj;2017-07-24 17:58;0;1;"Please help me keep my healthcare insurance. @ SaxbyChambliss @ SenatorIsakson @ sendavidperdue # PreExistingCondition # CysticFibrosispic.twitter.com/fORcHDer9r";;@ @ @;# #;"889605665995489284";https://twitter.com/hcenaoj/status/889605665995489284
twittymcdaniels;2017-07-24 17:56;0;0;"@ sendavidperdue @ SenatorIsakson Nursing homes and long-term care facilities receive the majority of their funding from Medicaid. # VoteNoMTP";;@ @;#;"889605245801725954";https://twitter.com/twittymcdaniels/status/889605245801725954
RichardCarvlin;2017-07-24 17:47;0;0;"@ SenateMajLdr @ SenGillibrand @ SenJohnMcCain @ sendavidperdue Please back up and fix health care - don't punish us for pre existing woes!";;@ @ @ @;;"889603020690001921";https://twitter.com/RichardCarvlin/status/889603020690001921
JMSim70;2017-07-24 17:33;0;0;"Are you going to vote to deprive millions of healthcare tomorrow @ SenatorIsakson @ sendavidperdue? Shame on you!";;@ @;;"889599362581573632";https://twitter.com/JMSim70/status/889599362581573632
ronaldfparsons;2017-07-24 17:20;0;1;"Your constituents are depending on you, @ SenCapito @ sendavidperdue @ senatorisakson. Vote 'no' on # Obamacare repeal. # ACA";;@ @ @;# #;"889596252941418499";https://twitter.com/ronaldfparsons/status/889596252941418499
rabbit3411;2017-07-24 17:17;0;0;"Health care not Game-Medical Associations oppose GOP bill! They are Experts. Vote NO @ SenatorIsakson @ sendavidperdue @ POTUShttps://twitter.com/rsegbers/status/889593512722870273 …";;@ @ @;;"889595355385540609";https://twitter.com/rabbit3411/status/889595355385540609
nwharrison2;2017-07-24 17:11;0;1;"I believe he is a republican that cares about citizens @ sendavidperdue @ SenatorIsakson @ RepDougCollinshttps://twitter.com/johnkasich/status/889522009264332804 …";;@ @ @;;"889593902608601088";https://twitter.com/nwharrison2/status/889593902608601088
bllbrwn423;2017-07-24 16:56;0;0;"Your constituents are depending on you, @ sendavidperdue. Vote 'no' on # Obamacare repeal.";;@;#;"889590173700370432";https://twitter.com/bllbrwn423/status/889590173700370432
travisjnichols;2017-07-24 16:56;0;1;"Called @ sendavidperdue. Staffer: "We're not sure what will be voted on, but we've heard there might be a vote tomorrow." # TrumpcareKills";;@;#;"889590122437627904";https://twitter.com/travisjnichols/status/889590122437627904
whitehousechron;2017-07-24 16:44;2;4;"Attn @ sendavidperdue & @ SenatorIsakson: Please do not vote for a bill that takes healthcare away from millions of Americans.";;@ @;;"889587007764271104";https://twitter.com/whitehousechron/status/889587007764271104
Nolanelle;2017-07-24 16:36;0;0;"@ SenatorTimScott @ SenTomCotton @ SenatorRisch @ sendavidperdue Schumer:OcareUnConst!doFULL REPEAL&inclCngrss&FedEmpl. https://twitter.com/lrihendry/status/889150248089767936 ….";;@ @ @ @;;"889585081593057280";https://twitter.com/Nolanelle/status/889585081593057280
