Suhalper;2017-07-24 19:52;0;0;"@ SenDonnelly Please vote against the Trump/McConnell healthcare disaster";;@;;"889634404519350272";https://twitter.com/Suhalper/status/889634404519350272
mrduffy3;2017-07-24 19:50;0;0;"Cut Federal taxes, and States can raise taxes to cover healthcare.https://twitter.com/sendonnelly/status/889603807927316480 …";;;;"889633888234024962";https://twitter.com/mrduffy3/status/889633888234024962
maria_secviar;2017-07-24 19:39;0;3;"Vote NO on Healthcare bill";;;;"889631113152430080";https://twitter.com/maria_secviar/status/889631113152430080
whaehl;2017-07-24 19:17;0;0;"@ SenToddYoung @ SenDonnelly There are just too many unknowns for this MD-please vote NO on healthcare MTP. Get together and fix ACA.";;@ @;;"889625547223052288";https://twitter.com/whaehl/status/889625547223052288
simply_crushed;2017-07-24 19:13;0;0;"@ LillyPad is not his only donor who's in the pharmaceutical business either. He cares about his donors not everyday Hoosiers. It's all talk.";;@;;"889624646345256963";https://twitter.com/simply_crushed/status/889624646345256963
IndGreenParty;2017-07-24 19:05;1;5;"What about the other millions of people who will still not have access to healthcare? What about them?";;;;"889622627316359168";https://twitter.com/IndGreenParty/status/889622627316359168
EllenMorris1222;2017-07-24 18:51;0;0;"Yes this needs passed Under the GOP healthcare plan these office healthcare would be capped";;;;"889618950086066178";https://twitter.com/EllenMorris1222/status/889618950086066178
HugoTheImpaler;2017-07-24 18:36;1;3;"@ SenDonnelly Hoosiers thank Sen Donnelly for standing up for Hoosiers healthcare. Wish both Senators did.";;@;;"889615219395350529";https://twitter.com/HugoTheImpaler/status/889615219395350529
gouldjm16;2017-07-24 17:54;2;5;"I am scared to death. We cannot take another increase in deductibles from our employer insurance. We're already in debt $15k to St Vincents.";;;;"889604813402583041";https://twitter.com/gouldjm16/status/889604813402583041
SenDonnelly;2017-07-24 17:50;78;183;"If the Senate moves forward w/ health care repeal, Joe will offer an amendment that would protect Medicaid, including HIP 2.0.pic.twitter.com/4V3ZxBNQsY";;;;"889603807927316480";https://twitter.com/SenDonnelly/status/889603807927316480
pegduncan0812;2017-07-24 17:15;0;0;"@ SenDonnelly Your constituents are depending on you. Vote 'no' on # Obamacare repeal.";;@;#;"889594971589836800";https://twitter.com/pegduncan0812/status/889594971589836800
terryhoffman191;2017-07-24 17:03;0;0;"Sounds like the same clowns torpedoeing our healthcare.";;;;"889591807977422848";https://twitter.com/terryhoffman191/status/889591807977422848
KimKHannel;2017-07-24 16:48;4;10;"Dear @ SenDonnelly, @ SenToddYoung: Please serve Hoosiers by stopping ridiculous votes on nonpassable bills and starting fixes to healthcare";;@ @;;"889588131636367360";https://twitter.com/KimKHannel/status/889588131636367360
hyacinthgirl80;2017-07-24 16:42;0;0;"@ SenDonnelly @ SenToddYoung I strongly urge you to oppose the GOP health bill. Healthcare over wealthcare!";;@ @;;"889586715983261697";https://twitter.com/hyacinthgirl80/status/889586715983261697
texastreker;2017-07-24 16:37;0;0;"@ SenDonnelly Please do not repeal Obama care (maybe fix parts of it) I'm on a fixed income with two new heart valves.";;@;;"889585326284570625";https://twitter.com/texastreker/status/889585326284570625
INInstitute;2017-07-24 14:25;5;1;"Indiana would lose $4.9B for poor, disabled & elderly on Medicaid under # BCRA @ SenToddYoung @ SenDonnelly @ GovHolcomb http://www.journalgazette.net/news/local/indiana/20170719/health-care-plan-would-have-cost-indiana-nearly-5-billion …";;@ @ @;#;"889552206533349376";https://twitter.com/INInstitute/status/889552206533349376
unifyusa;2017-07-24 12:20;2;0;". @ SenDonnelly # AHCA is NOT ACA # FullRepeal. Repeal taxes, reformMedicaid &Empower states # repealobamacare @ POTUSpic.twitter.com/ZIxUB7cscN";;@ @;# # #;"889520563252637697";https://twitter.com/unifyusa/status/889520563252637697
Dave_2014;2017-07-24 11:42;0;0;"@ tedcruz @ SenDonnelly @ SenToddYoung 1)Catastrophic health care insurance only 2)freedom to opt out of all 3) no sniffle coverage # MAGA";;@ @ @;#;"889511005876887552";https://twitter.com/Dave_2014/status/889511005876887552
wtfdoicare33;2017-07-24 11:40;0;0;"Love u @ ChrisMurphyCT but @ RandPaul Wants # DEATHCARE 2 B Even more # Inhumane What Kind of Person Wants something that will Kill Hes # Fakepic.twitter.com/B5fC0e2XWy";;@ @;# # #;"889510496885407744";https://twitter.com/wtfdoicare33/status/889510496885407744
maharet806;2017-07-24 09:41;0;0;"@ SenDonnelly was told a bill including a pay raise for home health aids&caregivers in grouphomes was approved&in effect 7-1-17, true or no?";;@;;"889480594236878848";https://twitter.com/maharet806/status/889480594236878848
toiletpoopincat;2017-07-24 06:56;0;0;"@ sendonnelly loves Obamacare. He is coming up for reelection in 2018. VOTE HIM OUT!!! # CleanRepealNow http://www.donnelly.senate.gov/newsroom/article/donnelly-sticks-to-promise-to-vote-no-as-proceedings-begin-to-repeal-obamacare …";;@;#;"889439114747097088";https://twitter.com/toiletpoopincat/status/889439114747097088
safetysuzie;2017-07-23 22:18;0;0;"@ SenDonnelly please vote no one the healthcare bill. I hate seeing people go without coverage. Please encourage everyone to do right.";;@;;"889308860896468992";https://twitter.com/safetysuzie/status/889308860896468992
silversdave;2017-07-23 14:43;0;0;"@ SenDonnelly @ SenToddYoung # America depends on you 2 bring people together NO # Russia # Autocrats or # Oligarchy Creative @ Healthcare # RTpic.twitter.com/aFXZsUK4ha";;@ @ @;# # # # #;"889194291028996097";https://twitter.com/silversdave/status/889194291028996097
CannonballRoll;2017-07-23 13:42;0;0;"I don't think they care. It's not about that but about destroying the US. Right @ SenDonnelly ? https://twitter.com/TheMarkRomano/status/889117646586757120 …";;@;;"889178923954843651";https://twitter.com/CannonballRoll/status/889178923954843651
DanSpehler;2017-07-23 09:36;2;2;"# INfocus: @ SenDonnelly talks health care, outsourcing controversies NOW on @ FOX59 http://via.fox59.com/SP3uT";;@ @;#;"889116892408852480";https://twitter.com/DanSpehler/status/889116892408852480
ronholliday;2017-07-22 19:48;0;0;"I totally agree, this is what Trump wants also. By the way vote to replace Obama care.";;;;"888908607273807874";https://twitter.com/ronholliday/status/888908607273807874
