BRGooley;2017-07-24 19:57;0;0;"Because he's the one of the Senators from MY STATE, THANKS!. I asked him before he ran if was going to do anything about healthcare.";;;;"889635660407156740";https://twitter.com/BRGooley/status/889635660407156740
dimitriouesq;2017-07-24 19:49;0;0;"But @ realDonaldTrump @ POTUS @ WhiteHouse don't care, they just want a win for themselves not the American people @ SenFeinstein @ SenFranken https://twitter.com/nytimes/status/889578711145754625 …";;@ @ @ @ @;;"889633776971788289";https://twitter.com/dimitriouesq/status/889633776971788289
bkabstract;2017-07-24 19:19;0;0;"Thank you for your conscientiousness. I have end-stage liver disease - awaiting a transplant. I'm covered under the ACA. Trumpcare=death 4me";;;;"889626232341626882";https://twitter.com/bkabstract/status/889626232341626882
robin_shell;2017-07-24 19:14;1;1;"Health care. This other stuff is important, but dear God, we need you lighting fires on the floor of the Senate right now.";;;;"889624791627509769";https://twitter.com/robin_shell/status/889624791627509769
HollyMorris2;2017-07-24 19:06;0;1;"What is the dems counter to sad stories Trump told today? What r the fixes to Ocare? What are you doing besides saying NO to rep plan? Cmon";;;;"889622881545662464";https://twitter.com/HollyMorris2/status/889622881545662464
Layofflist;2017-07-24 18:39;7;13;"# trumpcare kills: The @ GOP plan for # Obamacare could kill more people each year than gun homicides - Vox https://www.vox.com/policy-and-politics/2017/3/14/14921962/ahca-mortality-gun-homicides …";;@;# #;"889615995601641472";https://twitter.com/Layofflist/status/889615995601641472
MidSentryModern;2017-07-24 18:35;0;0;"# MedicareForAll";;;#;"889615104920113153";https://twitter.com/MidSentryModern/status/889615104920113153
Shedrawsnigh;2017-07-24 18:20;0;0;"THANK YOU @ SenFranken @ amyklobuchar for standing w/Minnesotans & all Americans against this egregious assault on our lives. # Trumpcarekills";;@ @;#;"889611238149410816";https://twitter.com/Shedrawsnigh/status/889611238149410816
mickeydise;2017-07-24 18:18;0;0;"@ SenFranken I know you're going to vote NO on the vile GOP wealthcare bill & as a Minnesotan that gets her insurance thru OCare, I THANK YOU";;@;;"889610743066263556";https://twitter.com/mickeydise/status/889610743066263556
VVeljkovich;2017-07-24 18:16;2;3;"Demand Universal health care now";;;;"889610139354968066";https://twitter.com/VVeljkovich/status/889610139354968066
BurgerDogBoy;2017-07-24 18:11;0;0;"@ SenFranken The healthcare landscape would be improved if you ban pharma advertising to consumers.";;@;;"889608952337641476";https://twitter.com/BurgerDogBoy/status/889608952337641476
SenFranken;2017-07-24 17:59;464;1355;"LIVESTREAM ➝ I'm joining fellow @ SenateDems & Americans who are speaking out against unacceptable health care plan. https://www.facebook.com/senatoralfranken/posts/1443949325690945 …";;@;;"889605963816292352";https://twitter.com/SenFranken/status/889605963816292352
kellykausel;2017-07-24 17:54;0;0;"@ SenFranken Thank You for opposing cuts and caps to # Medicaid in the recent healthcare proposals.";;@;#;"889604607286153216";https://twitter.com/kellykausel/status/889604607286153216
streamingdan82;2017-07-24 16:54;0;1;"I would not vote for a "Mystery Box either; esp. if intuition told me the # HealthcareBill Mystery Box contained a stinking turd . Bad Deal.";;;#;"889589556978229248";https://twitter.com/streamingdan82/status/889589556978229248
Quels612;2017-07-24 16:38;0;4;"Thank you to @ SenFranken and @ amyklobuchar for their continued opposition to all of the terrible GOP # Healthcare, sorry, tax cut, plans.";;@ @;#;"889585496476745728";https://twitter.com/Quels612/status/889585496476745728
RRmarches;2017-07-24 16:27;0;0;"@ SenFranken How about I get the same health care u voted for yourselves. The more people, the lower cost. Give me that.";;@;;"889582886831235072";https://twitter.com/RRmarches/status/889582886831235072
chrismiles590;2017-07-24 16:25;0;0;"# TrumpRyandeathcareact";;;#;"889582209207857152";https://twitter.com/chrismiles590/status/889582209207857152
streetplayer13;2017-07-24 16:08;0;0;"@ SenFranken you need to press Senator Rubio for the ACA mess with the exchanges: https://www.google.com/amp/s/mobile.nytimes.com/2015/12/10/us/politics/marco-rubio-obamacare-affordable-care-act.amp.html …";;@;;"889577942963113984";https://twitter.com/streetplayer13/status/889577942963113984
amazingMeagen;2017-07-24 15:49;0;0;"Thank you, in advance, voting "No" to Trumpcare. @ SenFranken @ amyklobuchar cc: @ keithellison @RepErikPaulsen # MNvoterhttps://twitter.com/benwikler/status/889290090773712896 …";;@ @ @ @RepErikPaulsen;#;"889573187478073345";https://twitter.com/amazingMeagen/status/889573187478073345
KellyMOSullivan;2017-07-24 15:48;1;1;"Govt can't make laws based on a war of anecdotes. Show us the statistics and studies, @ realDonaldTrump. # Healthcare # SinglePayer @ SenFranken";;@ @;# #;"889572975632150529";https://twitter.com/KellyMOSullivan/status/889572975632150529
scoobamg;2017-07-24 15:21;0;0;"@ SenFranken I really hope you can get a chance to read my letter I e-mailed you about heath care reform. I am terribly worried.";;@;;"889566315719122948";https://twitter.com/scoobamg/status/889566315719122948
NCAgentOH;2017-07-24 14:13;0;0;"Cute pup. Does he get health care?";;;;"889549089817452544";https://twitter.com/NCAgentOH/status/889549089817452544
Rng314;2017-07-24 12:51;2;3;"Good article for catching up to the rest of the developed world in terms of universal care vs for profit http://worldofdtcmarketing.com/time-admit-truth-profit-healthcare-killing-us/as-i-see-it/ …pic.twitter.com/VOtYVDUPC8";;;;"889528465384452098";https://twitter.com/Rng314/status/889528465384452098
R5_2_Philly;2017-07-24 12:44;0;0;"I think it has something to do with a spine. @ ChuckGrassley care to give @ SenFranken your reason?";;@ @;;"889526775587491840";https://twitter.com/R5_2_Philly/status/889526775587491840
seb8165;2017-07-24 12:40;0;0;"@ SenFranken No Repeal! Fix it, don’t kill it! Medicare for All! Join the rest of the civilized world!";;@;;"889525656740139008";https://twitter.com/seb8165/status/889525656740139008
iam_truthseeker;2017-07-24 12:35;0;0;"I speak very carefully when it comes to law and case history and standing but I don't mention people's charges unless I actually am a da";;;;"889524360926580740";https://twitter.com/iam_truthseeker/status/889524360926580740
NanJanChr195877;2017-07-24 12:21;0;0;"Al keep fighting the fight for those of us who don't have it so easy. Without healthcare I wouldn't be here! @ SenFranken";;@;;"889520898562195458";https://twitter.com/NanJanChr195877/status/889520898562195458
TBeckhusen;2017-07-24 12:05;0;1;". @ SenFranken and @ amyklobuchar, please keep fighting the disastrous healthcare bills being put forward by Republicans.";;@ @;;"889516824198598656";https://twitter.com/TBeckhusen/status/889516824198598656
guy1749;2017-07-24 11:46;0;0;"This may be true but the GOP has the "Scare & Rob politics" technique down, DEMS need a positive message = So what will DEMs do?pic.twitter.com/7BaSoC20bW";;;;"889512035343634435";https://twitter.com/guy1749/status/889512035343634435
jwilkie2006;2017-07-24 11:34;0;0;"My daycare provider and her family are there every year and have been for decades!";;;;"889509172739530752";https://twitter.com/jwilkie2006/status/889509172739530752
SocialyteOnRyte;2017-07-24 11:31;0;0;"It's amazing that @ SenFranken The Small thinks Americans can see that many doctors! http://bit.ly/2t3HUo6 # healthcare # comedy";;@;# #;"889508228442329088";https://twitter.com/SocialyteOnRyte/status/889508228442329088
gabriel_drac;2017-07-24 11:30;0;0;"@ SenWarren @ SenFranken @ senschumer @NancyPelosi @ SenSanders This is worse than "letting Obamacare fail" this is deliberatelyaking it failhttps://twitter.com/ASlavitt/status/889143930629095425 …";;@ @ @ @NancyPelosi @;;"889508009671569408";https://twitter.com/gabriel_drac/status/889508009671569408
christenczech;2017-07-24 11:09;0;0;"Thing about Al, he puts Americans first over party. He genuinely cares.";;;;"889502921485889537";https://twitter.com/christenczech/status/889502921485889537
TiredPappy;2017-07-24 10:30;0;0;"Voters gobble-up the two-fisted handshake. He really cares about her!";;;;"889492935481454592";https://twitter.com/TiredPappy/status/889492935481454592
SenFranken;2017-07-24 10:13;108;746;"The Great MN Get-Together starts one month from today. Looking forward to talking to Minnesotans abt issues they care about at @ mnstatefair.pic.twitter.com/mAkShnBqJy";;@;;"889488648491720704";https://twitter.com/SenFranken/status/889488648491720704
MrBoozeman;2017-07-24 10:04;0;0;"@ SenFranken Watch out folks,Schumer,Pelosi, Frankton,they R going 2 take care of us.Better jobs,more money,looking out the Country.WHY NOW??";;@;;"889486396842536960";https://twitter.com/MrBoozeman/status/889486396842536960
sherianbird;2017-07-24 08:54;1;0;"Minnesota's DiaperBoy @ alfranken & Muslim @ RalphElllison think you should have Cuba's Healthcare while they have Best in US taxpayer HC.";;@ @;;"889468880309059584";https://twitter.com/sherianbird/status/889468880309059584
sherianbird;2017-07-24 08:48;0;0;"Hilarious to watch these Minn politicians with Congress's Gold Standard Health Care give a crap about Obamacare crashing & do O to help poor";;;;"889467324696317953";https://twitter.com/sherianbird/status/889467324696317953
keithdeerfield;2017-07-24 00:17;0;0;"NO one cares! Support term limits and stop life time pay an benefits to Congress an senate.";;;;"889338675091300352";https://twitter.com/keithdeerfield/status/889338675091300352
SaraKosiorek;2017-07-23 23:40;1;10;"How do we help from MN? You know, the place where the Senators are advocates for what's right. ( @ SenFranken & @ amyklobuchar.) # trumpcare";;@ @;#;"889329321491529729";https://twitter.com/SaraKosiorek/status/889329321491529729
sneakin;2017-07-23 21:05;0;0;"Here he comes @ TheDemocrats. What's your healthcare reform @ SenWarren @ SenFranken? https://twitter.com/realDonaldTrump/status/889274373689028609 …";;@ @ @;;"889290507368714240";https://twitter.com/sneakin/status/889290507368714240
bustella412;2017-07-23 19:23;0;0;"It isn't....they can still lie and risk perjury... And they don't care, but America we better care,because something is very wrong!!";;;;"889264752249143302";https://twitter.com/bustella412/status/889264752249143302
TrumpsCloset;2017-07-23 19:05;0;0;"@ SenFranken Are you scared? Kid Rock for US Senate. https://twitter.com/EagleGraphs/status/889132830449700864 …";;@;;"889260148262350848";https://twitter.com/TrumpsCloset/status/889260148262350848
Lynnsmith63Lynn;2017-07-23 17:41;0;1;"We don't care what u Nut jobs think";;;;"889239185726590983";https://twitter.com/Lynnsmith63Lynn/status/889239185726590983
Elisasspot;2017-07-23 17:39;0;0;"it's all the same lol a liar doesn't care or see the difference that is our error that something will jar them to moral fiber";;;;"889238511391559680";https://twitter.com/Elisasspot/status/889238511391559680
dennyl64_bob;2017-07-23 16:36;0;0;"Republicans are covering up for Trump. They only care about the country when they aren't in charge.";;;;"889222646071648257";https://twitter.com/dennyl64_bob/status/889222646071648257
