Ducey55;2017-07-24 19:50;0;1;"They don't care!!!";;;;"889633943980568576";https://twitter.com/Ducey55/status/889633943980568576
Ih8tweeting;2017-07-24 19:33;0;0;"Dont worry, thats how Obamacare got passed. It can be repealed the same way. RT @ SenJeffMerkley: (cont) http://tl.gd/nnvjjv";;@;;"889629563436900353";https://twitter.com/Ih8tweeting/status/889629563436900353
LouiseN91316;2017-07-24 19:26;1;1;". @ SenJeffMerkley # CensureMcConnell. He's suborning members' votes purely by party. Sentorduty to serve public good. Healthcare≠loyalty oath.";;@;#;"889627814370127872";https://twitter.com/LouiseN91316/status/889627814370127872
Rod2ak;2017-07-24 19:25;0;0;"Good idea wait until Obamacare completely implodes then Democrats will be hot to trot to fix it.";;;;"889627594882207746";https://twitter.com/Rod2ak/status/889627594882207746
LouiseN91316;2017-07-24 19:24;0;0;"@ SenJeffMerkley # CensureMcConnell He's suborning members to vote purely by party. Violates duty to servepublic gd. Healthcare≠loyalty oath";;@;#;"889627359690842112";https://twitter.com/LouiseN91316/status/889627359690842112
duckbil;2017-07-24 19:22;0;0;"Working American families, that's who. The one's your party could care less about.";;;;"889626820282273792";https://twitter.com/duckbil/status/889626820282273792
divercrew;2017-07-24 19:21;0;0;"Rich? A 59 year old guy that worked his whole life and saved and did without. Between healthcare insure and property taxes 2400.00 per month";;;;"889626569932713991";https://twitter.com/divercrew/status/889626569932713991
SpartanJayJay;2017-07-24 19:20;0;0;"Yes. It's a massive tax cut for the rich paid for by taking healthcare from sick and poor people.";;;;"889626412050776064";https://twitter.com/SpartanJayJay/status/889626412050776064
vincentpdx;2017-07-24 19:15;1;0;"We count on you to stand up against @ GOP schemes and death spiral # HealthcareBill";;@;#;"889625203793215488";https://twitter.com/vincentpdx/status/889625203793215488
SANITY_or_not;2017-07-24 19:09;1;0;"NOW this idiot wants 2know what's in the healthcare bill. @ SenJeffMerkley are going to vote NO on the bill like you should have last time? https://twitter.com/SenJeffMerkley/status/889562714594570242 …";;@;;"889623654799208449";https://twitter.com/SANITY_or_not/status/889623654799208449
emsgrammasays;2017-07-24 19:06;0;0;"Given his threats @ GOP clearly apparent he doesn't work 4 22m citizens. # Only1percenters # LiarInChief Tax cut doesn't belong n hlthcare bill";;@;# #;"889622755246833665";https://twitter.com/emsgrammasays/status/889622755246833665
ckamilos;2017-07-24 18:55;0;0;"Your constituents are depending on you, @ Wyden @ SenJeffMerkley. Vote 'no' on # Obamacare repeal.";;@ @;#;"889620148382052359";https://twitter.com/ckamilos/status/889620148382052359
SenJeffMerkley;2017-07-24 18:50;357;518;"7k nuns (100 pgs of signatures!) tell @ SenateGOP: Taking # healthcare away from millions is “simply immoral.” GOP should listen! # KillTheBillpic.twitter.com/LlvAbEcPV9";;@;# #;"889618852841226240";https://twitter.com/SenJeffMerkley/status/889618852841226240
rosie97213;2017-07-24 18:47;0;0;"why do you care you have the gold star healthcare..you get on Obama care and see that works out.";;;;"889618055113912326";https://twitter.com/rosie97213/status/889618055113912326
KellyLevenda;2017-07-24 18:45;0;2;"Does this include universal health care and free college tuition?";;;;"889617643921133568";https://twitter.com/KellyLevenda/status/889617643921133568
rosie97213;2017-07-24 18:44;0;0;"maybe you should have a talk with @ OregonGovBrown, she is taxing us right out of our homes...like the healthcare tax!!";;@;;"889617192551055364";https://twitter.com/rosie97213/status/889617192551055364
NBlard;2017-07-24 18:39;0;0;"@ SenJeffMerkley Here are 95 stories why proprietary tax cut bill isnt good health care coverage for ppl or economy http://bit.ly/95StoriesAm pic.twitter.com/ljiRNaWUsQ";;@;;"889615988353884161";https://twitter.com/NBlard/status/889615988353884161
DrNat01;2017-07-24 18:31;0;0;"It's a total travesty of our democracy! The GOP want a "win" so badly, they don't care how many Americans will actually lose.";;;;"889614072085348352";https://twitter.com/DrNat01/status/889614072085348352
PoxNewsCEO;2017-07-24 18:10;0;0;"Yes, it's great. Probably the best healthcare bill ever! And we'll make dead people pay for it!";;;;"889608714096971779";https://twitter.com/PoxNewsCEO/status/889608714096971779
