kristhecoltsfan;2017-07-24 19:59;0;0;"@ SenToddYoung # VoteNo to the health care bill.";;@;#;"889636309186359298";https://twitter.com/kristhecoltsfan/status/889636309186359298
chickxcoffee;2017-07-24 19:44;0;1;"People of Indiana @ SenToddYoung is against Obamacare and doesn't care if you have any coverage to replace it.";;@;;"889632471159066624";https://twitter.com/chickxcoffee/status/889632471159066624
josh_wick;2017-07-24 19:27;0;0;"@ SenToddYoung hey man, just a Hoosier reminding you that repealing obamacare with no suitable replacement is not a good choice.";;@;;"889628203756793856";https://twitter.com/josh_wick/status/889628203756793856
lessandsee;2017-07-24 19:24;0;0;"@ SenToddYoung will the GOP healthcare bill help people or cause more deaths? https://twitter.com/indems/status/889480789905227777 …";;@;;"889627406146969600";https://twitter.com/lessandsee/status/889627406146969600
graciesu;2017-07-24 19:22;1;2;"Former GOP senator: @ SenToddYoung, Resist the bullying. Don't vote for a mystery health care bill. https://usat.ly/2uYjBsq  via @ usatoday";;@ @;;"889626988566257664";https://twitter.com/graciesu/status/889626988566257664
hollypockets101;2017-07-24 19:20;0;1;"@ SenToddYoung thanks for letting Hoosiers know u care nothing for their health & welfare! # VoteYouOut # VoteNoTrumpcare";;@;# #;"889626313946001411";https://twitter.com/hollypockets101/status/889626313946001411
whaehl;2017-07-24 19:17;0;0;"@ SenToddYoung @ SenDonnelly There are just too many unknowns for this MD-please vote NO on healthcare MTP. Get together and fix ACA.";;@ @;;"889625547223052288";https://twitter.com/whaehl/status/889625547223052288
ptgranny58;2017-07-24 19:09;0;0;"@ SenToddYoung Please do not vote for health care bill this week!";;@;;"889623714148610048";https://twitter.com/ptgranny58/status/889623714148610048
srinne61;2017-07-24 19:01;0;0;"@ SenToddYoung isn't it enough that so many Hoosier will lose health care? Don't jeopardize the most vulnerable!";;@;;"889621495445585921";https://twitter.com/srinne61/status/889621495445585921
TeriGRight;2017-07-24 18:52;2;1;". @ sentoddyoung Coverage isn't care! Keep fighting for # FullRepeal! # PJNETpic.twitter.com/Mw96Bdxo08";;@;# #;"889619320267051013";https://twitter.com/TeriGRight/status/889619320267051013
Angel_of_Reason;2017-07-24 18:42;0;0;"@ SenToddYoung Vote no on healthcare repeal. Hoosier lives depend on decent healthcare. Fix what's broken but don't leave people uninsured.";;@;;"889616805895036933";https://twitter.com/Angel_of_Reason/status/889616805895036933
HugoTheImpaler;2017-07-24 18:36;1;3;"@ SenDonnelly Hoosiers thank Sen Donnelly for standing up for Hoosiers healthcare. Wish both Senators did.";;@;;"889615219395350529";https://twitter.com/HugoTheImpaler/status/889615219395350529
SaoirseMoore;2017-07-24 18:32;0;0;"@ mikecrapo @ jimrisch @ sentoddyoung @ senjoniernst @ senpatroberts @ jerrymoran VOTE NO on healthcare bill CONSTITUENTS FIRST";;@ @ @ @ @ @;;"889614360028557312";https://twitter.com/SaoirseMoore/status/889614360028557312
HugoTheImpaler;2017-07-24 18:30;0;3;"@ gop Vote NO. Repeal is not healthcare.";;@;;"889613755117690882";https://twitter.com/HugoTheImpaler/status/889613755117690882
beydiana;2017-07-24 18:30;0;5;"Trumpcare is nothing but a tax cut for the wealthy.";;;;"889613670208217092";https://twitter.com/beydiana/status/889613670208217092
white3884;2017-07-24 18:19;0;0;"@ SenToddYoung vote NO on harmful bill. We want quality healthcare not tax breaks.";;@;;"889610952110481409";https://twitter.com/white3884/status/889610952110481409
INDems;2017-07-24 18:14;20;21;"ALERT: @ SenToddYoung says he's "undecided" on health care. Let's help inform his vote. CALL NOW! # ProtectourCarepic.twitter.com/gzt3df69IC";;@;#;"889609639427530753";https://twitter.com/INDems/status/889609639427530753
LydaAstrove;2017-07-24 18:05;0;0;"Does he know that national Down syndrome and autism groups say "vote no?" Or does he not care about people with I/DD either?";;;;"889607417130090496";https://twitter.com/LydaAstrove/status/889607417130090496
kevspind;2017-07-24 17:59;0;8;"Protect Hoosiers, reject the health care bill!";;;;"889606020187684864";https://twitter.com/kevspind/status/889606020187684864
lovinowls101;2017-07-24 17:56;0;0;"@ SenToddYoung please vote NO to support new healthcare bill/ repeal of ACA https://twitter.com/indems/status/889594035882545152 …";;@;;"889605176721629184";https://twitter.com/lovinowls101/status/889605176721629184
colcbrow;2017-07-24 17:55;0;0;"I'm a Palliative MD & a human-it's appalling that anyone support MTP on repealing healthcare for millions of Americans. @ SenToddYoung # hpmhttps://twitter.com/choo_ek/status/888126067935924225 …";;@;#;"889604958328430594";https://twitter.com/colcbrow/status/889604958328430594
Juniper2082;2017-07-24 17:50;0;0;"@ SenToddYoung Pls vote against Trumpcare. It is cruel, its wrong. Do the right thing: put your constituents over trump. Vote No.";;@;;"889603800641785856";https://twitter.com/Juniper2082/status/889603800641785856
oryancare;2017-07-24 17:49;0;0;"We Are Watching @ VP @ RepJimBanks @ RepWalorski @ RepLarryBucshon @ ToddRokita @ SenToddYoung @ RepTrey @ SusanBrooksIN @LukeMesserIN @ DanCoats";;@ @ @ @ @ @ @ @ @LukeMesserIN @;;"889603367806304256";https://twitter.com/oryancare/status/889603367806304256
kellykerrcook;2017-07-24 17:42;0;0;"@ SenToddYoung I've emailed and tweeted several times to ask you to dump the healthcare proposed by the Senate. Please vote no this week!";;@;;"889601672103833602";https://twitter.com/kellykerrcook/status/889601672103833602
whrddmycntrygo;2017-07-24 17:35;0;0;"@ SenToddYoung Vote NO on the latest healthcare revision/travesty. We deserve better than this.";;@;;"889599936525983744";https://twitter.com/whrddmycntrygo/status/889599936525983744
queenadalite;2017-07-24 17:29;0;1;"# Indiana Let @ SenToddYoung know how you feel about tax cuts for the rich and cuts to your # healthcare. # maga # resisthttps://twitter.com/INDems/status/889594035882545152 …";;@;# # # #;"889598342178779138";https://twitter.com/queenadalite/status/889598342178779138
INDems;2017-07-24 17:12;14;10;"In case you'd like to give @ SenToddYoung a ring & help inform his vote on # wealthcare, his office can be reached at (202)-224-5623.https://twitter.com/mgroppe/status/889564398955753475 …";;@;#;"889594035882545152";https://twitter.com/INDems/status/889594035882545152
chickxcoffee;2017-07-24 17:08;0;1;"Called @ SenToddYoung 's office. He wants to repeal Obamacare and is looking to get a consensus of 60 to vote against it. # Resist";;@;#;"889593094160756737";https://twitter.com/chickxcoffee/status/889593094160756737
Save_Savannah_;2017-07-24 16:57;5;0;". @ SenToddYoung is a yes on motion to proceed. His staff could not tell me what I should do if my kid is stripped of her healthcare.";;@;;"889590284421664768";https://twitter.com/Save_Savannah_/status/889590284421664768
KimKHannel;2017-07-24 16:48;4;10;"Dear @ SenDonnelly, @ SenToddYoung: Please serve Hoosiers by stopping ridiculous votes on nonpassable bills and starting fixes to healthcare";;@ @;;"889588131636367360";https://twitter.com/KimKHannel/status/889588131636367360
hyacinthgirl80;2017-07-24 16:42;0;0;"@ SenDonnelly @ SenToddYoung I strongly urge you to oppose the GOP health bill. Healthcare over wealthcare!";;@ @;;"889586715983261697";https://twitter.com/hyacinthgirl80/status/889586715983261697
DonaldStumpp;2017-07-24 16:41;0;0;"@ Healthcare_ABC Ribbon cutting for new @ WhitestownIN Dist facility w @ SenToddYoung pic.twitter.com/sOV8sJ77Kn";;@ @ @;;"889586257180991488";https://twitter.com/DonaldStumpp/status/889586257180991488
Defend_Trump;2017-07-24 16:30;1;2;"Thought we'd say hello to @ SenToddYoung & the good folks in # Indiana with this gentle reminder to # RepealObamacare http://www.committeetodefendthepresident.com/repeal-obamacare-IN/?pid=4664226&utm_source=facebook&utm_campaign=july&utm_medium=paid&red=list%2fadv%2frepeal-obamacare%3finitiativekey%3d70tidsjdsfjd …pic.twitter.com/LecI6mYUXJ";;@;# #;"889583682599747584";https://twitter.com/Defend_Trump/status/889583682599747584
spyrokeet;2017-07-24 16:18;0;10;"You still going to vote for Trumpcare even if you haven't read the bill? Sad times how you choose party over people.";;;;"889580688151904261";https://twitter.com/spyrokeet/status/889580688151904261
pegitha;2017-07-24 16:17;0;0;"@ SenToddYoung DO NOT REPEAL ACA. Work together to fix it - do the right thing for once in your career.";;@;;"889580196638097409";https://twitter.com/pegitha/status/889580196638097409
GypsyWoman1102;2017-07-24 16:15;0;0;"@ SenToddYoung Vote to debate Obama care on the Senate Floor.";;@;;"889579748493582337";https://twitter.com/GypsyWoman1102/status/889579748493582337
Vickie812;2017-07-24 16:13;0;0;"@ SenToddYoung What is your healthcare vote? I have called your office 7 times. Each time they say you are undecided. Vote NO!";;@;;"889579189183148033";https://twitter.com/Vickie812/status/889579189183148033
lbsal1121;2017-07-24 16:11;0;0;"@ SenToddYoung The people R counting on U to VOTE NO on healthcare bill that will hurt millions! Nd. bipartisan not @ realDonaldTrump bully!";;@ @;;"889578795216359425";https://twitter.com/lbsal1121/status/889578795216359425
oldboiler52;2017-07-24 16:05;0;2;"17 % of AMERICANS want you to take away health care most of them like you work for the Koch brothers or are the top 1% who want lower taxes.";;;;"889577181340454915";https://twitter.com/oldboiler52/status/889577181340454915
sfelling;2017-07-24 15:59;4;6;"@ SenToddYoung please vote NO on this disastrous health care bill. It will hurt many Hoosiers. Read the polls, have a town hall!";;@;;"889575824407625732";https://twitter.com/sfelling/status/889575824407625732
KathyWitwer;2017-07-24 15:54;0;0;"@ SenToddYoung please work with demo to improve our current health care.";;@;;"889574617978986496";https://twitter.com/KathyWitwer/status/889574617978986496
sfelling;2017-07-24 15:54;0;0;"@ SenToddYoung vote NO on this disaster of a health care plan. It's an awful bill that would hurt Hoosiers. Read the polls,have a town hall!";;@;;"889574477792780293";https://twitter.com/sfelling/status/889574477792780293
SMViny;2017-07-24 15:49;0;0;"@ SenToddYoung please vote No on Healthcare repeal/reform. This will devastate many. https://twitter.com/topherspiro/status/889487372152385537 …";;@;;"889573310744457216";https://twitter.com/SMViny/status/889573310744457216
LoriKolish;2017-07-24 15:44;0;0;"Repeal the health care and replace, if not replace right now at least Repeal! This republican congress and senate promised! Do it";;;;"889572071755403264";https://twitter.com/LoriKolish/status/889572071755403264
