52fairway;2017-07-24 19:59;2;0;"Fix ACA ... WE DESERVE same care as @ SenJohnMcCain JOHN has ACA ...aka Obamacare! IT's good for McCain but not us?";;@;;"889636310528516096";https://twitter.com/52fairway/status/889636310528516096
uhwpa;2017-07-24 19:57;17;13;"@ SenToomey, 1 out of 3 PA home care workers could lose their job if you don't # KillTheBill. 1/3 of home care consumers losing caregivers.pic.twitter.com/IBUUtEdjCH";;@;#;"889635605277282304";https://twitter.com/uhwpa/status/889635605277282304
keyofrandom;2017-07-24 19:53;0;0;"Pretty sure history will look back and judge this Congress harshly for other reasons that are not "not repealing Obamacare." # medicare4all";;;#;"889634581623836672";https://twitter.com/keyofrandom/status/889634581623836672
Talents3777;2017-07-24 19:50;0;0;"@ SenToomey vote "no" on mystery healthcare bill. No dem amendments, no committee debate. Wrong on many levels. Save lives, don't kill ppl.";;@;;"889633850216861696";https://twitter.com/Talents3777/status/889633850216861696
Blackbunnyfibrz;2017-07-24 19:49;0;0;"@ SenToomey Repeal of the ACA/Obamacare would cost PA 137,00 jobs! Thanks, Pat! # ResistTrumpcare https://tinyurl.com/yb9jmuv5";;@;#;"889633681467420676";https://twitter.com/Blackbunnyfibrz/status/889633681467420676
Fista_Kifer;2017-07-24 19:49;0;0;"@ SenToomey Listen to your constituents, not your party. Say NO to taking away our # Healthcare. # HealthcareBill";;@;# #;"889633598772568066";https://twitter.com/Fista_Kifer/status/889633598772568066
FamousA398;2017-07-24 19:48;0;0;"@ SenToomey Doesn't care about his constituents. He'll vote to take healthcare away from them. # douche";;@;#;"889633420833423360";https://twitter.com/FamousA398/status/889633420833423360
bjorn_igar;2017-07-24 19:46;0;2;"The change in altitude & pressure could put his life in danger. GOP could care less.";;;;"889632964585431040";https://twitter.com/bjorn_igar/status/889632964585431040
AwnOnymous;2017-07-24 19:45;0;0;"@ SenToomey you most vote no and then seek to create a better plan by working with # Democrats # WorkTogether # uniteforbettercare";;@;# # #;"889632713384353794";https://twitter.com/AwnOnymous/status/889632713384353794
gregggonsalves;2017-07-24 19:42;4;5;". @ SenToomey, @ BillCassidy @ JeffFlake. Bill is a disaster. You don't have to vote for it. It takes healthcare and $$$ away from your states.";;@ @ @;;"889631845779988480";https://twitter.com/gregggonsalves/status/889631845779988480
abirish;2017-07-24 19:41;0;3;"Thank u senator 4 fighting 4 us. At least 1 senator in PA care. @ SenToomey";;@;;"889631762648838144";https://twitter.com/abirish/status/889631762648838144
