SenatorCantwell;2017-07-24 19:59;104;244;"I urge my Republican colleagues to listen to Americans & call off the vote on a mystery # healthcare bill WATCH NOW: https://www.senate.gov/floor/";;;#;"889636164851904513";https://twitter.com/SenatorCantwell/status/889636164851904513
PergamIC;2017-07-24 19:36;0;4;"I left messages 4 WA senators @ SenatorCantwell & @ PattyMurray to thank them 4 fighting against the "zombie" healthcare bill # DoctorsSpeakOut";;@ @;#;"889630393703563265";https://twitter.com/PergamIC/status/889630393703563265
ChangeSeats;2017-07-24 19:33;0;0;"RT @ SenatorCantwell: It’s mean of the @ SenateGOP to keep Americans in the dark about a bill that could devastate their # healthcare future";;@ @;#;"889629533539885062";https://twitter.com/ChangeSeats/status/889629533539885062
forresthealy;2017-07-24 18:52;1;5;"Thank you @ PattyMurray & @ SenatorCantwell for voting NO on Trumpcare. Hopefully, your GOP colleagues will have the courage to join you.";;@ @;;"889619372641333253";https://twitter.com/forresthealy/status/889619372641333253
Jkj193741;2017-07-24 18:43;1;1;"3/ KENTUCKY LOSES 541,000 COVERED CITIZENS!http://www.pressherald.com/2017/02/22/maine-voices-repeal-of-obamacare-would-leave-thousands-of-hardworking-mainers-in-the-lurch/ …";;;;"889617076805152768";https://twitter.com/Jkj193741/status/889617076805152768
ChangeSeats;2017-07-24 18:24;0;0;"RT @ SenatorCantwell: Whatever mean # healthcare bill @ SenateGOP pick it will still slash # Medicaid & offer no accep… http://buff.ly/2uuj7XR";;@ @;# #;"889612157154971649";https://twitter.com/ChangeSeats/status/889612157154971649
andrelambelet;2017-07-24 18:20;0;0;"@ PattyMurray @ SenatorCantwell: I know you will stand fast against the healthcare abomination McConnell is trying to force upon us. Thanks!";;@ @;;"889611324904361985";https://twitter.com/andrelambelet/status/889611324904361985
hichensa;2017-07-24 18:19;0;0;"Your constituents are depending on you, @ SenatorCantwell . Vote 'no' on # Obamacare repeal.We all know you are doing the right thing!";;@;#;"889611126719119361";https://twitter.com/hichensa/status/889611126719119361
RCourteau;2017-07-24 18:04;0;0;"We the People would like to know as well. @ SenJeffMerkley @ SenateDems @ PattyMurray @ SenatorCantwell @ nytimes @ nprpolitics # Healthcare billhttps://twitter.com/SenJeffMerkley/status/889562714594570242 …";;@ @ @ @ @ @;#;"889607127890776064";https://twitter.com/RCourteau/status/889607127890776064
GoLemonArmy;2017-07-24 18:02;0;0;"THANK YOU @ PattyMurray AND @ SenatorCantwell for standing against Trumpcare.";;@ @;;"889606629854806017";https://twitter.com/GoLemonArmy/status/889606629854806017
jcdemund;2017-07-24 17:59;0;0;"@ SenatorCantwell @ PattyMurray please keep fighting for real healthcare for Americans. No repeal of ACA. Improvements welcome!https://twitter.com/senatorcantwell/status/889578558351388678 …";;@ @;;"889605883348385793";https://twitter.com/jcdemund/status/889605883348385793
mkeil7274;2017-07-24 17:20;0;0;"Obamacare is not mean? You must not be on it.";;;;"889596102248349696";https://twitter.com/mkeil7274/status/889596102248349696
mollswalls50;2017-07-24 17:13;0;0;"Today should be about: Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare";;;;"889594382860431360";https://twitter.com/mollswalls50/status/889594382860431360
harlequin_van;2017-07-24 17:04;1;1;""mean"? Senator you are too kind. GOP of today epitomizes harsh evil. Men with great health care crucifying us.";;;;"889592092837552129";https://twitter.com/harlequin_van/status/889592092837552129
I_Harlequin;2017-07-24 17:02;0;0;"And it's scandalous to deny a single American healthcare because of political cowardice and unwillingness to fight for single payer.";;;;"889591642549657600";https://twitter.com/I_Harlequin/status/889591642549657600
SenatorCantwell;2017-07-24 17:00;8;16;"The Department of the @ Interior is key in protecting communities from these trends & the effects of # ClimateChange.https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;#;"889591019112603648";https://twitter.com/SenatorCantwell/status/889591019112603648
I_Harlequin;2017-07-24 16:58;0;0;"There's also a consensus that single payer is more cost effective and yields better outcomes? Ate you a healthcare denier?";;;;"889590726790594560";https://twitter.com/I_Harlequin/status/889590726790594560
SenatorCantwell;2017-07-24 16:53;8;24;"The nature and the pace of # ClimateChange will have serious impacts on our communities. https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;;#;"889589255948914688";https://twitter.com/SenatorCantwell/status/889589255948914688
SenatorCantwell;2017-07-24 16:50;15;51;"# Climate # science is not just some academic pursuit. We need this information for very important policy decisions.https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;;# #;"889588503717322752";https://twitter.com/SenatorCantwell/status/889588503717322752
SenatorCantwell;2017-07-24 16:46;31;92;"I remain committed to protecting federal employees who should be allowed to speak freely about # climate & # science. https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;;# #;"889587493942824960";https://twitter.com/SenatorCantwell/status/889587493942824960
SamuelMD83;2017-07-24 16:42;0;0;"Mean, discipline,&punishment hold society together.White ppl could have a socialist healthcare system, but we need to deport 3rd worlders";;;;"889586608588148736";https://twitter.com/SamuelMD83/status/889586608588148736
SenatorCantwell;2017-07-24 16:42;2;4;"@ Interior employees must be allowed to speak freely about # science and not be silenced https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;#;"889586487364399106";https://twitter.com/SenatorCantwell/status/889586487364399106
SamuelMD83;2017-07-24 16:39;0;0;"We can't have a functional socialist healthcare system with a third world population. # DeportThe3rds";;;#;"889585835556950017";https://twitter.com/SamuelMD83/status/889585835556950017
SenatorCantwell;2017-07-24 16:38;15;29;"I want to know: is @ SecretaryZinke committed to protecting these individuals & scientific budget that goes with themhttps://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;;"889585479342882816";https://twitter.com/SenatorCantwell/status/889585479342882816
SenatorCantwell;2017-07-24 16:34;16;31;"If Mr. Clement’s claims are true, this is unacceptable. @ SecretaryZinke must explain his agency’s actions https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;;"889584472441487360";https://twitter.com/SenatorCantwell/status/889584472441487360
SenatorCantwell;2017-07-24 16:33;35;109;"It’s mean of the @ SenateGOP to keep Americans in the dark about a bill that could devastate their # healthcare future";;@;#;"889584222301818881";https://twitter.com/SenatorCantwell/status/889584222301818881
SenatorCantwell;2017-07-24 16:31;16;29;"I want to know if the Department of the @ Interior is silencing # science. https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;#;"889583795342630913";https://twitter.com/SenatorCantwell/status/889583795342630913
SenatorCantwell;2017-07-24 16:29;32;84;"The Trump Administration is singling out the @ Interior Department’s scientists. I will not allow this to continue. https://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;;"889583441972428801";https://twitter.com/SenatorCantwell/status/889583441972428801
SenatorCantwell;2017-07-24 16:27;11;29;"I am asking the @ Interior Inspector General to investigate Mr. Clement’s claimshttps://www.washingtonpost.com/news/energy-environment/wp/2017/07/24/senate-democrats-demand-ig-probe-of-interiors-reassigning-top-career-officials/?utm_term=.26dab3e75728 …";;@;;"889582904237588480";https://twitter.com/SenatorCantwell/status/889582904237588480
MindyPortmann;2017-07-24 16:22;0;1;"So, an average of 11.4 million people are expected to be in Obamacare policies during 2017. How can 22-32 million lose their Obamacare?";;;;"889581673951752192";https://twitter.com/MindyPortmann/status/889581673951752192
AdamLivengood;2017-07-24 16:19;0;0;"on fixing health care, college affordability, loan debt, min wage, etc. Follow the @ TheDemocrats $$ flow. Same connections to elite donors";;@;;"889580869102444544";https://twitter.com/AdamLivengood/status/889580869102444544
NBlard;2017-07-24 16:19;0;0;"@ SenatorCantwell Thx for your work on health care. Here are 95 stories w proposed Amdmnts to Sen mystery bill http://bit.ly/95StoriesAm pic.twitter.com/NZwqYZcDaJ";;@;;"889580769458495492";https://twitter.com/NBlard/status/889580769458495492
M_M_Harden;2017-07-24 16:13;0;0;"@ PattyMurray @ SenatorCantwell Thank you for voting against Trumpcare. Thank you for resisting 45's horrible agenda.";;@ @;;"889579272892858368";https://twitter.com/M_M_Harden/status/889579272892858368
bart57579;2017-07-24 16:12;0;0;"And Aca was a failure and were told it would be and you didn't care .";;;;"889579102172135424";https://twitter.com/bart57579/status/889579102172135424
SenatorCantwell;2017-07-24 16:10;64;103;"Whatever mean # healthcare bill @ SenateGOP pick it will still slash # Medicaid & offer no acceptable # ACA replacementhttps://www.wsj.com/articles/senate-republicans-unsure-of-what-health-care-measure-they-will-vote-on-1500847669?mod=e2tw …";;@;# # #;"889578558351388678";https://twitter.com/SenatorCantwell/status/889578558351388678
NormaLo06183484;2017-07-24 16:09;0;0;". @ SenatorCantwell more than 17.5 million Americans like me depend on Medicare Advantage. Help us protect it! http://www.medicarechoices.org";;@;;"889578380810649601";https://twitter.com/NormaLo06183484/status/889578380810649601
jm_justice1;2017-07-24 15:39;0;1;"Let's repeal and replace obamacare. If you can not finish anything! Then why would we look to you start anything? You haven't proven u care.";;;;"889570833647058946";https://twitter.com/jm_justice1/status/889570833647058946
JimKingTweet;2017-07-24 15:38;0;0;"@ PattyMurray @ SenatorCantwell Stay strong against the Republican Senate Healthcare Bill which takes away healthcare for 22 M";;@ @;;"889570509439909888";https://twitter.com/JimKingTweet/status/889570509439909888
SusaMorgan;2017-07-24 13:07;0;1;"The laws of physics do not care about ideologies, bogus economic theories that discount physics and biology, or any human constructs.";;;;"889532466502946816";https://twitter.com/SusaMorgan/status/889532466502946816
ItheMissingLink;2017-07-24 12:44;4;4;"Vote NO # BCRA # tRumpCare Now # SaveObamacare # SaveACA @ PattyMurray @ SenatorCantwell # SinglePayer2018 # TheResistancehttps://twitter.com/bjorn_igar/status/889455882899247106 …";;@ @;# # # # # #;"889526651469430784";https://twitter.com/ItheMissingLink/status/889526651469430784
ItheMissingLink;2017-07-24 11:41;1;1;"Thanks, just called 202-224-3121 got a staffer @ SenatorCantwell left VM @ PattyMurray Vote NO # BCRA Save # Obamacare now # SinglePayer in 2018";;@ @;# # #;"889510787919749120";https://twitter.com/ItheMissingLink/status/889510787919749120
WomanResistorNC;2017-07-24 11:33;2;1;". @ SenatorCantwell, please # WorkTogether on real # HealthcareSOLUTIONS # ProtectOurCare Support HB676 Medicare 4 all!pic.twitter.com/gEeoKPr2jC";;@;# # #;"889508967889735680";https://twitter.com/WomanResistorNC/status/889508967889735680
Indivisible_WA9;2017-07-24 09:51;3;3;". @ PattyMurray @ SenatorCantwell We must stop Trumpcare. Vote NO on the first procedural vote—the “motion to proceed.”";;@ @;;"889483285247610880";https://twitter.com/Indivisible_WA9/status/889483285247610880
Plainsight2011;2017-07-24 01:46;0;0;"@ SenatorCantwell Counting on you to push Repub colleagues to vote no on motions to proceed w/Trumpcare. # NoTrumpCare # healthcare # SaveACA";;@;# # #;"889361069805715456";https://twitter.com/Plainsight2011/status/889361069805715456
snowdenlit;2017-07-24 00:57;0;0;"To my senators, @ PattyMurray and @ SenatorCantwell , in the upcoming health care votes, I just want you know, well…I’ll let the gif say it. pic.twitter.com/brvAKFqqkL";;@ @;;"889348822228320256";https://twitter.com/snowdenlit/status/889348822228320256
WendyBrandes;2017-07-23 23:55;1;1;". @ SenatorCantwell, please # WorkTogether on real # HealthcareSOLUTIONS that meet our needs & # ProtectOurCare. # TWpic.twitter.com/NcgDQLMA4q";;@;# # # #;"889333249515954177";https://twitter.com/WendyBrandes/status/889333249515954177
avenacj;2017-07-23 22:36;0;0;"How can we believe anything you say about our health care... the senator who takes $$$ from drug and health care ins co? @ SenatorCantwell";;@;;"889313220980330500";https://twitter.com/avenacj/status/889313220980330500
jgeth_jo;2017-07-23 19:30;0;0;"@ SenatorCantwell I urge you to support the “motion to proceed” to the Obamacare Repeal Reconciliation Act.";;@;;"889266392998051840";https://twitter.com/jgeth_jo/status/889266392998051840
dianneb;2017-07-23 17:31;0;0;"Random observation. The more Repubs attack Obamacare, the more people think about # SinglePayer # Medicare4All @ PattyMurray @ SenatorCantwell";;@ @;# #;"889236599380127744";https://twitter.com/dianneb/status/889236599380127744
sto_k;2017-07-23 12:38;0;0;"@ SenatorCollins @ lisamurkowski @ SenatorCantwell @ SenatorCantwell no # healthcare repeal, maintain the # ACAhttps://twitter.com/sahilkapur/status/889158352621719558 …";;@ @ @ @;# #;"889162938044395523";https://twitter.com/sto_k/status/889162938044395523
mjinverso;2017-07-22 21:28;0;0;"@ SenatorCantwell I urge you to support the “motion to proceed” to the Obamacare Repeal Reconciliation Act.";;@;;"888933693129199616";https://twitter.com/mjinverso/status/888933693129199616
lillimere;2017-07-22 18:51;0;0;"Remove elected officials exemption to the health care you legislate for your constituents. Small print is in every version written";;;;"888894304269119488";https://twitter.com/lillimere/status/888894304269119488
geaux_day;2017-07-22 08:08;0;0;"Universal Medicare fund by 10% fed sales tax collected/administered by states 10% federal income tax ind/corp";;;;"888732391367467008";https://twitter.com/geaux_day/status/888732391367467008
MatthewBoguske;2017-07-22 01:52;0;0;"@ SenatorCantwell I am a constituent concerned about the future of my health care. Put http://patientsbeforepolitics.org  and vote NO.";;@;;"888637743332556804";https://twitter.com/MatthewBoguske/status/888637743332556804
donbarbieri;2017-07-21 20:28;0;0;"@ SenatorCantwell @ SenSanders -"discussing McCain's diagnosis it isn’t political opportunism—it’s the goddamn point" http://washingtonjournal.com/2017/07/20/christian-pastor-just-said-democrats-pc-say-mccain-trumpcare/ …";;@ @;;"888556237146603520";https://twitter.com/donbarbieri/status/888556237146603520
francisconguy16;2017-07-21 18:58;0;1;"About 45 universal healthcare nations on earth. Americans are human like those. Why we don't deserve a better healthcare system? GOP hear us";;;;"888533719509647360";https://twitter.com/francisconguy16/status/888533719509647360
joeyinthewoods;2017-07-21 18:06;0;0;"# DefundPP # TermLimits # RepealObamacare";;;# # #;"888520507544322048";https://twitter.com/joeyinthewoods/status/888520507544322048
gato_danger;2017-07-21 18:04;0;5;"Medicare for All would solve this";;;;"888520103041482753";https://twitter.com/gato_danger/status/888520103041482753
Sherrishaw14;2017-07-21 17:13;0;0;"Just made my daily call. @ SenatorCantwell office aide assured me that Cantwell is an emphatic NO to # wealthcare";;@;#;"888507352726372352";https://twitter.com/Sherrishaw14/status/888507352726372352
LibbyW_13;2017-07-21 17:10;0;1;". @ PattyMurray @ SenatorCantwell thank you in advance for voting NO on any health care bill the GOP brings to floor that hurts Americans.";;@ @;;"888506390049734656";https://twitter.com/LibbyW_13/status/888506390049734656
louagb;2017-07-21 16:59;0;0;"I'm glad you are looking into this, Senator. Very concerning! Keep up the good work. No on Trumpcare/repeal (pretty sure that's a given)";;;;"888503791300911104";https://twitter.com/louagb/status/888503791300911104
ToyBoxUrbanFarm;2017-07-21 14:50;0;1;"When NPS has $1,120,000 to toss to city parks then we are being over taxed to the point that we cannot take care of city parks ourselves.";;;;"888471212497674240";https://twitter.com/ToyBoxUrbanFarm/status/888471212497674240
joeyinthewoods;2017-07-21 13:59;0;1;"OCare has thrown unsustainable amount of able bodied people on Medicaid. No longer helping those that actually need it. # RepealObamacare";;;#;"888458344553263106";https://twitter.com/joeyinthewoods/status/888458344553263106
HealHealthcare;2017-07-21 13:42;0;0;"To reiterate: I support federal subsidies for clean energy and oppose any federal support in any form for fossil fuel. cc: @ PattyMurray";;@;;"888454192452354048";https://twitter.com/HealHealthcare/status/888454192452354048
HealHealthcare;2017-07-21 13:30;0;0;"As your constituent, I oppose all govt support of fossil fuel industries. Retrain fossil fuel workers for clean energy jobs @ SenatorCantwell https://twitter.com/MarkRuffalo/status/888378659068928001 …";;@;;"888451104224104449";https://twitter.com/HealHealthcare/status/888451104224104449
gato_danger;2017-07-21 13:05;0;2;"Medicare for All would fix that";;;;"888444957802979328";https://twitter.com/gato_danger/status/888444957802979328
carolyncbarthel;2017-07-21 13:05;0;0;". @ SenatorCantwell U R vs killing ppl by lack of health care,but have no problm killing them SLOWLY w faster fossil fuel projects. # Hypocrisy";;@;#;"888444798188883968";https://twitter.com/carolyncbarthel/status/888444798188883968
SenatorCantwell;2017-07-21 13:03;65;143;"Your zip code should not determine your access to # healthcare & neither should the @ SenateGOP # healthcare bill http://www.bellinghamherald.com/news/article162421493.html …";;@;# #;"888444209509785600";https://twitter.com/SenatorCantwell/status/888444209509785600
DebbieLCS54P;2017-07-21 13:02;0;0;"@ SenatorCantwell Help get health care right. This is so ridiculous! People R hurting. OCARE FAIL. Do your job. Work across the aisle!";;@;;"888444115800555520";https://twitter.com/DebbieLCS54P/status/888444115800555520
wildmaresnw_b;2017-07-21 12:36;0;0;"@ SenatorCantwell # REPEAL&REPLACE # obamacare It's a DISASTER!";;@;# #;"888437604525326337";https://twitter.com/wildmaresnw_b/status/888437604525326337
McQuade925;2017-07-21 12:23;0;0;"Really...you have the audacity to say "wasting taxpayer $$$" seems you don't care to save taxpayer $$...you and # Bigpharma Murray...";;;#;"888434354988359680";https://twitter.com/McQuade925/status/888434354988359680
bjtucker60;2017-07-21 11:13;0;0;"@ SenatorCantwell Senator, repeal 100% of Obamacare, now! https://www.votervoice.net/AFA/campaigns/53675/respond …";;@;;"888416545839476736";https://twitter.com/bjtucker60/status/888416545839476736
gato_danger;2017-07-21 10:42;0;0;"Please tell @ SenatorCantwell & @ PattyMurray that Medicare for All could be a thing if they fought for it -- despite their donors' fear";;@ @;;"888408947555577857";https://twitter.com/gato_danger/status/888408947555577857
ChildrnAlliance;2017-07-20 19:06;1;2;"This unfixable bill would only hurt WA kids. Thank you @ PattyMurray @ SenatorCantwell for your steadfast opposition to cutting kids off care. https://twitter.com/PattyMurray/status/888083076206776321 …";;@ @;;"888173374098227201";https://twitter.com/ChildrnAlliance/status/888173374098227201
RobertW46559984;2017-07-20 15:51;0;0;"Single payer / Medicare for all! # MedicareForAll";;;#;"888124217190825984";https://twitter.com/RobertW46559984/status/888124217190825984
geekubed;2017-07-20 15:32;0;0;"Catching up on Twitter no surprise @ SenatorCantwell and @ PattyMurray talking about the senate coming together to work on # Healthcare. # fan";;@ @;# #;"888119433113223168";https://twitter.com/geekubed/status/888119433113223168
