ritamayfield2;2017-07-24 19:45;0;0;"Please vote no on the healthcare bill. How can you claim to be a Christian, or human being and do this to poor sick people. Olease vote no.";;;;"889632651954532352";https://twitter.com/ritamayfield2/status/889632651954532352
LazyCircles;2017-07-24 19:36;0;0;"@ SenatorLankford How can you blindly vote for a bill- zero hearings on its repercussions? Healthcare is not a car. VOTE NO TOMORROW # OKie";;@;#;"889630341870342144";https://twitter.com/LazyCircles/status/889630341870342144
okieSNL;2017-07-24 19:35;0;0;"@ SenatorLankford please do what is best for most Oklahomans with regard to healthcare. Fix it, don't just repeal on prncpl. Lives @stake!";;@ @stake;;"889630025913335808";https://twitter.com/okieSNL/status/889630025913335808
imawamba2;2017-07-24 19:23;1;2;"Why are you pretending to care? Are you afraid you will be the next target of tRump if you go against his wrongdoings?";;;;"889627018157056000";https://twitter.com/imawamba2/status/889627018157056000
OklahomaCheryl;2017-07-24 18:57;0;0;"@ SenatorLankford @ JimInhofe It's not 2014 anymore; Most like ACA. 17% like one of # Trumpcare bills with zero support of medical assoc or CBOhttps://twitter.com/PattyMurray/status/889616290310238211 …";;@ @;#;"889620682774020096";https://twitter.com/OklahomaCheryl/status/889620682774020096
TeriGRight;2017-07-24 18:57;9;5;". @ SenatorLankford Obamacare 2.0 isn't the promise! # FullRepeal is! # PJNETpic.twitter.com/OgjBpfSKeT";;@;# #;"889620643842600960";https://twitter.com/TeriGRight/status/889620643842600960
AmerIndivis;2017-07-24 18:48;0;0;". @ SenatorLankford . @ JimInhofe Please vote no on the health care bill. A broken ACA is much better than no insurance. Fix it, don't gut it.";;@ @;;"889618395364302849";https://twitter.com/AmerIndivis/status/889618395364302849
sallyray5;2017-07-24 18:41;1;1;"Is it worth the risk to rip healthcare from millions to give a tax cut to few? @ SenatorLankford @ JimInhofe # NoTrumpCare # SaveOurCarehttps://twitter.com/nytopinion/status/889615438472237058 …";;@ @;# #;"889616475547414529";https://twitter.com/sallyray5/status/889616475547414529
tobraavery;2017-07-24 18:31;0;0;". @ SenatorLankford @ JimInhofe As your constituent I am asking you vote NO on the Senate healthcare bill. It is NOT what is best for Americans";;@ @;;"889614048094015490";https://twitter.com/tobraavery/status/889614048094015490
Beverly72315857;2017-07-24 18:18;0;0;"You know @ SenatorLankford and @ senJamesInhofe that this health care bill is not the one to debate. # billrulesunfair";;@ @;#;"889610708022951936";https://twitter.com/Beverly72315857/status/889610708022951936
Justakitchenrat;2017-07-24 18:18;0;0;"Yes, Bobby. The senators know. They just don't care. In an oligarchy the rulers don't give a shit about the ruled classes.";;;;"889610658462957569";https://twitter.com/Justakitchenrat/status/889610658462957569
SusanHilgenfeld;2017-07-24 17:56;0;0;"@ RepMarkMeadows @RepDaveBrat @ SenTedCruz Rep Jim Jordan @ SenatorLankford need 2 lead. No vaca until healthcare/taxes done. # ReplaceSpkr-Ldr";;@ @RepDaveBrat @ @;#;"889605193536598016";https://twitter.com/SusanHilgenfeld/status/889605193536598016
DanSmith112263;2017-07-24 17:52;0;0;"Yes, please investigate why the GOP is without a moral compasshttp://nymag.com/daily/intelligencer/2017/06/trumps-sabotage-of-obamacare-is-working.html …";;;;"889604214892244994";https://twitter.com/DanSmith112263/status/889604214892244994
OGFirestarter;2017-07-24 17:44;1;0;"Views change and it is very clear that Americans do not want a repeal of # Obamacare PEOPLE WILL DIE # voteno @ SenatorLankford @ RandPaul";;@ @;# #;"889602169187553281";https://twitter.com/OGFirestarter/status/889602169187553281
BSudell;2017-07-24 17:33;0;0;"CannotTolerateHow @ SenateMajLdr is # ForcingHealthcareOnAmerica. Vote No @ JerryMoran @ BenSasse @ SenatorLankford @ SenatorTimScott @ tedcruz";;@ @ @ @ @ @;#;"889599384161267712";https://twitter.com/BSudell/status/889599384161267712
xpathf1nderx;2017-07-24 17:31;0;0;"@ SenatorLankford @ JimInhofe vote NO on motion to proceed. We can do better in an open public debate. # TrumpcareKills";;@ @;#;"889598945021894657";https://twitter.com/xpathf1nderx/status/889598945021894657
ewrock24;2017-07-24 17:15;0;0;"Actually you're wrong @ SenatorLankford this lunacy has played long enough. It's time for you to get to work & # repealobamacare # MAGAhttps://twitter.com/senatorlankford/status/889533182948888576 …";;@;# #;"889594867378262017";https://twitter.com/ewrock24/status/889594867378262017
TerryTerse;2017-07-24 17:10;0;0;"Exactly. CEO pay was WAAAY up. As were profits. Shareholder dividends.Then there's big pharma. Stop the GREED! Give people their healthcare!";;;;"889593715450417153";https://twitter.com/TerryTerse/status/889593715450417153
english_musings;2017-07-24 16:55;0;0;"Wow that's disgraceful. Leave 23 mil w/out healthcare. Cruel.";;;;"889589888013672448";https://twitter.com/english_musings/status/889589888013672448
brainboomr22;2017-07-24 16:51;0;0;"@ SenatorLankford Not answering phones nor accepting faxes! Cowardly! Where's the cheaper, better healthcare bill that covers everyone w/pre?";;@;;"889588750828916743";https://twitter.com/brainboomr22/status/889588750828916743
mattbc;2017-07-24 16:40;17;24;"On 'health care, @ SenatorLankford tends to lie.’ Let's help @ kendallybrown tell Lankford we are watching.https://nondoc.com/2017/07/24/health-care-james-lankford/ …";;@ @;;"889586091853963264";https://twitter.com/mattbc/status/889586091853963264
juliams44;2017-07-24 16:38;0;0;"@ SenatorLankford PLEASE DO NOT RUIN PEOPLES' LIVES WITH THIS HORRENDOUS "Wealthcare" bill!!! You can do better! We deserve better than this!";;@;;"889585693130985473";https://twitter.com/juliams44/status/889585693130985473
honkytonktim;2017-07-24 16:12;0;0;"@ SenatorLankford please vote no on the health care MTP the people have no idea what is in the healthcare bill now, no CBO score, no nothing";;@;;"889579068672421888";https://twitter.com/honkytonktim/status/889579068672421888
Activist4MS;2017-07-24 16:03;0;3;"PLEASE, for the love of all that is right & good, vote NO this week on # HealthcareBill There is a better way!@SenatorLankford @ JimInhofehttps://twitter.com/msactivist/status/889549376204427264 …";;@SenatorLankford @;#;"889576840305815553";https://twitter.com/Activist4MS/status/889576840305815553
