GoinPostal77;2017-07-24 19:30;0;0;"Oooh I know! Single payer doesn't work(example:Canadas healthcare) They're trying to reach out to the middle class-but theyre FAILING # MAGA";;;#;"889628852485595136";https://twitter.com/GoinPostal77/status/889628852485595136
mclarendeb;2017-07-24 19:29;0;0;"Health care & medicine suck. Thanks @ amyklobuchar for your commitment to Minnesotans. https://twitter.com/amyklobuchar/status/889503079451828225 …";;@;;"889628714899841025";https://twitter.com/mclarendeb/status/889628714899841025
kriskentashian;2017-07-24 19:21;0;0;"@ amyklobuchar @ alfranken do y'all need me to call you and remind you not to vote for this healthcare bill or are you decent fellow humans?";;@ @;;"889626660311584768";https://twitter.com/kriskentashian/status/889626660311584768
MadAlgorithm;2017-07-24 18:38;1;0;"Housing for all. Health care for all. Medicine & social care for all. End slavery in the US once & for all. Unionize the vice industries.";;;;"889615847022616578";https://twitter.com/MadAlgorithm/status/889615847022616578
MadAlgorithm;2017-07-24 18:36;0;0;"Move us towards Universal healthcare. Public option, single payer, medicaid for all. Systemic regulatory oversight & auditing.";;;;"889615252924575744";https://twitter.com/MadAlgorithm/status/889615252924575744
MadAlgorithm;2017-07-24 18:30;0;0;"All events unfolding w/ Trump-Russia-RNC are revealing a far flung corporate criminal network effecting housing, financing, healthcare.";;;;"889613880976187393";https://twitter.com/MadAlgorithm/status/889613880976187393
Nigel22222;2017-07-24 18:27;0;1;"Where were all these great ideas the past 8 years? All we got was Obamacare, an attack on our law enforcement and overran w/ ILLEGALS";;;;"889612993922834435";https://twitter.com/Nigel22222/status/889612993922834435
mickeydise;2017-07-24 18:20;0;0;"@ amyklobuchar I know u r going to vote NO on the vile GOP wealthcare bill & as a Minnesotan that gets her insurance thru OCare, I THANK YOU!";;@;;"889611261486530565";https://twitter.com/mickeydise/status/889611261486530565
Shedrawsnigh;2017-07-24 18:20;0;0;"THANK YOU @ SenFranken @ amyklobuchar for standing w/Minnesotans & all Americans against this egregious assault on our lives. # Trumpcarekills";;@ @;#;"889611238149410816";https://twitter.com/Shedrawsnigh/status/889611238149410816
kellykausel;2017-07-24 17:52;0;0;"@ amyklobuchar Thank You for opposing cuts and caps to # Medicaid in the recent healthcare proposals.";;@;#;"889604208638517249";https://twitter.com/kellykausel/status/889604208638517249
hankbarks;2017-07-24 17:38;0;0;"We deserve a deter deal on all health care! The mistake both parties are making is trying to make it insurance. Insurance wont work.";;;;"889600757841965060";https://twitter.com/hankbarks/status/889600757841965060
