MelissaJPeltier;2017-07-24 19:41;6;26;"They have to be stopped. I don't care how racist or provincial "real Americans" are. THEY wouldn't want this agenda if they knew about it.";;;;"889631556960231425";https://twitter.com/MelissaJPeltier/status/889631556960231425
hamakuaHAWAII;2017-07-24 19:03;0;0;"med ins is too $ for me & employer;i hardly used, it’s a scam;I dont qualifiy for O-care, plz, juz illegalize ins co & cap real medical cost";;;;"889622085890342912";https://twitter.com/hamakuaHAWAII/status/889622085890342912
RNn2TarHeels;2017-07-24 18:47;0;0;"Please share. Let's show these heartless people in Washington what we think of their "healthcare bill"! It's a tax break for the rich!";;;;"889618111145680896";https://twitter.com/RNn2TarHeels/status/889618111145680896
EdwinJHenry;2017-07-24 18:34;0;0;"@ ChrisMurphyCT @ brianschatz @ CoryBooker The depths @ SenateMajLdr will go to take healthcare away from other cancer patients";;@ @ @ @;;"889614707228909568";https://twitter.com/EdwinJHenry/status/889614707228909568
jbfree;2017-07-24 18:33;0;0;"Please choose constituents, their families and rest of US population who need OCare to provide health care!";;;;"889614452613632002";https://twitter.com/jbfree/status/889614452613632002
hollyshae76;2017-07-24 18:22;0;1;"That seems like a no-brainer but I'm still scared.";;;;"889611679620890624";https://twitter.com/hollyshae76/status/889611679620890624
bookgirl33;2017-07-24 18:21;0;3;"Does he know that duel RUINED Burr's career and reputation?";;;;"889611494001922048";https://twitter.com/bookgirl33/status/889611494001922048
LifeIsLunaSea;2017-07-24 17:56;0;0;"Trump doesn't care.. He just wants a WIN & so do GOP";;;;"889605142726750209";https://twitter.com/LifeIsLunaSea/status/889605142726750209
ChristineLZerbs;2017-07-24 17:49;0;0;"I have family members on medicaid and are losing it. That POS maggot could care less,but he more that die, he feels more powerful.";;;;"889603443870097410";https://twitter.com/ChristineLZerbs/status/889603443870097410
IanMCohen;2017-07-24 17:21;6;7;"@ BobCorker @ SenAlexander Ella suffers from intractable epilepsy and relies on care. She is counting on you to do the right thing. # VoteNo.pic.twitter.com/Fo50pNhrQI";;@ @;#;"889596390434889728";https://twitter.com/IanMCohen/status/889596390434889728
hostler1;2017-07-24 17:03;3;9;"Anyone know someone being taken care of by a nursing home? Only the uber rich avoid ending up on Medicaid if they live long enough.";;;;"889591904030957568";https://twitter.com/hostler1/status/889591904030957568
lataylor2;2017-07-24 17:02;0;0;"It's all bad faith. If they sincerely cared about the people negatively affected, hearings and CBO scores would matter.";;;;"889591714549309441";https://twitter.com/lataylor2/status/889591714549309441
PeggyKelly;2017-07-24 16:36;0;0;"How about right or wrong. Don't you care about that at all.";;;;"889584994146037761";https://twitter.com/PeggyKelly/status/889584994146037761
Shannon1342;2017-07-24 16:06;0;0;"Ppl in my family will die w/o # healthcare plain & simple. Pls listen to maj of ppl # NoRepealNoReplace # SaveOurCare";;;# # #;"889577489298669568";https://twitter.com/Shannon1342/status/889577489298669568
angieggr28;2017-07-24 15:44;0;0;"Please put the American people first. Health care should be a human right, not a privilege for the wealthy.";;;;"889571997201465344";https://twitter.com/angieggr28/status/889571997201465344
blueWRL;2017-07-24 15:21;6;6;"Blake Farenthold's DC office : 202-225-7742 Let him know that you are glad there are women Senators protecting your healthcare";;;;"889566342528942080";https://twitter.com/blueWRL/status/889566342528942080
lisadiane1;2017-07-24 15:13;0;0;"@ brianschatz That's a No brainer! Constituents come first, @ RealDonaldTrnp can resign. The People need affordable healthcarehttps://twitter.com/brianschatz/status/889482900902731777 …";;@ @;;"889564289715122177";https://twitter.com/lisadiane1/status/889564289715122177
MartyGlassman;2017-07-24 15:02;0;0;"If he was a man, there would have been women invited to the secret panel on healthcare. BTW, there would have been democrats, too.";;;;"889561497655017472";https://twitter.com/MartyGlassman/status/889561497655017472
cvinson88;2017-07-24 14:55;0;0;"Maybe if women were included in the drafting of said healthcare this wouldn't be an issue.";;;;"889559588730802178";https://twitter.com/cvinson88/status/889559588730802178
