LazyCircles;2017-07-24 19:38;0;0;"@ InhofePress @ JimInhofe Voting for a healthcare bill without studying its repercussions is unconscionable.We need hearings! VOTE NO TOMORROW";;@ @;;"889631011725856768";https://twitter.com/LazyCircles/status/889631011725856768
OklahomaCheryl;2017-07-24 18:57;0;0;"@ SenatorLankford @ JimInhofe It's not 2014 anymore; Most like ACA. 17% like one of # Trumpcare bills with zero support of medical assoc or CBOhttps://twitter.com/PattyMurray/status/889616290310238211 …";;@ @;#;"889620682774020096";https://twitter.com/OklahomaCheryl/status/889620682774020096
AmerIndivis;2017-07-24 18:48;0;0;". @ SenatorLankford . @ JimInhofe Please vote no on the health care bill. A broken ACA is much better than no insurance. Fix it, don't gut it.";;@ @;;"889618395364302849";https://twitter.com/AmerIndivis/status/889618395364302849
sallyray5;2017-07-24 18:41;1;1;"Is it worth the risk to rip healthcare from millions to give a tax cut to few? @ SenatorLankford @ JimInhofe # NoTrumpCare # SaveOurCarehttps://twitter.com/nytopinion/status/889615438472237058 …";;@ @;# #;"889616475547414529";https://twitter.com/sallyray5/status/889616475547414529
DillonJudyA;2017-07-24 18:38;0;1;"Really? You don't care about vets or any other Americans or you would vote NO on repeal & replace. I can't wait until you're voted out!!";;;;"889615831252037632";https://twitter.com/DillonJudyA/status/889615831252037632
tobraavery;2017-07-24 18:31;0;0;". @ SenatorLankford @ JimInhofe As your constituent I am asking you vote NO on the Senate healthcare bill. It is NOT what is best for Americans";;@ @;;"889614048094015490";https://twitter.com/tobraavery/status/889614048094015490
DanSmith112263;2017-07-24 17:53;0;0;"Apparently, the GOP fights dirty these days ...http://nymag.com/daily/intelligencer/2017/06/trumps-sabotage-of-obamacare-is-working.html …";;;;"889604441825005568";https://twitter.com/DanSmith112263/status/889604441825005568
xpathf1nderx;2017-07-24 17:31;0;0;"@ SenatorLankford @ JimInhofe vote NO on motion to proceed. We can do better in an open public debate. # TrumpcareKills";;@ @;#;"889598945021894657";https://twitter.com/xpathf1nderx/status/889598945021894657
tankerdude01;2017-07-24 17:26;0;0;"My two Senators, @ JimInhofe & @ jameslankford better vote for Obamacare repeal Tuesday, or the campaign to throw them out begins Wednesday.";;@ @;;"889597598474088450";https://twitter.com/tankerdude01/status/889597598474088450
Activist4MS;2017-07-24 16:03;0;3;"PLEASE, for the love of all that is right & good, vote NO this week on # HealthcareBill There is a better way!@SenatorLankford @ JimInhofe https://twitter.com/msactivist/status/889549376204427264 …";;@SenatorLankford @;#;"889576840305815553";https://twitter.com/Activist4MS/status/889576840305815553
nrobby86;2017-07-24 16:01;0;0;"@ JimInhofe @ SenatorLankford I am your constituent and urge you to vote no on the current healthcare bill # VoteNo # AmendItDontRepealIt";;@ @;# #;"889576395785089024";https://twitter.com/nrobby86/status/889576395785089024
bjmisme;2017-07-24 13:54;0;0;"@ SenatorLankford @ JimInhofe # BCRA is NOT going to improve matters. FIX the # ACA, don't destroy our entire healthcare system!!";;@ @;# #;"889544229562834945";https://twitter.com/bjmisme/status/889544229562834945
