username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Not_BackingDown;2017-07-24 19:19;9;7;". @ tedlieu @ SenDuckworth @ maziehirono Please demand that @ potus apologize to these girls and their family! # UNACCEPTABLE # racism # misogynyhttps://twitter.com/Pie_SocialMedia/status/889571601305522177 …";;@ @ @ @;# # #;"889626019971432450";https://twitter.com/Not_BackingDown/status/889626019971432450
hamakuaHAWAII;2017-07-24 18:49;0;0;"med ins is too $ for me & employer, hardly used, it’s a scam. I dont qualifiy for O-care, plz, juz illegalize ins co & cap real medical cost";;;;"889618487144054786";https://twitter.com/hamakuaHAWAII/status/889618487144054786
swianecki;2017-07-24 18:05;0;1;"To my Hawaii congressfolk @ TulsiGabbard @ maziehirono @ brianschatz: Please defund ICE and its agents of terror.https://twitter.com/SeanMcElwee/status/889507626035367937 …";;@ @ @;;"889607463493812224";https://twitter.com/swianecki/status/889607463493812224
SaoirseMoore;2017-07-24 18:00;0;0;"@ farenthold must be HELD ACCOUNTABLE for his threat to ALL WOMEN SENATORS... @ lisamurkowski @ SenFeinstein @ KamalaHarris @ maziehirono";;@ @ @ @ @;;"889606171711156224";https://twitter.com/SaoirseMoore/status/889606171711156224
MomRovin;2017-07-24 17:30;0;0;"@ SenatorCollins @ SenatorFischer @ lisamurkowski @ joniernst @ SenCapito enough! Work with @ clairecmc @ maziehirono to # fixtheACA # WomenGetItDonehttps://twitter.com/sahilkapur/status/889554042388721664 …";;@ @ @ @ @ @ @;# #;"889598635960401921";https://twitter.com/MomRovin/status/889598635960401921
GarletterLee;2017-07-24 17:20;0;0;"July 24th, 2017 The Senate ; Health Care Plan,Sen. Mazie Hirono of Hawaii,";;;;"889596271790632961";https://twitter.com/GarletterLee/status/889596271790632961
4deputydawg369;2017-07-24 17:17;0;0;"2 SENATORS THAT ARE PHONY SENATORS & VERY STUPID!!!pic.twitter.com/3ZNXYYa31n";;;;"889595475665539072";https://twitter.com/4deputydawg369/status/889595475665539072
mollswalls50;2017-07-24 17:15;1;1;"Today should be about: Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare Healthcare";;;;"889594810876649472";https://twitter.com/mollswalls50/status/889594810876649472
i_lasombra;2017-07-24 17:11;0;0;"@ maziehirono @ RepHanabusa https://twitter.com/jessekellydc/status/889514231254724608 …";;@ @;;"889593993805258753";https://twitter.com/i_lasombra/status/889593993805258753
Jsherwoo1962;2017-07-24 17:11;0;0;"Such liberal hypocrisy. Fighting for health care that is beyond repair. Why, because you get kick back money from it. Sickening.";;;;"889593835126484992";https://twitter.com/Jsherwoo1962/status/889593835126484992
