username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
librarygirl17;2017-07-24 19:57;0;0;"Please listen @ DeanHeller @ lisamurkowski @ SenCapito @ robportman @ SenCoryGardner @ JeffFlake @ BillCassidy @ BobCorker @ PatToomey @ SenAlexanderhttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @ @ @ @ @;;"889635624415879168";https://twitter.com/librarygirl17/status/889635624415879168
tinap2012;2017-07-24 19:48;0;0;"@ BobCorker Why are you exempt from signing up for the # RepublicanHealthCareLess plan? Vote against it, or sign up for it yourself, Please.";;@;#;"889633346409689088";https://twitter.com/tinap2012/status/889633346409689088
Monkeyfister1;2017-07-24 19:14;1;1;"Dear @ BobCorker, Please vote NO on # BCRA.https://twitter.com/brandon_ellis/status/889573979576520708 …";;@;#;"889624868978905090";https://twitter.com/Monkeyfister1/status/889624868978905090
nedmiller;2017-07-24 19:08;0;0;"Will @ BobCorker vote to proceed on a bill that will hurt many of his own constituents in Colorado because he is afraid of a reality TV star?";;@;;"889623342130638848";https://twitter.com/nedmiller/status/889623342130638848
nedmiller;2017-07-24 18:51;0;0;"Good advice from a good # Republican @ lisamurkowski @ SenDeanHeller @ SenatorCollins @ joniernst @ SenCapito @ SenMikeLee @ robportman @ BobCorker https://twitter.com/johnkasich/status/889522009264332804 …";;@ @ @ @ @ @ @ @;#;"889619110312771584";https://twitter.com/nedmiller/status/889619110312771584
masseyranch;2017-07-24 18:43;1;1;"I will never vote for anyone who supports gutting Medicaid, EVER @ SenateMajLdr @ SenAlexander @ SenDeanHeller @ SenBobCorker @ BobCorker https://twitter.com/OFA/status/889613647533801474 …";;@ @ @ @ @;;"889617023474573314";https://twitter.com/masseyranch/status/889617023474573314
yourmomcjp;2017-07-24 18:09;0;1;"This is my 11th tweet to you, Senator. I find this very unprofessional and request a response. # affordablecareact # obamacare # bobcorker";;;# # #;"889608485633183751";https://twitter.com/yourmomcjp/status/889608485633183751
HokieHoos;2017-07-24 17:57;0;0;"@ GOP @ SenateGOP @ SenMajLdr @ HouseGOP @ PRyan @ RepGoodlatte @ RepTomGarrett @ SenMcCain @ LindseyGrahamSC @ BobCorker @ TGowdySC @ RandPaul @ VP https://twitter.com/LOLGOP/status/889605009452806144 …";;@ @ @ @ @ @ @ @ @ @ @ @ @;;"889605565722374145";https://twitter.com/HokieHoos/status/889605565722374145
ArtaGene;2017-07-24 17:56;0;1;"@ BobCorker @ SenAlexander how about adding some of this into what is being passed? after you do thispic.twitter.com/SkzKTCOA7R";;@ @;;"889605209525297153";https://twitter.com/ArtaGene/status/889605209525297153
Troluzoo;2017-07-24 17:54;3;3;"Protect TN not big banks @ BobCorker https://twitter.com/tncitizenaction/status/889582762780479491 …";;@;;"889604692489236480";https://twitter.com/Troluzoo/status/889604692489236480
ArtaGene;2017-07-24 17:38;3;3;"Called @ BobCorker finally got through, left a message ...besides healthcare requested he work on # MakeMuellerNotFireableByTrump Importantpic.twitter.com/0RZkvzXKqQ";;@;#;"889600650362970112";https://twitter.com/ArtaGene/status/889600650362970112
