username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Suhalper;2017-07-24 19:51;0;0;"@ SenAngusKing Please vote against the Trump/McConnell healthcare bill. Thank you. Susan";;@;;"889634131507892227";https://twitter.com/Suhalper/status/889634131507892227
DavidAc83506435;2017-07-24 19:48;0;0;"Why do we all have to suffer so the President can save face!?";;;;"889633404957990914";https://twitter.com/DavidAc83506435/status/889633404957990914
DavidAc83506435;2017-07-24 19:47;0;0;"@ SenAngusKing @ SenSusanCollins Why is the Senate voting to proceed on Health Care bill without normal process or hearing from the public!";;@ @;;"889633238834130946";https://twitter.com/DavidAc83506435/status/889633238834130946
Curtis084;2017-07-24 19:45;0;0;"What has happened to the country? This is embarrassing. Start to open eyes! @ SenateGOP @ HouseDemocrats @ SenSanders @ SenAngusKing";;@ @ @ @;;"889632705100599297";https://twitter.com/Curtis084/status/889632705100599297
kantor_b;2017-07-24 19:33;1;1;"Thank you Shows McConnell TrumpCare is Insane @ ASlavitt @ robreiner @ nytimes @ CNN @ MSNBC @ BillGates @ SenAngusKing @ SenSchumer";;@ @ @ @ @ @ @ @;;"889629675756060674";https://twitter.com/kantor_b/status/889629675756060674
WhotheMom;2017-07-24 19:28;0;0;"@ SenAngusKing Please stand strong for the people of Maine: vote against the Motion to Proceed. Work bilaterally to fix the ACA";;@;;"889628354160275458";https://twitter.com/WhotheMom/status/889628354160275458
susi_debra;2017-07-24 19:25;1;2;"@ SenatorCollins @ SenAngusKing Restricting our right to vote is # notnormal!https://twitter.com/joyannreid/status/889271908210016256 …";;@ @;#;"889627710955413507";https://twitter.com/susi_debra/status/889627710955413507
LaurieLleclair;2017-07-24 19:10;0;0;"@NancyPelosi @ SenatorCollins @ ChrisMurphyCT @ timkaine @ SenAngusKing @ SenJeffMerkley So, anyone else who should be notified of this TYPO?https://twitter.com/empiricalgirl/status/889622597624877057 …";;@NancyPelosi @ @ @ @ @;;"889623771363110912";https://twitter.com/LaurieLleclair/status/889623771363110912
terriecrowley;2017-07-24 19:02;0;0;"@ SenAngusKing @ PattyMurray @ robportmanhttps://twitter.com/senfeinstein/status/889589899032231938 …";;@ @ @;;"889621795183185920";https://twitter.com/terriecrowley/status/889621795183185920
AltThisMoFo;2017-07-24 18:49;0;0;". @ SenAngusKing @ SenatorCollins Senate IC not as dumb as trump # TrumpRussiaCollusionConfirmedhttps://twitter.com/brhodes/status/889570829582860288 …";;@ @;#;"889618549043605504";https://twitter.com/AltThisMoFo/status/889618549043605504
deantscott;2017-07-24 18:48;2;0;"Only 4 Dems voted yes @ SenatorHeitkamp @ Sen_JoeManchin @SenBennetCO @ SenDonnelly plus Independent @ SenAngusKing (who caucuses w/ Ds) https://twitter.com/deantscott/status/889616603381411840 …";;@ @ @SenBennetCO @ @;;"889618211108421636";https://twitter.com/deantscott/status/889618211108421636
woodstockwasme;2017-07-24 18:27;0;0;"Think voters don't know this you Congress critters? @ SenateGOP @ HouseGOP @ SenateDems @ HouseDemocrats @ SenSanders @ SenAngusKing https://twitter.com/kytja/status/889490366805749762 …";;@ @ @ @ @ @;;"889612976545824769";https://twitter.com/woodstockwasme/status/889612976545824769
emba23;2017-07-24 18:13;0;0;"@ SenAngusKing, please support the international affairs budget!";;@;;"889609594066132996";https://twitter.com/emba23/status/889609594066132996
AltThisMoFo;2017-07-24 18:07;0;0;"WTF How come none of these trump appointees can stay in DC & do their job! @ SenAngusKing @ SenatorCollins @ PattyMurray @ SenJackReedhttps://twitter.com/ProPublica/status/889606145400242176 …";;@ @ @ @;;"889608079066750976";https://twitter.com/AltThisMoFo/status/889608079066750976
climatebrad;2017-07-24 18:07;3;1;". @ SenAngusKing votes with GOP for climate-denier polluter lobbyist David Bernhardt as Deputy Secretary of the Interior.";;@;;"889607976352448512";https://twitter.com/climatebrad/status/889607976352448512
AltThisMoFo;2017-07-24 18:01;0;0;"This administration is quickly deconstructing our democracy, plz do something! @ SenAngusKing @ PattyMurray @ SenJackReed @ SenatorCollinshttps://twitter.com/Amy_Siskind/status/889289953947111425 …";;@ @ @ @;;"889606383708065792";https://twitter.com/AltThisMoFo/status/889606383708065792
