username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MeganDesigns4U;2017-07-24 19:53;2;1;"Thank @ SenBillNelson for fighting the good fight for Floridians on health care, oil drilling, and more: http://bit.ly/2tD8NuJ # pfla";;@;#;"889634768324894722";https://twitter.com/MeganDesigns4U/status/889634768324894722
AlohaRenee;2017-07-24 19:52;0;0;"@ SenBillNelson: Sen. Nelson - please vote NO tomorrow on repeal/replace - we believe in your values # Heathcare # VoteNo # ProtectOurCare";;@;# # #;"889634431765540864";https://twitter.com/AlohaRenee/status/889634431765540864
EvolvedAmerican;2017-07-24 19:50;1;1;"@ SenBillNelson: Sen. Nelson - please vote NO tomorrow on repeal/replace - we believe in your values # Heathcare # VoteNo # ProtectOurCare";;@;# # #;"889633890163359744";https://twitter.com/EvolvedAmerican/status/889633890163359744
Jeb10307576;2017-07-24 19:50;0;0;"@ SenateMajLdr @ marcorubio @ SenBillNelson https://twitter.com/jeb10307576/status/888053285558657024 …";;@ @ @;;"889633853236805633";https://twitter.com/Jeb10307576/status/889633853236805633
peggyturni;2017-07-24 19:44;4;2;"@RepDennisRoss you need to encourage @ SpeakerRyan to censure @ farenthold for threatening 3senators. @ SenBillNelson @ marcorubio speak outhttps://twitter.com/amy_siskind/status/889626006088294401 …";;@RepDennisRoss @ @ @ @;;"889632452054044672";https://twitter.com/peggyturni/status/889632452054044672
VinceGabel;2017-07-24 19:44;0;0;"@ SenBillNelson @ SenRubioPress I urge both of you to vote "Yes" tomorrow on "Starting the Debate" on Obama Care";;@ @;;"889632364044963841";https://twitter.com/VinceGabel/status/889632364044963841
irliteach;2017-07-24 19:43;1;0;"I did, however, get to leave a message, supporting . @ SenBillNelson and his opposition to the bill. Thanks, Senator!";;@;;"889632044136976384";https://twitter.com/irliteach/status/889632044136976384
Jeb10307576;2017-07-24 19:39;0;0;"@ SenateMajLdr @ marcorubio @ SenBillNelson https://twitter.com/jeb10307576/status/888055530664677381 …";;@ @ @;;"889631183579086850";https://twitter.com/Jeb10307576/status/889631183579086850
vannanancy;2017-07-24 19:39;0;0;"...and @ tedlieu @ SenSchumer ...";;@ @;;"889631149928075264";https://twitter.com/vannanancy/status/889631149928075264
Jeb10307576;2017-07-24 19:38;0;0;"@ SenateMajLdr @ marcorubio @ SenBillNelson https://twitter.com/jeb10307576/status/888058933646176258 …";;@ @ @;;"889630980998406146";https://twitter.com/Jeb10307576/status/889630980998406146
AlisandeDM;2017-07-24 19:35;4;3;"Yes, I was there July 6th-7th, and it was worth it on so many levels! As for the staffer we spoke with: http://bit.ly/2u3HKNE";;;;"889630170772058113";https://twitter.com/AlisandeDM/status/889630170772058113
HansonKakhanson;2017-07-24 19:32;0;0;"Just has bad as what the Demos did! Easy to critique hard to work it out. If u cannot come to the table don't run again";;;;"889629333467398144";https://twitter.com/HansonKakhanson/status/889629333467398144
