username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BRASSLOAD;2017-07-24 19:24;0;0;"@ SenCortezMasto How about millions of Americans forced to choose fines over insurance they can't afford? # HypocriteNews";;@;#;"889627332692123650";https://twitter.com/BRASSLOAD/status/889627332692123650
BRASSLOAD;2017-07-24 19:22;0;0;"@ SenCortezMasto How about millions of Americans w/essentially no health insurance due to high deductibles they can't pay? # TheHypocriteNews";;@;#;"889626993779765253";https://twitter.com/BRASSLOAD/status/889626993779765253
NVforCommonGood;2017-07-24 19:12;2;0;"@ SenCortezMasto shares list of people (including 60+ clergy leaders with NCG) who wrote opposing devastating cuts to Medicaid https://twitter.com/meganmesserly/status/889582235153702913 …";;@;;"889624270581768194";https://twitter.com/NVforCommonGood/status/889624270581768194
BillyBlackChip;2017-07-24 18:59;0;1;"Why not intoduce legislation that puts no lives @risk?";;@risk;;"889621061729497095";https://twitter.com/BillyBlackChip/status/889621061729497095
LilMadBenMax;2017-07-24 18:32;0;9;"2/2 since @ SenDeanHeller office feels his constituents lecture when voicing concern. I'll call every day. Junk Insurance is NOT OK!";;@;;"889614178998259716";https://twitter.com/LilMadBenMax/status/889614178998259716
LilMadBenMax;2017-07-24 18:31;0;16;"I called @ SenDeanHeller and @ SenCortezMasto. Cortez-Masto call we to share how I felt about DeathCare with Heller since Heller's office..1/2";;@ @;;"889613981584961537";https://twitter.com/LilMadBenMax/status/889613981584961537
SenCortezMasto;2017-07-24 18:29;13;34;"I applaud @ Culinary226's work to protect 2,800 NV immigrants under TPS. Immigrants are an integral part of our nation. They make us strongerhttps://twitter.com/LasVegasSun/status/888594928644743168 …";;@;;"889613509801107456";https://twitter.com/SenCortezMasto/status/889613509801107456
HeyCarrieAnnNV;2017-07-24 18:01;0;1;"Implosion of Obamacare & lack of middle class $ to pay deductibles, puts lives at risk. Govern don't politic.";;;;"889606390053879808";https://twitter.com/HeyCarrieAnnNV/status/889606390053879808
MarikaBlog12;2017-07-24 17:50;0;0;"NO to any bill threatens ESA by permanently delisting wolves, precluding judicial review. @ SenCortezMasto pic.twitter.com/PQAtDdsYaK";;@;;"889603773261283328";https://twitter.com/MarikaBlog12/status/889603773261283328
MD_Longe;2017-07-24 17:31;0;0;"Harry's Puppet";;;;"889598997748436992";https://twitter.com/MD_Longe/status/889598997748436992
Andreoid_Nation;2017-07-24 17:28;0;1;"add: @ TheCenterLV to that list!";;@;;"889598248935018496";https://twitter.com/Andreoid_Nation/status/889598248935018496
NoLeftTurn1;2017-07-24 17:28;0;3;"pic.twitter.com/F9dGaMxz2p";;;;"889598087878062080";https://twitter.com/NoLeftTurn1/status/889598087878062080
aafong702;2017-07-24 17:27;0;4;"Repeal and get government out of healthcare!";;;;"889598043984601088";https://twitter.com/aafong702/status/889598043984601088
Rabid_AU;2017-07-24 17:27;0;4;"Sad that the people of NV put this Reid puppet in office.";;;;"889597853751836672";https://twitter.com/Rabid_AU/status/889597853751836672
RoknSpock;2017-07-24 17:22;0;3;"echoes of Harry Reed. No cred.";;;;"889596723747725313";https://twitter.com/RoknSpock/status/889596723747725313
