username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jqanderson1;2017-07-24 19:59;0;0;"The GOP don't want to have a great healthcare system. They want people dying as soon as possible and the more the merrier.";;;;"889636192525963264";https://twitter.com/jqanderson1/status/889636192525963264
FBorrull;2017-07-24 19:58;0;1;"Please push for legislation that makes higher-ed loans affordable for ALL The way it's now and the way it goes is an unacceptable SCANDAL";;;;"889635993036492800";https://twitter.com/FBorrull/status/889635993036492800
FBorrull;2017-07-24 19:55;0;4;"Yes. A good way to serve them well is by closely monitoring Commander in Chief decisions. Diplomacy always before combat, whenever possible.";;;;"889635204545077248";https://twitter.com/FBorrull/status/889635204545077248
kenned39494;2017-07-24 19:54;0;2;"We need to support them 2 make sure vet healthcare & family healthcare is protected. Do not turn your back on them! Trump doesn't care!!!!!";;;;"889634829867913216";https://twitter.com/kenned39494/status/889634829867913216
thomaskaine5;2017-07-24 19:49;0;0;"Trump/Ryan to raise interest on student loans & cut higher education programs to give HUGE tax cuts to wealthy. You get job washing limos.";;;;"889633740808491008";https://twitter.com/thomaskaine5/status/889633740808491008
RebeccaAnneGabr;2017-07-24 19:48;0;1;"I'm so proud that you represent my state.";;;;"889633476177211392";https://twitter.com/RebeccaAnneGabr/status/889633476177211392
Jana2433;2017-07-24 19:47;0;2;"Yes @ SenDuckworth They have been forgotten by that figure in the WhiteHouse.";;@;;"889633195456647168";https://twitter.com/Jana2433/status/889633195456647168
lef1952;2017-07-24 19:46;0;0;"Do not repeal ACA!!! @ realDonaldTrump @ SenDuckworth @ SenatorDurbin @ SenCapito @ lisamurkowskihttps://twitter.com/bbecker317/status/889629458684149760 …";;@ @ @ @ @;;"889632799329849345";https://twitter.com/lef1952/status/889632799329849345
SenDuckworth;2017-07-24 19:46;60;176;"I’m proud to work with @ SenatorDurbin to make # HigherEd more affordable for our nation’s heroes → http://bit.ly/2uRh6aF";;@;#;"889632792975478784";https://twitter.com/SenDuckworth/status/889632792975478784
Vette73;2017-07-24 19:45;0;0;". @ SenatorDurbin, @ SenDuckworth, @PeterRoskam: you are my reps in DC. After Trump's performance at the BSA today you must do something!";;@ @ @PeterRoskam;;"889632721080864768";https://twitter.com/Vette73/status/889632721080864768
SenDuckworth;2017-07-24 19:45;107;403;"Our servicemen and women are willing to give their lives for this country, and it is imperative that we support them in every way possible";;;;"889632538905333760";https://twitter.com/SenDuckworth/status/889632538905333760
tbakerz2;2017-07-24 19:43;0;0;"Not a Proud Distinction For Illinois @ DickDurbin @ SenDuckworth";;@ @;;"889632272034529280";https://twitter.com/tbakerz2/status/889632272034529280
MsCiaraEvans;2017-07-24 19:42;3;4;". @ SenDuckworth 13 million children in America struggle with # hunger, please take action to support federal nutrition programs! Thank you.pic.twitter.com/SOSXbtQu68";;@;#;"889631798262738944";https://twitter.com/MsCiaraEvans/status/889631798262738944
dilemmv;2017-07-24 19:34;1;2;""CIVIL RIGHTS CHAMPION BERNIE" What has he done for Blacks in Vermont?";;;;"889629774750121985";https://twitter.com/dilemmv/status/889629774750121985
TheresaDonaghy;2017-07-24 19:24;0;1;"Do I share an office building with an Indivisible? Awesome :)";;;;"889627282360475648";https://twitter.com/TheresaDonaghy/status/889627282360475648
GarletterLee;2017-07-24 19:21;0;0;"6:20pm @ CSPAN U.S. House of Representatives,Watching Now,TRUTH";;@;;"889626498411487235";https://twitter.com/GarletterLee/status/889626498411487235
Not_BackingDown;2017-07-24 19:19;9;7;". @ tedlieu @ SenDuckworth @ maziehirono Please demand that @ potus apologize to these girls and their family! # UNACCEPTABLE # racism # misogynyhttps://twitter.com/Pie_SocialMedia/status/889571601305522177 …";;@ @ @ @;# # #;"889626019971432450";https://twitter.com/Not_BackingDown/status/889626019971432450
myurbanlife1;2017-07-24 19:13;0;0;". @ SenDuckworth and @ DickDurbin do the right thing and vote NO on whatever repeal/replace is presented # Resist";;@ @;#;"889624686098882561";https://twitter.com/myurbanlife1/status/889624686098882561
slhamlet;2017-07-24 19:13;2;4;"Imagine this chucklehead actually daring to challenge @ SenDuckworth, who can field strip an M4 carbine blindfolded, to a duel.";;@;;"889624648228499466";https://twitter.com/slhamlet/status/889624648228499466
GarletterLee;2017-07-24 19:12;0;0;"Good Monday, Senator Tammy Duckworth of ILLINOIS";;;;"889624332451893248";https://twitter.com/GarletterLee/status/889624332451893248
karlyncallahan;2017-07-24 19:03;0;0;"@ SenatorDurbin @ SenDuckworth There you go. # Obamacare is DEAD! REPEAL IThttps://twitter.com/realDonaldTrump/status/889599425458327552 …";;@ @;#;"889622185228328961";https://twitter.com/karlyncallahan/status/889622185228328961
ReimanAg;2017-07-24 18:57;0;0;"The wench fired whistle blowers...must be a joke.";;;;"889620612771172352";https://twitter.com/ReimanAg/status/889620612771172352
StephenButler55;2017-07-24 18:56;0;0;"Where is it written that it is a basic right? Why should I be willing to help out? I don't even know you. I prefer to keep what I earn.";;;;"889620374157230080";https://twitter.com/StephenButler55/status/889620374157230080
DocLauraLawler;2017-07-24 18:55;0;1;"Great # advocacy efforts! Forgot about how our financial influence can help others do their good work to improve health & welfare of others!";;;#;"889620148428173312";https://twitter.com/DocLauraLawler/status/889620148428173312
jannichicago;2017-07-24 18:54;0;0;"Like @ SenatorDurbin, you also make me proud to be from Illinois. Thank you.";;@;;"889619932459216898";https://twitter.com/jannichicago/status/889619932459216898
attackcat52;2017-07-24 18:53;0;0;"@ SenDuckworth Thank you for your courageous refusal to vote for repeal of ACA. It is criminal to deny people insurance for ideology.";;@;;"889619686601748480";https://twitter.com/attackcat52/status/889619686601748480
ReimanAg;2017-07-24 18:53;0;0;"I thought abortion would solve this issue?";;;;"889619484205608962";https://twitter.com/ReimanAg/status/889619484205608962
ReimanAg;2017-07-24 18:52;0;0;"Such as abortion, gay marriage and welfare I presume?";;;;"889619330639462402";https://twitter.com/ReimanAg/status/889619330639462402
DeannaMarie208;2017-07-24 18:51;0;3;"I called @ SenatorDurbin @ SenDuckworth @ GovRauner to help # KeepKidsCovered. I also donated to @ NationalADAPT to support their strong advocacy";;@ @ @ @;#;"889619035490529281";https://twitter.com/DeannaMarie208/status/889619035490529281
bobbit_tony;2017-07-24 18:51;0;0;"The Great Lakes! Water Level record Highs. Property loss and erosion! @EPAScottPruitt @ SenatorDurbin @ SenDuckworth @ Interiorhttps://twitter.com/nytscience/status/888919720434577408 …";;@EPAScottPruitt @ @ @;;"889618980465520642";https://twitter.com/bobbit_tony/status/889618980465520642
ColtsFan254;2017-07-24 18:50;0;0;"A net is technically always full of holes. Perhaps you are unaware of the anatomy of nets.";;;;"889618931987730432";https://twitter.com/ColtsFan254/status/889618931987730432
56Starbuck;2017-07-24 18:46;0;3;"Proud to have you represent us @ SenDuckworth! Thanks for all you do for Illinois and for the rest of the country. https://twitter.com/senduckworth/status/889615438744825856 …";;@;;"889617906589413376";https://twitter.com/56Starbuck/status/889617906589413376
WindyCityFunk;2017-07-24 18:46;0;2;"We are our experiences and your Compassion and Military Record is beyond reproach Ty u for your Service and Dedication ROS";;;;"889617707049603074";https://twitter.com/WindyCityFunk/status/889617707049603074
ColtsFan254;2017-07-24 18:45;0;2;"Education is by law a state and local matter. Get the federal government out of my education.";;;;"889617642860011520";https://twitter.com/ColtsFan254/status/889617642860011520
cs501;2017-07-24 18:44;0;1;"That's why we love you, Senator Duckworth. You care about the people of Illinois!";;;;"889617191020224512";https://twitter.com/cs501/status/889617191020224512
desk75;2017-07-24 18:43;0;1;"You inspire and give me hope. We do need you in the Trumped up world we are living in. Thank you!";;;;"889617021981384704";https://twitter.com/desk75/status/889617021981384704
DeannaMarie208;2017-07-24 18:42;2;2;"@ SenateDems, @ SenatorDurbin and @ SenDuckworth, @ AmerAcadPeds all want to know the answer to that. @ SenateMajLdr @ SenateGOP - this is a hackhttps://twitter.com/SenJeffMerkley/status/889562714594570242 …";;@ @ @ @ @ @;;"889616766900613120";https://twitter.com/DeannaMarie208/status/889616766900613120
SenDuckworth;2017-07-24 18:38;58;241;"All Americans deserve the chance to get a quality education, earn a fair wage& create a better life for their kids—no matter where they live";;;;"889615804093911047";https://twitter.com/SenDuckworth/status/889615804093911047
SenDuckworth;2017-07-24 18:38;51;193;"I know from personal experience how impt the safety net is to affording an edu. &securing a job, but our safety net is frayed &full of holeshttps://twitter.com/TracyJan/status/889567497451708424 …";;;;"889615714910433282";https://twitter.com/SenDuckworth/status/889615714910433282
SenDuckworth;2017-07-24 18:37;32;134;"Great to join @ SenKamalaHarris @ SenatorCardin @ SenSanders & @ BobbyScott at @ NAACP national convention panel about key civil rights issuespic.twitter.com/e2aqQeDRXt";;@ @ @ @ @;;"889615438744825856";https://twitter.com/SenDuckworth/status/889615438744825856
GaryACarlo;2017-07-24 18:34;0;1;"@ TomCottonAR is one off top if my head @ SenDuckworth on Dem side @ SenBlumenthal lied about his";;@ @ @;;"889614787826655234";https://twitter.com/GaryACarlo/status/889614787826655234
Ex67T20;2017-07-24 18:10;0;0;"Congratulations! Well-deserved.pic.twitter.com/R01jY7GG3D";;;;"889608761966546945";https://twitter.com/Ex67T20/status/889608761966546945
TimLLowe;2017-07-24 18:09;0;0;"I don't think we have to worry about @ SenatorDurbin and @ SenDuckworth ...";;@ @;;"889608606282285056";https://twitter.com/TimLLowe/status/889608606282285056
DoodlingDev;2017-07-24 18:00;0;0;"@ SenDuckworth @ SenatorDurbin as a constituent, I hope that you're readying amendments to filibuster whatever "healthcare" bill is coming";;@ @;;"889606124382638082";https://twitter.com/DoodlingDev/status/889606124382638082
kita_L725;2017-07-24 17:58;0;0;"He better hope @ SenDuckworth doesn't accept. She could hit a much smaller target at center mass. His center mass = GMC truck or Humvee!";;@;;"889605851719380992";https://twitter.com/kita_L725/status/889605851719380992
MConsuella;2017-07-24 17:58;0;1;"...foreign adversaries like Russia are hidden behind domestic companies... - I'm with her";;;;"889605811030417409";https://twitter.com/MConsuella/status/889605811030417409
NancyJLevine;2017-07-24 17:55;0;0;"@ SenDuckworth, please # WorkTogether on real # HealthCareSOLUTIONS that meet our needs & # ProtectOurCare.";;@;# # #;"889604942864027652";https://twitter.com/NancyJLevine/status/889604942864027652
WineOnWeeknites;2017-07-24 17:52;0;0;"Lead with @ SenKamalaHarris or @ SenDuckworth to show us you're ready.";;@ @;;"889604331183517697";https://twitter.com/WineOnWeeknites/status/889604331183517697
unforgettabledj;2017-07-24 17:52;0;0;"@ farenthold Heard you want to "Duel" with female Sens? Start with @ SenDuckworth , a combat veteran. Let's see how "tough" U R! # AllTalk";;@ @;#;"889604167261671424";https://twitter.com/unforgettabledj/status/889604167261671424
claudwal;2017-07-24 17:50;0;0;"@ SenDuckworth Please vote NO on the health care bill tomorrow.";;@;;"889603681758437376";https://twitter.com/claudwal/status/889603681758437376
Jacc_Opi;2017-07-24 17:45;0;0;"I say this because as noble as the bill is both sides need to work on it to bridge the gap.";;;;"889602527611826179";https://twitter.com/Jacc_Opi/status/889602527611826179
