username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
leannieq;2017-07-24 19:58;0;0;"@ SenPatRoberts @ JerryMoran Please vote NO on the motion to proceed on any health care plan.";;@ @;;"889635921330663426";https://twitter.com/leannieq/status/889635921330663426
genpopadopolous;2017-07-24 19:57;0;0;"Come on @ JerryMoran !!! We are counting on you!! You're our only hope. @ SenPatRoberts doesn't give a hoot about us. https://twitter.com/ddiamond/status/889625313189269505 …";;@ @;;"889635623237292033";https://twitter.com/genpopadopolous/status/889635623237292033
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
TheREALJB1RD;2017-07-24 19:56;0;0;"Here you go @ GOP @ KansasGOP @ SenPatRoberts @RepKevinYoder @ JerryMoran , @ POTUShttps://twitter.com/mitchellvii/status/888331309436850176 …";;@ @ @ @RepKevinYoder @ @;;"889635382186455043";https://twitter.com/TheREALJB1RD/status/889635382186455043
RagsII;2017-07-24 19:54;0;0;"@ JerryMoran @ SenPatRoberts https://twitter.com/AARPadvocates/status/889610791485407232 …";;@ @;;"889635032842764290";https://twitter.com/RagsII/status/889635032842764290
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Jhukriede;2017-07-24 19:53;0;0;"How about no?";;;;"889634773563580416";https://twitter.com/Jhukriede/status/889634773563580416
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
hrhdjc;2017-07-24 19:49;0;0;"@ SenPatRoberts Your constituents are depending on you. Vote 'no' on # Obamacare repeal. My momin asst living in Wichita";;@;#;"889633565520125952";https://twitter.com/hrhdjc/status/889633565520125952
Yarraslava;2017-07-24 19:45;0;0;". @ SenPatRoberts @ JerryMoran @RepLynnJenkins Kansas! Please shut down these # PuppyMills!pic.twitter.com/fcjKCR5Fk7";;@ @ @RepLynnJenkins;#;"889632738805858304";https://twitter.com/Yarraslava/status/889632738805858304
