username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
langdonbowyer;2017-07-24 19:58;0;1;"@ SenSherrodBrown vote for Mendel";;@;;"889635866708148227";https://twitter.com/langdonbowyer/status/889635866708148227
cbus_riseup;2017-07-24 19:57;5;5;"@ senrobportman How can you vote for something no one has seen? You know this is insane, right? @ OhioDistrict12 @ OHDems @ SenSherrodBrown https://twitter.com/waysmeanscmte/status/889540751452975105 …";;@ @ @ @;;"889635777302417414";https://twitter.com/cbus_riseup/status/889635777302417414
LjHaupt;2017-07-24 19:56;0;0;"I know someone personally who worked for josh mandel.friend was actually shocked tht he was real as http://portrayed.Pro  Israel/military";;;;"889635538713575426";https://twitter.com/LjHaupt/status/889635538713575426
GniessGirl;2017-07-24 19:56;0;1;"Best compliment! It's been a great chat & exemplifies how the # FutureIsFemale";;;#;"889635435890315264";https://twitter.com/GniessGirl/status/889635435890315264
CTakemeaway;2017-07-24 19:53;0;0;"Q's are up in air as we don't know what is happening. I'm concerned about affect on Medicare and what happens when we hit a lifetime ceiling";;;;"889634776201691137";https://twitter.com/CTakemeaway/status/889634776201691137
LjHaupt;2017-07-24 19:53;0;0;"He extremely liberal! I'm not. So don't I have the right to vote for someone who represents my beliefs?";;;;"889634710879698944";https://twitter.com/LjHaupt/status/889634710879698944
ccarpenter1963;2017-07-24 19:53;0;0;"Don't hold your breath @ SenSherrodBrown";;@;;"889634594710048770";https://twitter.com/ccarpenter1963/status/889634594710048770
sndorf;2017-07-24 19:52;0;0;"What's so wrong with liberals? And @ SenSherrodBrown is an honest and upstanding guy. No BS. He is proud of what he stands for.";;@;;"889634300286705664";https://twitter.com/sndorf/status/889634300286705664
VickieHolley5;2017-07-24 19:49;0;0;"@ senrobportman I encourage u to vote FOR legislation sanctioning Russia & NKorea. I believe ur OH colleague @ SenSherrodBrown cosponsored.";;@ @;;"889633621656702976";https://twitter.com/VickieHolley5/status/889633621656702976
Yarraslava;2017-07-24 19:49;0;0;". @ SenRobPortman @ SenSherrodBrown 12 # Ohio # PuppyMills on Humane Society's list of 'Horrible Hundred' Shut them down http://bit.ly/2rEwsxD";;@ @;# #;"889633566006681601";https://twitter.com/Yarraslava/status/889633566006681601
CheckOutThisHat;2017-07-24 19:46;0;1;"Can I submit here? q: why are republicans so out of touch with the average American when it comes to healthcare?";;;;"889632927159648257";https://twitter.com/CheckOutThisHat/status/889632927159648257
