username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OZRKIndivisible;2017-07-24 19:59;14;10;"@ SenTomCotton @ JohnBoozman You've lost AARP....https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889636241901223936";https://twitter.com/OZRKIndivisible/status/889636241901223936
tinap2012;2017-07-24 19:56;0;0;"@ SenTomCotton What's good enough for the American people, you are exempt from. Sign for this for yourself or vote against this heinous bill.";;@;;"889635535374909444";https://twitter.com/tinap2012/status/889635535374909444
beerwaterdahter;2017-07-24 19:56;0;1;"We also need to ban all guns If 1 child dies from gun violence, then nothing is worth protecting them";;;;"889635527057690624";https://twitter.com/beerwaterdahter/status/889635527057690624
danielle92118;2017-07-24 19:53;0;0;"Absolutely true. And because of the nutcase in the wH, we'd go it alone under any circumstances. These idiots don't seem to see the reality!";;;;"889634763862151169";https://twitter.com/danielle92118/status/889634763862151169
RainyMyth;2017-07-24 19:52;0;0;"the same chicken that kills pets??";;;;"889634378174910467";https://twitter.com/RainyMyth/status/889634378174910467
danielle92118;2017-07-24 19:50;0;1;"Morons Are Governing America - and that's no joke, but a wise observation both here and abroad. We've lost allies and respect =Limp Stick!";;;;"889633917539684354";https://twitter.com/danielle92118/status/889633917539684354
danielle92118;2017-07-24 19:49;0;0;"And you'd bring China into it because they are a oil partner of Irsn, dummy. The Big Stick is over or did you miss that?";;;;"889633571555508225";https://twitter.com/danielle92118/status/889633571555508225
danielle92118;2017-07-24 19:47;0;0;"This isn't "strength"- it's failure and the rest of the world knows it. What wrong with your 27%?";;;;"889633282652082181";https://twitter.com/danielle92118/status/889633282652082181
danielle92118;2017-07-24 19:47;0;1;"POTUS has NOTHING-no allies, no respect, no support in this country. He has even attacked American politicians, press, his own staff abroad";;;;"889633075478446080";https://twitter.com/danielle92118/status/889633075478446080
GrecianFormula;2017-07-24 19:46;0;1;"Good move, @ SenTomCotton on # Taiwan: https://www.cotton.senate.gov/?p=press_release&id=758 …";;@;#;"889632998785773574";https://twitter.com/GrecianFormula/status/889632998785773574
PartsGround;2017-07-24 19:46;0;0;"@ TomCottonAR @ SenTomCotton Wish you had a spine too! There is still time to do what is best for Arkansas, vote No.";;@ @;;"889632914148913152";https://twitter.com/PartsGround/status/889632914148913152
nancyfboy;2017-07-24 19:46;0;0;"If you want to be re-elected, @ JohnBoozman and @ SenTomCotton, you will do what's best for YOUR PEOPLE. @ ARGOP @ AsaHutchinson # NoToMotion";;@ @ @ @;#;"889632795311693824";https://twitter.com/nancyfboy/status/889632795311693824
danielle92118;2017-07-24 19:45;0;0;"Trump has NO international leverage having alienated all our allies and embraced enemies while constantly attacking Americans in many jobs";;;;"889632633860128768";https://twitter.com/danielle92118/status/889632633860128768
Yarraslava;2017-07-24 19:45;0;0;". @ SenTomCotton @ JohnBoozman @ RepWesterman Arkansas! Please shut down these horrible # PuppyMills! # AdoptDontShoppic.twitter.com/Hg7EXVMH27";;@ @ @;# #;"889632606500913152";https://twitter.com/Yarraslava/status/889632606500913152
danielle92118;2017-07-24 19:44;0;0;"You are a pencil-necked putz who managed to get more coverage than Max Factor makeup";;;;"889632332956807169";https://twitter.com/danielle92118/status/889632332956807169
