username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mentalobstacle;2017-07-24 19:58;0;0;"@ SenatorDurbin Great Advocacy for the American people who depend on you for Leadership!! Great defense of ACA!";;@;;"889636050414571521";https://twitter.com/mentalobstacle/status/889636050414571521
FBorrull;2017-07-24 19:58;0;1;"Please push for legislation that makes higher-ed loans affordable for ALL The way it's now and the way it goes is an unacceptable SCANDAL";;;;"889635993036492800";https://twitter.com/FBorrull/status/889635993036492800
dwaters7545;2017-07-24 19:58;0;1;"I don't recall you telling the millions of people that we're going to lose insurance and their Dr. in 2009.";;;;"889635931736682497";https://twitter.com/dwaters7545/status/889635931736682497
UnctiousSC;2017-07-24 19:58;1;0;"@ SenatorDurbin got to watch your words from up in the gallery. Thank you for your commitment and time to those in need everywhere.";;@;;"889635844516139009";https://twitter.com/UnctiousSC/status/889635844516139009
dwaters7545;2017-07-24 19:56;0;0;"Why do you make these misrepresentations to your constituents like me?";;;;"889635446963269633";https://twitter.com/dwaters7545/status/889635446963269633
DJBartosz;2017-07-24 19:55;0;0;"Every last one of you know that...and if you don't, God bless us all. You won't do anything b/c your next term is all you care about. Period";;;;"889635230956564481";https://twitter.com/DJBartosz/status/889635230956564481
dandeerystud;2017-07-24 19:55;0;0;"Dude worry about Illinois are you kidding me. You suck";;;;"889635105425113088";https://twitter.com/dandeerystud/status/889635105425113088
DJBartosz;2017-07-24 19:53;0;0;"But you won't. You will let the games continue because you serve your masters not the citizens. Apply the law and healthcare COST drops 75%";;;;"889634717317955586";https://twitter.com/DJBartosz/status/889634717317955586
DJBartosz;2017-07-24 19:52;0;0;"If you really wanted to serve US citizens you would apply existing law& jail some folks for price collusion/monopolies/racketeering. Cowards";;;;"889634323363659777";https://twitter.com/DJBartosz/status/889634323363659777
jsundi13;2017-07-24 19:51;0;0;"Yup, that's why they are so afraid of the voter committee";;;;"889634290824249344";https://twitter.com/jsundi13/status/889634290824249344
thomaskaine5;2017-07-24 19:49;0;0;"Trump/Ryan to raise interest on student loans & cut higher education programs to give HUGE tax cuts to wealthy. You get job washing limos.";;;;"889633740808491008";https://twitter.com/thomaskaine5/status/889633740808491008
janetweisFREE;2017-07-24 19:49;0;1;"Super job!";;;;"889633550546456581";https://twitter.com/janetweisFREE/status/889633550546456581
RebeccaAnneGabr;2017-07-24 19:48;0;1;"I'm so proud that you represent my state.";;;;"889633476177211392";https://twitter.com/RebeccaAnneGabr/status/889633476177211392
LouiseN91316;2017-07-24 19:47;0;0;"GOP Senators, Healthcare ≠ a game to score pts at expense of constituents' health. Shame! # CensureMcConnell Healthcare ≠ party loyalty oath";;;#;"889633273634271232";https://twitter.com/LouiseN91316/status/889633273634271232
minoguejd;2017-07-24 19:47;0;1;"Three words for dreamers... Compulsory military service.";;;;"889633250276200448";https://twitter.com/minoguejd/status/889633250276200448
Roatan1101;2017-07-24 19:46;0;1;"Thank you, DO NOT repeal or replace. Americans need ACA and more. And PLEASE impeach TRUMP.";;;;"889632824759898113";https://twitter.com/Roatan1101/status/889632824759898113
lef1952;2017-07-24 19:46;0;0;"Do not repeal ACA!!! @ realDonaldTrump @ SenDuckworth @ SenatorDurbin @ SenCapito @ lisamurkowskihttps://twitter.com/bbecker317/status/889629458684149760 …";;@ @ @ @ @;;"889632799329849345";https://twitter.com/lef1952/status/889632799329849345
SenDuckworth;2017-07-24 19:46;60;176;"I’m proud to work with @ SenatorDurbin to make # HigherEd more affordable for our nation’s heroes → http://bit.ly/2uRh6aF";;@;#;"889632792975478784";https://twitter.com/SenDuckworth/status/889632792975478784
Vette73;2017-07-24 19:45;0;0;". @ SenatorDurbin, @ SenDuckworth, @PeterRoskam: you are my reps in DC. After Trump's performance at the BSA today you must do something!";;@ @ @PeterRoskam;;"889632721080864768";https://twitter.com/Vette73/status/889632721080864768
thecatstitution;2017-07-24 19:45;0;1;"Thank you, sir. Your remarks were compassionate and true.";;;;"889632633289945088";https://twitter.com/thecatstitution/status/889632633289945088
fiddlinnovice;2017-07-24 19:45;0;0;"What's so secret about it? They're doing it front of God and everyone else. Stop them!!!";;;;"889632580483645442";https://twitter.com/fiddlinnovice/status/889632580483645442
sues711;2017-07-24 19:44;2;2;"I really can't stand this sort of rhetoric in my representatives.";;;;"889632425122332672";https://twitter.com/sues711/status/889632425122332672
chriswyoillini;2017-07-24 19:43;0;0;"? A vote to proceed is just that. A chance to discuss and propose amendments. Isn't that what you have been asking for? Quit playing politic";;;;"889632078232465409";https://twitter.com/chriswyoillini/status/889632078232465409
brianknewhouse;2017-07-24 19:41;0;0;"Can't be that Secret if you know about this "plan"";;;;"889631637532807168";https://twitter.com/brianknewhouse/status/889631637532807168
LouiseN91316;2017-07-24 19:40;0;1;"# CensureMcConnell Legislators are to serve & protect public good. Good laws represent constituents. Healthcare should ≠loyalty oath. # FixACA";;;# #;"889631428341903361";https://twitter.com/LouiseN91316/status/889631428341903361
BlnNews_com;2017-07-24 19:39;0;0;"20-30 million don't have insurance now. We know the GOP and you are both lying, so step it up some dude. You can do better.";;;;"889631214222663680";https://twitter.com/BlnNews_com/status/889631214222663680
gjsd2001;2017-07-24 19:39;0;0;"actually dick, it's rip and replace barrycare.";;;;"889631146526552064";https://twitter.com/gjsd2001/status/889631146526552064
SenatorDurbin;2017-07-24 19:38;95;236;"Watch me live on Facebook talking @ SenateGOP's secret effort to rip health care from tens of millions of Americans: https://www.facebook.com/SenatorDurbin/";;@;;"889630891299016708";https://twitter.com/SenatorDurbin/status/889630891299016708
_Alex_Schubert;2017-07-24 19:35;0;0;"Thank you for your leadership on this important issue @ SenatorDurbin";;@;;"889630105408090112";https://twitter.com/_Alex_Schubert/status/889630105408090112
hemmerle_mark;2017-07-24 19:34;0;0;"Who pays for this, DICK?";;;;"889629778176864260";https://twitter.com/hemmerle_mark/status/889629778176864260
hemmerle_mark;2017-07-24 19:33;0;0;"You are missing the fact that my state income tax just went up $50/month to pay for under funded teacher pensions. My kids are out of school";;;;"889629525650354176";https://twitter.com/hemmerle_mark/status/889629525650354176
hemmerle_mark;2017-07-24 19:31;0;0;"How about doing everything in your power to represent Illinois residence who pay taxes. How about lowering out 11% sales tax";;;;"889629145315106817";https://twitter.com/hemmerle_mark/status/889629145315106817
howard317;2017-07-24 19:28;0;0;"Maybe @ TheDemocrats should prove to American Indians that they are "American enough" to stay in the USA after all..we were here first";;@;;"889628434397372421";https://twitter.com/howard317/status/889628434397372421
PertNational18;2017-07-24 19:28;4;1;"@ SenatorDurbin on the @ SenateFloor FIGHTING FOR OUR HEALTHCARE! Mental illness is "NOT a buy in option" Americans will die pic.twitter.com/0lrOgkex5d";;@ @;;"889628340948275200";https://twitter.com/PertNational18/status/889628340948275200
howard317;2017-07-24 19:27;0;0;"Jailed along with the other Democrats Pocahontas's tribe isn't fed recognized do you think they might be Indians? Are they "enough" 4/4";;;;"889628067458580480";https://twitter.com/howard317/status/889628067458580480
howard317;2017-07-24 19:25;0;0;""Indian enough" so why is bigotry against 500k American in non federally recognized tribes acceptable? You should be prosecuted & 3/4";;;;"889627715111972866";https://twitter.com/howard317/status/889627715111972866
howard317;2017-07-24 19:24;0;0;"Taking about compassion you voted for ACA it violates title 6 of CR act that's a felony Sebelius directive non fed tribes must prove 2/4";;;;"889627445908918272";https://twitter.com/howard317/status/889627445908918272
TheresaDonaghy;2017-07-24 19:24;0;1;"Do I share an office building with an Indivisible? Awesome :)";;;;"889627282360475648";https://twitter.com/TheresaDonaghy/status/889627282360475648
howard317;2017-07-24 19:23;0;0;"@ SenatorDurbin you need to read pgs 2006-09 of ACA then Cato Institute report are you Indian enough to avoid Obamacare mandate 1/3";;@;;"889627158599086081";https://twitter.com/howard317/status/889627158599086081
JMcElray;2017-07-24 19:22;0;0;"@ SenateDems Let the debates begin!! We want what @ POTUS wants to end the nightmares for the forgotten victims.pic.twitter.com/gIvIacwaC8";;@ @;;"889626926364729344";https://twitter.com/JMcElray/status/889626926364729344
57_lincoln;2017-07-24 19:20;0;0;"Right on, @ SenatorDurbin ! Shame on you, @ RepKinzinger , for supporting this farcical "legislation"https://twitter.com/senatordurbin/status/889549064580280321 …";;@ @;;"889626357956841472";https://twitter.com/57_lincoln/status/889626357956841472
ncrainbowgrrl;2017-07-24 19:19;0;0;"@ SenatorDurbin is rocking it on the # senate floor. Thank him.";;@;#;"889626153685798913";https://twitter.com/ncrainbowgrrl/status/889626153685798913
Guardian0501;2017-07-24 19:18;0;0;"@ SenatorDurbin when was the ACA ever debated? "You have to pass it to see what's in it!" Another Dem lie.";;@;;"889625858746576896";https://twitter.com/Guardian0501/status/889625858746576896
burtshulman;2017-07-24 19:14;0;0;"No idea. Thanks for sharing. Bye bye.";;;;"889624821751009282";https://twitter.com/burtshulman/status/889624821751009282
ThomasBakerson;2017-07-24 19:12;0;0;"What about @ TheDemocrats who said they had to pass ACA to know what was in it? # OCareNightmare";;@;#;"889624396897366016";https://twitter.com/ThomasBakerson/status/889624396897366016
Fencewlkr;2017-07-24 19:08;0;0;"Premiums have already increased that much when Democrats passed and ran. First they had to pass the bill to find out what was in it.";;;;"889623417246429184";https://twitter.com/Fencewlkr/status/889623417246429184
Lisahentschel1;2017-07-24 19:06;0;0;"27 off under Obamacare, Obamacare lite 22-24 mil GOP house plan no Obamacare 15 mil , repeal and no replace 17 mil off";;;;"889622918774345729";https://twitter.com/Lisahentschel1/status/889622918774345729
CharlesTowers8;2017-07-24 19:05;0;0;"The population u brain surgeon .3 people in Kansas.2 in Idaho n 1 in Montana doesn't count vs 25 million in California 25 in New York";;;;"889622611566764033";https://twitter.com/CharlesTowers8/status/889622611566764033
karlyncallahan;2017-07-24 19:03;0;0;"@ SenatorDurbin @ SenDuckworth There you go. # Obamacare is DEAD! REPEAL IThttps://twitter.com/realDonaldTrump/status/889599425458327552 …";;@ @;#;"889622185228328961";https://twitter.com/karlyncallahan/status/889622185228328961
burtshulman;2017-07-24 19:00;0;0;"Oh. Well then -- may you become a dreamer yourself someday.";;;;"889621244668194821";https://twitter.com/burtshulman/status/889621244668194821
Laura77773;2017-07-24 18:58;0;0;"@ SenatorDurbin Sorry but if FRAUD occurs free-elections constitutionally is taken away - IT'S STEALING OUR RIGHT TO ELECT OUR CHOICE";;@;;"889620874843869189";https://twitter.com/Laura77773/status/889620874843869189
StephenButler55;2017-07-24 18:56;0;0;"Where is it written that it is a basic right? Why should I be willing to help out? I don't even know you. I prefer to keep what I earn.";;;;"889620374157230080";https://twitter.com/StephenButler55/status/889620374157230080
DocLauraLawler;2017-07-24 18:55;0;1;"Great # advocacy efforts! Forgot about how our financial influence can help others do their good work to improve health & welfare of others!";;;#;"889620148428173312";https://twitter.com/DocLauraLawler/status/889620148428173312
jannichicago;2017-07-24 18:54;0;0;"Like @ SenatorDurbin, you also make me proud to be from Illinois. Thank you.";;@;;"889619932459216898";https://twitter.com/jannichicago/status/889619932459216898
caps01;2017-07-24 18:54;0;0;"Kind of bites when your tactics over the last 8 years are used against you. Hypocrisy.pic.twitter.com/SqQeL2xXwh";;;;"889619853174353920";https://twitter.com/caps01/status/889619853174353920
Dcoxboomer;2017-07-24 18:54;0;0;"They are unsustainable. Something has to be done or they won't be around in 10 years. Same for Social Security.";;;;"889619706159796224";https://twitter.com/Dcoxboomer/status/889619706159796224
Dcoxboomer;2017-07-24 18:52;0;0;"I bet you can't provide a credible source for those numbers.";;;;"889619263576821766";https://twitter.com/Dcoxboomer/status/889619263576821766
attackcat52;2017-07-24 18:51;0;0;"@ SenatorDurbin Thank you for the fight you are waging to preserve the ACA. It is pure wrong to throw thousands of people off healthcare.";;@;;"889619123046682625";https://twitter.com/attackcat52/status/889619123046682625
DeannaMarie208;2017-07-24 18:51;0;3;"I called @ SenatorDurbin @ SenDuckworth @ GovRauner to help # KeepKidsCovered. I also donated to @ NationalADAPT to support their strong advocacy";;@ @ @ @;#;"889619035490529281";https://twitter.com/DeannaMarie208/status/889619035490529281
bobbit_tony;2017-07-24 18:51;0;0;"The Great Lakes! Water Level record Highs. Property loss and erosion! @EPAScottPruitt @ SenatorDurbin @ SenDuckworth @ Interiorhttps://twitter.com/nytscience/status/888919720434577408 …";;@EPAScottPruitt @ @ @;;"889618980465520642";https://twitter.com/bobbit_tony/status/889618980465520642
jannichicago;2017-07-24 18:51;0;2;"@ SenatorDurbin Thank you for all you are doing to stop Trumpcare and to save DACA. You make me proud to be from Illinois.";;@;;"889618965760278528";https://twitter.com/jannichicago/status/889618965760278528
OregonJOBS2;2017-07-24 18:50;0;0;"Help who? Repub removes my insurance while dems let me have it.";;;;"889618852744761346";https://twitter.com/OregonJOBS2/status/889618852744761346
CindyZimni;2017-07-24 18:43;1;3;"Don't let us down! Vote NO on this healthcare bill. I called your office, I was told you were NOT for cuts to Medicaid, please don't lie!!";;;;"889617066675904519";https://twitter.com/CindyZimni/status/889617066675904519
scottie_freeman;2017-07-24 18:43;0;1;"Do you even science bro";;;;"889617047549878274";https://twitter.com/scottie_freeman/status/889617047549878274
PhyllisHolman17;2017-07-24 18:42;1;1;"VOTE HIM OUT! HE NEEDS TO BE GONE!";;;;"889616839868919808";https://twitter.com/PhyllisHolman17/status/889616839868919808
DeannaMarie208;2017-07-24 18:42;2;2;"@ SenateDems, @ SenatorDurbin and @ SenDuckworth, @ AmerAcadPeds all want to know the answer to that. @ SenateMajLdr @ SenateGOP - this is a hackhttps://twitter.com/SenJeffMerkley/status/889562714594570242 …";;@ @ @ @ @ @;;"889616766900613120";https://twitter.com/DeannaMarie208/status/889616766900613120
tcsorr;2017-07-24 18:41;0;0;"According to CBO 73% of those losing HC are dropping because no mandate";;;;"889616521659600896";https://twitter.com/tcsorr/status/889616521659600896
wgroth2pol;2017-07-24 18:35;0;0;"From The Local Party: SCCDP: RT SenatorDurbin: Patient groups to SenateGOP: "A vote to proceed with this legislati… https://twitter.com/i/web/status/889611033903550465 …";;;;"889614953832996866";https://twitter.com/wgroth2pol/status/889614953832996866
IssaAhmed84;2017-07-24 18:30;0;0;"@ SenatorDurbin HERE IS THE FRUIT OF YOUR LABOR. KEEP ENCOURAGING ILLEGAL IMMIGRATION. WE WILL REMEMBER.";;@;;"889613763690803205";https://twitter.com/IssaAhmed84/status/889613763690803205
