username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FranciaGS;2017-07-24 19:56;0;0;"@ Almagro_OEA2015 @ marcorubio @ UNHumanRights @ EP_President @ LVidegaray @ SenatorMenendez https://twitter.com/AlbertoRT51/status/889606330486575104 …";;@ @ @ @ @ @;;"889635420899864580";https://twitter.com/FranciaGS/status/889635420899864580
William30051960;2017-07-24 19:50;0;0;"Presidente. Urge una solución inmediata a la crisis en Venezuela no mas víctimas no mas represión no mas palabras...hechos y medidas reales!";;;;"889633856067956738";https://twitter.com/William30051960/status/889633856067956738
RealUSissues;2017-07-24 19:44;0;0;"Employer use to pay for health care.then we didn't have jobs and a lot of sick people. Get jobs back healthier U.S.";;;;"889632463382827008";https://twitter.com/RealUSissues/status/889632463382827008
RealUSissues;2017-07-24 19:43;0;0;"The dems trying to act like they are doing something. Trump already has our wages up jobs up stock market up. Criminals down. Lies dems plat";;;;"889632093965242368";https://twitter.com/RealUSissues/status/889632093965242368
vannanancy;2017-07-24 19:39;0;0;"...and @ tedlieu @ SenSchumer ...";;@ @;;"889631149928075264";https://twitter.com/vannanancy/status/889631149928075264
pipergelly;2017-07-24 19:39;0;0;"@ SenatorMenendez you should be encouraging JCP&L to withdraw the MCRP";;@;;"889631096916332544";https://twitter.com/pipergelly/status/889631096916332544
yoyoyeo2;2017-07-24 19:36;0;0;"PRESS RELEASE:http://www.prweb.com/releases/2017/07/prweb14529745.htm …";;;;"889630294181105664";https://twitter.com/yoyoyeo2/status/889630294181105664
yoyoyeo2;2017-07-24 19:35;0;4;"Senators @ marcorubio and @ SenatorMenendez introduce new @ GirlUp legislation!pic.twitter.com/XTrrhIaYgH";;@ @ @;;"889630136072536068";https://twitter.com/yoyoyeo2/status/889630136072536068
gelita_van;2017-07-24 19:34;0;0;"# SOSVenezuela @ Almagro_OEA2015 @ ONU_derechos @ nikkihaley @ RosLehtinen @ marcorubio @ SenatorMenendez @ MarioDB @ PARLASUR @ Europarl_EShttps://twitter.com/JulioBorges/status/889627403005382656 …";;@ @ @ @ @ @ @ @ @;#;"889629920044908550";https://twitter.com/gelita_van/status/889629920044908550
CPaganoMD;2017-07-24 19:33;5;9;"I left messages for @SenBookerOffice and @ SenatorMenendez thanking them for all they do to # KeepKidsCovered.https://twitter.com/AmerAcadPeds/status/889493046269804544 …";;@SenBookerOffice @;#;"889629677232558084";https://twitter.com/CPaganoMD/status/889629677232558084
OfeliaPnj;2017-07-24 19:21;0;0;"PS Senators @SenBookerOffice and @ SenatorMenendez my photo is from elementary school, I've been paying taxes 20+ yrs";;@SenBookerOffice @;;"889626575582441472";https://twitter.com/OfeliaPnj/status/889626575582441472
HelpSustain;2017-07-24 19:17;0;0;"@SenBookerOffice @ SenatorMenendez @ SenateDems below.https://twitter.com/HelpSustain/status/889625049262698500 …";;@SenBookerOffice @ @;;"889625723505442816";https://twitter.com/HelpSustain/status/889625723505442816
MakBukntsgr8agn;2017-07-24 19:17;0;0;"Looks like shit, smells like shit. Guess what? Its shit! # Democrats2018";;;#;"889625530101895170";https://twitter.com/MakBukntsgr8agn/status/889625530101895170
deafeducator47;2017-07-24 19:13;0;0;"@SenBookerOffice @ SenatorMenendez @ RepBonnie Don't let the republicans gut the CBO!! S.Epstein08520";;@SenBookerOffice @ @;;"889624597238345732";https://twitter.com/deafeducator47/status/889624597238345732
Bexmich;2017-07-24 19:11;0;0;"@ SenateGOP @ SenateDems @ CoryBooker @SenBookerOffice @ SenatorMenendez This deserves it's own billboard. https://twitter.com/realParker9/status/889622838436659204 …";;@ @ @ @SenBookerOffice @;;"889623995955503104";https://twitter.com/Bexmich/status/889623995955503104
terriecrowley;2017-07-24 19:09;0;0;"@ SenatorMenendez @ SenTedCruzhttps://twitter.com/senfeinstein/status/889589899032231938 …";;@ @;;"889623696029216768";https://twitter.com/terriecrowley/status/889623696029216768
sameolddeal;2017-07-24 19:07;0;0;"You admitted you failed, which is why you now need the better deal, after an administration of years you need a better deal? # sameolddeal";;;#;"889623205190787072";https://twitter.com/sameolddeal/status/889623205190787072
JulieHarding323;2017-07-24 18:59;0;0;"Real people. Real problems. 2 income middle class Nj household- teacher and prosecutor. Lifetime caps &high risk pools will kill us # saveaca";;;#;"889621090884046849";https://twitter.com/JulieHarding323/status/889621090884046849
JulieHarding323;2017-07-24 18:58;0;0;"@SenBookerOffice @ SenatorMenendez @USRepRodney bringing my husband to ER tonight,4th time this year;Going to have baby in 2 weeks; # SaveACA";;@SenBookerOffice @ @USRepRodney;#;"889620719625265154";https://twitter.com/JulieHarding323/status/889620719625265154
gabrielar0mer0;2017-07-24 18:55;0;0;"@ realDonaldTrump @ marcorubio @ SenatorMenendez @ RosLehtinen @ Almagro_OEA2015 @ OEA_oficial @ Europarl_ES @ EP_President fuera # NarcoDictadurahttps://twitter.com/dlasamericas/status/889610074875932672 …";;@ @ @ @ @ @ @ @;#;"889620198524932101";https://twitter.com/gabrielar0mer0/status/889620198524932101
WayneLaski;2017-07-24 18:55;0;0;"Just words. You need an approach different from the old politics. That's one of the reasons you lost the people's support last time out.";;;;"889620017775611904";https://twitter.com/WayneLaski/status/889620017775611904
WayneLaski;2017-07-24 18:52;0;0;"It's all just words. Whether the GOP or the Dems are in charge, the problems haven't been solved, Not for a long time. Not even close.";;;;"889619357231435778";https://twitter.com/WayneLaski/status/889619357231435778
OregonJOBS2;2017-07-24 18:50;0;0;"Help who? Repub removes my insurance while dems let me have it.";;;;"889618852744761346";https://twitter.com/OregonJOBS2/status/889618852744761346
WayneLaski;2017-07-24 18:47;0;0;"Meanwhile nobody has really done anything for the voiceless and disenfranchised since Lyndon Johnson. You better find another one like him.";;;;"889618117294469122";https://twitter.com/WayneLaski/status/889618117294469122
TrustissuesLisa;2017-07-24 18:45;0;0;"@RepLoBiondo @SenBookerOffice @ SenatorMenendez @ SenSchumer @NancyPelosi I have asked you this question repeatedly. A response is indicated.https://twitter.com/joyannreid/status/889615351826305026 …";;@RepLoBiondo @SenBookerOffice @ @ @NancyPelosi;;"889617626900639745";https://twitter.com/TrustissuesLisa/status/889617626900639745
Leila_A_Rice;2017-07-24 18:45;0;2;"Why does # Kushner still have a clearance, @ RepLanceNJ7 @SenBookerOffice @ CoryBooker @ SenatorMenendez? Every day I keep asking you this.... https://twitter.com/chrislhayes/status/889475001816158209 …";;@ @SenBookerOffice @ @;#;"889617573490434052";https://twitter.com/Leila_A_Rice/status/889617573490434052
QuirkyChaplain;2017-07-24 18:44;0;0;"@ CoryBooker @ SenatorMenendez My disabled son's future depends on the ACA. Don't let Trump win. Please. # VoteNo # SaveTheACApic.twitter.com/u2EMpEjD7u";;@ @;# #;"889617416183058437";https://twitter.com/QuirkyChaplain/status/889617416183058437
snake2872;2017-07-24 18:44;0;0;"Now you can tell he is lying through his teeth cause his lips are moving!";;;;"889617388865564672";https://twitter.com/snake2872/status/889617388865564672
girliejeep;2017-07-24 18:43;0;0;"@ CoryBooker @ SenatorMenendez interesting perspective https://twitter.com/laurielleclair/status/889615685667704832 …";;@ @;;"889616975600779264";https://twitter.com/girliejeep/status/889616975600779264
Leila_A_Rice;2017-07-24 18:41;0;1;"This is NOT O.K. Why not under OATH & in public session, @ RepLanceNJ7 @ SenatorMenendez @SenBookerOffice @ CoryBooker ??!!!https://twitter.com/sethabramson/status/889294966752776192 …";;@ @ @SenBookerOffice @;;"889616437085655040";https://twitter.com/Leila_A_Rice/status/889616437085655040
JamesFairfiel10;2017-07-24 18:39;0;1;"# SinglePayer ? Or should we keep wasting money.";;;#;"889616011716165634";https://twitter.com/JamesFairfiel10/status/889616011716165634
AltAnalyst;2017-07-24 18:35;0;0;"Protect 1A! @ RonPaul @ RandPaul @ tedcruz @ julianassange @ realDonaldTrump @ WhiteHouse";;@ @ @ @ @ @;;"889615025907924993";https://twitter.com/AltAnalyst/status/889615025907924993
Thisours2k16;2017-07-24 18:34;0;0;"Passionate Speech... First time I hear a democrat use a powerful analogy.. Thanks!!!";;;;"889614764036546560";https://twitter.com/Thisours2k16/status/889614764036546560
carts54;2017-07-24 18:33;0;0;"@ CoryBooker @ SenatorMenendez As a lifelong NJ resident I will never be convinced that Democrats new push cares 2-cents about working people!";;@ @;;"889614580409921537";https://twitter.com/carts54/status/889614580409921537
ALxClaytonx;2017-07-24 18:29;0;0;"Meanwhile...Senators move to stifle free speech, criminalize # BDS and ignore human rights abuses & apartheid regimes.";;;#;"889613496836640769";https://twitter.com/ALxClaytonx/status/889613496836640769
gabrielar0mer0;2017-07-24 18:26;0;0;"Renuncia Maduro,Liberación todos presos políticos,canal humanitario y elecciones generales YA! @ marcorubio @ Almagro_OEA2015 @ SenatorMenendez https://twitter.com/albertort51/status/889608334063611906 …";;@ @ @;;"889612881830043649";https://twitter.com/gabrielar0mer0/status/889612881830043649
drzeus99;2017-07-24 18:26;0;0;"Thankfully, in NJ, we have 2 Dems. @ SenatorMenendez and the great @ CoryBooker. I've written to both to thank them as well.";;@ @;;"889612842181242881";https://twitter.com/drzeus99/status/889612842181242881
Moeskido;2017-07-24 18:21;0;0;"Please keep them from bankrupting more of us.";;;;"889611578986967040";https://twitter.com/Moeskido/status/889611578986967040
Charlyee1110;2017-07-24 18:21;0;0;"@ RosLehtinen @ marcorubio @ FernandoAmandi @ beatrizbecerrab @ hrw @ SophieHRW @ mauriciomacri @ Pontifex @ SenatorMenendez https://twitter.com/humbertotweets/status/889595795707756547 …";;@ @ @ @ @ @ @ @ @;;"889611523328425984";https://twitter.com/Charlyee1110/status/889611523328425984
gomezdm1;2017-07-24 18:19;0;2;"Exactly";;;;"889611069269868544";https://twitter.com/gomezdm1/status/889611069269868544
gomezdm1;2017-07-24 18:19;0;0;"Why do we need to re-create the wheel, instead of holding the insurance company exec's accountable for a price gouging Americans";;;;"889610969726439425";https://twitter.com/gomezdm1/status/889610969726439425
annaleclaire;2017-07-24 18:17;0;0;"Slave labor?";;;;"889610620512854016";https://twitter.com/annaleclaire/status/889610620512854016
Amy_Abey;2017-07-24 18:17;0;0;"Thank you so much @ SenatorMenendez ! # ResistTrumpcare @ GOPhttps://twitter.com/SenatorMenendez/status/889609287999389697 …";;@ @;#;"889610501436710912";https://twitter.com/Amy_Abey/status/889610501436710912
agounardes;2017-07-24 18:16;0;0;"Really smart and important point by my old boss @ SenatorMenendez on the need for a bipartisan approach to healthcare reform. https://twitter.com/SenatorMenendez/status/889547925885513728 …";;@;;"889610389541015552";https://twitter.com/agounardes/status/889610389541015552
jeffaschwarz;2017-07-24 18:14;0;0;"Why? They won't work with you. They will throw you under the bus. Working with them empowers them.";;;;"889609737062539264";https://twitter.com/jeffaschwarz/status/889609737062539264
RemembTheAlamo;2017-07-24 18:14;0;2;"Require insurance companies to participate in the exchange or else they can't sell insurance privately. Boom problem fixed.";;;;"889609697430429696";https://twitter.com/RemembTheAlamo/status/889609697430429696
SenatorMenendez;2017-07-24 18:12;48;144;"Senate Republicans may bounce back & forth between their bills, but Dems willingness to work together & improve # Healthcare has remainedpic.twitter.com/47UEagmRV9";;;#;"889609287999389697";https://twitter.com/SenatorMenendez/status/889609287999389697
JohnPaulBaratta;2017-07-24 18:09;0;0;"Pls resign and focus on your trial fam";;;;"889608439852347393";https://twitter.com/JohnPaulBaratta/status/889608439852347393
RobDiazII;2017-07-24 18:08;0;0;". @ SenatorMenendez, @ CoryBooker: I don't want my voter info on a white house computer. What rights do I have to prevent that from happening?";;@ @;;"889608196339490816";https://twitter.com/RobDiazII/status/889608196339490816
OfeliaPnj;2017-07-24 18:07;0;0;"I'm a Jersey girl tweeting to remind @SenBookerOffice and @ SenatorMenendez please preserve healthcare. We all need this! pic.twitter.com/ooxQNAKkJQ";;@SenBookerOffice @;;"889608094241751045";https://twitter.com/OfeliaPnj/status/889608094241751045
pguild1225;2017-07-24 18:07;0;0;"@ CoryBooker @ SenatorMenendez please please fight this awful plan to gut healthcare! # TrumpCareKills";;@ @;#;"889607970497204226";https://twitter.com/pguild1225/status/889607970497204226
RealFrankFromFL;2017-07-24 17:58;0;0;"But fighting won't help.";;;;"889605748975599616";https://twitter.com/RealFrankFromFL/status/889605748975599616
CassidyTiffani;2017-07-24 17:55;0;1;"Bill Nelson went from being a champion & honest, to being a total douche within 20 years. What happened?";;;;"889605035029659648";https://twitter.com/CassidyTiffani/status/889605035029659648
kimberlymontse1;2017-07-24 17:52;1;3;"We need to # VoteThemOut All of them";;;#;"889604317149376512";https://twitter.com/kimberlymontse1/status/889604317149376512
MarikaBlog12;2017-07-24 17:52;0;0;"Do NOT bargain with wolves' lives! NO delisting, no precluding judicial review @ corybooker @ SenatorMenendez pic.twitter.com/PQAtDdsYaK";;@ @;;"889604280302411777";https://twitter.com/MarikaBlog12/status/889604280302411777
lew_prts;2017-07-24 17:52;0;0;"@ Almagro_OEA2015 @ OEA_oficial @ AndresPastrana_ @ tutoquiroga @ marcorubio @ SenatorMenendez # SOSVenezuela # NoMasDictadura";;@ @ @ @ @ @;# #;"889604119152996352";https://twitter.com/lew_prts/status/889604119152996352
Arnold1Jimmy;2017-07-24 17:51;0;0;"That's thanks too your party and its politics";;;;"889603937300615168";https://twitter.com/Arnold1Jimmy/status/889603937300615168
OregonJOBS2;2017-07-24 17:31;0;0;"They have radically different goals. Dems want to repair, repiblicans want to free market with no mandate on pre existing conditions";;;;"889598957881507840";https://twitter.com/OregonJOBS2/status/889598957881507840
SheridanFinAid;2017-07-24 17:27;0;0;"Proud to be from Jersey, knowing @ CoryBooker and @ SenatorMenendez care about Americans' # Healthcare. # StopTrumpcare";;@ @;# #;"889597834076594183";https://twitter.com/SheridanFinAid/status/889597834076594183
