username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
hrhdjc;2017-07-24 19:54;0;0;"@ SenatorRounds Your constituents are depending on you. Small states hospitals count Vote 'no' on # Obamacare repeal.";;@;#;"889634869176922116";https://twitter.com/hrhdjc/status/889634869176922116
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
chericirehc;2017-07-24 19:47;0;1;"@ SenJohnThune @ SenatorRounds @RepKristiNoem when r u going 2 do something 2 protect us? Or don't u care they're giving USA away to Russia? https://twitter.com/KeithOlbermann/status/889606381971677184 …";;@ @ @RepKristiNoem;;"889633066548961280";https://twitter.com/chericirehc/status/889633066548961280
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
ToniMiller77;2017-07-24 19:39;0;0;"@ SenatorRounds @ SenJohnThune please don't vote for 36,000 SD peeps losing health care & 7400 lost jobs. Stand up for us!";;@ @;;"889631160145412097";https://twitter.com/ToniMiller77/status/889631160145412097
chericirehc;2017-07-24 19:29;0;0;"@ SenJohnThune @ SenatorRounds @RepKristiNoem Seriously John? I mean SERIOUSLY? U don't even know what UR voting on? http://www.msnbc.com/rachel-maddow-show/gop-senators-still-unsure-which-health-care-bill-they-hope-pass?cid=sm_fb_maddow …";;@ @ @RepKristiNoem;;"889628752711495680";https://twitter.com/chericirehc/status/889628752711495680
wicozani2;2017-07-24 19:25;1;1;"@ SenJohnThune @ SenatorRounds Challenging, yes, but imagine the worsening health of millions of Americans if # ACA is repealed # SaveMedicaid";;@ @;# #;"889627663022915584";https://twitter.com/wicozani2/status/889627663022915584
KateyLadyG;2017-07-24 19:24;0;0;"@ SenJohnThune @ SenatorRounds AGREED https://twitter.com/chrislhayes/status/889602790288478208 …";;@ @;;"889627343416897538";https://twitter.com/KateyLadyG/status/889627343416897538
KateyLadyG;2017-07-24 19:22;0;0;"@ SenJohnThune @ SenatorRounds @RepKristiNoem https://twitter.com/mmflint/status/889336580204359680 …";;@ @ @RepKristiNoem;;"889626829681721346";https://twitter.com/KateyLadyG/status/889626829681721346
KateyLadyG;2017-07-24 19:17;0;0;"@ SenJohnThune @ SenatorRounds - seems like valid reasons to hold up this nominee! https://twitter.com/senwarren/status/889564341955153920 …";;@ @;;"889625538909876224";https://twitter.com/KateyLadyG/status/889625538909876224
