username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PiscopoSf;2017-07-24 19:52;0;1;". @ SenatorStrange Who do you work for? This bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/d0QdBB5lBd";;@;#;"889634402204078080";https://twitter.com/PiscopoSf/status/889634402204078080
allieart;2017-07-24 19:50;0;1;"@ SenShelby @ SenatorStrange https://twitter.com/Nataliew1020/status/889470753963474945 …";;@ @;;"889634045562429441";https://twitter.com/allieart/status/889634045562429441
Peanutzz;2017-07-24 19:40;0;0;"@ BillCassidy # louisiana @ SenBobCorker # tennessee @ senrobportman # ohio @ SenCoryGardner # colorado @ SenShelby # alabama @ SenatorStrange https://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @;# # # # #;"889631402916012037";https://twitter.com/Peanutzz/status/889631402916012037
StankAttitude;2017-07-24 19:33;2;3;"Jones is the one so far...";;;;"889629735046828033";https://twitter.com/StankAttitude/status/889629735046828033
HoweHolistic;2017-07-24 19:32;2;4;"The people do not want the GOP bill to repeal/replace. You work for the people- do not vote for this bill. # SaveACA";;;#;"889629337653317633";https://twitter.com/HoweHolistic/status/889629337653317633
meanymom54;2017-07-24 19:30;0;0;"@ SenatorStrange # Repeal&ReturnToStates # ReadTheConstitution Federal Govt has NO jurisdiction over health care";;@;# #;"889628919447642112";https://twitter.com/meanymom54/status/889628919447642112
norristhekat;2017-07-24 19:18;0;0;"@ realDonaldTrump @ RepMarthaRoby @ SenatorStrange @ SenShelbypic.twitter.com/cmutmzjfSI";;@ @ @ @;;"889625838462873601";https://twitter.com/norristhekat/status/889625838462873601
AlabamaBlueGir1;2017-07-24 19:16;0;2;"Yep. Ready to vote # scamminstrange out!!";;;#;"889625472883187712";https://twitter.com/AlabamaBlueGir1/status/889625472883187712
norristhekat;2017-07-24 19:16;0;0;"@ realDonaldTrump @ SenatorStrange @ RepMarthaRoby @ SenShelbypic.twitter.com/YWJF8O5IAE";;@ @ @ @;;"889625372819697664";https://twitter.com/norristhekat/status/889625372819697664
scott_hays;2017-07-24 19:08;0;1;"Bros, God wouldn't even vote yes, @ SenShelby, @ SenatorStrange. https://twitter.com/topherspiro/status/889487372152385537 …";;@ @;;"889623430873698304";https://twitter.com/scott_hays/status/889623430873698304
Drjibaker;2017-07-24 19:06;0;1;"And # repealmeaningfuluse";;;#;"889622924025634817";https://twitter.com/Drjibaker/status/889622924025634817
wife2ofhenry8;2017-07-24 19:00;0;0;"@ SenatorStrange @ SenShelby @ SenAlexander @ SenBobCorker @ SenateGOPhttps://twitter.com/JesseLehrich/status/889539561759678466 …";;@ @ @ @ @;;"889621223419850752";https://twitter.com/wife2ofhenry8/status/889621223419850752
Kakistocracy15;2017-07-24 18:54;0;0;"@ SenShelby @ SenatorStrange @ SenDanSullivan @ JeffFlake @ JohnBoozman @ MikeCrapo Threatening people to hurt millions of Americans. Winning?https://twitter.com/braddjaffy/status/889618623286980612 …";;@ @ @ @ @ @;;"889619883897565185";https://twitter.com/Kakistocracy15/status/889619883897565185
Peanutzz;2017-07-24 18:43;0;0;"@ BillCassidy # louisiana @ SenBobCorker # tennessee @ senrobportman # ohio @ SenCoryGardner # colorado @ SenShelby # alabama @ SenatorStrange https://twitter.com/civilrightsorg/status/889553618357059584 …";;@ @ @ @ @ @;# # # # #;"889617127136796673";https://twitter.com/Peanutzz/status/889617127136796673
GaagiiLammers;2017-07-24 18:39;2;2;"# alpol # alpolitics @ SenatorStrange we miss you! https://twitter.com/shearives/status/889397882402590721 …";;@;# #;"889615971757039616";https://twitter.com/GaagiiLammers/status/889615971757039616
safeagain1;2017-07-24 18:23;0;0;"@ devinnunes @ lindseygrahamsc @ senatorstrange @ HouseGOP @ SenateGOP @ senatorburr @ SenJohnMcCain @ OrrinHatch @tgowdsysc @ GOPoversighthttps://twitter.com/safeagain1/status/889586508029730816 …";;@ @ @ @ @ @ @ @ @tgowdsysc @;;"889612083821764610";https://twitter.com/safeagain1/status/889612083821764610
4AmericanVoices;2017-07-24 18:22;0;1;". @ SenatorStrange Plz don't kill Republican Party. Don't kill Americans. Vote NO on Healthcare UNTIL it's been made good for Americans! pic.twitter.com/hYqldyj6MB";;@;;"889611818704019458";https://twitter.com/4AmericanVoices/status/889611818704019458
Snertly;2017-07-24 18:11;1;4;"But @ SenatorStrange, that "failed experiment", the ACA, is the very thing the Senate healthcare plan cannot match on cost or coverage.";;@;;"889609009220681728";https://twitter.com/Snertly/status/889609009220681728
PickensTeaParty;2017-07-24 18:10;0;0;". @ SenatorStrange @ SenShelby # RepealObamacare!No bait & switch,no backroom deals,& no bailouts.Just # repeal it like U did B4. # tweetcongress";;@ @;# # #;"889608865448198144";https://twitter.com/PickensTeaParty/status/889608865448198144
Beccajxo2;2017-07-24 18:10;0;0;"Sorry Luther but it's not one of our priorities at this time.pic.twitter.com/asrnkjTAlY";;;;"889608759642816516";https://twitter.com/Beccajxo2/status/889608759642816516
mel4uofa;2017-07-24 17:49;0;0;"I've called my Senators today, have you? Don't be distracted!!! This is our future! @ SenShelby @ SenatorStrange Please, vote no on MTP!";;@ @;;"889603431702384640";https://twitter.com/mel4uofa/status/889603431702384640
Mereycat;2017-07-24 17:46;4;10;"That is a lie & you know it, Sen Shelby! Rebublicans are sabotaging the market https://www.healthinsurance.org/blog/2017/05/17/10-ways-the-gop-sabotaged-obamacare/ … @ SenatorStrange";;@;;"889602748743909376";https://twitter.com/Mereycat/status/889602748743909376
