username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
FedUpGOPer;2017-07-24 19:47;0;0;"Hey @ TomColeOK04, @ SenatorLankford, and @ JimInhofe: I'm your constituent. How can you support this behavior? https://twitter.com/JensenClan88/status/889632401848127489 …";;@ @ @;;"889633262037028864";https://twitter.com/FedUpGOPer/status/889633262037028864
annamarieyl;2017-07-24 19:47;0;0;"@ SenatorLankford @ JimInhofe Vote no. Oklahomans deserve better than a bill cobbled together in secret without full cbo score. https://twitter.com/chrislhayes/status/889591081884635136 …";;@ @;;"889633161185038336";https://twitter.com/annamarieyl/status/889633161185038336
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
Dwanesterrr;2017-07-24 19:40;0;0;"@ SenatorBurr @ SenThomTillis @ SenJohnHoeven @ SenJohnMcCain @ SenRobPortman @ JimInhofe @ SenatorLankford @ SenToomey @ LindseyGrahamSC";;@ @ @ @ @ @ @ @ @;;"889631379411042304";https://twitter.com/Dwanesterrr/status/889631379411042304
LazyCircles;2017-07-24 19:38;0;0;"@ InhofePress @ JimInhofe Voting for a healthcare bill without studying its repercussions is unconscionable.We need hearings! VOTE NO TOMORROW";;@ @;;"889631011725856768";https://twitter.com/LazyCircles/status/889631011725856768
OkieErin;2017-07-24 19:23;0;0;"@ SenatorLankford @ JimInhofe. You've met my boy, post heart transplant. We discussed pre-existing conditions. Stand with kids like this. Thx! pic.twitter.com/QbPPBb5Soy";;@ @;;"889627189087436800";https://twitter.com/OkieErin/status/889627189087436800
lolabright108;2017-07-24 19:21;0;0;"@ JimInhofe Hello";;@;;"889626746252910594";https://twitter.com/lolabright108/status/889626746252910594
erniemax;2017-07-24 19:12;0;0;"VOTE NO @ SenatorLankford @ JimInhofe You work for us. https://twitter.com/ezralevin/status/889518602948407296 …";;@ @;;"889624360910303236";https://twitter.com/erniemax/status/889624360910303236
MamaKayBR;2017-07-24 19:08;0;0;"I want you to hear my story @ JimInhofe. Planned Parenthood MUST be protected. # IStandWithPP";;@;#;"889623432614334464";https://twitter.com/MamaKayBR/status/889623432614334464
