username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
52fairway;2017-07-24 19:59;2;0;"Fix ACA ... WE DESERVE same care as @ SenJohnMcCain JOHN has ACA ...aka Obamacare! IT's good for McCain but not us?";;@;;"889636310528516096";https://twitter.com/52fairway/status/889636310528516096
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
yumyumpm1;2017-07-24 19:59;0;0;"You're saying the right things, but will you back the president when it's needed. Forget Republican and Democrat and think American people";;;;"889636185991196672";https://twitter.com/yumyumpm1/status/889636185991196672
LopezN19l36;2017-07-24 19:59;0;0;". @ BillCassidy don't make my health care cost more and cover less. Do not # RepealObamacare. https://act.weareultraviolet.org/sign/Trumpcare_Senators?akid=.2569357.iAM01b#?source=uvtwitter … via @ UltraViolet";;@ @;# #;"889636134980112384";https://twitter.com/LopezN19l36/status/889636134980112384
GeorgeBain14;2017-07-24 19:58;0;0;"DO NOT SUPPORT REPEAL ONLY! GEORGE BAIN ZIP 70435";;;;"889635873511407617";https://twitter.com/GeorgeBain14/status/889635873511407617
librarygirl17;2017-07-24 19:57;0;0;"Please listen @ DeanHeller @ lisamurkowski @ SenCapito @ robportman @ SenCoryGardner @ JeffFlake @ BillCassidy @ BobCorker @ PatToomey @ SenAlexanderhttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @ @ @ @ @;;"889635624415879168";https://twitter.com/librarygirl17/status/889635624415879168
JacquelinePhe16;2017-07-24 19:57;0;1;"@ SenatorCassidy it works for me and it works for Louisiana, and you know it.";;@;;"889635604383793152";https://twitter.com/JacquelinePhe16/status/889635604383793152
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
beerwaterdahter;2017-07-24 19:56;0;1;"We also need to ban all guns If 1 child dies from gun violence, then nothing is worth protecting them";;;;"889635527057690624";https://twitter.com/beerwaterdahter/status/889635527057690624
schnufflerowner;2017-07-24 19:55;0;0;"I have called his office to warn him and his staff that they will surely face the eternal damnation of Hell if he votes for this bill.";;;;"889635138149253124";https://twitter.com/schnufflerowner/status/889635138149253124
SallyB1029;2017-07-24 19:55;0;0;"@ BenSasse @ lisamurkowski @ senrobportman @ SenCapito @ SenCoryGardner @ SenDeanHeller @ JeffFlake @ BillCassidy https://twitter.com/JoyAnnReid/status/889633687125577730 …";;@ @ @ @ @ @ @ @;;"889635117483929600";https://twitter.com/SallyB1029/status/889635117483929600
SallyB1029;2017-07-24 19:55;0;0;"@ BenSasse @ lisamurkowski @ senrobportman @ SenCapito @ SenCoryGardner @ SenDeanHeller @ JeffFlake @ BillCassidy https://twitter.com/JoyAnnReid/status/889633861306634240 …";;@ @ @ @ @ @ @ @;;"889635095639994368";https://twitter.com/SallyB1029/status/889635095639994368
Gummi_Gal;2017-07-24 19:54;0;0;"Dear @ Shareblue Do you consider @ SenCoryGardner a waffling vote or a for sure yes vote?https://mobile.twitter.com/Shareblue/status/889627476829368320 …";;@ @;;"889634924285894658";https://twitter.com/Gummi_Gal/status/889634924285894658
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Di_McI;2017-07-24 19:53;0;1;". @ BillCassidy The Senate Trumpcare bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/siiEUSrnM2";;@;#;"889634745830735872";https://twitter.com/Di_McI/status/889634745830735872
KathJohnsonArt;2017-07-24 19:52;1;0;"@ BillCassidy # ProtectOurCare https://twitter.com/moveon/status/889548498298961921 …";;@;#;"889634546106253312";https://twitter.com/KathJohnsonArt/status/889634546106253312
PrissyFoxie14;2017-07-24 19:52;0;0;"Please vote NO! Fix ACA. PLEASE. VOTE NO";;;;"889634308826308617";https://twitter.com/PrissyFoxie14/status/889634308826308617
Horn_Sannity;2017-07-24 19:52;0;0;"Is this happening? @ SenCapito @ BillCassidy @ SenBobCorker @ SenJohnMcCain @ lisamurkowski @ senrobportman @ SenSasse @ SenDeanHeller @ JeffFlakehttps://twitter.com/senkamalaharris/status/889627267734876160 …";;@ @ @ @ @ @ @ @ @;;"889634307148566534";https://twitter.com/Horn_Sannity/status/889634307148566534
PatTheTerrible;2017-07-24 19:51;0;0;"Measure of McConnell's contempt for you. He thinks you're dumb enough to vote yes on a pig in a poke. VOTE NO. # altgov # resist";;;# #;"889634293827416066";https://twitter.com/PatTheTerrible/status/889634293827416066
KReinhardtBlock;2017-07-24 19:51;0;0;"@ BillCassidy @ SenSusanCollins please fix the # ACA. Don't do this. # FirstDoNoHarm # VoteNo @ benwikler @ physicianwomenhttps://twitter.com/mepfuller/status/889603168774094849 …";;@ @ @ @;# # #;"889634134552969220";https://twitter.com/KReinhardtBlock/status/889634134552969220
AMBabka;2017-07-24 19:51;0;1;"Everything about the bill and MTP is vomit-worthy. # TrumpCare on you, @ senrobportman @ SenCapito @ SenDeanHeller @ SenJohnMcCain @ BillCassidy. https://twitter.com/burgessev/status/889632223263174657 …";;@ @ @ @ @;#;"889634122515324928";https://twitter.com/AMBabka/status/889634122515324928
marytodd;2017-07-24 19:50;0;0;"@ BillCassidy @ SenJohnKennedy Could you at least listen to a fellow Republican?https://twitter.com/johnkasich/status/889522009264332804 …";;@ @;;"889633937487794176";https://twitter.com/marytodd/status/889633937487794176
Horn_Sannity;2017-07-24 19:49;0;0;"Your constituents @ SenCapito @ BillCassidy @ SenBobCorker @ SenJohnMcCain @ lisamurkowski @ senrobportman @ SenSasse @ SenDeanHeller @ JeffFlakehttps://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @ @ @ @ @ @ @ @;;"889633707023355907";https://twitter.com/Horn_Sannity/status/889633707023355907
BorisDirnbach;2017-07-24 19:49;0;0;". @ lisamurkowski @ SenatorFischer @ SenCapito @ BillCassidy @ JeffFlake @ SenatorTimScott @ SenDeanHeller @ senrobportman @ SenatorCollins @ SenToomey";;@ @ @ @ @ @ @ @ @ @;;"889633682717364225";https://twitter.com/BorisDirnbach/status/889633682717364225
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
NameRedacted68;2017-07-24 19:48;1;3;"Everyone...RT this!";;;;"889633484150644737";https://twitter.com/NameRedacted68/status/889633484150644737
annebabson;2017-07-24 19:48;0;0;"Americans have overwhelmingly passed the Senate to vote no on the motion to proceed. Make no mistake. We are counting on you to do that!";;;;"889633392643497985";https://twitter.com/annebabson/status/889633392643497985
BryanTucker16;2017-07-24 19:47;0;0;"he means returning costs back to the states. I wonder what our governor thinks about it? @ LouisianaGov";;@;;"889633199910944778";https://twitter.com/BryanTucker16/status/889633199910944778
bruceymonkey;2017-07-24 19:47;0;1;"@ BillCassidy @ lisamurkowski @ senrobportman Should a mother lose her daughter to # Trumpcare? Should this baby die bc Trump is bullying you?https://twitter.com/Nataliew1020/status/889617940919791617 …";;@ @ @;#;"889633120126996483";https://twitter.com/bruceymonkey/status/889633120126996483
marytodd;2017-07-24 19:47;0;0;"@ BillCassidy @ SenJohnKennedy Are you even thinking about the people of LA? How about being profiles in courage instead of yes men to McCon?";;@ @;;"889633051470385152";https://twitter.com/marytodd/status/889633051470385152
laurcoo;2017-07-24 19:45;0;0;"My 3rd recurrence makes me think about not having healthcare. Surely it's the same for you.";;;;"889632747907633154";https://twitter.com/laurcoo/status/889632747907633154
MatthewBrouss11;2017-07-24 19:45;0;0;"@ BillCassidy I want to ensure funding for a southern border wall is included in FY18 DHS bill. Please support! # BuildtheWall";;@;#;"889632716542681089";https://twitter.com/MatthewBrouss11/status/889632716542681089
mcarr2k;2017-07-24 19:45;1;1;"Do the right thing and save Americans by # VotingNo! America is watching and we demand that you chose people over a tax cut.";;;#;"889632702848282627";https://twitter.com/mcarr2k/status/889632702848282627
LauraAnnLA50;2017-07-24 19:45;2;4;"Louisiana says no repeal. If you vote to repeal, you are just a political tool. Do right by Louisiana. Quit thinking of yourself and party";;;;"889632629657673729";https://twitter.com/LauraAnnLA50/status/889632629657673729
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
LauraAnnLA50;2017-07-24 19:44;0;0;"@ BillCassidy Louisiana is watching you. As a doctor, you know the truth to this tweet. Do not repeal # ACA # Obamacarehttps://twitter.com/robdelaney/status/884375076212285441 …";;@;# #;"889632299536482304";https://twitter.com/LauraAnnLA50/status/889632299536482304
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
DeepInTheHills;2017-07-24 19:42;7;8;". @ GOP What if those were *your* children - oh yeah, you exempted yourself from your own healthcare plan. # SHAME # SHAME # SHAME";;@;# # #;"889631979662172160";https://twitter.com/DeepInTheHills/status/889631979662172160
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
gregggonsalves;2017-07-24 19:42;4;5;". @ SenToomey, @ BillCassidy @ JeffFlake. Bill is a disaster. You don't have to vote for it. It takes healthcare and $$$ away from your states.";;@ @ @;;"889631845779988480";https://twitter.com/gregggonsalves/status/889631845779988480
wcv63;2017-07-24 19:42;0;0;"You will be consigning people to death. You know it. I know it. They know it. We won't forget.";;;;"889631828650463236";https://twitter.com/wcv63/status/889631828650463236
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
MJoyce2625;2017-07-24 19:41;0;0;"# VoteNo @ SenJohnMcCain @ SenatorCollins @ lisamurkowski @ SenCapito @ DeanHeller @ JeffFlake @ BillCassidy @ SenJohnKennedy # NoMTP # SaveMedicaid!https://twitter.com/littlelobbyists/status/889596869835403264 …";;@ @ @ @ @ @ @ @;# # #;"889631697142255618";https://twitter.com/MJoyce2625/status/889631697142255618
wcv63;2017-07-24 19:41;0;0;"Vote no on this bill. It is a BAD BILL.";;;;"889631611939172352";https://twitter.com/wcv63/status/889631611939172352
mommicality;2017-07-24 19:41;0;0;"Call @ SenatorCollins @ RandPaul @ CapitoforWV @ SenBobCorker @ SenDeanHeller @ senrobportman @ lisamurkowski @ SenSasse @ BillCassidy 202-224-3121";;@ @ @ @ @ @ @ @ @;;"889631573666091014";https://twitter.com/mommicality/status/889631573666091014
wcv63;2017-07-24 19:40;0;1;"Do not vote yes on the health care bill. You are tossing your constituents under a bus for party. Americans before party.";;;;"889631470188470275";https://twitter.com/wcv63/status/889631470188470275
Peanutzz;2017-07-24 19:40;0;0;"@ BillCassidy # louisiana @ SenBobCorker # tennessee @ senrobportman # ohio @ SenCoryGardner # colorado @ SenShelby # alabama @ SenatorStrangehttps://twitter.com/mattmfm/status/889605694068011008 …";;@ @ @ @ @ @;# # # # #;"889631402916012037";https://twitter.com/Peanutzz/status/889631402916012037
namd4kids;2017-07-24 19:40;2;3;"Guess what @ SenCapito @ lisamurkowski @ SenDeanHeller @ SenCoryGardner @ senrobportman @ BillCassidy BCRA is an injustice. # KeepKidsCoveredhttps://twitter.com/unicef/status/889470452749520897 …";;@ @ @ @ @ @;#;"889631342241210369";https://twitter.com/namd4kids/status/889631342241210369
abirish;2017-07-24 19:39;0;0;"The problem we r stuck with @ SenToomey 5 1/2 more yrs.Please pray 4 us.";;@;;"889631178755584000";https://twitter.com/abirish/status/889631178755584000
wcv63;2017-07-24 19:39;0;1;"You are betraying your Hippocratic Oath if you vote for this bill.";;;;"889631101890777089";https://twitter.com/wcv63/status/889631101890777089
KimGANEPossible;2017-07-24 19:38;0;0;". @ BillCassidy, a link to your website is missing from your twitter profile. That's OK. Found it here & fax no: https://www.cassidy.senate.gov/contact/office-locations …";;@;;"889630944411439108";https://twitter.com/KimGANEPossible/status/889630944411439108
charles_gaba;2017-07-24 19:38;21;19;"REMINDER: @ BillCassidy LIED THROUGH HIS TEETH TO @ jimmykimmel ON HIS SHOW: http://acasignups.net/17/05/10/why-did-bill-cassidy-flat-out-lie-jimmy-kimmel-re-children-chip … https://twitter.com/topherspiro/status/889609647933599745 …";;@ @;;"889630872059736064";https://twitter.com/charles_gaba/status/889630872059736064
LvilleGal1;2017-07-24 19:37;0;1;"DO NOT VOTE ON A BILL THAT TAKES AWAY EVEN A SINGLE AMERICAN LIFE. YOUR JOB IS TO SERVE THE AMERICAN PEOPLE NOT TO DESTROY INNOCENT LIVES.";;;;"889630754862399488";https://twitter.com/LvilleGal1/status/889630754862399488
MJoyce2625;2017-07-24 19:37;0;0;"# VoteNo @ SenJohnMcCain @ SenatorCollins @ lisamurkowski @ SenCapito @ DeanHeller @ JeffFlake @ BillCassidy @ SenJohnKennedy # NoMTP # SaveMedicaid!https://twitter.com/benwikler/status/889514260996513794 …";;@ @ @ @ @ @ @ @;# # #;"889630701154336768";https://twitter.com/MJoyce2625/status/889630701154336768
wcv63;2017-07-24 19:37;0;1;"No we didn't Senator Cassidy. You have 2 million people on Medicaid/Medicare in LA. We don't want this bill. Ask your constituents. Say NO!";;;;"889630609156526081";https://twitter.com/wcv63/status/889630609156526081
DesertFriedJeep;2017-07-24 19:37;0;2;"You mean REPUBLICAN$$$$$$$$$$$$?";;;;"889630588289695744";https://twitter.com/DesertFriedJeep/status/889630588289695744
Lainashome;2017-07-24 19:37;0;0;"6:PLS RTLIST OF SEN REPUBS @SenPatRoberts@speakermcconnell@mitchmcconnellpress@randpaul@billcassidy@senjohnkennedy@Senatorcollins";;@SenPatRoberts @speakermcconnell @mitchmcconnellpress @randpaul @billcassidy @senjohnkennedy @Senatorcollins;;"889630526621048834";https://twitter.com/Lainashome/status/889630526621048834
JFed_1963;2017-07-24 19:36;0;1;"You're lying dude.";;;;"889630519826292740";https://twitter.com/JFed_1963/status/889630519826292740
AnnMcNeal11;2017-07-24 19:36;0;0;"@ SenJohnKennedy @ BillCassidy please choose your constituents over Trump. We voted for you - Trump didn't. https://twitter.com/mhhughes/status/889532580243972097 …";;@ @;;"889630428092661760";https://twitter.com/AnnMcNeal11/status/889630428092661760
Harrymeanwell4;2017-07-24 19:35;0;0;"pic.twitter.com/UZWJGlqrx8";;;;"889630128434626560";https://twitter.com/Harrymeanwell4/status/889630128434626560
Scooter0602;2017-07-24 19:35;0;1;"Senator as a physician you took an oath as Senator you also took an oath to protect the people of La. You need to vote against repeal of ACA";;;;"889630115302436865";https://twitter.com/Scooter0602/status/889630115302436865
DontDeflect;2017-07-24 19:34;1;3;"And please, even in the absence of a collage, imagine your elderly relatives kicked out of nursing homes because they've lost Medicare.";;;;"889629979914391552";https://twitter.com/DontDeflect/status/889629979914391552
