username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OZRKIndivisible;2017-07-24 19:59;14;10;"@ SenTomCotton @ JohnBoozman You've lost AARP.... https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889636241901223936";https://twitter.com/OZRKIndivisible/status/889636241901223936
vickisnit5;2017-07-24 19:56;0;0;"Name the name of so called political historian. And the school you work at";;;;"889635478038884353";https://twitter.com/vickisnit5/status/889635478038884353
PiscopoSf;2017-07-24 19:53;0;1;". @ JohnBoozman Who do you work for? This bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/d0QdBB5lBd";;@;#;"889634554713079810";https://twitter.com/PiscopoSf/status/889634554713079810
zjhuggins;2017-07-24 19:51;0;0;"Your's is spoken by a proven compulsive liar and Fox News.";;;;"889634194632192002";https://twitter.com/zjhuggins/status/889634194632192002
nancyfboy;2017-07-24 19:46;0;0;"If you want to be re-elected, @ JohnBoozman and @ SenTomCotton, you will do what's best for YOUR PEOPLE. @ ARGOP @ AsaHutchinson # NoToMotion";;@ @ @ @;#;"889632795311693824";https://twitter.com/nancyfboy/status/889632795311693824
Yarraslava;2017-07-24 19:45;0;0;". @ SenTomCotton @ JohnBoozman @ RepWesterman Arkansas! Please shut down these horrible # PuppyMills! # AdoptDontShoppic.twitter.com/Hg7EXVMH27";;@ @ @;# #;"889632606500913152";https://twitter.com/Yarraslava/status/889632606500913152
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
tammyguess59;2017-07-24 19:40;0;0;". @ SenTomCotton @ JohnBoozman @ RepWesterman Arkansas! Please shut down these horrible # PuppyMills! # AdoptDontShoppic.twitter.com/lSuWp4rtgV";;@ @ @;# #;"889631326462259202";https://twitter.com/tammyguess59/status/889631326462259202
MikeThornton71;2017-07-24 19:25;0;0;"@ JohnBoozman @ SenTomCotton # nocutsnocapshttps://www.pscp.tv/w/bEUncDI2MDk2NTR8MVlwS2ttclFiV0FKakfd1IztxUrU_vi_xb0nhXqwLNMFiEYOYwsmErzfP-t4 …";;@ @;#;"889627658543390720";https://twitter.com/MikeThornton71/status/889627658543390720
zjhuggins;2017-07-24 19:18;0;0;"My truth is based on facts. Not opinion, beliefs and prejudices.";;;;"889625882863837184";https://twitter.com/zjhuggins/status/889625882863837184
nedmiller;2017-07-24 19:15;0;0;"@ TomCottonAR & @ JohnBoozman saw how great the @ ACA was for # Arkansas people, but are too afraid of a reality TV star to protect their health";;@ @ @;#;"889625058750210048";https://twitter.com/nedmiller/status/889625058750210048
SydOutLoud;2017-07-24 19:14;0;0;". @ JohnBoozman https://twitter.com/protectcare/status/888422872166928384 …";;@;;"889624758647758852";https://twitter.com/SydOutLoud/status/889624758647758852
kgwasham;2017-07-24 19:09;0;0;"@ SenTomCotton @ JohnBoozman please don't tell me u r considering voting on tomorrow's procedure vote without knowing what u will be voting 4";;@ @;;"889623541330714629";https://twitter.com/kgwasham/status/889623541330714629
Lainashome;2017-07-24 19:05;0;0;"PLEASE RETWEET! Here's some handy Repub Senate addresses:@SenShelby@senjohnmccain@jeffflake@JohnBoozman@SenTomCotton@sencorygardner";;@SenShelby @senjohnmccain @jeffflake @JohnBoozman @SenTomCotton @sencorygardner;;"889622661029953536";https://twitter.com/Lainashome/status/889622661029953536
JackieVhmedic;2017-07-24 19:03;0;0;"@ SenTomCotton @ JohnBoozman There are a large number of your constituents who are seniors or near seniors and very concerned about Healthcare https://twitter.com/AARPadvocates/status/889609156214362112 …";;@ @;;"889622118740217856";https://twitter.com/JackieVhmedic/status/889622118740217856
Kakistocracy15;2017-07-24 18:54;0;0;"@ SenShelby @ SenatorStrange @ SenDanSullivan @ JeffFlake @ JohnBoozman @ MikeCrapo Threatening people to hurt millions of Americans. Winning?https://twitter.com/braddjaffy/status/889618623286980612 …";;@ @ @ @ @ @;;"889619883897565185";https://twitter.com/Kakistocracy15/status/889619883897565185
landofmind1;2017-07-24 18:53;0;0;"Tell you a secret, Government also buries them! Not in the Constitution either.";;;;"889619694080196608";https://twitter.com/landofmind1/status/889619694080196608
FitzgibbonRoger;2017-07-24 18:53;0;1;"@ SenTomCotton @ JohnBoozman @ RepFrenchHill the NYT @ POTUS interview gave you all the admissions you need to know that he is unfit. # impeach https://twitter.com/jessewegman/status/888138817672278019 …";;@ @ @ @;#;"889619653126959104";https://twitter.com/FitzgibbonRoger/status/889619653126959104
snarky_op;2017-07-24 18:51;1;0;"@ chrislhayes @ TopherSpiro @ JerryMoran @ SenJohnMcCain @ JeffFlake @ Lawrence @ lisamurkowski @ JohnBoozman @ SenToomey @ SenateGOP @ KamalaHarrishttps://twitter.com/Zenber1/status/889617312768241664 …";;@ @ @ @ @ @ @ @ @ @ @;;"889619191560630272";https://twitter.com/snarky_op/status/889619191560630272
TeriGRight;2017-07-24 18:51;3;2;". @ JohnBoozman Obamacare 2.0 isn't the promise! # FullRepeal is! # PJNET https://twitter.com/CleverFounder/status/879182914629636103/photo/1pic.twitter.com/Nu2xzZE3Io";;@;# #;"889619180684804100";https://twitter.com/TeriGRight/status/889619180684804100
