username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
PatTheTerrible;2017-07-24 19:51;0;0;"Measure of McConnell's contempt for you. He thinks you're dumb enough to vote yes on a pig in a poke. VOTE NO. # altgov # resist";;;# #;"889634293827416066";https://twitter.com/PatTheTerrible/status/889634293827416066
jesselarson_wy;2017-07-24 19:50;1;7;"As one of your constituents, I find it "disastrous" that you want the Senate to vote on this ridiculous, poorly thought-out healthcare bill.";;;;"889633805669191681";https://twitter.com/jesselarson_wy/status/889633805669191681
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
Suhalper;2017-07-24 19:48;0;0;"@ SenJohnBarrasso Please vote against the Trump/McConnell healthcare travesty. American will be ruined. Thank you Susan";;@;;"889633358619303937";https://twitter.com/Suhalper/status/889633358619303937
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
ksjones2013;2017-07-24 19:39;1;0;"Read below!! @ SenateMajLdr @ marcorubio @ SenTedCruz @ SpeakerRyan @ SenJohnBarrasso @SenCornyn https://twitter.com/ksjones2013/status/889630114350338048 …";;@ @ @ @ @ @SenCornyn;;"889631133364781057";https://twitter.com/ksjones2013/status/889631133364781057
ShabbottMary;2017-07-24 19:13;0;0;". @ senjohnbarrasso @ SenatorEnzi voted for unethical hunting practices to be used on national refuges in AK. # HJR69pic.twitter.com/pYMQ0oTB07";;@ @;#;"889624534982303744";https://twitter.com/ShabbottMary/status/889624534982303744
BeccaThorsness;2017-07-24 18:57;0;3;"Hey @ SenJohnBarrasso why is this acceptable? Constituents like me are terrified for our medical futures. And we can't even weigh in. https://twitter.com/nateweixel/status/889591825195028480 …";;@;;"889620481246208000";https://twitter.com/BeccaThorsness/status/889620481246208000
joshuahake;2017-07-24 18:46;0;0;"@ SenJohnBarrasso - was considering visiting your state, but I'm not sure I want to spend my tax $ where senators take away medical insurance";;@;;"889617882677751808";https://twitter.com/joshuahake/status/889617882677751808
LorettaDenny4;2017-07-24 18:42;0;0;"@ SenJohnBarrasso & @ SenatorEnzi Please read this tonight and seek guidance before tomorrows vote. Guidance from the Lord, not your donors.https://twitter.com/civilrightsorg/status/889600203455680512 …";;@ @;;"889616738790277120";https://twitter.com/LorettaDenny4/status/889616738790277120
