username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
hrhdjc;2017-07-24 19:56;0;0;"@ SenJohnHoeven Your constituents are depending on you rural hospitals count!Vote 'no' on # Obamacare repeal.";;@;#;"889635438964682753";https://twitter.com/hrhdjc/status/889635438964682753
NDConnie1953;2017-07-24 19:54;0;4;"To bad you are going to let down all those who support you with their vote over those who put money in your pocket.";;;;"889634905805795328";https://twitter.com/NDConnie1953/status/889634905805795328
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
UFFDA_ND;2017-07-24 19:51;0;0;"Is there any other explanation @ SenJohnHoeven? https://twitter.com/chrislhayes/status/889602790288478208 …";;@;;"889634257097953281";https://twitter.com/UFFDA_ND/status/889634257097953281
hotblackbitter;2017-07-24 19:49;0;1;"I believe this is directed to you @ marcorubio @ SenatorRisch @ lisamurkowski @ SenJohnHoeven @ SenThomTillis @ SenToomey Vote Accordingly https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @ @ @ @ @;;"889633661510930433";https://twitter.com/hotblackbitter/status/889633661510930433
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
laf8;2017-07-24 19:45;0;0;". @ SenJohnHoeven The Senate Trumpcare bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/jN1Var86EE";;@;#;"889632728735469569";https://twitter.com/laf8/status/889632728735469569
Lainashome;2017-07-24 19:45;0;0;"8:PLEASE RETWEET LIST OF SENATE Rs@KellyAyotte@senthomtillis@SenatorBurr@SenJohnHoeven@SenRobPortman@InhofePress@SenatorLankford@SenToomey";;@KellyAyotte @senthomtillis @SenatorBurr @SenJohnHoeven @SenRobPortman @InhofePress @SenatorLankford @SenToomey;;"889632640915169280";https://twitter.com/Lainashome/status/889632640915169280
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
Dwanesterrr;2017-07-24 19:40;0;0;"@ SenatorBurr @ SenThomTillis @ SenJohnHoeven @ SenJohnMcCain @ SenRobPortman @ JimInhofe @ SenatorLankford @ SenToomey @ LindseyGrahamSC";;@ @ @ @ @ @ @ @ @;;"889631379411042304";https://twitter.com/Dwanesterrr/status/889631379411042304
