username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
burgessev;2017-07-24 19:57;9;14;""The sight of the gallows focuses the mind," says ever quotable @ SenJohnKennedy of GOP repeal pressure campaign http://www.politico.com/story/2017/07/24/republican-health-care-vote-success-or-failure-240887 …";;@;;"889635799217688577";https://twitter.com/burgessev/status/889635799217688577
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
GeorgeBain14;2017-07-24 19:55;0;0;"@ SenJohnKennedy Dear Senator Kennedy, please don't support repeal only! George Bain zip 70435";;@;;"889635086555123712";https://twitter.com/GeorgeBain14/status/889635086555123712
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
marytodd;2017-07-24 19:50;0;0;"@ BillCassidy @ SenJohnKennedy Could you at least listen to a fellow Republican? https://twitter.com/johnkasich/status/889522009264332804 …";;@ @;;"889633937487794176";https://twitter.com/marytodd/status/889633937487794176
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
marytodd;2017-07-24 19:47;0;0;"@ BillCassidy @ SenJohnKennedy Are you even thinking about the people of LA? How about being profiles in courage instead of yes men to McCon?";;@ @;;"889633051470385152";https://twitter.com/marytodd/status/889633051470385152
TouricRoro;2017-07-24 19:44;1;0;"@ SenJohnKennedy has only a vague idea what he will be voting for *tomorrow* and it will regulate one-sixth of our economy.";;@;;"889632445338931200";https://twitter.com/TouricRoro/status/889632445338931200
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
MJoyce2625;2017-07-24 19:41;0;0;"# VoteNo @ SenJohnMcCain @ SenatorCollins @ lisamurkowski @ SenCapito @ DeanHeller @ JeffFlake @ BillCassidy @ SenJohnKennedy # NoMTP # SaveMedicaid!https://twitter.com/littlelobbyists/status/889596869835403264 …";;@ @ @ @ @ @ @ @;# # #;"889631697142255618";https://twitter.com/MJoyce2625/status/889631697142255618
MJoyce2625;2017-07-24 19:37;0;0;"# VoteNo @ SenJohnMcCain @ SenatorCollins @ lisamurkowski @ SenCapito @ DeanHeller @ JeffFlake @ BillCassidy @ SenJohnKennedy # NoMTP # SaveMedicaid!https://twitter.com/benwikler/status/889514260996513794 …";;@ @ @ @ @ @ @ @;# # #;"889630701154336768";https://twitter.com/MJoyce2625/status/889630701154336768
Lainashome;2017-07-24 19:37;0;0;"6:PLS RTLIST OF SEN REPUBS @SenPatRoberts@speakermcconnell@mitchmcconnellpress@randpaul@billcassidy@senjohnkennedy@Senatorcollins";;@SenPatRoberts @speakermcconnell @mitchmcconnellpress @randpaul @billcassidy @senjohnkennedy @Senatorcollins;;"889630526621048834";https://twitter.com/Lainashome/status/889630526621048834
AnnMcNeal11;2017-07-24 19:36;0;0;"@ SenJohnKennedy @ BillCassidy please choose your constituents over Trump. We voted for you - Trump didn't. https://twitter.com/mhhughes/status/889532580243972097 …";;@ @;;"889630428092661760";https://twitter.com/AnnMcNeal11/status/889630428092661760
fiftyseven58mph;2017-07-24 19:30;0;1;"Every citizen deserves the best possible government. Vote NO on healthcare that will be considered Tuesday!";;;;"889628873100578816";https://twitter.com/fiftyseven58mph/status/889628873100578816
MJoyce2625;2017-07-24 19:26;0;0;"# VoteNo @ SenJohnMcCain @ SenatorCollins @ lisamurkowski @ SenCapito @ DeanHeller @ JeffFlake @ BillCassidy @ SenJohnKennedy # NoMTP # SaveMedicaid!https://twitter.com/tomaszbielecki/status/889398587783860225 …";;@ @ @ @ @ @ @ @;# # #;"889627874646470661";https://twitter.com/MJoyce2625/status/889627874646470661
