username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bonczar;2017-07-24 19:59;0;0;"Kate's Law just made justice much better, deporting "criminal" illegals makes America safer. We have NO faith in Democrates.";;;;"889636287363391488";https://twitter.com/bonczar/status/889636287363391488
FrankRamey6;2017-07-24 19:59;0;0;"Chemicals are highly under looked as treated at hospitals/ some chemicals a mixture to kill slow meaning not traceable/ brain damage-cancer";;;;"889636258800074753";https://twitter.com/FrankRamey6/status/889636258800074753
LaMinang;2017-07-24 19:59;0;0;"If this is an example of what @ TheDemocrats are, then it is not a party we want @NancyPelosi @ SenSanders @ SenKamalaHarris @elizabethforma https://twitter.com/AdamsFlaFan/status/889632724100804608 …";;@ @NancyPelosi @ @ @elizabethforma;;"889636257797742593";https://twitter.com/LaMinang/status/889636257797742593
naveenmthw;2017-07-24 19:59;0;7;"Don't tell Dad";;;;"889636149714575360";https://twitter.com/naveenmthw/status/889636149714575360
joev816;2017-07-24 19:58;0;0;"Refer to what Pelosi said in 2010, there's your answer.";;;;"889635993166516224";https://twitter.com/joev816/status/889635993166516224
oliv63;2017-07-24 19:58;0;0;"How can you vote on something You dont know whats in it???";;;;"889635985927135232";https://twitter.com/oliv63/status/889635985927135232
MarkAiton2;2017-07-24 19:58;0;0;"Reason enough to vote no.";;;;"889635884643098626";https://twitter.com/MarkAiton2/status/889635884643098626
Chris_Kemple;2017-07-24 19:58;0;0;"Is it two weeks ago already? These creeps just won't stop.";;;;"889635835213230081";https://twitter.com/Chris_Kemple/status/889635835213230081
KaleJPhoto;2017-07-24 19:57;0;0;"Aww bless your lil heart. No one said otherwise. Keep up please.";;;;"889635674135175169";https://twitter.com/KaleJPhoto/status/889635674135175169
Jethro_blue;2017-07-24 19:57;1;4;"Yeah, I got the zip code thing too. They should know me pretty well by now as I'm in regular contact.";;;;"889635585211723777";https://twitter.com/Jethro_blue/status/889635585211723777
AmericaFourever;2017-07-24 19:56;0;6;"Def a bot Rule 1– Don't feed the trolls Rule 2– Don't fight the Firehose of Falsehood with a Squirtgun of Truth. We need a FIREHOSE OF TRUTH";;;;"889635524725571585";https://twitter.com/AmericaFourever/status/889635524725571585
pjc0912;2017-07-24 19:56;0;0;"Hope you can stop this insanity!";;;;"889635465531404288";https://twitter.com/pjc0912/status/889635465531404288
FrankRamey6;2017-07-24 19:56;0;0;"Hospitals are required by law to report to the DMV restricted drivers privileges until showing safe / means as well at work";;;;"889635392676405251";https://twitter.com/FrankRamey6/status/889635392676405251
hrhjmm;2017-07-24 19:56;0;1;"Once identity politics kicks in # ABetterDeal will implode. The Left eats their own.";;;#;"889635362745790465";https://twitter.com/hrhjmm/status/889635362745790465
cheryl_cote;2017-07-24 19:56;0;0;"How can anyone vote without full disclosure of the contents of a bill? Why would anyone vote in that situation?";;;;"889635319972335616";https://twitter.com/cheryl_cote/status/889635319972335616
kmac0412;2017-07-24 19:55;0;3;"Are you serious!! The dems passed Obamacare without even reading it! Don't be hypocritical!";;;;"889635237998809088";https://twitter.com/kmac0412/status/889635237998809088
StrikingConcept;2017-07-24 19:55;0;0;"And the # RepublicanPartyMalpractice bs just keeps on going.pic.twitter.com/kf3s6i6CPr";;;#;"889635112882720768";https://twitter.com/StrikingConcept/status/889635112882720768
deb2217;2017-07-24 19:54;0;0;"Sen Harris, how can this be legal?";;;;"889635035887931393";https://twitter.com/deb2217/status/889635035887931393
