username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gbjebbia;2017-07-24 19:59;0;0;"@ SenRonJohnson keep fighting to # ProtectOurCare, so millions of Americans can afford quality health care they need.https://cards.twitter.com/cards/18ce54iotyz/4k5kl …";;@;#;"889636295626170369";https://twitter.com/gbjebbia/status/889636295626170369
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
MTomlin68;2017-07-24 19:57;0;0;"Thank you Lisa! @ SenRonJohnson see you don't have to be afraid that you are the only one. Stand up for your ethics! Vote NO! https://twitter.com/benwikler/status/889593550878515200 …";;@;;"889635689670873088";https://twitter.com/MTomlin68/status/889635689670873088
robt54153;2017-07-24 19:57;0;0;"@ SenRonJohnson Please use your influence to stop American Health Care Act (AHCA)! For Wisconsin's future! Please stop it!";;@;;"889635687665983490";https://twitter.com/robt54153/status/889635687665983490
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
rcbutter1;2017-07-24 19:54;1;1;"@ AmerAcadPeds # KeepKidsCovered @ DeanHeller @ lisamurkowski @ SenCapito @ JerryMoran @ SenRonJohnson @ SenJohnMcCainpic.twitter.com/Y54aduXEKS";;@ @ @ @ @ @ @;#;"889634978811785216";https://twitter.com/rcbutter1/status/889634978811785216
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Dawn_garcia1;2017-07-24 19:53;0;0;"We need better healthcare that breaks the cost drivers, and doesn't kick millions off coverage. @ SenRonJohnson vote NO please! https://twitter.com/IndivisibleWi01/status/889451930308808704 …";;@;;"889634558454505472";https://twitter.com/Dawn_garcia1/status/889634558454505472
PiscopoSf;2017-07-24 19:52;0;1;". @ SenRonJohnson Who do you work for? This bill puts 22 million Americans' lives at risk. Vote NO! # ResistTrumpcarepic.twitter.com/d0QdBB5lBd";;@;#;"889634514712002561";https://twitter.com/PiscopoSf/status/889634514712002561
PatTheTerrible;2017-07-24 19:51;0;0;"Measure of McConnell's contempt for you. He thinks you're dumb enough to vote yes on a pig in a poke. VOTE NO. # altgov # resist";;;# #;"889634231038734343";https://twitter.com/PatTheTerrible/status/889634231038734343
BlueWisco;2017-07-24 19:50;1;0;"@ SenRonJohnson " I do solemnly swear that I will support and defend the Constitution of the United States..." Remember this? Keep your oath.";;@;;"889634045344329729";https://twitter.com/BlueWisco/status/889634045344329729
TimONeill49;2017-07-24 19:50;0;0;"And Wi will vote he and Paul back in";;;;"889633832542101504";https://twitter.com/TimONeill49/status/889633832542101504
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
