username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
lapoelej;2017-07-24 19:58;0;0;"53% disapproval in NC. Wonder if @ SenThomTillis is paying attention.... http://www.newsweek.com/trump-country-president-approval-rating-plummet-election-swing-states-popular-640996 …";;@;;"889635866871820289";https://twitter.com/lapoelej/status/889635866871820289
New_Colossus_;2017-07-24 19:57;4;3;"This one's for you, @ marcorubio @ SenatorCruz_ @ SenatorRubio @ JohnCornyn @ SenThomTillis https://twitter.com/New_Colossus_/status/889632104727928834 …";;@ @ @ @ @;;"889635664626679808";https://twitter.com/New_Colossus_/status/889635664626679808
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
gerberlover2019;2017-07-24 19:55;0;0;"@ SenThomTillis & @ SenatorBurr you should pay far more attention to these folks than the ill-informed current resident of the White House.https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889635247108870145";https://twitter.com/gerberlover2019/status/889635247108870145
Kim_Rehberg;2017-07-24 19:55;8;33;"Please report on @ SenatorBurr and @ SenThomTillis, too. NC is purple (tho GOP attacks on free & fair elections distorts results).";;@ @;;"889635134365999106";https://twitter.com/Kim_Rehberg/status/889635134365999106
mamastronomy;2017-07-24 19:54;0;1;"@ SenatorBurr @ SenThomTillis this is your plan! # indivisible @ IndivisiblesNChttps://twitter.com/JoyAnnReid/status/889633687125577730 …";;@ @ @;#;"889635049565552640";https://twitter.com/mamastronomy/status/889635049565552640
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
Ashansen2017;2017-07-24 19:52;0;0;"@ SenatorBurr @ SenThomTillis believe the math. If you honestly think Obamacare is failing what the hell is this???";;@ @;;"889634458399330306";https://twitter.com/Ashansen2017/status/889634458399330306
RobinKirk;2017-07-24 19:52;0;2;"To @ SenThomTillis & @ SenatorBurr: help this mom out. What exactly are you planning to vote on? Families want to know # ncpol @ aliranger29https://twitter.com/aliranger29/status/889600521476157443 …";;@ @ @;#;"889634441219461120";https://twitter.com/RobinKirk/status/889634441219461120
Karbunkle67;2017-07-24 19:49;0;1;"Impeach Trump now! Vote no to repeal ACA. Have a town hall!!!";;;;"889633677591928833";https://twitter.com/Karbunkle67/status/889633677591928833
hotblackbitter;2017-07-24 19:49;0;1;"I believe this is directed to you @ marcorubio @ SenatorRisch @ lisamurkowski @ SenJohnHoeven @ SenThomTillis @ SenToomey Vote Accordingly https://twitter.com/TopherSpiro/status/889487372152385537 …";;@ @ @ @ @ @;;"889633661510930433";https://twitter.com/hotblackbitter/status/889633661510930433
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
