username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jjhas3;2017-07-24 19:57;0;2;"Schiff could call for a pro-forma session!";;;;"889635787209355269";https://twitter.com/jjhas3/status/889635787209355269
kies_la;2017-07-24 19:56;0;1;"Really? $15/hr failed ur supporters. Ignore: mid class/small busin voters=Dems loose. U stay rich.Perfect. U,DNC & HRC give away kick backs.";;;;"889635361529507841";https://twitter.com/kies_la/status/889635361529507841
lighthouses7;2017-07-24 19:52;1;1;"Never thought of recess appointment for AG # hardball @ maddow @ SenWhitehouse @ SenSchumer @ alfranken @ amyklobuchar @ SenFeinstein @ SenateDems";;@ @ @ @ @ @ @;#;"889634416003346432";https://twitter.com/lighthouses7/status/889634416003346432
LuluLemew;2017-07-24 19:49;11;11;"BLOCK THE RECESS see thread @ SenFeinstein @ SenateDems @ SenSchumer @ SenWarren @ SenBlumenthal @ SenWhitehouse https://twitter.com/Schenck/status/889622786616029185 …";;@ @ @ @ @ @;;"889633683472297985";https://twitter.com/LuluLemew/status/889633683472297985
JazzLPcollector;2017-07-24 19:41;0;0;"@ SenFeinstein @ PatrickLeahy @ DickDurbin @ SenWhitehouse @ amyklobuchar @ SenFranken @ ChrisCoons @ SenBlumenthalpic.twitter.com/lGr5BkQRh5";;@ @ @ @ @ @ @ @;;"889631636266078208";https://twitter.com/JazzLPcollector/status/889631636266078208
OpheliaAlexiou;2017-07-24 19:39;0;0;"Any king that's tried has generally been executed by his victims, it is also worth mentioning. He should be glad this is a democracy.";;;;"889631277296517121";https://twitter.com/OpheliaAlexiou/status/889631277296517121
DebGumbley;2017-07-24 19:34;0;0;"@ SenWhitehouse No longer live in RI,but am proud to be from there. I know late Sen. John Chaffee would be the spine Repubs need";;@;;"889629772032204800";https://twitter.com/DebGumbley/status/889629772032204800
notcomplicit23;2017-07-24 19:30;0;0;"Stay tough! Thanks for being on the right side of history!";;;;"889628870609162242";https://twitter.com/notcomplicit23/status/889628870609162242
MorrisonRP;2017-07-24 19:30;1;2;"Senators this vote is not on "healthcare" # TrumpCare is a massive tax cut for the wealthiest. Please # ProtectOurCare children, elderly. # ACA";;;# # #;"889628811960217601";https://twitter.com/MorrisonRP/status/889628811960217601
lunaticial;2017-07-24 19:24;0;0;"@ senWHiTEhoUSE 3rd # CULTuRE @ CBs breaker1,9 train # justkids @ hupirate work for booty @ REGENTSuni ar'g @ hupiratesdaily";;@ @ @ @ @;# #;"889627276232589316";https://twitter.com/lunaticial/status/889627276232589316
