username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
drew870mitchell;2017-07-24 19:58;0;1;"WV (and AR and KY) have the most to lose if repeal happens. @ SenCapito please join @ Sen_JoeManchin in standing for your state # VoteNohttps://twitter.com/AARPadvocates/status/889610297715118083 …";;@ @;#;"889635919292231680";https://twitter.com/drew870mitchell/status/889635919292231680
Mareesani;2017-07-24 19:58;0;0;"@ Sen_JoeManchin I hope u will vote no on the healthcare bill, your people need hcare, repeal without a plan is plain nuts.";;@;;"889635814258429952";https://twitter.com/Mareesani/status/889635814258429952
JKPitts;2017-07-24 19:55;0;0;"@ SenCapito @ Sen_JoeManchin If you follow the advice of @ realDonaldTrump, you are going down a very dangerous incompetent path!https://twitter.com/leahmcelrath/status/889616615263932418 …";;@ @ @;;"889635087846961152";https://twitter.com/JKPitts/status/889635087846961152
Hawkeye22102411;2017-07-24 19:53;0;0;"Another press fiction";;;;"889634715162091520";https://twitter.com/Hawkeye22102411/status/889634715162091520
Suhalper;2017-07-24 19:53;0;0;"@ Sen_JoeManchin Please vote against the Trump pushed healthcare bill. Thank you. Susan";;@;;"889634640457342978";https://twitter.com/Suhalper/status/889634640457342978
CrottyLisa;2017-07-24 19:50;0;0;"Kusher needs to wipe that silly grin off of his face...";;;;"889633906957447175";https://twitter.com/CrottyLisa/status/889633906957447175
TrumpSlide_2020;2017-07-24 19:47;0;2;"He appears that way because he is in a red state - he is only out to save his seat - watch his CNN interviews - not a person to trust";;;;"889633176250974208";https://twitter.com/TrumpSlide_2020/status/889633176250974208
JKPitts;2017-07-24 19:45;0;0;"@ SenCapito @ Sen_JoeManchin @ WVGovernor You can't be proud of this performance by @ realDonaldTrump! Disgraceful. Disrepectful. VOTE NO !https://twitter.com/NBCNightlyNews/status/889619003068620804 …";;@ @ @ @;;"889632541711507460";https://twitter.com/JKPitts/status/889632541711507460
Lgrier8;2017-07-24 19:44;0;0;"@ Sen_JoeManchin I am a constituent concerned about the future of my health care. Put http://patientsbeforepolitics.org  and vote NO.";;@;;"889632297078620160";https://twitter.com/Lgrier8/status/889632297078620160
littlehart1;2017-07-24 19:42;0;0;"True about most of them.";;;;"889631991162863617";https://twitter.com/littlehart1/status/889631991162863617
YesforHillary;2017-07-24 19:40;0;1;"Do you approve of POTUS trashtalking about Obama and Hillary? Please speak up!";;;;"889631472755331073";https://twitter.com/YesforHillary/status/889631472755331073
thequeensjester;2017-07-24 19:32;1;1;"Haha. That's so funny you should say that. Look what you've done to WV.";;;;"889629267293859843";https://twitter.com/thequeensjester/status/889629267293859843
PhilMcCrackin44;2017-07-24 19:31;1;2;"@ Sen_JoeManchin https://twitter.com/philmccrackin44/status/889587376305164288 …";;@;;"889629096518574080";https://twitter.com/PhilMcCrackin44/status/889629096518574080
IIMSantaMaria;2017-07-24 19:31;0;0;"@SenJoeManchin You dems are 100% against repealing OCare. If OCare is so great, why are you exempted?";;@SenJoeManchin;;"889629067988930562";https://twitter.com/IIMSantaMaria/status/889629067988930562
Flipperoff;2017-07-24 19:26;2;1;"worry about fixing healthcare Slick";;;;"889627867088400385";https://twitter.com/Flipperoff/status/889627867088400385
Freespeechbut;2017-07-24 19:22;0;0;"Any evidence yet? More hysterical drivel with the BBC hanging on the coat-tails of MSNBC, CNN, the Dems and the rest of the swamp-dwellers.";;;;"889626934828822528";https://twitter.com/Freespeechbut/status/889626934828822528
BillRobison1990;2017-07-24 19:20;1;5;"As an Eagle Scout and parent of a Scout at SBR today, I'm disgraced by POTUS's speech. I hope you will speak out against it.";;;;"889626329716596738";https://twitter.com/BillRobison1990/status/889626329716596738
TrumpinatorCard;2017-07-24 19:18;0;0;"@ RandPaul or @ Sen_JoeManchin SHOULD offer VOTE f/ Healthcare bill BY PROXY so @ SenJohnMcCain doesn't have to travel @ FoxNews @ seanhannitypic.twitter.com/u9N35E7Shw";;@ @ @ @ @;;"889625980637151237";https://twitter.com/TrumpinatorCard/status/889625980637151237
shellybregs;2017-07-24 19:16;0;0;"Follow the money!!";;;;"889625354834513921";https://twitter.com/shellybregs/status/889625354834513921
PollySimson;2017-07-24 19:07;0;0;"@ LouDobbs @ SenatorCollins & @ Sen_JoeManchin grandstanding...remove their exemption from # ACA Cancel their Cadillac health insurance";;@ @ @;#;"889623170633879553";https://twitter.com/PollySimson/status/889623170633879553
TheBigDawggg;2017-07-24 19:05;0;0;"Wait a minute I thought he testified before them today. What is mentioned talking about?";;;;"889622491240554496";https://twitter.com/TheBigDawggg/status/889622491240554496
1Republic14Star;2017-07-24 19:04;0;0;"Dear Republicans: When you've lost @ Sen_JoeManchin...";;@;;"889622462631170048";https://twitter.com/1Republic14Star/status/889622462631170048
GarrattJoanie;2017-07-24 18:52;0;0;"@ Sen_JoeManchin Yout comments on kushner were disturbing. If you can't think of reasons why he would lie I'm sure your colleagues can help";;@;;"889619422272528384";https://twitter.com/GarrattJoanie/status/889619422272528384
JTBoone_;2017-07-24 18:50;0;0;"Pakistan's penetration of Congressional Democrats, DNC & committees is a real D.C. drama being redirected away to "the Russians." @ POTUSpic.twitter.com/1laUYTm3BQ";;@;;"889618878124482560";https://twitter.com/JTBoone_/status/889618878124482560
jw5380;2017-07-24 18:50;0;0;"Exactly @ Sen_JoeManchin @ SenCapito https://twitter.com/gordonpress/status/889116786473435136 …";;@ @;;"889618819743977474";https://twitter.com/jw5380/status/889618819743977474
FMR0662;2017-07-24 18:49;0;0;"Sen. Manchin is actually one of the good guys, and President Trump is at the Boy Scout Jamboree....Trump talks with him often...";;;;"889618611819696129";https://twitter.com/FMR0662/status/889618611819696129
jw5380;2017-07-24 18:48;0;0;"Just how much more money are the @ SenateDems and @ Sen_JoeManchin willing to waste. https://twitter.com/realdonaldtrump/status/889215815022727168 …";;@ @;;"889618369552502785";https://twitter.com/jw5380/status/889618369552502785
deantscott;2017-07-24 18:48;2;0;"Only 4 Dems voted yes @ SenatorHeitkamp @ Sen_JoeManchin @SenBennetCO @ SenDonnelly plus Independent @ SenAngusKing (who caucuses w/ Ds)https://twitter.com/deantscott/status/889616603381411840 …";;@ @ @SenBennetCO @ @;;"889618211108421636";https://twitter.com/deantscott/status/889618211108421636
