username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
luvauntyruth;2017-07-24 19:59;2;0;"Way to represent the pple of NC you fkturd. @ SenatorBurr https://twitter.com/vaughnhillyard/status/889602204826562564 …";;@;;"889636082496745472";https://twitter.com/luvauntyruth/status/889636082496745472
lweatonNC;2017-07-24 19:57;0;1;"Known him for years. I'm betting this is out of context. This guy is the only person posting this. So I'd like to see hear his proof.";;;;"889635734407319552";https://twitter.com/lweatonNC/status/889635734407319552
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
gerberlover2019;2017-07-24 19:55;0;0;"@ SenThomTillis & @ SenatorBurr you should pay far more attention to these folks than the ill-informed current resident of the White House. https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889635247108870145";https://twitter.com/gerberlover2019/status/889635247108870145
Kim_Rehberg;2017-07-24 19:55;8;33;"Please report on @ SenatorBurr and @ SenThomTillis, too. NC is purple (tho GOP attacks on free & fair elections distorts results).";;@ @;;"889635134365999106";https://twitter.com/Kim_Rehberg/status/889635134365999106
DeceptiKHAAAAAN;2017-07-24 19:55;0;0;"Indeed. I, too, would love proof. That is why I said "if true". However, knowing a moderate amount about the man, I can believe he said it.";;;;"889635072508342272";https://twitter.com/DeceptiKHAAAAAN/status/889635072508342272
lweatonNC;2017-07-24 19:55;0;0;"@ SenatorBurr Did you say this? pic.twitter.com/9XXV3ABy5y";;@;;"889635058860077057";https://twitter.com/lweatonNC/status/889635058860077057
mamastronomy;2017-07-24 19:54;0;1;"@ SenatorBurr @ SenThomTillis this is your plan! # indivisible @ IndivisiblesNChttps://twitter.com/JoyAnnReid/status/889633687125577730 …";;@ @ @;#;"889635049565552640";https://twitter.com/mamastronomy/status/889635049565552640
blucool;2017-07-24 19:54;0;0;"@ SenatorBurr Hey have you EVER thought about everyday folks that you represent I don't want to know who you are beholden to but folks r hurt";;@;;"889634892954443776";https://twitter.com/blucool/status/889634892954443776
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
lweatonNC;2017-07-24 19:53;0;0;"I am asking for proof Burr said that; the only quote I see on that is from @VaughnHillyarad with nothing to back it up. Just asking...";;@VaughnHillyarad;;"889634668357840896";https://twitter.com/lweatonNC/status/889634668357840896
Ashansen2017;2017-07-24 19:52;0;0;"@ SenatorBurr @ SenThomTillis believe the math. If you honestly think Obamacare is failing what the hell is this???";;@ @;;"889634458399330306";https://twitter.com/Ashansen2017/status/889634458399330306
RobinKirk;2017-07-24 19:52;0;2;"To @ SenThomTillis & @ SenatorBurr: help this mom out. What exactly are you planning to vote on? Families want to know # ncpol @ aliranger29https://twitter.com/aliranger29/status/889600521476157443 …";;@ @ @;#;"889634441219461120";https://twitter.com/RobinKirk/status/889634441219461120
PatTheTerrible;2017-07-24 19:52;0;0;"Measure of McConnell's contempt for you. He thinks you're dumb enough to vote yes on a pig in a poke. VOTE NO. # altgov # resist";;;# #;"889634349720719360";https://twitter.com/PatTheTerrible/status/889634349720719360
TwitZanne;2017-07-24 19:49;0;0;". @ ThomTillis . @ SenatorBurr https://twitter.com/aarpadvocates/status/889609156214362112 …";;@ @;;"889633635653087233";https://twitter.com/TwitZanne/status/889633635653087233
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
jackkstraww;2017-07-24 19:49;0;0;"# VOTE_OUT_TILLISpic.twitter.com/J81olE6eAr";;;#;"889633585535352837";https://twitter.com/jackkstraww/status/889633585535352837
Ashansen2017;2017-07-24 19:49;0;1;"@ GOP @ SenThomTillis @ SenatorBurr @ TRexTillerson1 JUMP SHIP! If not for your country than to cover your own asses!";;@ @ @ @;;"889633554778468353";https://twitter.com/Ashansen2017/status/889633554778468353
amandarivkin;2017-07-24 19:49;1;2;". @ AmbassadorRice met quietly with the Senate intel committee as @ SenatorBurr says @ DevinNunes made up unmasking bshttps://trumpistanwatch.com/2017/07/24/jared-speaks-no-he-releases-a-statement-udays-lady-lawyer-friend-is-also-fsbs-lawyer-eighth-mans-fsb-ties-sessions-talked-campaign-with-kislyak-flynn-back-in-biz/ …";;@ @ @;;"889633546452652032";https://twitter.com/amandarivkin/status/889633546452652032
