username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:59;0;0;"@ PressSec @ wikileaks @ JulianAssange @ zerohedge @ Jerusalem_Post @ Telegraph";;@ @ @ @ @ @;;"889636245822988288";https://twitter.com/Dwanesterrr/status/889636245822988288
Dwanesterrr;2017-07-24 19:57;0;0;"@ Scavino45 @ foxandfriends @ hectormorenco @ seanhannity @ IngrahamAngle @ IBTimesUK @ JudicialWatch @ PrisonPlanet @ Pamela_Moore13 @ billoreilly";;@ @ @ @ @ @ @ @ @ @;;"889635563036434432";https://twitter.com/Dwanesterrr/status/889635563036434432
Dwanesterrr;2017-07-24 19:54;0;0;"@ GlobalNews @ Telegraph @ CLewandowski_ @ KellyannePolls @ RealAlexJones @ MikeBastasch @ ReutersBiz @redflagnews @ DailyCaller @ realDonaldTrump";;@ @ @ @ @ @ @ @redflagnews @ @;;"889634840135577601";https://twitter.com/Dwanesterrr/status/889634840135577601
jesselarson_wy;2017-07-24 19:52;0;1;"Hold a # townhall , you cowardly fraud.";;;#;"889634510916026369";https://twitter.com/jesselarson_wy/status/889634510916026369
Dwanesterrr;2017-07-24 19:49;0;0;"@ TGowdySC @ Jasoninthehouse @ JudgeJeanine @ realJeffreyLord @ FoxNews @ BreitbartNews @ BreitbartLondon @ IBTimesUK @ Jerusalem_Post @ CBC @ CTVNews";;@ @ @ @ @ @ @ @ @ @ @;;"889633614895489024";https://twitter.com/Dwanesterrr/status/889633614895489024
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
Dwanesterrr;2017-07-24 19:43;0;0;"@ JohnBoozman @ JeffFlake @ SenDanSullivan @ LisaMurkowski @ LutherStrange @ SenShelby # USA # MAGA";;@ @ @ @ @ @;# #;"889632088206475264";https://twitter.com/Dwanesterrr/status/889632088206475264
Dwanesterrr;2017-07-24 19:42;0;0;"@ ChuckGrassley @ SenToddYoung @ SenatorRisch @ MikeCrapo @ SenDavidPerdue @ SenatorIsakson @ MarcoRubio @ SenCoryGardner @ SenTomCotton";;@ @ @ @ @ @ @ @ @;;"889631906161201152";https://twitter.com/Dwanesterrr/status/889631906161201152
Dwanesterrr;2017-07-24 19:42;0;0;"@ SteveDaines @ SenatorWicker @ SenThadCochran @ SenatorCollins @ SenJohnKennedy @ BillCassidy @ JerryMoran @ SenPatRoberts @ SenJoniErnst";;@ @ @ @ @ @ @ @ @;;"889631785239408640";https://twitter.com/Dwanesterrr/status/889631785239408640
Dwanesterrr;2017-07-24 19:41;0;0;"@ SenatorTimScott @ SenatorRounds @ SenBobCorker @ SenAlexander @ SenCapito @ SenRonJohnson @ SenatorEnzi @ SenJohnBarrasso @ SenatorFischer";;@ @ @ @ @ @ @ @ @;;"889631567341080576";https://twitter.com/Dwanesterrr/status/889631567341080576
Suhalper;2017-07-24 19:38;0;0;"@ SenatorEnzi Please remember who your constituents are and vote in THEIr best interest for healthcare. Thank you. Susan";;@;;"889630879416496128";https://twitter.com/Suhalper/status/889630879416496128
BossyCowgurl84;2017-07-24 19:30;0;0;"# FullRepeal 1st!!!!!";;;#;"889628986665578496";https://twitter.com/BossyCowgurl84/status/889628986665578496
BossyCowgurl84;2017-07-24 19:30;0;0;"# FullRepeal # Obamacare";;;# #;"889628873608105987";https://twitter.com/BossyCowgurl84/status/889628873608105987
ShabbottMary;2017-07-24 19:13;0;0;". @ senjohnbarrasso @ SenatorEnzi voted for unethical hunting practices to be used on national refuges in AK. # HJR69pic.twitter.com/pYMQ0oTB07";;@ @;#;"889624534982303744";https://twitter.com/ShabbottMary/status/889624534982303744
joshuahake;2017-07-24 18:46;0;0;"@ SenatorEnzi - was considering visiting your state, but I'm not sure I want to spend my tax $ where senators take away medical insurance.";;@;;"889617812867751937";https://twitter.com/joshuahake/status/889617812867751937
LorettaDenny4;2017-07-24 18:42;0;0;"@ SenJohnBarrasso & @ SenatorEnzi Please read this tonight and seek guidance before tomorrows vote. Guidance from the Lord, not your donors. https://twitter.com/civilrightsorg/status/889600203455680512 …";;@ @;;"889616738790277120";https://twitter.com/LorettaDenny4/status/889616738790277120
lastbreath8;2017-07-24 18:12;0;0;"@ SenCapito @ SenatorCollins @ lisamurkowski @ SenJohnMcCain @ SenatorEnzi @ SenMikeLee Let's # Compromise~let's # ImproveACA # CountryOverParty https://twitter.com/wholeexpanse/status/889577209706549249 …";;@ @ @ @ @ @;# # #;"889609343783522304";https://twitter.com/lastbreath8/status/889609343783522304
DanSmith112263;2017-07-24 18:00;0;1;"We need a new sheriff in town to clean up the GOPhttp://nymag.com/daily/intelligencer/2017/06/trumps-sabotage-of-obamacare-is-working.html …";;;;"889606129285832705";https://twitter.com/DanSmith112263/status/889606129285832705
