username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BrennaG5;2017-07-24 19:51;0;0;"@ SenatorShaheen @ SenatorHassan @ SenatorCollins Thank you for being "one of those women from the northeast" who stands against repeal/replace";;@ @ @;;"889634074150809602";https://twitter.com/BrennaG5/status/889634074150809602
Hi_IQ_Trump;2017-07-24 19:49;0;0;"Still waiting for your plan.";;;;"889633705182023681";https://twitter.com/Hi_IQ_Trump/status/889633705182023681
Hi_IQ_Trump;2017-07-24 19:44;0;0;"Way too much. It makes no sense. Many of these services should be handled by nurses. Or shamans.";;;;"889632397989380097";https://twitter.com/Hi_IQ_Trump/status/889632397989380097
Stormborn71;2017-07-24 19:43;0;0;"Charity. This is your answer? I'm done. Go to school.";;;;"889632085761282050";https://twitter.com/Stormborn71/status/889632085761282050
Stormborn71;2017-07-24 19:42;0;0;"Do you have any idea what it costs to become a doctor in the US today? Loans and malpractice insurance? Staff?";;;;"889631819557216257";https://twitter.com/Stormborn71/status/889631819557216257
Hi_IQ_Trump;2017-07-24 19:40;0;0;"Their accounts are being replenished at $4K-$10K/year. Plus catastrophic insurance, risk pooling or Medicaid. Or charity. Options.";;;;"889631487875796993";https://twitter.com/Hi_IQ_Trump/status/889631487875796993
Stormborn71;2017-07-24 19:40;0;0;"Look, I don't have the time nor inclination to explain the economics of basic healthcare principles to you. Good try, never going to work.";;;;"889631378505175040";https://twitter.com/Stormborn71/status/889631378505175040
Hi_IQ_Trump;2017-07-24 19:39;0;0;"For what service? What makes it a $250 service?";;;;"889631227145224194";https://twitter.com/Hi_IQ_Trump/status/889631227145224194
Stormborn71;2017-07-24 19:38;0;0;"I see. And if they haven't saved or used their savings for medical costs of their own?";;;;"889631020370325510";https://twitter.com/Stormborn71/status/889631020370325510
Stormborn71;2017-07-24 19:38;0;0;"You would take $15 (or less) for a $250 service? ...and you're trying to educate me in economics?";;;;"889630781261451264";https://twitter.com/Stormborn71/status/889630781261451264
Hi_IQ_Trump;2017-07-24 19:37;0;0;"From their parents' accounts.";;;;"889630690190512128";https://twitter.com/Hi_IQ_Trump/status/889630690190512128
Stormborn71;2017-07-24 19:36;0;0;"I gave you my plan. Be careful. I don't work for you. Try another. Yours doesn't work.";;;;"889630510733041664";https://twitter.com/Stormborn71/status/889630510733041664
