username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hrhdjc;2017-07-24 19:55;0;0;"@ SenatorHeitkamp Your constituents are depending on you. Rural hospitals count Vote 'no' on # Obamacare repeal.";;@;#;"889635262971731971";https://twitter.com/hrhdjc/status/889635262971731971
Suhalper;2017-07-24 19:51;0;0;"@ SenatorHeitkamp Please vote against the Trump McConnell healthcare disaster. thank you. Susan";;@;;"889634290727780352";https://twitter.com/Suhalper/status/889634290727780352
ChangeSeats;2017-07-24 19:51;0;0;"RT @ SenatorHeitkamp: Read letter from ND Hospital Assoc. & @ NDMedAssn outlining how BCRA & 2015 health care repeal… http://buff.ly/2v18I99";;@ @;;"889634051312824324";https://twitter.com/ChangeSeats/status/889634051312824324
whalliburton;2017-07-24 19:43;0;0;"How do know that the "terrorists" we're not paid agitators? All the provable deception destroys credibility.https://www.youtube.com/watch?v=LrLIz82fmyM …";;;;"889632178505691138";https://twitter.com/whalliburton/status/889632178505691138
JeanMaree_ND;2017-07-24 19:33;0;0;"Some protesters were legit, others were terrorists. This is bridge pic & reason it was closed. LEOs families received death threats.";;;;"889629631527223300";https://twitter.com/JeanMaree_ND/status/889629631527223300
IIMSantaMaria;2017-07-24 19:29;0;0;"@ SenatorHeitkamp You dems are against repealing OCare. If OCare is so great, why are you exempted?";;@;;"889628604379930624";https://twitter.com/IIMSantaMaria/status/889628604379930624
JeanMaree_ND;2017-07-24 19:20;0;0;"Better than it was. Great, in fact....pic.twitter.com/QRfGoIBesj";;;;"889626264717471744";https://twitter.com/JeanMaree_ND/status/889626264717471744
whalliburton;2017-07-24 19:13;0;0;"Your call brother.";;;;"889624653458788352";https://twitter.com/whalliburton/status/889624653458788352
JeanMaree_ND;2017-07-24 19:13;0;0;"pic.twitter.com/ZdK2dEeg8u";;;;"889624540631977985";https://twitter.com/JeanMaree_ND/status/889624540631977985
whalliburton;2017-07-24 19:07;0;0;"Heart, mind, and body, working in unison. Together. Logic alone is dead and will kill for sport.";;;;"889623163780427782";https://twitter.com/whalliburton/status/889623163780427782
DeplorableTech1;2017-07-24 19:06;0;0;"Do you have any logic not based off of feelings??";;;;"889622742856871937";https://twitter.com/DeplorableTech1/status/889622742856871937
whalliburton;2017-07-24 19:05;0;0;"Heart is the missing picture here. ND participated in state sanctioned violence against peaceful people. https://www.youtube.com/watch?v=LrLIz82fmyM …";;;;"889622482050830336";https://twitter.com/whalliburton/status/889622482050830336
whalliburton;2017-07-24 19:03;0;0;"When you are in a prison, and that prison is the entire planet, escape is not an option. Only tearing down the walls.";;;;"889622141813100544";https://twitter.com/whalliburton/status/889622141813100544
DeplorableTech1;2017-07-24 19:02;0;0;"Do you have any arguments that aren't feeling based?";;;;"889621792867975172";https://twitter.com/DeplorableTech1/status/889621792867975172
DeplorableTech1;2017-07-24 18:56;0;0;"Why does everyone try to flee to the West? Name a better one?";;;;"889620353579970560";https://twitter.com/DeplorableTech1/status/889620353579970560
whalliburton;2017-07-24 18:55;0;0;"Just because a bully bullies and kills, in no way does that make him higher than anyone else, rather the opposite.";;;;"889620179755446272";https://twitter.com/whalliburton/status/889620179755446272
