username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Dwanesterrr;2017-07-24 19:44;0;0;"@ ChrisVanHollen @ SenJeffMerkley @ SenatorLeahy @ SenFeinstein @ KamalaHarris @SenBennetCO @ SenBlumenthal @ ChrisMurphyCT @ SenatorCarper";;@ @ @ @ @ @SenBennetCO @ @ @;;"889632418625355776";https://twitter.com/Dwanesterrr/status/889632418625355776
zeldalaflame;2017-07-24 19:41;0;0;"@ SenatorLeahy Not only do I want my Vermont Senators to vote NO on Trumpcare, I want them to fight for # SinglePayer # MedicareForAll";;@;# #;"889631594041966593";https://twitter.com/zeldalaflame/status/889631594041966593
Bdioncavacas;2017-07-24 18:19;0;0;"As @ SenatorLeahy has said be active and be a voice!! From Rutland to St Albans for a healthcare forum! Be present always!";;@;;"889610957974110209";https://twitter.com/Bdioncavacas/status/889610957974110209
Moldyoldogre;2017-07-24 18:17;0;0;"Good enough, have to check seems like EVERYTHING has an ulterior motive nowadays! Congratulations!";;;;"889610537184763906";https://twitter.com/Moldyoldogre/status/889610537184763906
Patrick_L_Black;2017-07-24 18:08;0;0;"Nothing other than it was nice to receive congratulations from one of my Senators.";;;;"889608374870052865";https://twitter.com/Patrick_L_Black/status/889608374870052865
Moldyoldogre;2017-07-24 18:07;0;0;"Not knocking you OR your wife.. Whats your point?";;;;"889607898225094657";https://twitter.com/Moldyoldogre/status/889607898225094657
Patrick_L_Black;2017-07-24 18:02;0;0;"Received a nice letter from @ SenatorLeahy regarding my wife's # Immigration proceedings.pic.twitter.com/dT5RyEJvBt";;@;#;"889606734196637699";https://twitter.com/Patrick_L_Black/status/889606734196637699
461_7054;2017-07-24 17:49;1;0;"So true !!!";;;;"889603370717257728";https://twitter.com/461_7054/status/889603370717257728
Onegreystray;2017-07-24 17:33;0;0;"Pls OPPOSE @ Interior's anti-wolf riders! http://action.biologicaldiversity.org/o/2167/p/dia/action4/common/public/?action_KEY=17687#.WXZlVpHqEIU.twitter … @ senatorleahy @ SenJackReed @ jontester @ SenJeffMerkley @ ChrisVanHollen";;@ @ @ @ @ @;#;"889599335058616322";https://twitter.com/Onegreystray/status/889599335058616322
NBlard;2017-07-24 17:23;0;0;"@ SenatorLeahy Thanks for your work on health care. Everyone should have hopes of getting better when ill or injured. http://bit.ly/95Stories pic.twitter.com/s0GlDc7sR3";;@;;"889596985531125763";https://twitter.com/NBlard/status/889596985531125763
museumofscience;2017-07-24 16:46;1;2;"The Museum & @ ScienceCenters urge @ SenThadCochran @ SenatorLeahy to fund @ NASAedu informal CP4SMPVC grant http://bit.ly/2uVz1un";;@ @ @ @;;"889587587312222208";https://twitter.com/museumofscience/status/889587587312222208
MarikaBlog12;2017-07-24 16:15;0;0;"Wolves are NOT a bargaining chip! NO to any bill delisting them or undercutting ESA pic.twitter.com/QDvP5WoXo1 @ SenatorLeahy @ sensanders";;@ @;;"889579745247145986";https://twitter.com/MarikaBlog12/status/889579745247145986
civilrightsorg;2017-07-24 15:48;4;11;"While lawmakers like @ SenMarkey & @ SenatorLeahy fight to end forced arbitration, others are shamefully trying to gut the # RipoffClause rule.";;@ @;#;"889573103210311680";https://twitter.com/civilrightsorg/status/889573103210311680
HomefrontHugs;2017-07-24 15:43;0;0;"Thank you sir for sharing this . With your help we should have our mailboxes full !";;;;"889571684969304070";https://twitter.com/HomefrontHugs/status/889571684969304070
vmwilliamson1;2017-07-24 15:41;1;2;"They are certainly not worried about our country, only vote pandering to stay in office to fill their pockets with money they don't work for";;;;"889571363433959425";https://twitter.com/vmwilliamson1/status/889571363433959425
HomefrontHugs;2017-07-24 15:22;0;0;"@ SenatorLeahy pls RT https://twitter.com/homefronthugs/status/889565559104438272 …";;@;;"889566399701581824";https://twitter.com/HomefrontHugs/status/889566399701581824
RevSqueeze;2017-07-24 14:34;0;1;"So pleased to hear @ SenatorLeahy will cosponsor S980 Rural Access to # Hospice. # han17 This will be good for # Vermont patients.";;@;# # #;"889554433595539457";https://twitter.com/RevSqueeze/status/889554433595539457
crystal_night20;2017-07-24 14:24;0;0;"@ SenSchumer @ SenWarren @ DickDurbin @ SenateDems @ HouseDemocrat @ SenatorLeahy https://twitter.com/newtgingrich/status/888528734822821888 …";;@ @ @ @ @ @;;"889551926781784064";https://twitter.com/crystal_night20/status/889551926781784064
Chriss138;2017-07-24 13:55;0;0;"@ SenatorLeahy Pls oppose DOI's budget req. and killing healthy wild horses captive/free. Wld Horses should be on the range/Free Roam Act.";;@;;"889544676335902721";https://twitter.com/Chriss138/status/889544676335902721
vmwilliamson1;2017-07-24 13:42;4;3;"More friends of @ SenGillibrand @ SenatorLeahy @NancyPelosi @ SenWarren @ MaxineWaters @ SenSchumer who want to bring thousands here as well";;@ @ @NancyPelosi @ @ @;;"889541271517143040";https://twitter.com/vmwilliamson1/status/889541271517143040
vmwilliamson1;2017-07-24 13:40;0;0;"Good question for @ SenGillibrand @ SenatorLeahy @NancyPelosi @ MaxineWaters @ SenSchumer @ SenWarren Why do you insist on bringing them here?";;@ @ @NancyPelosi @ @ @;;"889540702635536388";https://twitter.com/vmwilliamson1/status/889540702635536388
MozartVt;2017-07-24 13:31;1;2;"@ SenatorLeahy & @ SenSanders ... come support US-Cuba relations at @ HotelVermont tomorrow night. Our Cuban friends will be playing Mozart!pic.twitter.com/eg6ZMZBHHe";;@ @ @;;"889538639251767297";https://twitter.com/MozartVt/status/889538639251767297
SurfriderNE;2017-07-24 12:27;0;0;"@ SenatorLeahy: @ NOAA programs are vital; cuts will have real-world impacts. Pls. support level or increased funding! # TheMoreYouNOAA";;@ @;#;"889522367772237828";https://twitter.com/SurfriderNE/status/889522367772237828
OpKillerPalm;2017-07-24 12:18;0;1;"Wolves are NOT a bargaining chip! NO to any bill delisting them or undercutting ESA pic.twitter.com/NYInxW4rWP @ SenatorLeahy @ sensanders";;@ @;;"889520048456564738";https://twitter.com/OpKillerPalm/status/889520048456564738
joshtweetsthat;2017-07-24 12:11;0;0;"Got your work cut out for you, @ SenFeinstein @ SenatorLeahy @ alfranken @ SenBlumenthal https://www.google.com/amp/www.newsweek.com/2016/11/11/donald-trump-companies-destroyed-emails-documents-515120.html%3Famp%3D1 …";;@ @ @ @;;"889518504747163648";https://twitter.com/joshtweetsthat/status/889518504747163648
now_justice;2017-07-24 12:09;0;0;"Kushner @ SenatorDurbin @ SenFeinstein @ SenFranken @ SenKamalaHarris @ amyklobuchar @ SenatorLeahy @ clairecmc @ SenGillibrand NOT INNOCENT!https://twitter.com/GlennThrush/status/889456604898308098 …";;@ @ @ @ @ @ @ @;;"889517966391361536";https://twitter.com/now_justice/status/889517966391361536
josephblowing4;2017-07-24 12:08;0;0;"TO MUELLER @ SenatorLeahy @ SenFeinstein @ SenBlumenthal @ scotus @ FBIAtlanta @ SenWhitehouse @ SenMarkey @ SenAngusKing @ RepTedLieu";;@ @ @ @ @ @ @ @ @;;"889517705224757248";https://twitter.com/josephblowing4/status/889517705224757248
now_justice;2017-07-24 12:07;0;0;"Ask about this!! @ RepAdamSchiff @ SenKamalaHarris @ SenFranken @ amyklobuchar @ SenatorLeahy @ SenFeinstein @ SenatorDurbinhttps://twitter.com/JoyAnnReid/status/889515265607774208 …";;@ @ @ @ @ @ @;;"889517310683127808";https://twitter.com/now_justice/status/889517310683127808
LizziSwick;2017-07-24 11:55;0;0;"Pls vote no # horseslaughter back on US SOIL in USDA Budget @ senthadcochran @ senatorleahy @ SenateMajLdr @ senshelbypic.twitter.com/sBj9F3ZJ1X";;@ @ @ @;#;"889514484301266948";https://twitter.com/LizziSwick/status/889514484301266948
ElisabethLehrVT;2017-07-24 11:19;0;0;". @ SenatorLeahy A message to Patrick J. Leahy from a constituent. Please work to end corporate detention profits. https://ense.nyc/ense/91661/bluegreenblue …";;@;;"889505278684737536";https://twitter.com/ElisabethLehrVT/status/889505278684737536
reynier2011;2017-07-24 11:11;1;0;"En declaraciones a @ PrensaLatina_cu, @ SenatorLeahy asegura que seguirá trabajando duro para levantar restricciones contra # Cuba│ # NoMasBloqueopic.twitter.com/oIwzzU7ErP";;@ @;# #;"889503200251916288";https://twitter.com/reynier2011/status/889503200251916288
mbgk3;2017-07-24 10:31;0;0;"# FixBrokenCampusPolicies @ SenSanders @ PeterWelch @ SenatorLeahy Vt opposes Kangaroo campus hearings. Change course & fix DCL2011";;@ @ @;#;"889493163940950017";https://twitter.com/mbgk3/status/889493163940950017
mbgk3;2017-07-24 10:19;0;0;"# FixBrokenCampusPolicies @ SenGillibrand @ BetsyDeVosED @ SenatorLeahy The number of biased & lying TIX personnel shocking. It cld happen to u!";;@ @ @;#;"889490243283550208";https://twitter.com/mbgk3/status/889490243283550208
picaresquity;2017-07-24 10:18;0;1;"Yesterday I learned that @ SenatorLeahy is a huge # Batman fan and he had cameos in the Animated Series and The Dark Knight movie.";;@;#;"889490048168730624";https://twitter.com/picaresquity/status/889490048168730624
